site_id,year,has_data
AT-PsM,2011,FALSE
AT-PsM,2012,FALSE
AT-PsM,2013,FALSE
AT-PsM,2014,FALSE
AT-PsM,2015,TRUE
AT-PsM,2015,TRUE
AT-PsM,2016,TRUE
AT-PsM,2017,TRUE
AT-PsM,2018,TRUE
AT-PsM,2019,TRUE
AT-PsM,2020,FALSE
AT-PsM,2021,FALSE
AT-PsM,2022,FALSE
AT-PsM,2023,FALSE
AT-PsM,2024,FALSE
AT-PsM,2025,FALSE
AT-Zoe,1981,FALSE
AT-Zoe,1982,FALSE
AT-Zoe,1983,FALSE
AT-Zoe,1984,FALSE
AT-Zoe,1985,FALSE
AT-Zoe,1986,FALSE
AT-Zoe,1987,FALSE
AT-Zoe,1988,FALSE
AT-Zoe,1989,FALSE
AT-Zoe,1990,FALSE
AT-Zoe,1991,FALSE
AT-Zoe,1992,FALSE
AT-Zoe,1993,FALSE
AT-Zoe,1994,FALSE
AT-Zoe,1995,FALSE
AT-Zoe,1996,FALSE
AT-Zoe,1997,FALSE
AT-Zoe,1998,FALSE
AT-Zoe,1999,FALSE
AT-Zoe,2000,FALSE
AT-Zoe,2001,FALSE
AT-Zoe,2002,FALSE
AT-Zoe,2003,FALSE
AT-Zoe,2004,FALSE
AT-Zoe,2005,FALSE
AT-Zoe,2006,FALSE
AT-Zoe,2007,FALSE
AT-Zoe,2008,FALSE
AT-Zoe,2009,FALSE
AT-Zoe,2010,FALSE
AT-Zoe,2011,FALSE
AT-Zoe,2012,FALSE
AT-Zoe,2013,FALSE
AT-Zoe,2014,TRUE
AT-Zoe,2014,TRUE
AT-Zoe,2015,TRUE
AT-Zoe,2015,TRUE
AT-Zoe,2016,TRUE
AT-Zoe,2016,TRUE
AT-Zoe,2017,TRUE
AT-Zoe,2017,TRUE
AT-Zoe,2018,FALSE
AT-Zoe,2018,FALSE
AT-Zoe,2019,TRUE
AT-Zoe,2019,TRUE
AT-Zoe,2020,TRUE
AT-Zoe,2020,TRUE
AT-Zoe,2021,TRUE
AT-Zoe,2021,TRUE
AT-Zoe,2022,TRUE
AT-Zoe,2023,TRUE
AT-Zoe,2024,TRUE
AT-Zoe,2024,TRUE
AT-Zoe,2025,FALSE
AU-APL,1981,FALSE
AU-APL,1982,FALSE
AU-APL,1983,FALSE
AU-APL,1984,FALSE
AU-APL,1985,FALSE
AU-APL,1986,FALSE
AU-APL,1987,FALSE
AU-APL,1988,FALSE
AU-APL,1989,FALSE
AU-APL,1990,FALSE
AU-APL,1991,FALSE
AU-APL,1992,FALSE
AU-APL,1993,FALSE
AU-APL,1994,FALSE
AU-APL,1995,FALSE
AU-APL,1996,FALSE
AU-APL,1997,FALSE
AU-APL,1998,FALSE
AU-APL,1999,FALSE
AU-APL,2000,FALSE
AU-APL,2001,FALSE
AU-APL,2002,FALSE
AU-APL,2003,FALSE
AU-APL,2004,FALSE
AU-APL,2005,FALSE
AU-APL,2006,FALSE
AU-APL,2007,FALSE
AU-APL,2008,FALSE
AU-APL,2009,FALSE
AU-APL,2010,FALSE
AU-APL,2011,FALSE
AU-APL,2012,FALSE
AU-APL,2013,FALSE
AU-APL,2014,FALSE
AU-APL,2015,FALSE
AU-APL,2016,FALSE
AU-APL,2017,TRUE
AU-APL,2017,TRUE
AU-APL,2018,TRUE
AU-APL,2019,TRUE
AU-APL,2020,TRUE
AU-APL,2021,TRUE
AU-APL,2022,TRUE
AU-APL,2022,TRUE
AU-APL,2023,FALSE
AU-APL,2024,FALSE
AU-ASM,1981,FALSE
AU-ASM,1982,FALSE
AU-ASM,1983,FALSE
AU-ASM,1984,FALSE
AU-ASM,1985,FALSE
AU-ASM,1986,FALSE
AU-ASM,1987,FALSE
AU-ASM,1988,FALSE
AU-ASM,1989,FALSE
AU-ASM,1990,FALSE
AU-ASM,1991,FALSE
AU-ASM,1992,FALSE
AU-ASM,1993,FALSE
AU-ASM,1994,FALSE
AU-ASM,1995,FALSE
AU-ASM,1996,FALSE
AU-ASM,1997,FALSE
AU-ASM,1998,FALSE
AU-ASM,1999,FALSE
AU-ASM,2000,FALSE
AU-ASM,2001,FALSE
AU-ASM,2002,FALSE
AU-ASM,2003,FALSE
AU-ASM,2004,FALSE
AU-ASM,2005,FALSE
AU-ASM,2006,FALSE
AU-ASM,2007,FALSE
AU-ASM,2008,FALSE
AU-ASM,2009,FALSE
AU-ASM,2010,TRUE
AU-ASM,2010,TRUE
AU-ASM,2011,TRUE
AU-ASM,2012,TRUE
AU-ASM,2013,TRUE
AU-ASM,2014,TRUE
AU-ASM,2015,TRUE
AU-ASM,2016,TRUE
AU-ASM,2017,TRUE
AU-ASM,2018,TRUE
AU-ASM,2019,TRUE
AU-ASM,2020,TRUE
AU-ASM,2021,TRUE
AU-ASM,2021,TRUE
AU-ASM,2022,TRUE
AU-ASM,2022,TRUE
AU-ASM,2023,FALSE
AU-ASM,2023,FALSE
AU-ASM,2024,TRUE
AU-ASM,2024,TRUE
AU-ASM,2025,TRUE
AU-Ade,1981,FALSE
AU-Ade,1982,FALSE
AU-Ade,1983,FALSE
AU-Ade,1984,FALSE
AU-Ade,1985,FALSE
AU-Ade,1986,FALSE
AU-Ade,1987,FALSE
AU-Ade,1988,FALSE
AU-Ade,1989,FALSE
AU-Ade,1990,FALSE
AU-Ade,1991,FALSE
AU-Ade,1992,FALSE
AU-Ade,1993,FALSE
AU-Ade,1994,FALSE
AU-Ade,1995,FALSE
AU-Ade,1996,FALSE
AU-Ade,1997,FALSE
AU-Ade,1998,FALSE
AU-Ade,1999,FALSE
AU-Ade,2000,FALSE
AU-Ade,2001,FALSE
AU-Ade,2002,FALSE
AU-Ade,2003,FALSE
AU-Ade,2004,FALSE
AU-Ade,2005,FALSE
AU-Ade,2006,FALSE
AU-Ade,2007,FALSE
AU-Ade,2007,FALSE
AU-Ade,2008,TRUE
AU-Ade,2009,TRUE
AU-Ade,2009,TRUE
AU-Ade,2010,FALSE
AU-Ade,2011,FALSE
AU-Ade,2012,FALSE
AU-Ade,2013,FALSE
AU-Ade,2014,FALSE
AU-Ade,2015,FALSE
AU-Ade,2016,FALSE
AU-Ade,2017,FALSE
AU-Ade,2018,FALSE
AU-Ade,2019,FALSE
AU-Ade,2020,FALSE
AU-Ade,2021,FALSE
AU-Ade,2022,FALSE
AU-Ade,2023,FALSE
AU-Ade,2024,FALSE
AU-Ade,2025,FALSE
AU-Boy,1981,FALSE
AU-Boy,1982,FALSE
AU-Boy,1983,FALSE
AU-Boy,1984,FALSE
AU-Boy,1985,FALSE
AU-Boy,1986,FALSE
AU-Boy,1987,FALSE
AU-Boy,1988,FALSE
AU-Boy,1989,FALSE
AU-Boy,1990,FALSE
AU-Boy,1991,FALSE
AU-Boy,1992,FALSE
AU-Boy,1993,FALSE
AU-Boy,1994,FALSE
AU-Boy,1995,FALSE
AU-Boy,1996,FALSE
AU-Boy,1997,FALSE
AU-Boy,1998,FALSE
AU-Boy,1999,FALSE
AU-Boy,2000,FALSE
AU-Boy,2001,FALSE
AU-Boy,2002,FALSE
AU-Boy,2003,FALSE
AU-Boy,2004,FALSE
AU-Boy,2005,FALSE
AU-Boy,2006,FALSE
AU-Boy,2007,FALSE
AU-Boy,2008,FALSE
AU-Boy,2009,FALSE
AU-Boy,2010,FALSE
AU-Boy,2011,FALSE
AU-Boy,2012,FALSE
AU-Boy,2013,FALSE
AU-Boy,2014,FALSE
AU-Boy,2015,FALSE
AU-Boy,2016,FALSE
AU-Boy,2017,FALSE
AU-Boy,2017,FALSE
AU-Boy,2018,TRUE
AU-Boy,2019,TRUE
AU-Boy,2019,TRUE
AU-Boy,2020,TRUE
AU-Boy,2021,TRUE
AU-Boy,2022,TRUE
AU-Boy,2023,TRUE
AU-Boy,2024,TRUE
AU-Boy,2025,TRUE
AU-Boy,2025,TRUE
AU-Col,1981,FALSE
AU-Col,1982,FALSE
AU-Col,1983,FALSE
AU-Col,1984,FALSE
AU-Col,1985,FALSE
AU-Col,1986,FALSE
AU-Col,1987,FALSE
AU-Col,1988,FALSE
AU-Col,1989,FALSE
AU-Col,1990,FALSE
AU-Col,1991,FALSE
AU-Col,1992,FALSE
AU-Col,1993,FALSE
AU-Col,1994,FALSE
AU-Col,1995,FALSE
AU-Col,1996,FALSE
AU-Col,1997,FALSE
AU-Col,1998,FALSE
AU-Col,1999,FALSE
AU-Col,2000,FALSE
AU-Col,2001,FALSE
AU-Col,2002,FALSE
AU-Col,2003,FALSE
AU-Col,2004,FALSE
AU-Col,2005,FALSE
AU-Col,2006,FALSE
AU-Col,2007,FALSE
AU-Col,2008,FALSE
AU-Col,2009,FALSE
AU-Col,2010,FALSE
AU-Col,2011,FALSE
AU-Col,2012,FALSE
AU-Col,2013,FALSE
AU-Col,2014,FALSE
AU-Col,2015,FALSE
AU-Col,2016,FALSE
AU-Col,2017,TRUE
AU-Col,2017,TRUE
AU-Col,2018,TRUE
AU-Col,2018,TRUE
AU-Col,2019,TRUE
AU-Col,2019,TRUE
AU-Col,2020,FALSE
AU-Col,2021,FALSE
AU-Col,2022,FALSE
AU-Col,2023,FALSE
AU-Col,2024,FALSE
AU-Cow,1981,FALSE
AU-Cow,1982,FALSE
AU-Cow,1983,FALSE
AU-Cow,1984,FALSE
AU-Cow,1985,FALSE
AU-Cow,1986,FALSE
AU-Cow,1987,FALSE
AU-Cow,1988,FALSE
AU-Cow,1989,FALSE
AU-Cow,1990,FALSE
AU-Cow,1991,FALSE
AU-Cow,1992,FALSE
AU-Cow,1993,FALSE
AU-Cow,1994,FALSE
AU-Cow,1995,FALSE
AU-Cow,1996,FALSE
AU-Cow,1997,FALSE
AU-Cow,1998,FALSE
AU-Cow,1999,FALSE
AU-Cow,2000,FALSE
AU-Cow,2001,FALSE
AU-Cow,2002,FALSE
AU-Cow,2003,FALSE
AU-Cow,2004,FALSE
AU-Cow,2005,FALSE
AU-Cow,2006,FALSE
AU-Cow,2007,FALSE
AU-Cow,2008,FALSE
AU-Cow,2009,TRUE
AU-Cow,2009,TRUE
AU-Cow,2010,TRUE
AU-Cow,2011,TRUE
AU-Cow,2012,TRUE
AU-Cow,2013,TRUE
AU-Cow,2014,TRUE
AU-Cow,2015,TRUE
AU-Cow,2016,TRUE
AU-Cow,2017,TRUE
AU-Cow,2018,TRUE
AU-Cow,2019,TRUE
AU-Cow,2020,TRUE
AU-Cow,2020,TRUE
AU-Cow,2021,TRUE
AU-Cow,2022,TRUE
AU-Cow,2023,TRUE
AU-Cow,2023,TRUE
AU-Cow,2024,TRUE
AU-Cow,2025,TRUE
AU-Cow,2025,TRUE
AU-Cpr,1981,FALSE
AU-Cpr,1982,FALSE
AU-Cpr,1983,FALSE
AU-Cpr,1984,FALSE
AU-Cpr,1985,FALSE
AU-Cpr,1986,FALSE
AU-Cpr,1987,FALSE
AU-Cpr,1988,FALSE
AU-Cpr,1989,FALSE
AU-Cpr,1990,FALSE
AU-Cpr,1991,FALSE
AU-Cpr,1992,FALSE
AU-Cpr,1993,FALSE
AU-Cpr,1994,FALSE
AU-Cpr,1995,FALSE
AU-Cpr,1996,FALSE
AU-Cpr,1997,FALSE
AU-Cpr,1998,FALSE
AU-Cpr,1999,FALSE
AU-Cpr,2000,FALSE
AU-Cpr,2001,FALSE
AU-Cpr,2002,FALSE
AU-Cpr,2003,FALSE
AU-Cpr,2004,FALSE
AU-Cpr,2005,FALSE
AU-Cpr,2006,FALSE
AU-Cpr,2007,FALSE
AU-Cpr,2008,FALSE
AU-Cpr,2009,FALSE
AU-Cpr,2010,TRUE
AU-Cpr,2010,TRUE
AU-Cpr,2011,TRUE
AU-Cpr,2012,TRUE
AU-Cpr,2013,TRUE
AU-Cpr,2014,TRUE
AU-Cpr,2014,TRUE
AU-Cpr,2015,TRUE
AU-Cpr,2016,TRUE
AU-Cpr,2017,TRUE
AU-Cpr,2018,TRUE
AU-Cpr,2019,TRUE
AU-Cpr,2020,TRUE
AU-Cpr,2021,TRUE
AU-Cpr,2022,TRUE
AU-Cpr,2022,TRUE
AU-Cpr,2023,TRUE
AU-Cpr,2024,TRUE
AU-Cpr,2025,TRUE
AU-Ctr,1981,FALSE
AU-Ctr,1982,FALSE
AU-Ctr,1983,FALSE
AU-Ctr,1984,FALSE
AU-Ctr,1985,FALSE
AU-Ctr,1986,FALSE
AU-Ctr,1987,FALSE
AU-Ctr,1988,FALSE
AU-Ctr,1989,FALSE
AU-Ctr,1990,FALSE
AU-Ctr,1991,FALSE
AU-Ctr,1992,FALSE
AU-Ctr,1993,FALSE
AU-Ctr,1994,FALSE
AU-Ctr,1995,FALSE
AU-Ctr,1996,FALSE
AU-Ctr,1997,FALSE
AU-Ctr,1998,FALSE
AU-Ctr,1999,FALSE
AU-Ctr,2000,FALSE
AU-Ctr,2001,FALSE
AU-Ctr,2002,FALSE
AU-Ctr,2003,FALSE
AU-Ctr,2004,FALSE
AU-Ctr,2005,FALSE
AU-Ctr,2006,FALSE
AU-Ctr,2007,FALSE
AU-Ctr,2008,FALSE
AU-Ctr,2009,FALSE
AU-Ctr,2010,TRUE
AU-Ctr,2011,TRUE
AU-Ctr,2012,TRUE
AU-Ctr,2013,TRUE
AU-Ctr,2014,TRUE
AU-Ctr,2014,TRUE
AU-Ctr,2015,TRUE
AU-Ctr,2016,TRUE
AU-Ctr,2017,TRUE
AU-Ctr,2018,TRUE
AU-Ctr,2018,TRUE
AU-Ctr,2019,FALSE
AU-Ctr,2020,FALSE
AU-Ctr,2021,FALSE
AU-Ctr,2022,FALSE
AU-Ctr,2023,FALSE
AU-Ctr,2024,FALSE
AU-Cum,1981,FALSE
AU-Cum,1982,FALSE
AU-Cum,1983,FALSE
AU-Cum,1984,FALSE
AU-Cum,1985,FALSE
AU-Cum,1986,FALSE
AU-Cum,1987,FALSE
AU-Cum,1988,FALSE
AU-Cum,1989,FALSE
AU-Cum,1990,FALSE
AU-Cum,1991,FALSE
AU-Cum,1992,FALSE
AU-Cum,1993,FALSE
AU-Cum,1994,FALSE
AU-Cum,1995,FALSE
AU-Cum,1996,FALSE
AU-Cum,1997,FALSE
AU-Cum,1998,FALSE
AU-Cum,1999,FALSE
AU-Cum,2000,FALSE
AU-Cum,2001,FALSE
AU-Cum,2002,FALSE
AU-Cum,2003,FALSE
AU-Cum,2004,FALSE
AU-Cum,2005,FALSE
AU-Cum,2006,FALSE
AU-Cum,2007,FALSE
AU-Cum,2008,FALSE
AU-Cum,2009,FALSE
AU-Cum,2010,FALSE
AU-Cum,2011,FALSE
AU-Cum,2012,FALSE
AU-Cum,2013,FALSE
AU-Cum,2014,TRUE
AU-Cum,2015,TRUE
AU-Cum,2016,TRUE
AU-Cum,2017,TRUE
AU-Cum,2018,TRUE
AU-Cum,2019,TRUE
AU-Cum,2020,TRUE
AU-Cum,2021,TRUE
AU-Cum,2022,TRUE
AU-Cum,2023,TRUE
AU-Cum,2024,TRUE
AU-Cum,2025,TRUE
AU-DaP,1981,FALSE
AU-DaP,1982,FALSE
AU-DaP,1983,FALSE
AU-DaP,1984,FALSE
AU-DaP,1985,FALSE
AU-DaP,1986,FALSE
AU-DaP,1987,FALSE
AU-DaP,1988,FALSE
AU-DaP,1989,FALSE
AU-DaP,1990,FALSE
AU-DaP,1991,FALSE
AU-DaP,1992,FALSE
AU-DaP,1993,FALSE
AU-DaP,1994,FALSE
AU-DaP,1995,FALSE
AU-DaP,1996,FALSE
AU-DaP,1997,FALSE
AU-DaP,1998,FALSE
AU-DaP,1999,FALSE
AU-DaP,2000,FALSE
AU-DaP,2001,FALSE
AU-DaP,2002,FALSE
AU-DaP,2003,FALSE
AU-DaP,2004,FALSE
AU-DaP,2005,FALSE
AU-DaP,2006,FALSE
AU-DaP,2007,FALSE
AU-DaP,2008,TRUE
AU-DaP,2009,TRUE
AU-DaP,2010,TRUE
AU-DaP,2011,TRUE
AU-DaP,2012,TRUE
AU-DaP,2012,TRUE
AU-DaP,2013,TRUE
AU-DaP,2013,TRUE
AU-DaP,2014,FALSE
AU-DaP,2015,FALSE
AU-DaP,2016,FALSE
AU-DaP,2017,FALSE
AU-DaP,2018,FALSE
AU-DaP,2019,FALSE
AU-DaP,2020,FALSE
AU-DaP,2021,FALSE
AU-DaP,2022,FALSE
AU-DaP,2023,FALSE
AU-DaP,2024,FALSE
AU-DaP,2025,FALSE
AU-DaS,1981,FALSE
AU-DaS,1982,FALSE
AU-DaS,1983,FALSE
AU-DaS,1984,FALSE
AU-DaS,1985,FALSE
AU-DaS,1986,FALSE
AU-DaS,1987,FALSE
AU-DaS,1988,FALSE
AU-DaS,1989,FALSE
AU-DaS,1990,FALSE
AU-DaS,1991,FALSE
AU-DaS,1992,FALSE
AU-DaS,1993,FALSE
AU-DaS,1994,FALSE
AU-DaS,1995,FALSE
AU-DaS,1996,FALSE
AU-DaS,1997,FALSE
AU-DaS,1998,FALSE
AU-DaS,1999,FALSE
AU-DaS,2000,FALSE
AU-DaS,2001,FALSE
AU-DaS,2002,FALSE
AU-DaS,2003,FALSE
AU-DaS,2004,FALSE
AU-DaS,2005,FALSE
