TIMESTAMP,P_ERA_old,P_ERA_new_download,ratio
202304,62.639,2.949,21.240759579518482
202305,96.214,4.529,21.2439832192537
202306,89.74,4.224,21.24526515151515
202307,106.443,5.011,21.241867890640588
202308,81.362,3.83,21.243342036553525
202309,42.15,1.984,21.244959677419356
202310,135.276,6.368,21.243090452261306
202311,67.668,3.185,21.245839874411306
202312,55.168,2.597,21.24297266076242
202401,35.414,1.667,21.24415116976605
202402,119.236,5.613,21.242829146623908
202403,115.772,5.45,21.24256880733945
202404,78.305,3.686,21.2438958220293
202405,161.059,7.582,21.242284357689265
202406,116.568,5.487,21.244395844723893
202407,60.731,2.859,21.24204267226303
202408,39.402,1.855,21.240970350404314
202409,148.807,7.005,21.242969307637402
202410,137.141,6.456,21.242410161090454
202411,8.975,0.422,21.267772511848342
202412,23.754,1.118,21.246869409660107
