site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
FR-Lq2,France – Laqueuille extensive,45.639198303222656,2.737030029296875,GRA,LaThuile,measured
FR-Pue,France – Puechabon,43.74140167236328,3.595829963684082,EBF,LaThuile,measured
GF-Guy,French Guyana – Guyaflux,5.277699947357178,-52.92879867553711,EBF,LaThuile,measured
HU-Bug,Hungary – Bugacpuszta,46.69110107421875,19.601299285888672,GRA,LaThuile,measured
HU-Mat,Hungary – Matra,47.846900939941406,19.72599983215332,GRA,LaThuile,measured
ID-Pag,Indonesia – Palangkaraya,2.3450000286102295,114.03600311279297,EBF,LaThuile,measured
IE-Ca1,Ireland – Carlow1,52.85879898071289,-6.918139934539795,CRO,LaThuile,measured
IE-Dri,Ireland – Dripsey,51.986698150634766,-8.751810073852539,GRA,LaThuile,measured
IL-Yat,Israel – Yatir,31.344999313354492,35.05149841308594,ENF,LaThuile,measured
IS-Gun,Iceland – Gunnarsholt,63.83330154418945,-20.216699600219727,DBF,LaThuile,measured
IT-Amp,Italy – Amplero,41.90409851074219,13.605199813842773,GRA,LaThuile,measured
IT-BCi,Italy – Borgo Cioffi,40.523799896240234,14.95740032196045,CRO,LaThuile,measured
IT-Be2,Italy – Beano 2,46.00310134887695,13.025699615478516,GRA,LaThuile,measured
IT-Bon,Italy – Bonis,39.47779846191406,16.534700393676758,ENF,LaThuile,measured
IT-Cas,Italy – Castellaro,45.06284713745117,8.668539047241211,CRO,LaThuile,measured
IT-Col,Italy – Collelongo- Selva Piana,41.84939956665039,13.58810043334961,DBF,LaThuile,measured
IT-Cpz,Italy – Castelporziano,41.7052001953125,12.376099586486816,EBF,LaThuile,measured
IT-Lav,Italy – Lavarone (after 3/2002),45.955299377441406,11.281200408935547,ENF,LaThuile,measured
IT-Lec,Italy – Lecceto,43.30459976196289,11.270600318908691,EBF,LaThuile,measured
IT-LMa,Italy – La Mandria,45.581298828125,7.154630184173584,GRA,LaThuile,measured
IT-Mal,Italy – Malga Arpaco,46.11669921875,11.702799797058105,GRA,LaThuile,measured
IT-MBo,Italy – Monte Bondone,46.01559829711914,11.046699523925781,GRA,LaThuile,measured
IT-Noe,Italy – Sardinia/Arca di Noè,40.60599899291992,8.151000022888184,CSH,LaThuile,measured
IT-Non,Italy – Nonantola,44.68980026245117,11.088700294494629,DBF,LaThuile,measured
IT-Pia,Italy – Island of Pianosa,42.583900451660156,10.078399658203125,OSH,LaThuile,measured
IT-PT1,Italy – Zerbolo-Parco Ticino- Canarazzo,45.20090103149414,9.061039924621582,DBF,LaThuile,measured
IT-Ren,Italy – Renon/Ritten (Bolzano),46.587799072265625,11.434700012207031,ENF,LaThuile,measured
IT-Ro1,Italy – Roccarespampani 1,42.40810012817383,11.930000305175781,DBF,LaThuile,measured
IT-Ro2,Italy – Roccarespampani 2,42.39030075073242,11.920900344848633,DBF,LaThuile,measured
IT-SRo,Italy – San Rossore,43.72785949707031,10.284440040588379,ENF,LaThuile,measured
IT-Vig,Italy – Vigevano,45.31666564941406,8.850000381469727,DBF,LaThuile,measured
JP-Mas,"Japan – Mase paddy flux site, Tsukuba, Japan (MSE)",36.05397033691406,140.02691650390625,CRO,LaThuile,measured
JP-Tak,Japan – Takayama,36.14619827270508,137.42300415039062,DBF,LaThuile,measured
JP-Tef,Japan – Teshio Experimental Forest,45.056339263916016,142.106201171875,MF,LaThuile,measured
JP-Tom,Japan – Tomakomai National Forest,42.739498138427734,141.514892578125,MF,LaThuile,measured
KR-Hnm,Korea – Haenam,34.54999923706055,126.56999969482422,CRO,LaThuile,measured
KR-Kw1,Korea – Gwangneung Coniferous Forest,37.748600006103516,127.16300201416016,MF,LaThuile,measured
NL-Ca1,Netherlands – Cabauw,51.97100067138672,4.927000045776367,GRA,LaThuile,measured
NL-Haa,Netherlands – Haastrecht,52.00310134887695,4.805500030517578,GRA,LaThuile,measured
NL-Hor,Netherlands – Horstermeer,52.028900146484375,5.067500114440918,GRA,LaThuile,measured
NL-Lan,Netherlands – Langerak,51.9536018371582,4.902900218963623,CRO,LaThuile,measured
NL-Loo,Netherlands – Loobos,52.16790008544922,5.743959903717041,ENF,LaThuile,measured
NL-Lut,Netherlands – Lutjewad,53.39889907836914,6.355999946594238,CRO,LaThuile,measured
NL-Mol,Netherlands – Molenweg,51.650001525878906,4.638999938964844,CRO,LaThuile,measured
PL-wet,Poland – Polwet,52.76219940185547,16.30940055847168,WET,LaThuile,measured
PT-Esp,Portugal – Espirra,38.639400482177734,-8.601799964904785,EBF,LaThuile,measured
PT-Mi1,Portugal – Mitra (Evora),38.54069900512695,-8.000399589538574,EBF,LaThuile,measured
PT-Mi2,Portugal – Mitra IV Tojal,38.47650146484375,-8.024550437927246,GRA,LaThuile,measured
RU-Che,Russia – Cherskii,68.61470031738281,161.33900451660156,MF,LaThuile,measured
RU-Cok,Russia – Chokurdakh,70.61669921875,147.88299560546875,OSH,LaThuile,measured
RU-Fyo,Russia – Fyodorovskoye wet spruce stand,56.461669921875,32.92388916015625,ENF,LaThuile,measured
RU-Ha1,Russia – Ubs Nur- Hakasija-grassland,54.72529983520508,90.002197265625,GRA,LaThuile,measured
RU-Ha2,Russia – Ubs Nur- Hakasija-recovering grassland,54.773101806640625,89.95670318603516,GRA,LaThuile,measured
RU-Ha3,Russia – Ubs Nur-Hakasija- Site 3,54.704551696777344,89.077850341796875,GRA,LaThuile,measured
RU-Zot,Russia – Zotino,60.80080032348633,89.350799560546875,ENF,LaThuile,measured
SE-Abi,Sweden – Abisko,68.36238861083984,18.794750213623047,DBF,LaThuile,measured
SE-Deg,Sweden – Degero,64.18329620361328,19.549999237060547,WET,LaThuile,measured
SE-Faj,Sweden – Fajemyr (NECC),56.265499114990234,13.553500175476074,WET,LaThuile,measured
SE-Fla,Sweden – Flakaliden,64.11280059814453,19.456899642944336,ENF,LaThuile,measured
SE-Nor,Sweden – Norunda,60.08649826049805,17.479503631591797,ENF,LaThuile,measured
SE-Sk1,Sweden – Skyttorp1 young,60.125,17.918100357055664,ENF,LaThuile,measured
SE-Sk2,Sweden – Skyttorp,60.129669189453125,17.840059280395508,ENF,LaThuile,measured
SE-St1,Sweden – Stordalen Forest- Mountain Birch,68.36669921875,19.049694061279297,DBF,LaThuile,measured
SK-Tat,Slovak Republic – Tatra,49.12080001831055,20.16349983215332,ENF,LaThuile,measured
TW-Tar,Taiwan – TARI (TWTARI),24.031200408935547,120.68800354003906,CRO,LaThuile,measured
UK-AMo,UK – Auchencorth Moss- Scotland,55.79169845581055,-3.2388899326324463,WET,LaThuile,measured
UK-EBu,UK – Easter Bush- Scotland,55.86600112915039,-3.205780029296875,GRA,LaThuile,measured
UK-ESa,UK – East Saltoun,55.90694046020508,-2.858609914779663,CRO,LaThuile,measured
UK-Gri,UK – Griffin- Aberfeldy-Scotland,56.60721969604492,-3.7980599403381348,ENF,LaThuile,measured
UK-Ham,UK – Hampshire,51.153533935546875,-0.858299970626831,DBF,LaThuile,measured
UK-Her,UK – Hertfordshire,51.78379821777344,-0.4760800004005432,CRO,LaThuile,measured
UK-PL3,UK – Pang/ Lambourne (forest),51.45000076293945,-1.2666699886322021,DBF,LaThuile,measured
UK-Tad,UK – Tadham Moor,51.20709991455078,-2.8286399841308594,GRA,LaThuile,measured
US-ARb,USA – OK – ARM Southern Great Plains burn site- Lamont,35.54970169067383,-98.04019927978516,GRA,LaThuile,measured
US-ARc,USA – OK – ARM Southern Great Plains control site- Lamont,35.54648971557617,-98.04000091552734,GRA,LaThuile,measured
US-ARM,USA – OK – ARM Southern Great Plains site- Lamont,36.60580062866211,-97.488800048828125,CRO,LaThuile,measured
US-Atq,USA – AK – Atqasuk,70.46959686279297,-157.40899658203125,WET,LaThuile,measured
US-Aud,USA – AZ – Audubon Research Ranch,31.590700149536133,-110.51000213623047,GRA,LaThuile,measured
