site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
CA-SF2,54.2539,-105.8775,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
CA-SF3,54.0916,-106.0053,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-SJ2,53.945,-104.649,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
CA-SMC,63.1534,-123.2522,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-TP1,42.6609,-80.5595,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-TP2,42.7744,-80.4588,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-TP3,42.7068,-80.3483,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-TP4,42.7102,-80.3574,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-TPA,42.6947,-80.3487,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-TPD,42.6353,-80.5577,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
CA-TVC,68.7462,-133.5017,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",15,Sparse vegetation,3,Shrubland
CL-ACF,-40.1726,-73.4439,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
CL-SDF,-41.883,-73.676,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
CL-SDP,-41.879,-73.666,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",10,Other,exact,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",4,Mosaic nat-veg/cropland,10,Other
CR-Fsc,10.4189,-85.4732,10,"Cropland, rainfed",1,Cropland,exact,10,"Cropland, rainfed",1,Rainfed cropland,1,Cropland
MX-Aog,26.9968,-108.7892,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
MX-PMm,20.8462,-86.8992,170,"Tree cover, flooded, saline water",5,Wetland,exact,170,"Tree cover, flooded, saline water",17,Flooded forest (saline),5,Wetland
MX-Tes,27.8446,-109.2977,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
PE-QFR,-3.8344,-73.319,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
PR-xGU,17.9696,-66.8687,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
PR-xLA,18.0212,-67.0769,10,"Cropland, rainfed",1,Cropland,exact,10,"Cropland, rainfed",1,Rainfed cropland,1,Cropland
US-A03,70.4953,-149.8823,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
US-A10,71.3242,-156.6149,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
US-A32,36.8193,-97.8198,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-A37,36.3106,-97.928,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-A39,36.3776,-96.069,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-A74,36.8085,-97.5489,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-ABa,27.1301,-81.2011,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ABb,27.1346,-81.2031,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ABc,27.1633,-81.1873,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ABd,27.1699,-81.2152,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ABe,27.1656,-81.2161,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ADR,36.7653,-116.6933,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
US-Akn,33.3825,-81.5653,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-ALQ,46.0308,-89.6067,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-AR1,36.4267,-99.42,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-AR2,36.6358,-99.5975,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ARb,35.5497,-98.0402,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ARc,35.5465,-98.04,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ARM,36.6058,-97.4888,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-ASH,36.1697,-120.201,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-ASM,36.1777,-120.2026,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-Aud,31.5907,-110.5104,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
US-Bar,44.0646,-71.2881,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
US-Bi1,38.0992,-121.4993,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-Bi2,38.1091,-121.5351,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-BRG,39.2167,-86.5406,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",10,Other,exact,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",4,Mosaic nat-veg/cropland,10,Other
US-BZB,64.6955,-148.3208,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-BZF,64.7013,-148.3121,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
