site_id,site_name,country,lat,lon,elev,igbp,dataset
IT-Col,Italy – Collelongo- Selva Piana,Italy,41.84939956665039,13.58810043334961,1550,DBF,LaThuile
IT-Cpz,Italy – Castelporziano,Italy,41.7052001953125,12.376099586486816,68.253,EBF,LaThuile
IT-Lav,Italy – Lavarone (after 3/2002),Italy,45.955299377441406,11.281200408935547,1353,ENF,LaThuile
IT-Lec,Italy – Lecceto,Italy,43.30459976196289,11.270600318908691,314,EBF,LaThuile
IT-LMa,Italy – La Mandria,Italy,45.581298828125,7.154630184173584,350,GRA,LaThuile
IT-Mal,Italy – Malga Arpaco,Italy,46.11669921875,11.702799797058105,1730,GRA,LaThuile
IT-MBo,Italy – Monte Bondone,Italy,46.01559829711914,11.046699523925781,1550,GRA,LaThuile
IT-Noe,Italy – Sardinia/Arca di Noè,Italy,40.60599899291992,8.151000022888184,28,CSH,LaThuile
IT-Non,Italy – Nonantola,Italy,44.68980026245117,11.088700294494629,25,DBF,LaThuile
IT-Pia,Italy – Island of Pianosa,Italy,42.583900451660156,10.078399658203125,18,OSH,LaThuile
IT-PT1,Italy – Zerbolo-Parco Ticino- Canarazzo,Italy,45.20090103149414,9.061039924621582,60,DBF,LaThuile
IT-Ren,Italy – Renon/Ritten (Bolzano),Italy,46.587799072265625,11.434700012207031,1730,ENF,LaThuile
IT-Ro1,Italy – Roccarespampani 1,Italy,42.40810012817383,11.930000305175781,234.771,DBF,LaThuile
IT-Ro2,Italy – Roccarespampani 2,Italy,42.39030075073242,11.920900344848633,223.903,DBF,LaThuile
IT-SRo,Italy – San Rossore,Italy,43.72785949707031,10.284440040588379,4,ENF,LaThuile
IT-Vig,Italy – Vigevano,Italy,45.31666564941406,8.850000381469727,NA,DBF,LaThuile
JP-Mas,"Japan – Mase paddy flux site, Tsukuba, Japan (MSE)",Japan,36.05397033691406,140.02691650390625,12,CRO,LaThuile
JP-Tak,Japan – Takayama,Japan,36.14619827270508,137.42300415039062,1420,DBF,LaThuile
JP-Tef,Japan – Teshio Experimental Forest,Japan,45.056339263916016,142.106201171875,70,MF,LaThuile
JP-Tom,Japan – Tomakomai National Forest,Japan,42.739498138427734,141.514892578125,140,MF,LaThuile
KR-Hnm,Korea – Haenam,Korea,34.54999923706055,126.56999969482422,NA,CRO,LaThuile
KR-Kw1,Korea – Gwangneung Coniferous Forest,Korea,37.748600006103516,127.16300201416016,330,MF,LaThuile
NL-Ca1,Netherlands – Cabauw,Netherlands,51.97100067138672,4.927000045776367,0.7,GRA,LaThuile
NL-Haa,Netherlands – Haastrecht,Netherlands,52.00310134887695,4.805500030517578,NA,GRA,LaThuile
NL-Hor,Netherlands – Horstermeer,Netherlands,52.028900146484375,5.067500114440918,-2.2,GRA,LaThuile
NL-Lan,Netherlands – Langerak,Netherlands,51.9536018371582,4.902900218963623,NA,CRO,LaThuile
NL-Loo,Netherlands – Loobos,Netherlands,52.16790008544922,5.743959903717041,25,ENF,LaThuile
NL-Lut,Netherlands – Lutjewad,Netherlands,53.39889907836914,6.355999946594238,NA,CRO,LaThuile
NL-Mol,Netherlands – Molenweg,Netherlands,51.650001525878906,4.638999938964844,NA,CRO,LaThuile
PL-wet,Poland – Polwet,Poland,52.76219940185547,16.30940055847168,54.1,WET,LaThuile
PT-Esp,Portugal – Espirra,Portugal,38.639400482177734,-8.601799964904785,95,EBF,LaThuile
PT-Mi1,Portugal – Mitra (Evora),Portugal,38.54069900512695,-8.000399589538574,250,EBF,LaThuile
PT-Mi2,Portugal – Mitra IV Tojal,Portugal,38.47650146484375,-8.024550437927246,190,GRA,LaThuile
RU-Che,Russia – Cherskii,Russia,68.61470031738281,161.33900451660156,NA,MF,LaThuile
RU-Cok,Russia – Chokurdakh,Russia,70.61669921875,147.88299560546875,NA,OSH,LaThuile
RU-Fyo,Russia – Fyodorovskoye wet spruce stand,Russia,56.461669921875,32.92388916015625,265,ENF,LaThuile
RU-Ha1,Russia – Ubs Nur- Hakasija-grassland,Russia,54.72529983520508,90.002197265625,NA,GRA,LaThuile
RU-Ha2,Russia – Ubs Nur- Hakasija-recovering grassland,Russia,54.773101806640625,89.95670318603516,NA,GRA,LaThuile
RU-Ha3,Russia – Ubs Nur-Hakasija- Site 3,Russia,54.704551696777344,89.077850341796875,NA,GRA,LaThuile
RU-Zot,Russia – Zotino,Russia,60.80080032348633,89.350799560546875,90,ENF,LaThuile
SE-Abi,Sweden – Abisko,Sweden,68.36238861083984,18.794750213623047,NA,DBF,LaThuile
SE-Deg,Sweden – Degero,Sweden,64.18329620361328,19.549999237060547,270,WET,LaThuile
SE-Faj,Sweden – Fajemyr (NECC),Sweden,56.265499114990234,13.553500175476074,140,WET,LaThuile
SE-Fla,Sweden – Flakaliden,Sweden,64.11280059814453,19.456899642944336,226,ENF,LaThuile
SE-Nor,Sweden – Norunda,Sweden,60.08649826049805,17.479503631591797,43,ENF,LaThuile
SE-Sk1,Sweden – Skyttorp1 young,Sweden,60.125,17.918100357055664,42,ENF,LaThuile
SE-Sk2,Sweden – Skyttorp,Sweden,60.129669189453125,17.840059280395508,55,ENF,LaThuile
SE-St1,Sweden – Stordalen Forest- Mountain Birch,Sweden,68.36669921875,19.049694061279297,367,DBF,LaThuile
SK-Tat,Slovak Republic – Tatra,Slovak Republic,49.12080001831055,20.16349983215332,1050,ENF,LaThuile
TW-Tar,Taiwan – TARI (TWTARI),Taiwan,24.031200408935547,120.68800354003906,55,CRO,LaThuile
UK-AMo,UK – Auchencorth Moss- Scotland,UK,55.79169845581055,-3.2388899326324463,270,WET,LaThuile
UK-EBu,UK – Easter Bush- Scotland,UK,55.86600112915039,-3.205780029296875,190,GRA,LaThuile
UK-ESa,UK – East Saltoun,UK,55.90694046020508,-2.858609914779663,97,CRO,LaThuile
UK-Gri,UK – Griffin- Aberfeldy-Scotland,UK,56.60721969604492,-3.7980599403381348,340,ENF,LaThuile
UK-Ham,UK – Hampshire,UK,51.153533935546875,-0.858299970626831,80,DBF,LaThuile
UK-Her,UK – Hertfordshire,UK,51.78379821777344,-0.4760800004005432,140,CRO,LaThuile
UK-PL3,UK – Pang/ Lambourne (forest),UK,51.45000076293945,-1.2666699886322021,115,DBF,LaThuile
UK-Tad,UK – Tadham Moor,UK,51.20709991455078,-2.8286399841308594,3,GRA,LaThuile
US-ARb,USA – OK – ARM Southern Great Plains burn site- Lamont,USA,35.54970169067383,-98.04019927978516,424,GRA,LaThuile
US-ARc,USA – OK – ARM Southern Great Plains control site- Lamont,USA,35.54648971557617,-98.04000091552734,424,GRA,LaThuile
US-ARM,USA – OK – ARM Southern Great Plains site- Lamont,USA,36.60580062866211,-97.488800048828125,314,CRO,LaThuile
US-Atq,USA – AK – Atqasuk,USA,70.46959686279297,-157.40899658203125,15,WET,LaThuile
US-Aud,USA – AZ – Audubon Research Ranch,USA,31.590700149536133,-110.51000213623047,1469,GRA,LaThuile
US-Bar,USA – NH – Bartlett Experimental Forest,USA,44.06460189819336,-71.28807830810547,272,DBF,LaThuile
US-Bkg,USA – SD – Brookings,USA,44.345298767089844,-96.83619689941406,510,GRA,LaThuile
US-Blo,USA – CA – Blodgett Forest,USA,38.895198822021484,-120.63275146484375,1315,ENF,LaThuile
US-Bn1,"USA – AK – Bonanza Creek, 1920 Burn site near Delta Junction",USA,63.9197998046875,-145.3780059814453,518,ENF,LaThuile
US-Bn2,"USA – AK – Bonanza Creek, 1987 Burn site near Delta Junction",USA,63.9197998046875,-145.3780059814453,410,DBF,LaThuile
US-Bn3,"USA – AK – Bonanza Creek, 1999 Burn site near Delta Junction",USA,63.922698974609375,-145.74400329589844,469,OSH,LaThuile
US-Bo1,USA – IL – Bondville,USA,40.00619888305664,-88.29039764404297,219,CRO,LaThuile
