site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_twoletter,koppen_main,koppen_main_name,koppen_method
DE-Lnf,51.3282,10.3678,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Obe,50.7867,13.7213,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-RuR,50.6219,6.3041,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-RuS,50.8659,6.4471,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-Seh,50.8706,6.4497,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-SfN,47.8064,11.3275,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Spw,51.8922,14.0337,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-Tha,50.9626,13.5651,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Zrk,53.8759,12.889,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DK-Eng,55.6905,12.1918,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DK-Fou,56.4842,9.5872,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DK-Sor,55.4859,11.6446,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
ES-Amo,36.8336,-2.2523,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
ES-LgS,37.0979,-2.9658,18,Dsb,"Cold, dry summer, warm summer",Ds,D,Cold,exact
ES-LJu,36.9266,-2.7521,9,Csb,"Temperate, dry summer, warm summer",Cs,C,Temperate,exact
ES-Ln2,36.9695,-3.4758,18,Dsb,"Cold, dry summer, warm summer",Ds,D,Cold,exact
FI-Hyy,61.8474,24.2948,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
FI-Jok,60.8986,23.5134,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
FI-Let,60.6418,23.9595,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
FI-Lom,67.9972,24.2092,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
FI-Sod,67.3624,26.6386,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
FR-Fon,48.4764,2.7801,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
FR-Gri,48.8442,1.9519,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
FR-LBr,44.7171,-0.7693,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
FR-Pue,43.7413,3.5957,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
GF-Guy,5.2788,-52.9249,2,Am,"Tropical, monsoon",Am,A,Tropical,exact
GH-Ank,5.2685,-2.6942,2,Am,"Tropical, monsoon",Am,A,Tropical,exact
GL-NuF,64.1308,-51.3861,29,ET,"Polar, tundra",ET,E,Polar,exact
GL-ZaF,74.4814,-20.5545,29,ET,"Polar, tundra",ET,E,Polar,exact
GL-ZaH,74.4733,-20.5503,29,ET,"Polar, tundra",ET,E,Polar,exact
IT-BCi,40.5237,14.9574,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-CA1,42.3804,12.0266,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-CA2,42.3772,12.026,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-CA3,42.38,12.0222,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-Col,41.8494,13.5881,18,Dsb,"Cold, dry summer, warm summer",Ds,D,Cold,exact
IT-Cp2,41.7043,12.3573,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-Cpz,41.7052,12.3761,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-Isp,45.8126,8.6336,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
IT-La2,45.9542,11.2853,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
IT-Lav,45.9562,11.2813,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
IT-MBo,46.0147,11.0458,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
IT-Noe,40.6062,8.1517,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-PT1,45.2009,9.061,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
IT-Ren,46.5869,11.4337,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
IT-Ro1,42.4081,11.93,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-Ro2,42.3903,11.9209,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-SR2,43.732,10.2909,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-SRo,43.7279,10.2844,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
IT-Tor,45.8444,7.5781,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
JP-MBF,44.3869,142.3186,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
JP-SMF,35.2617,137.0788,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
MY-PSO,2.973,102.3062,1,Af,"Tropical, rainforest",Af,A,Tropical,exact
NL-Hor,52.2403,5.0713,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
NL-Loo,52.1666,5.7436,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
PA-SPn,9.3181,-79.6346,2,Am,"Tropical, monsoon",Am,A,Tropical,exact
PA-SPs,9.3138,-79.6314,2,Am,"Tropical, monsoon",Am,A,Tropical,exact
RU-Che,68.613,161.3414,19,Dsc,"Cold, dry summer, cold summer",Ds,D,Cold,exact
RU-Cok,70.8291,147.4943,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
RU-Fyo,56.4615,32.9221,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
RU-Ha1,54.7252,90.0022,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
RU-Sam,72.3738,126.4958,29,ET,"Polar, tundra",ET,E,Polar,exact
RU-SkP,62.255,129.168,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
RU-Tks,71.5943,128.8878,29,ET,"Polar, tundra",ET,E,Polar,exact
RU-Vrk,67.0547,62.9405,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
SD-Dem,13.2829,30.4783,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
SE-St1,68.3541,19.0503,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
SJ-Adv,78.186,15.923,29,ET,"Polar, tundra",ET,E,Polar,exact
SJ-Blv,78.9216,11.8311,29,ET,"Polar, tundra",ET,E,Polar,exact
SN-Dhr,15.4028,-15.4322,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
US-AR1,36.4267,-99.42,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-AR2,36.6358,-99.5975,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-ARb,35.5497,-98.0402,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-ARc,35.5465,-98.04,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-ARM,36.6058,-97.4888,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-Atq,70.4696,-157.4089,29,ET,"Polar, tundra",ET,E,Polar,exact
US-Blo,38.8953,-120.6328,9,Csb,"Temperate, dry summer, warm summer",Cs,C,Temperate,exact
US-Cop,38.09,-109.39,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
US-CRT,41.6285,-83.3471,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-GBT,41.3658,-106.2397,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
US-GLE,41.3665,-106.2399,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
US-Goo,34.2547,-89.8735,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-Ha1,42.5378,-72.1715,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-IB2,41.8406,-88.241,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-Ivo,68.4865,-155.7503,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
US-KS1,28.4583,-80.6709,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-KS2,28.6086,-80.6715,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-Lin,36.3566,-119.0922,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
