site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
US-ALQ,46.0308,-89.6067,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-AR1,36.4267,-99.42,130,Grassland,4,Grassland,exact
US-AR2,36.6358,-99.5975,130,Grassland,4,Grassland,exact
US-ARb,35.5497,-98.0402,130,Grassland,4,Grassland,exact
US-ARc,35.5465,-98.04,130,Grassland,4,Grassland,exact
US-ARM,36.6058,-97.4888,11,Herbaceous cover,1,Cropland,exact
US-ASH,36.1697,-120.201,11,Herbaceous cover,1,Cropland,exact
US-ASM,36.1777,-120.2026,11,Herbaceous cover,1,Cropland,exact
US-Aud,31.5907,-110.5104,120,Shrubland,3,Shrubland,exact
US-Bar,44.0646,-71.2881,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-Bi1,38.0992,-121.4993,11,Herbaceous cover,1,Cropland,exact
US-Bi2,38.1091,-121.5351,11,Herbaceous cover,1,Cropland,exact
US-BRG,39.2167,-86.5406,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
US-BZB,64.6955,-148.3208,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-BZF,64.7013,-148.3121,120,Shrubland,3,Shrubland,exact
US-BZo,64.6936,-148.33,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-CAK,64.8618,-163.7002,120,Shrubland,3,Shrubland,exact
US-CdM,37.5241,-109.7471,120,Shrubland,3,Shrubland,exact
US-Ced,39.8379,-74.3791,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-CF1,46.7815,-117.0821,11,Herbaceous cover,1,Cropland,exact
US-CF2,46.784,-117.0908,11,Herbaceous cover,1,Cropland,exact
US-CF3,46.7551,-117.1261,11,Herbaceous cover,1,Cropland,exact
US-CF4,46.7518,-117.1285,11,Herbaceous cover,1,Cropland,exact
US-CGG,37.938,-121.9761,130,Grassland,4,Grassland,exact
US-ChR,35.9311,-84.3324,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-CLF,40.6366,-77.9424,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
US-Cms,71.3202,-156.6223,140,Lichens and mosses,10,Other,exact
