site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
RU-Fy2,56.4476,32.90188,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
RU-Che,68.61304,161.34143,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
RU-Ch2,68.61689,161.35089,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
PA-SPs,9.31378,-79.63143,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
PA-SPn,9.31814,-79.6346,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
NO-Ikr,69.34,25.3,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
NO-Fns,60.59384,7.5271025,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
NO-And,69.1422,16.01975,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
NL-Vkp,51.980934,5.618825,11,Herbaceous cover,1,Cropland,exact
NL-Hrw,51.972466,5.641228,130,Grassland,4,Grassland,exact
IT-SRo,43.72786,10.284445,120,Shrubland,3,Shrubland,exact
IT-PT1,45.20087,9.061039,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
IT-NiG,45.51919,7.171434,130,Grassland,4,Grassland,exact
IT-MtM,46.687134,10.579597,130,Grassland,4,Grassland,exact
IT-Lav,45.9562,11.28132,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
IT-CA3,42.38,12.0222,11,Herbaceous cover,1,Cropland,exact
IT-CA2,42.37722,12.026039,11,Herbaceous cover,1,Cropland,exact
IT-CA1,42.38041,12.026561,11,Herbaceous cover,1,Cropland,exact
IT-Bsn,45.11924,7.160429,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
IT-BsB,45.11823,7.161995,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
IT-Arz,45.61902,10.00228,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
IL-Yat,31.345045,35.051987,120,Shrubland,3,Shrubland,exact
IL-RmH,32.5555,34.947285,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
IE-Gwr,52.6365,-7.011306,11,Herbaceous cover,1,Cropland,exact
IE-CaN,52.85879,-6.918136,11,Herbaceous cover,1,Cropland,exact
IE-CaC,52.85879,-6.918136,11,Herbaceous cover,1,Cropland,exact
GH-Ank,5.268543,-2.694206,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
FR-Nzn,48.005814,-2.81721,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
FR-Mau,43.385,1.29306,11,Herbaceous cover,1,Cropland,exact
FR-LBr,44.71711,-0.7693,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Sar,63.15143,27.199064,10,"Cropland, rainfed",1,Cropland,exact
FI-Ruk,64.68398,25.106318,10,"Cropland, rainfed",1,Cropland,exact
FI-Rk2,61.182884,25.262684,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
FI-Qvd,60.295242,22.391607,10,"Cropland, rainfed",1,Cropland,exact
FI-Pap,63.13806,27.246117,11,Herbaceous cover,1,Cropland,exact
FI-Nsv,62.8639,24.08382,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
FI-Jok,60.8986,23.51345,10,"Cropland, rainfed",1,Cropland,exact
ES-Yst,38.338932,-2.3506052,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-VDA,42.15111,1.4473800000000001,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
ES-TzM,39.265785,-1.9397246,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
ES-Srn,40.15047,-0.8380832,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-Pzb,38.362118,-4.767329,11,Herbaceous cover,1,Cropland,exact
ES-Pdu,37.016975,-3.609228,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
ES-Mzn,40.089497,-0.827409,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
ES-MtN,36.99234,-6.4826016,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-MtB,37.020206,-6.5544033,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-Mcd,39.58819,-0.39969,190,Urban areas,6,Settlement,exact
ES-LM2,39.934593,-5.775881,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
ES-LM1,39.94269,-5.778683,11,Herbaceous cover,1,Cropland,exact
ES-LJu,36.926594,-2.752115,120,Shrubland,3,Shrubland,exact
ES-Hen,38.411087,-1.697534,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-HeB,38.40475,-1.726215,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-HdD,38.49679,-5.111296,11,Herbaceous cover,1,Cropland,exact
ES-Gdn,37.91084,-3.228489,12,Tree or shrub cover,1,Cropland,exact
ES-FtD,36.99854,-6.434575,210,Water bodies,9,Water,exact
ES-Dnn,36.9968,-6.5118,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-Crg,39.11926,-0.95852,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
ES-Cnd,37.914997,-3.227659,12,Tree or shrub cover,1,Cropland,exact
ES-Amo,36.833405,-2.2522173,153,Sparse herbaceous cover (<15%),3,Shrubland,exact
ES-Agu,36.939384,-2.034044,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
ES-Abr,38.70184,-6.785881,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
EE-Stg,58.023636,26.070753,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
EE-Rng,57.913143,26.694048,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
EE-Pts,58.562298,24.369932,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
DK-Fou,56.4842,9.58722,130,Grassland,4,Grassland,exact
DK-Eng,55.69053,12.19175,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
DE-Zrk,53.875942,12.88901,130,Grassland,4,Grassland,exact
DE-Spw,51.89225,14.03369,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
DE-SfS,47.80629,11.32757,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Seh,50.870625,6.449653,11,Herbaceous cover,1,Cropland,exact
DE-SbM,51.764927,10.51799,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-RuM,50.929787,6.2969923,11,Herbaceous cover,1,Cropland,exact
DE-RuC,50.5031,6.336,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Rns,51.494953,9.932118,11,Herbaceous cover,1,Cropland,exact
DE-Obe,50.7864,13.72168,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Lnf,51.328217,10.3678,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
DE-Lkb,49.099617,13.3046665,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
DE-Hte,54.213055,12.179944,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
DE-Hdn,53.86825,13.268543,11,Herbaceous cover,1,Cropland,exact
DE-Etn,48.268486,7.878243,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
DE-Akm,53.86617,13.68342,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
CZ-Stn,49.035976,17.9699,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
CZ-RAJ,49.44372,16.696512,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CZ-LnG,48.704224,16.926247,130,Grassland,4,Grassland,exact
CZ-KrP,49.573257,15.078773,11,Herbaceous cover,1,Cropland,exact
CZ-BK2,49.49443,18.54285,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CH-Tnk,47.48058,8.911775,11,Herbaceous cover,1,Cropland,exact
CH-Rtb,47.3804,8.9934,130,Grassland,4,Grassland,exact
CH-Rh2,47.3,9.5,130,Grassland,4,Grassland,exact
CH-Rh1,47.3,9.5,130,Grassland,4,Grassland,exact
CH-Oe3,47.28542,7.732438,11,Herbaceous cover,1,Cropland,exact
CH-Oe2,47.286415,7.73375,11,Herbaceous cover,1,Cropland,exact
CH-Oe1,47.28583,7.731944,11,Herbaceous cover,1,Cropland,exact
CH-Lae,47.478333,8.364389,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
CH-Fru,47.115833,8.537778,130,Grassland,4,Grassland,exact
CH-Frk,46.577637,8.421592,130,Grassland,4,Grassland,exact
CH-For,46.527206,6.7595406,10,"Cropland, rainfed",1,Cropland,exact
CH-Crs,47.0436,7.0475,11,Herbaceous cover,1,Cropland,exact
CH-Cha,47.21022,8.410444,130,Grassland,4,Grassland,exact
CH-Aws,46.58311,9.790639,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CG-Tch,-4.2891665,11.656417,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
BE-Lcr,51.11218,3.85043,10,"Cropland, rainfed",1,Cropland,exact
AT-Zoe,47.842247,14.444137,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
AT-PsM,47.58145,14.347197,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
AT-Nsd,47.76914,16.758492,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
AT-Neu,47.116318,11.320229,130,Grassland,4,Grassland,exact
AT-Mmg,47.316563,10.970089,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Zha,38.97514,100.4464,11,Herbaceous cover,1,Cropland,exact
CN-Yuc,36.8287,116.5701,11,Herbaceous cover,1,Cropland,exact
CN-You,38.01419,100.24206,130,Grassland,4,Grassland,exact
CN-Yan,37.82861,107.49278,130,Grassland,4,Grassland,exact
CN-YaS,37.70877,107.22655,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
CN-Xi2,43.55444,116.6714,130,Grassland,4,Grassland,exact
CN-Wnb,40.42876,106.74229,200,Bare areas,7,Bare,exact
CN-Sdq,42.00119,101.13741,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
CN-Qng,33.46807,108.49102,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Nmn,42.94611,120.72694,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
CN-Mxn,31.6948,103.8951,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Lch,37.88936,114.69289,10,"Cropland, rainfed",1,Cropland,exact
CN-Jzh,41.14806,121.20167,11,Herbaceous cover,1,Cropland,exact
CN-Jng,37.83869,101.1145,130,Grassland,4,Grassland,exact
CN-Huz,38.76519,100.3186,130,Grassland,4,Grassland,exact
CN-HeM,41.99029,101.13349,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
CN-HeD,42.1135,100.9872,200,Bare areas,7,Bare,exact
CN-HaW,37.607655,101.32899,130,Grassland,4,Grassland,exact
CN-Ha2,37.6086,101.3269,130,Grassland,4,Grassland,exact
CN-GuT,34.35481,100.4872,130,Grassland,4,Grassland,exact
CN-Erg,50.1869,119.3889,130,Grassland,4,Grassland,exact
CN-Dzo,19.546,109.475,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Du2,42.0467,116.2836,130,Grassland,4,Grassland,exact
CN-Dsh,38.83992,98.9406,130,Grassland,4,Grassland,exact
CN-Dmn,38.85551,100.37223,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
CN-Din,23.1733,112.5361,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Dda,41.64397,110.33147,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
CN-Dan,30.4978,91.0664,130,Grassland,4,Grassland,exact
CN-DaW,30.4691,91.0624,130,Grassland,4,Grassland,exact
CN-BeO,40.02621,116.39143,190,Urban areas,6,Settlement,exact
CN-Ash,24.53806,101.02917,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
CN-Aro,38.04734,100.46432,130,Grassland,4,Grassland,exact
NZ-BFm,-43.593528,171.929611,130,Grassland,4,Grassland,exact
AU-Fog,-12.5452,131.3072,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
AU-Rgf,-32.506102,116.966827,11,Herbaceous cover,1,Cropland,exact
AU-Dry,-15.2588,132.3706,122,Shrubland deciduous,3,Shrubland,exact
NZ-BFu,-43.591833,171.926833,130,Grassland,4,Grassland,exact
AU-Wgt,-42.09139,147.07944,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
AU-APL,-36.862222,147.320833,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Col,-33.42,116.237,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Ctr,-16.103219,145.446922,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Gin,-31.376351,115.71377,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
NZ-ADw,-43.64935,172.34952,130,Grassland,4,Grassland,exact
NZ-Kop,-37.387875,175.55389,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
AU-GWW,-30.1914,120.65417,122,Shrubland deciduous,3,Shrubland,exact
NZ-Lau,-45.038904,169.681109,190,Urban areas,6,Settlement,exact
AU-Lit,-13.17904,130.79455,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Emr,-23.85872,148.4746,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
AU-How,-12.4952,131.15005,122,Shrubland deciduous,3,Shrubland,exact
AU-Rob,-17.11746943,145.6301375,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Sno,-36.375649,148.43585,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
AU-DaS,-14.1592,131.3881,122,Shrubland deciduous,3,Shrubland,exact
AU-Whr,-36.6732,145.0294,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Wom,-37.422506,144.094046,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Tum,-35.6566,148.1516,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Cpr,-34.0027,140.5877,120,Shrubland,3,Shrubland,exact
NZ-ADd,-43.64405,172.35465,130,Grassland,4,Grassland,exact
AU-Ya1,-33.613469,150.734864,122,Shrubland deciduous,3,Shrubland,exact
AU-MvA,-30.543,150.02,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
AU-Ync,-34.9878,146.2908,10,"Cropland, rainfed",1,Cropland,exact
AU-MvB,-30.697,150.09,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
AU-Rig,-36.6499,145.5759,130,Grassland,4,Grassland,exact
AU-Wrr,-43.09502,146.65452,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-Wac,-37.4259,145.1878,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
NZ-Oxf,-43.2609,172.21588,130,Grassland,4,Grassland,exact
AU-Cum,-33.615278000000004,150.723611,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
AU-TTE,-22.287,133.64,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
AU-Otw,-38.525,142.81,130,Grassland,4,Grassland,exact
AU-Wel,-32.5727,148.9843,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
AU-Cow,-16.238189,145.42715,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
NZ-Cla,-43.78628,171.59558,10,"Cropland, rainfed",1,Cropland,exact
AU-RDF,-14.563639,132.477567,11,Herbaceous cover,1,Cropland,exact
AU-Stp,-17.1507,133.3502,122,Shrubland deciduous,3,Shrubland,exact
AU-Sam,-27.38806,152.87778,122,Shrubland deciduous,3,Shrubland,exact
AU-Lox,-34.47035,140.65512,20,"Cropland, irrigated or post-flooding",1,Cropland,exact
AU-Ya2,-33.620812,150.763284,120,Shrubland,3,Shrubland,exact
AU-Sil,-42.090556,147.0875,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
AU-Ade,-13.0769,131.1178,120,Shrubland,3,Shrubland,exact
AU-Lon,-23.52327,144.31042,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
NZ-ScF,-37.46,175.22,210,Water bodies,9,Water,exact
AU-Boy,-32.477093000000004,116.938559,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
AU-Fle,-19.887285,146.189138,110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Grassland,exact
AU-ASM,-22.283,133.249,120,Shrubland,3,Shrubland,exact
AU-DaP,-14.0633,131.3181,11,Herbaceous cover,1,Cropland,exact
