site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
FI-Let,Lettosuo,60.6418,23.9595,ENF,FLUXNET2015,measured
FI-Lom,Lompolojankka,67.9972,24.2092,WET,FLUXNET2015,measured
FI-Sod,Sodankyla,67.3624,26.6386,ENF,FLUXNET2015,measured
FR-Fon,Fontainebleau-Barbeau,48.4764,2.7801,DBF,FLUXNET2015,measured
FR-Gri,Grignon,48.8442,1.9519,CRO,FLUXNET2015,measured
FR-LBr,Le Bray,44.7171,-0.7693,ENF,FLUXNET2015,measured
FR-Pue,Puechabon,43.7413,3.5957,EBF,FLUXNET2015,measured
GF-Guy,Guyaflux (French Guiana),5.2788,-52.9249,EBF,FLUXNET2015,measured
GH-Ank,Ankasa,5.2685,-2.6942,EBF,FLUXNET2015,measured
GL-NuF,Nuuk Fen,64.1308,-51.3861,WET,FLUXNET2015,measured
GL-ZaF,Zackenberg Fen,74.4814,-20.5545,WET,FLUXNET2015,measured
GL-ZaH,Zackenberg Heath,74.4733,-20.5503,GRA,FLUXNET2015,measured
IT-BCi,Borgo Cioffi,40.5237,14.9574,CRO,FLUXNET2015,measured
IT-CA1,Castel d'Asso1,42.3804,12.0266,DBF,FLUXNET2015,measured
IT-CA2,Castel d'Asso2,42.3772,12.026,CRO,FLUXNET2015,measured
IT-CA3,Castel d'Asso3,42.38,12.0222,DBF,FLUXNET2015,measured
IT-Col,Collelongo,41.8494,13.5881,DBF,FLUXNET2015,measured
IT-Cp2,Castelporziano2,41.7043,12.3573,EBF,FLUXNET2015,measured
IT-Cpz,Castelporziano,41.7052,12.3761,EBF,FLUXNET2015,measured
IT-Isp,Ispra ABC-IS,45.8126,8.6336,DBF,FLUXNET2015,measured
IT-La2,Lavarone2,45.9542,11.2853,ENF,FLUXNET2015,measured
IT-Lav,Lavarone,45.9562,11.2813,ENF,FLUXNET2015,measured
IT-MBo,Monte Bondone,46.0147,11.0458,GRA,FLUXNET2015,measured
IT-Noe,Arca di Noe - Le Prigionette,40.6062,8.1517,CSH,FLUXNET2015,measured
IT-PT1,Parco Ticino forest,45.2009,9.061,DBF,FLUXNET2015,measured
IT-Ren,Renon,46.5869,11.4337,ENF,FLUXNET2015,measured
IT-Ro1,Roccarespampani 1,42.4081,11.93,DBF,FLUXNET2015,measured
IT-Ro2,Roccarespampani 2,42.3903,11.9209,DBF,FLUXNET2015,measured
IT-SR2,San Rossore 2,43.732,10.2909,ENF,FLUXNET2015,measured
IT-SRo,San Rossore,43.7279,10.2844,ENF,FLUXNET2015,measured
IT-Tor,Torgnon,45.8444,7.5781,GRA,FLUXNET2015,measured
JP-MBF,Moshiri Birch Forest Site,44.3869,142.3186,DBF,FLUXNET2015,measured
JP-SMF,Seto Mixed Forest Site,35.2617,137.0788,MF,FLUXNET2015,measured
MY-PSO,Pasoh Forest Reserve (PSO),2.973,102.3062,EBF,FLUXNET2015,measured
NL-Hor,Horstermeer,52.2403,5.0713,GRA,FLUXNET2015,measured
NL-Loo,Loobos,52.1666,5.7436,ENF,FLUXNET2015,measured
PA-SPn,Sardinilla Plantation,9.3181,-79.6346,DBF,FLUXNET2015,measured
PA-SPs,Sardinilla-Pasture,9.3138,-79.6314,GRA,FLUXNET2015,measured
RU-Che,Cherski,68.613,161.3414,WET,FLUXNET2015,measured
RU-Cok,Chokurdakh,70.8291,147.4943,OSH,FLUXNET2015,measured
RU-Fyo,Fyodorovskoye,56.4615,32.9221,ENF,FLUXNET2015,measured
RU-Ha1,Hakasia steppe,54.7252,90.0022,GRA,FLUXNET2015,measured
RU-Sam,Samoylov,72.3738,126.4958,GRA,FLUXNET2015,measured
RU-SkP,Yakutsk Spasskaya Pad larch,62.255,129.168,DNF,FLUXNET2015,measured
RU-Tks,Tiksi,71.5943,128.8878,GRA,FLUXNET2015,measured
RU-Vrk,Seida/Vorkuta,67.0547,62.9405,CSH,FLUXNET2015,measured
SD-Dem,Demokeya,13.2829,30.4783,SAV,FLUXNET2015,measured
SE-St1,Stordalen grassland,68.3541,19.0503,WET,FLUXNET2015,measured
SJ-Adv,Adventdalen,78.186,15.923,WET,FLUXNET2015,measured
SJ-Blv,"Bayelva, Spitsbergen",78.9216,11.8311,SNO,FLUXNET2015,measured
SN-Dhr,Dahra,15.4028,-15.4322,SAV,FLUXNET2015,measured
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,GRA,FLUXNET2015,measured
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,GRA,FLUXNET2015,measured
US-ARb,ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,GRA,FLUXNET2015,measured
US-ARc,ARM Southern Great Plains control site- Lamont,35.5465,-98.04,GRA,FLUXNET2015,measured
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,CRO,FLUXNET2015,measured
US-Atq,Atqasuk,70.4696,-157.4089,WET,FLUXNET2015,measured
US-Blo,Blodgett Forest,38.8953,-120.6328,ENF,FLUXNET2015,measured
US-Cop,Corral Pocket,38.09,-109.39,GRA,FLUXNET2015,measured
US-CRT,Curtice Walter-Berger cropland,41.6285,-83.3471,CRO,FLUXNET2015,measured
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,ENF,FLUXNET2015,measured
US-GLE,GLEES,41.3665,-106.2399,ENF,FLUXNET2015,measured
US-Goo,Goodwin Creek,34.2547,-89.8735,GRA,FLUXNET2015,measured
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,DBF,FLUXNET2015,measured
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,GRA,FLUXNET2015,measured
US-Ivo,Ivotuk,68.4865,-155.7503,WET,FLUXNET2015,measured
US-KS1,Kennedy Space Center (slash pine),28.4583,-80.6709,ENF,FLUXNET2015,measured
US-KS2,Kennedy Space Center (scrub oak),28.6086,-80.6715,CSH,FLUXNET2015,measured
