site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
US-Esm,25.4379,-80.5946,2,Am,"Tropical, monsoon",A,Tropical,exact
US-EvM,25.3539,-80.381,2,Am,"Tropical, monsoon",A,Tropical,exact
US-Fcr,65.3968,-148.9348,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Fmf,35.1426,-111.7273,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Fo1,70.085,-148.5671,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-Fo2,70.0229,-148.6598,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-Fuf,35.089,-111.762,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-Fwf,35.4454,-111.7718,17,Dsa,"Cold, dry summer, hot summer",D,Cold,exact
US-GLE,41.3665,-106.2399,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-Ha1,42.5378,-72.1715,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-HB1,33.3455,-79.1957,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-HB2,33.3242,-79.244,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-HB3,33.3482,-79.2322,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-HB4,33.2015,-79.2975,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-HBK,43.9397,-71.7181,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Hn2,46.6889,-119.4641,5,BWk,"Arid, desert, cold",B,Arid,exact
US-Hn3,46.6878,-119.4614,5,BWk,"Arid, desert, cold",B,Arid,exact
US-Ho2,45.209,-68.747,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Ho3,45.2072,-68.7265,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-HRA,34.5852,-91.7517,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-HRC,34.5888,-91.7517,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Hsm,38.2368,-122.0212,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
US-HVs,69.1672,-148.8569,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-HWB,40.8608,-77.8488,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-IAB,42.0001,-93.7016,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-IAC,41.9984,-93.7016,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-IAM,41.9994,-93.7042,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-ICh,68.6068,-149.2958,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-ICs,68.6058,-149.311,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-ICt,68.6063,-149.3041,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
US-Jo1,32.582,-106.635,4,BWh,"Arid, desert, hot",B,Arid,exact
US-Jo2,32.5849,-106.6032,4,BWh,"Arid, desert, hot",B,Arid,exact
US-KFS,39.0561,-95.1907,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Kon,39.0824,-96.5603,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-KPL,60.5382,-150.5061,18,Dsb,"Cold, dry summer, warm summer",D,Cold,exact
US-KS1,28.4583,-80.6709,2,Am,"Tropical, monsoon",A,Tropical,exact
US-KS2,28.6086,-80.6715,2,Am,"Tropical, monsoon",A,Tropical,exact
US-KS3,28.7084,-80.7427,2,Am,"Tropical, monsoon",A,Tropical,nearest_land_0.7km
US-LA2,29.8587,-90.2869,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
