site_id,site_name,lat,lon,elev,igbp,mat,map,dataset
FI-Lom,Lompolojankka,67.9972,24.2092,274,WET,-1.4,484,FLUXNET2015
FI-Sod,Sodankyla,67.3624,26.6386,180,ENF,-1,500,FLUXNET2015
FR-Fon,Fontainebleau-Barbeau,48.4764,2.7801,103,DBF,10.2,720,FLUXNET2015
FR-Gri,Grignon,48.8442,1.9519,125,CRO,12,650,FLUXNET2015
FR-LBr,Le Bray,44.7171,-0.7693,61,ENF,13.6,900,FLUXNET2015
FR-Pue,Puechabon,43.7413,3.5957,270,EBF,13.5,883,FLUXNET2015
GF-Guy,Guyaflux (French Guiana),5.2788,-52.9249,48,EBF,25.7,3041,FLUXNET2015
GH-Ank,Ankasa,5.2685,-2.6942,124,EBF,26,1900,FLUXNET2015
GL-NuF,Nuuk Fen,64.1308,-51.3861,50,WET,-1.4,750,FLUXNET2015
GL-ZaF,Zackenberg Fen,74.4814,-20.5545,38,WET,-9,211,FLUXNET2015
GL-ZaH,Zackenberg Heath,74.4733,-20.5503,38,GRA,-9,211,FLUXNET2015
IT-BCi,Borgo Cioffi,40.5237,14.9574,20,CRO,18,600,FLUXNET2015
IT-CA1,Castel d'Asso1,42.3804,12.0266,200,DBF,14,766,FLUXNET2015
IT-CA2,Castel d'Asso2,42.3772,12.026,200,CRO,14,766,FLUXNET2015
IT-CA3,Castel d'Asso3,42.38,12.0222,197,DBF,14,766,FLUXNET2015
IT-Col,Collelongo,41.8494,13.5881,1560,DBF,6.3,1180,FLUXNET2015
IT-Cp2,Castelporziano2,41.7043,12.3573,19,EBF,15.2,805,FLUXNET2015
IT-Cpz,Castelporziano,41.7052,12.3761,68,EBF,15.6,780,FLUXNET2015
IT-Isp,Ispra ABC-IS,45.8126,8.6336,210,DBF,12.2,1300,FLUXNET2015
IT-La2,Lavarone2,45.9542,11.2853,1350,ENF,7.2,1150,FLUXNET2015
IT-Lav,Lavarone,45.9562,11.2813,1353,ENF,7.8,1291,FLUXNET2015
IT-MBo,Monte Bondone,46.0147,11.0458,1550,GRA,5.1,1214,FLUXNET2015
IT-Noe,Arca di Noe - Le Prigionette,40.6062,8.1517,25,CSH,15.9,588,FLUXNET2015
IT-PT1,Parco Ticino forest,45.2009,9.061,60,DBF,12.7,984,FLUXNET2015
IT-Ren,Renon,46.5869,11.4337,1730,ENF,4.7,809.3,FLUXNET2015
IT-Ro1,Roccarespampani 1,42.4081,11.93,235,DBF,15.15,876.2,FLUXNET2015
IT-Ro2,Roccarespampani 2,42.3903,11.9209,160,DBF,15.15,876.2,FLUXNET2015
IT-SR2,San Rossore 2,43.732,10.2909,4,ENF,14.2,920,FLUXNET2015
