site_id,mat_worldclim,map_worldclim,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
US-NGB,-11.990333557128906,109,-11.990333557128906,6.088666915893555,15.12486743927002,1315.949462890625,9.37600040435791,-30.8799991607666,40.25600051879883,3.7046666145324707,-26.125999450683594,4.518666744232178,-26.5939998626709,109,27,3,84.30635833740234,67,9,55,10
US-NGC,-3.0373334884643555,413,-3.0373334884643555,9.326666831970215,24.482009887695312,1086.615966796875,17.555999755859375,-20.540000915527344,38.09600067138672,9.72599983215332,-6.423333168029785,11.062666893005371,-14.950000762939453,413,89,16,64.87371826171875,206,50,163,67
US-NR1,1.8316667079925537,567,1.8316667079925537,13.62399959564209,41.324920654296875,714.89813232421875,20.312000274658203,-12.656000137329102,32.96800231933594,8.538000106811523,2.6553332805633545,11.154000282287598,-5.844666481018066,567,58,32,18.0057315826416,165,115,163,126
US-NSa,17.136499404907227,299,17.136499404907227,14.563666343688965,42.960670471191406,714.38653564453125,36.09199905395508,2.191999912261963,33.89999771118164,10.50333309173584,25.891332626342773,25.891332626342773,8.546000480651855,299,57,0,87.12925720214844,168,3,3,152
US-NSb,17.03416633605957,172,17.03416633605957,15.401000022888184,47.5046272277832,660.16741943359375,34.80799865722656,2.388000011444092,32.41999816894531,10.598666191101074,24.833999633789062,24.904666900634766,8.941333770751953,172,33,0,81.66193389892578,93,2,7,89
US-Oho,9.459833145141602,855,9.459833145141602,11.062999725341797,29.230077743530273,988.6583251953125,28.72800064086914,-9.119999885559082,37.847999572753906,14.678667068481445,-3.2186665534973145,21.2413330078125,-3.2186665534973145,855,95,44,21.459375381469727,261,156,260,156
US-ONA,22.416500091552734,1285,22.416500091552734,12.661666870117188,53.262943267822266,434.8954162597656,33.215999603271484,9.444000244140625,23.77199935913086,27.286666870117188,17.95199966430664,27.326000213623047,16.809999465942383,1285,205,44,60.40212631225586,600,157,565,178
US-OPE,12.92199993133545,1127,12.92199993133545,11.628000259399414,33.07167053222656,874.50616455078125,30.75200080871582,-4.4079999923706055,35.15999984741211,21.380666732788086,1.9579999446868896,23.57200050354004,1.9579999446868896,1127,116,73,12.257344245910645,318,243,302,243
US-OWC,9.863499641418457,897,9.863499641418457,9.975666999816895,27.572324752807617,967.35516357421875,28.211999893188477,-7.9679999351501465,36.18000030517578,21.488000869750977,-1.3113332986831665,21.488000869750977,-2.3499999046325684,897,100,46,22.474870681762695,283,164,283,166
US-PAS,22.416500091552734,1285,22.416500091552734,12.661666870117188,53.262943267822266,434.8954162597656,33.215999603271484,9.444000244140625,23.77199935913086,27.286666870117188,17.95199966430664,27.326000213623047,16.809999465942383,1285,205,44,60.40212631225586,600,157,565,178
US-PFb,4.381333351135254,829,4.381333351135254,11.698667526245117,27.125457763671875,1132.7947998046875,25,-18.128000259399414,43.12799835205078,16.452667236328125,-10.354000091552734,17.64666748046875,-10.354000091552734,829,108,23,43.152671813964844,309,96,307,96
US-PFc,4.381333351135254,829,4.381333351135254,11.698667526245117,27.125457763671875,1132.7947998046875,25,-18.128000259399414,43.12799835205078,16.452667236328125,-10.354000091552734,17.64666748046875,-10.354000091552734,829,108,23,43.152671813964844,309,96,307,96
US-PFd,4.381333351135254,829,4.381333351135254,11.698667526245117,27.125457763671875,1132.7947998046875,25,-18.128000259399414,43.12799835205078,16.452667236328125,-10.354000091552734,17.64666748046875,-10.354000091552734,829,108,23,43.152671813964844,309,96,307,96
US-PFf,4.437999725341797,825,4.437999725341797,11.703332901000977,27.05597686767578,1139.0797119140625,25.104000091552734,-18.152000427246094,43.25600051879883,16.52466583251953,-10.398667335510254,17.757999420166016,-10.398667335510254,825,109,23,44.037384033203125,308,93,307,93
US-PFg,4.336999893188477,828,4.336999893188477,11.72266674041748,27.21644401550293,1129.98193359375,24.92799949645996,-18.144001007080078,43.071998596191406,16.386667251586914,-10.361333847045898,17.570667266845703,-10.361333847045898,828,108,23,43.055816650390625,308,97,306,97
US-PFh,4.363999843597412,827,4.363999843597412,11.72599983215332,27.181270599365234,1132.7255859375,24.940000534057617,-18.200000762939453,43.13999938964844,16.39266586303711,-10.381999969482422,17.613332748413086,-10.381999969482422,827,109,23,44.00572204589844,310,94,306,94
US-PFi,4.306333065032959,834,4.306333065032959,11.715332984924316,27.214582443237305,1129.5128173828125,24.868000030517578,-18.18000030517578,43.04800033569336,16.356000900268555,-10.374667167663574,17.534000396728516,-10.374667167663574,834,108,24,42.42189025878906,308,98,305,98
US-PFj,4.306333065032959,834,4.306333065032959,11.715332984924316,27.214582443237305,1129.5128173828125,24.868000030517578,-18.18000030517578,43.04800033569336,16.356000900268555,-10.374667167663574,17.534000396728516,-10.374667167663574,834,108,24,42.42189025878906,308,98,305,98
US-PFk,4.511333465576172,817,4.511333465576172,11.684666633605957,27.0128231048584,1141.0518798828125,25.20800018310547,-18.04800033569336,43.25600051879883,16.6113338470459,-10.347333908081055,17.859333038330078,-10.347333908081055,817,109,21,45.0806884765625,308,89,306,89
US-PFL,4.437999725341797,825,4.437999725341797,11.703332901000977,27.05597686767578,1139.0797119140625,25.104000091552734,-18.152000427246094,43.25600051879883,16.52466583251953,-10.398667335510254,17.757999420166016,-10.398667335510254,825,109,23,44.037384033203125,308,93,307,93
US-PFm,4.437999725341797,825,4.437999725341797,11.703332901000977,27.05597686767578,1139.0797119140625,25.104000091552734,-18.152000427246094,43.25600051879883,16.52466583251953,-10.398667335510254,17.757999420166016,-10.398667335510254,825,109,23,44.037384033203125,308,93,307,93
US-PFn,4.393666744232178,824,4.393666744232178,11.711333274841309,27.107057571411133,1135.6539306640625,25.020000457763672,-18.18400001525879,43.204002380371094,16.448665618896484,-10.394000053405762,17.68199920654297,-10.394000053405762,824,109,23,43.83531188964844,308,94,306,94
US-PFp,4.393666744232178,824,4.393666744232178,11.711333274841309,27.107057571411133,1135.6539306640625,25.020000457763672,-18.18400001525879,43.204002380371094,16.448665618896484,-10.394000053405762,17.68199920654297,-10.394000053405762,824,109,23,43.83531188964844,308,94,306,94
US-PFq,4.363999843597412,827,4.363999843597412,11.72599983215332,27.181270599365234,1132.7255859375,24.940000534057617,-18.200000762939453,43.13999938964844,16.39266586303711,-10.381999969482422,17.613332748413086,-10.381999969482422,827,109,23,44.00572204589844,310,94,306,94
US-PFr,4.363999843597412,827,4.363999843597412,11.72599983215332,27.181270599365234,1132.7255859375,24.940000534057617,-18.200000762939453,43.13999938964844,16.39266586303711,-10.381999969482422,17.613332748413086,-10.381999969482422,827,109,23,44.00572204589844,310,94,306,94
US-PFt,4.363999843597412,827,4.363999843597412,11.72599983215332,27.181270599365234,1132.7255859375,24.940000534057617,-18.200000762939453,43.13999938964844,16.39266586303711,-10.381999969482422,17.613332748413086,-10.381999969482422,827,109,23,44.00572204589844,310,94,306,94
US-PLo,9.1616668701171875,1098,9.1616668701171875,10.938666343688965,30.304372787475586,905.72808837890625,27.61600112915039,-8.479999542236328,36.09600067138672,5.083333492279053,20.32266616821289,20.32266616821289,-2.0919997692108154,1098,107,79,9.271204948425293,303,246,246,277
US-Prr,-3.251333475112915,319,-3.251333475112915,11.527999877929688,24.30426788330078,1380.4761962890625,21.5,-25.93199920654297,47.43199920654297,13.74466609954834,-10.549333572387695,13.74466609954834,-19.233999252319336,319,52,8,54.35777282714844,146,35,146,55
US-PSH,17.2641658782959,171,17.2641658782959,15.586333274841309,46.31071090698242,675.7274169921875,35.75600051879883,2.0999999046325684,33.656002044677734,10.793333053588867,25.392667770385742,25.392667770385742,8.9913330078125,171,34,0,82.71492004394531,95,2,2,89
US-PSL,16.137332916259766,226,16.137332916259766,14.869333267211914,45.372066497802734,659.204345703125,34.279998779296875,1.5080000162124634,32.77199935913086,9.932000160217285,24.04800033569336,24.04800033569336,8.015999794006348,226,40,0,81.40897369384766,118,3,3,109
US-RC1,8.233333587646484,611,8.233333587646484,12.325333595275879,36.83161926269531,735.75262451171875,28.54400062561035,-4.920000076293945,33.4640007019043,-0.16666674613952637,17.130001068115234,17.308666229248047,-0.6460000276565552,611,79,24,36.142311096191406,225,79,90,204
US-RC2,8.233333587646484,611,8.233333587646484,12.325333595275879,36.83161926269531,735.75262451171875,28.54400062561035,-4.920000076293945,33.4640007019043,-0.16666674613952637,17.130001068115234,17.308666229248047,-0.6460000276565552,611,79,24,36.142311096191406,225,79,90,204
US-RC4,8.036166191101074,678,8.036166191101074,12.642999649047852,37.02846908569336,746.3642578125,28.715999603271484,-5.427999973297119,34.14400100708008,-0.4440000355243683,17.08799934387207,17.31399917602539,-0.937333345413208,678,86,26,35.52178955078125,245,87,100,223
