site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main
BW-Gum,Unaffiliated,WET,Sub-Saharan Africa,Africa,2018,2020,2,1,50,FALSE,Tropical dry forest,13,Bsh,Bs,B
ZM-Mon,CarboAfrica;EFTEON SAEON;European Fluxes Database,DBF,Sub-Saharan Africa,Africa,2007,2009,2,1,50,FALSE,Tropical moist forest,12,NA,NA,NA
GH-Ank,CarboAfrica;European Fluxes Database,EBF,Sub-Saharan Africa,Africa,2011,2014,3,1,33.3,FALSE,Tropical rainforest,11,NA,NA,NA
US-Ha1,AmeriFlux;LTER;Phenocam,DBF,Northern America,Americas,1991,2025,34,33,97.1,TRUE,Temperate mountain system,35,Dfb,Df,D
US-MMS,AmeriFlux;Phenocam,DBF,Northern America,Americas,1999,2023,24,25,104.2,TRUE,Temperate continental forest,32,Cfa,Cf,C
US-Ton,AmeriFlux;Phenocam,WSA,Northern America,Americas,2001,2025,24,24,100,TRUE,Subtropical mountain system,25,Csa,Cs,C
US-Ne1,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,23,100,TRUE,Temperate steppe,33,Dfa,Df,D
CA-Mer,AmeriFlux;Fluxnet-Canada;Phenocam,WET,Northern America,Americas,1998,2020,22,22,100,FALSE,Temperate continental forest,32,Dfb,Df,D
US-Ne3,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,22,95.7,FALSE,Temperate steppe,33,Dfa,Df,D
US-SRM,AmeriFlux;LTAR;Phenocam,WSA,Northern America,Americas,2004,2025,21,22,104.8,FALSE,Subtropical desert,24,BSk,BS,B
US-Ne2,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,21,91.3,TRUE,Temperate steppe,33,Dfa,Df,D
US-CMW,AmeriFlux,DBF,Northern America,Americas,2001,2021,20,19,95,FALSE,Subtropical desert,24,Bsh,Bs,B
US-Seg,AmeriFlux;Phenocam,GRA,Northern America,Americas,2007,2025,18,19,105.6,FALSE,Subtropical steppe,23,BSk,BS,B
US-Ses,AmeriFlux;Phenocam,OSH,Northern America,Americas,2007,2025,18,18,100,FALSE,Subtropical steppe,23,BSk,BS,B
CA-TP3,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2002,2023,21,17,81,FALSE,Temperate continental forest,32,Dfb,Df,D
US-Mpj,AmeriFlux;Phenocam,WSA,Northern America,Americas,2008,2025,17,17,100,FALSE,Subtropical steppe,23,BSk,BS,B
US-NC2,AmeriFlux;Phenocam;USCCC,ENF,Northern America,Americas,2005,2025,20,17,85,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-SP1,AmeriFlux;Phenocam,ENF,Northern America,Americas,2000,2020,20,17,85,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-SRG,AmeriFlux;LTAR;Phenocam,GRA,Northern America,Americas,2008,2025,17,17,100,FALSE,Subtropical desert,24,BSk,BS,B
US-Vcp,AmeriFlux,ENF,Northern America,Americas,2007,2025,18,17,94.4,FALSE,Temperate mountain system,35,Dfb,Df,D
US-ICh,AmeriFlux;Phenocam,OSH,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Polar,50,ET,ET,E
US-MBP,AmeriFlux;Phenocam,WET,Northern America,Americas,2009,2024,15,16,106.7,FALSE,Temperate continental forest,32,NA,NA,NA
US-MOz,AmeriFlux;Phenocam,DBF,Northern America,Americas,2004,2021,17,16,94.1,FALSE,Temperate continental forest,32,Cfa,Cf,C
US-UMd,AmeriFlux;Phenocam,DBF,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Temperate continental forest,32,Dfb,Df,D
US-Vcm,AmeriFlux,ENF,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Temperate mountain system,35,Dfb,Df,D
US-Wjs,AmeriFlux,SAV,Northern America,Americas,2007,2025,18,16,88.9,FALSE,Subtropical steppe,23,BSk,BS,B
US-Bar,AmeriFlux;Phenocam,DBF,Northern America,Americas,2004,2023,19,15,78.9,FALSE,Temperate mountain system,35,Dfb,Df,D
US-Esm,AmeriFlux;LTER,WET,Northern America,Americas,2008,2024,16,15,93.8,FALSE,Tropical moist forest,12,NA,NA,NA
US-ICs,AmeriFlux;Phenocam,WET,Northern America,Americas,2007,2025,18,15,83.3,FALSE,Polar,50,ET,ET,E
US-Kon,AmeriFlux;Phenocam,GRA,Northern America,Americas,2004,2019,15,15,100,FALSE,Temperate steppe,33,Cfa,Cf,C
CA-TP1,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2002,2023,21,14,66.7,FALSE,Temperate continental forest,32,Dfb,Df,D
US-GLE,AmeriFlux,ENF,Northern America,Americas,2005,2020,15,14,93.3,FALSE,Temperate mountain system,35,Dfc,Df,D
US-Myb,AmeriFlux;Phenocam,WET,Northern America,Americas,2010,2025,15,14,93.3,FALSE,Subtropical dry forest,22,Csa,Cs,C
CA-Ca1,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,1997,2010,13,13,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C
US-Me6,AmeriFlux;Phenocam,ENF,Northern America,Americas,2010,2025,15,13,86.7,FALSE,Temperate mountain system,35,Csb,Cs,C
US-Ro1,AmeriFlux;Phenocam,CRO,Northern America,Americas,2004,2016,12,13,108.3,FALSE,Temperate steppe,33,Dfa,Df,D
US-Rpf,AmeriFlux,DBF,Northern America,Americas,2008,2024,16,13,81.2,FALSE,Boreal mountain system,43,Dwc,Dw,D
CA-TPD,AmeriFlux;Fluxnet-Canada;Phenocam,DBF,Northern America,Americas,2012,2023,11,12,109.1,FALSE,Temperate continental forest,32,Dfb,Df,D
US-ChR,AmeriFlux;Phenocam,DBF,Northern America,Americas,2006,2019,13,12,92.3,FALSE,Temperate mountain system,35,Cfa,Cf,C
US-Elm,AmeriFlux;LTER,WET,Northern America,Americas,2008,2024,16,12,75,FALSE,Tropical moist forest,12,NA,NA,NA
US-BZB,AmeriFlux,WET,Northern America,Americas,2011,2025,14,11,78.6,FALSE,Boreal tundra woodland,42,Dfd,Df,D
US-Jo1,AmeriFlux;LTER,OSH,Northern America,Americas,2010,2022,12,11,91.7,FALSE,Subtropical desert,24,Bwk,Bw,B
US-KFS,AmeriFlux;Phenocam,GRA,Northern America,Americas,2007,2019,12,11,91.7,FALSE,Temperate steppe,33,Cfa,Cf,C
US-MtB,AmeriFlux,ENF,Northern America,Americas,2009,2024,15,11,73.3,FALSE,Subtropical desert,24,Dwb,Dw,D
US-Ro4,AmeriFlux;Phenocam,GRA,Northern America,Americas,2014,2025,11,11,100,FALSE,Temperate steppe,33,Dfa,Df,D
US-Tw4,AmeriFlux;Phenocam,WET,Northern America,Americas,2013,2024,11,11,100,FALSE,Subtropical dry forest,22,Csa,Cs,C
CA-Ca2,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,2000,2010,10,10,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C
CA-Gro,AmeriFlux;Fluxnet-Canada;Phenocam,MF,Northern America,Americas,2003,2014,11,10,90.9,FALSE,Temperate continental forest,32,Dfb,Df,D
US-ICt,AmeriFlux;Phenocam,OSH,Northern America,Americas,2007,2025,18,10,55.6,FALSE,Polar,50,ET,ET,E
US-Oho,AmeriFlux;USCCC,DBF,Northern America,Americas,2004,2013,9,10,111.1,FALSE,Temperate continental forest,32,Dfa,Df,D
US-Tw1,AmeriFlux;Phenocam,WET,Northern America,Americas,2011,2023,12,10,83.3,FALSE,Subtropical dry forest,22,Csa,Cs,C
CA-Man,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,1994,2008,14,9,64.3,FALSE,Boreal coniferous forest,41,Dfc,Df,D
US-Ced,AmeriFlux,CSH,Northern America,Americas,2005,2014,9,9,100,FALSE,Temperate continental forest,32,Cfa,Cf,C
CA-DBB,AmeriFlux,WET,Northern America,Americas,2015,2024,9,8,88.9,FALSE,Temperate oceanic forest,31,Csb,Cs,C
US-Bi1,AmeriFlux;Phenocam,CRO,Northern America,Americas,2016,2024,8,8,100,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-EML,AmeriFlux;LTER,OSH,Northern America,Americas,2008,2023,15,8,53.3,FALSE,Boreal mountain system,43,ET,ET,E
US-Mo1,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2015,2024,9,8,88.9,FALSE,Temperate steppe,33,Cfa,Cf,C
US-Ro5,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2024,7,8,114.3,FALSE,Temperate steppe,33,Dfa,Df,D
US-Ro6,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2024,7,8,114.3,FALSE,Temperate steppe,33,Dfa,Df,D
US-Rwf,AmeriFlux;LTAR,CSH,Northern America,Americas,2014,2023,9,8,88.9,FALSE,Temperate desert,34,Bsh,Bs,B
US-Rws,AmeriFlux;LTAR;Phenocam,OSH,Northern America,Americas,2014,2023,9,8,88.9,FALSE,Temperate desert,34,BSk,BS,B
GF-Guy,European Fluxes Database;ICOS,EBF,Latin America and the Caribbean,Americas,2017,2024,7,8,114.3,FALSE,Tropical rainforest,11,Af,Af,A
BR-Ma2,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,1999,2016,17,7,41.2,FALSE,Tropical rainforest,11,Af,Af,A
BR-Sa1,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,2002,2011,9,7,77.8,FALSE,Tropical rainforest,11,Am,Am,A
CA-Qfo,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2003,2010,7,7,100,FALSE,Boreal coniferous forest,41,Dfc,Df,D
CL-SDP,AmeriFlux,WET,Latin America and the Caribbean,Americas,2014,2021,7,7,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C
US-Bi2,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2025,8,7,87.5,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-Dk2,AmeriFlux;Phenocam,DBF,Northern America,Americas,2001,2008,7,7,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-MN1,AmeriFlux,CRO,Northern America,Americas,2017,2024,7,7,100,FALSE,Temperate steppe,33,Dwb,Dw,D
US-MN2,AmeriFlux,CRO,Northern America,Americas,2017,2024,7,7,100,FALSE,Temperate steppe,33,Dwb,Dw,D
US-Mo3,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2016,2023,7,7,100,FALSE,Temperate steppe,33,Cfa,Cf,C
US-NC1,AmeriFlux;USCCC,ENF,Northern America,Americas,2005,2012,7,7,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-Rls,AmeriFlux;LTAR;Phenocam,CSH,Northern America,Americas,2014,2023,9,7,77.8,FALSE,Temperate desert,34,Bsh,Bs,B
US-Rms,AmeriFlux;LTAR;Phenocam,CSH,Northern America,Americas,2014,2023,9,7,77.8,FALSE,Temperate desert,34,Bsh,Bs,B
US-SRS,AmeriFlux,WSA,Northern America,Americas,2011,2018,7,7,100,FALSE,Subtropical desert,24,BSk,BS,B
US-Twt,AmeriFlux;Phenocam,CRO,Northern America,Americas,2009,2017,8,7,87.5,FALSE,Subtropical dry forest,22,Csa,Cs,C
CA-ARF,AmeriFlux,WET,Northern America,Americas,2011,2024,13,6,46.2,FALSE,Boreal tundra woodland,42,Dfb,Df,D
US-BZo,AmeriFlux,WET,Northern America,Americas,2018,2025,7,6,85.7,FALSE,Boreal tundra woodland,42,Dfd,Df,D
US-Dk1,AmeriFlux,GRA,Northern America,Americas,2001,2008,7,6,85.7,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-Dk3,AmeriFlux,ENF,Northern America,Americas,2001,2008,7,6,85.7,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-HB1,AmeriFlux;Phenocam,WET,Northern America,Americas,2018,2024,6,6,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-HB2,AmeriFlux;Phenocam,ENF,Northern America,Americas,2018,2024,6,6,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-HB3,AmeriFlux;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-Mo2,AmeriFlux;LTAR;Phenocam,GRA,Northern America,Americas,2018,2024,6,6,100,FALSE,Temperate steppe,33,Cfa,Cf,C
US-NC3,AmeriFlux;USCCC,ENF,Northern America,Americas,2013,2021,8,6,75,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-ONA,AmeriFlux;LTAR,GRA,Northern America,Americas,2016,2022,6,6,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-Prr,AmeriFlux,ENF,Northern America,Americas,2010,2022,12,6,50,FALSE,Boreal mountain system,43,Dwc,Dw,D
US-UiE,AmeriFlux,CRO,Northern America,Americas,2018,2024,6,6,100,FALSE,Temperate steppe,33,Dfa,Df,D
US-xAE,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33,Cfa,Cf,C
US-xDC,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33,Dfb,Df,D
US-xJR,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical desert,24,BSk,BS,B
US-xKZ,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33,Cfa,Cf,C
US-xSP,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical mountain system,25,Csa,Cs,C
US-xUN,AmeriFlux;NEON;Phenocam,MF,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate continental forest,32,Dfb,Df,D
US-xWR,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate mountain system,35,Csb,Cs,C
AR-CCa,AmeriFlux,CRO,Latin America and the Caribbean,Americas,2012,2020,8,5,62.5,FALSE,Subtropical humid forest,21,Cfa,Cf,C
CA-ARB,AmeriFlux,WET,Northern America,Americas,2011,2024,13,5,38.5,FALSE,Boreal tundra woodland,42,Dfb,Df,D
CA-DB2,AmeriFlux,WET,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate oceanic forest,31,NA,NA,NA
CA-KLP,AmeriFlux,WET,Northern America,Americas,2011,2020,9,5,55.6,FALSE,Boreal tundra woodland,42,Dfb,Df,D
US-CdM,AmeriFlux,WSA,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate desert,34,BSk,BS,B
US-Fmf,AmeriFlux,ENF,Northern America,Americas,2005,2010,5,5,100,FALSE,Subtropical mountain system,25,Csb,Cs,C
US-Fwf,AmeriFlux,GRA,Northern America,Americas,2005,2010,5,5,100,FALSE,Subtropical mountain system,25,Csb,Cs,C
US-StJ,AmeriFlux;Phenocam,WET,Northern America,Americas,2015,2020,5,5,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-TKs,AmeriFlux,CSH,Northern America,Americas,2018,2025,7,5,71.4,FALSE,Polar,50,ET,ET,E
US-UC1,AmeriFlux;LTAR,CVM,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Dfb,Df,D
US-UC2,AmeriFlux;LTAR,CVM,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Dfb,Df,D
US-UiG,AmeriFlux,CRO,Northern America,Americas,2018,2023,5,5,100,FALSE,Temperate steppe,33,Dfa,Df,D
US-xBN,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Boreal mountain system,43,Dwc,Dw,D
US-xBR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Dfb,Df,D
US-xCL,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical steppe,23,Cfa,Cf,C
US-xDJ,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Boreal tundra woodland,42,Dfc,Df,D
US-xJE,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-xRN,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Cfa,Cf,C
US-xSE,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-xSL,AmeriFlux;NEON,CRO,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33,BSk,BS,B
US-xST,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate continental forest,32,Dfb,Df,D
US-xTR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate continental forest,32,Dfb,Df,D
US-xUK,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33,Cfa,Cf,C
US-xWD,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33,Dfb,Df,D
GL-Dsk,European Fluxes Database;ICOS,OSH,Northern America,Americas,2020,2024,4,5,125,FALSE,Polar,50,ET,ET,E
CR-AqC,Unaffiliated,EBF,Latin America and the Caribbean,Americas,2009,2016,7,5,71.4,FALSE,Tropical rainforest,11,Af,Af,A
BR-Ji3,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,2004,2010,6,4,66.7,FALSE,Tropical rainforest,11,Am,Am,A
CL-SDF,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2014,2021,7,4,57.1,FALSE,Temperate oceanic forest,31,Cfb,Cf,C
CR-Fsc,AmeriFlux,CRO,Latin America and the Caribbean,Americas,2015,2018,3,4,133.3,FALSE,Tropical moist forest,12,Aw,Aw,A
MX-Tes,AmeriFlux;MexFlux,DBF,Latin America and the Caribbean,Americas,2004,2008,4,4,100,FALSE,Tropical dry forest,13,Bsh,Bs,B
US-DFC,AmeriFlux,CRO,Northern America,Americas,2018,2024,6,4,66.7,FALSE,Temperate continental forest,32,Dfb,Df,D
US-Dmg,AmeriFlux,WET,Northern America,Americas,2021,2025,4,4,100,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-EDN,AmeriFlux,WET,Northern America,Americas,2018,2024,6,4,66.7,FALSE,Subtropical mountain system,25,Csa,Cs,C
US-Fuf,AmeriFlux,ENF,Northern America,Americas,2005,2010,5,4,80,FALSE,Subtropical mountain system,25,Csb,Cs,C
US-HB4,AmeriFlux;Phenocam,WET,Northern America,Americas,2020,2024,4,4,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-Hsm,AmeriFlux;Phenocam,WET,Northern America,Americas,2021,2025,4,4,100,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-IAC,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate steppe,33,Dfa,Df,D
US-LS1,AmeriFlux,GRA,Northern America,Americas,2003,2007,4,4,100,FALSE,Subtropical desert,24,Bwh,Bw,B
US-MN3,AmeriFlux,CRO,Northern America,Americas,2020,2024,4,4,100,FALSE,Temperate steppe,33,Dwb,Dw,D
US-RC1,AmeriFlux;LTAR,CRO,Northern America,Americas,2011,2016,5,4,80,FALSE,Temperate desert,34,Dsb,Ds,D
US-Sne,AmeriFlux;Phenocam,GRA,Northern America,Americas,2016,2020,4,4,100,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-Tw3,AmeriFlux;Phenocam,CRO,Northern America,Americas,2013,2018,5,4,80,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-UiF,AmeriFlux,CRO,Northern America,Americas,2018,2023,5,4,80,FALSE,Temperate steppe,33,Dfa,Df,D
US-xBL,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Cfa,Cf,C
US-xDL,AmeriFlux;NEON;Phenocam,MF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-xDS,AmeriFlux;NEON;Phenocam,CVM,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-xHE,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Boreal mountain system,43,ET,ET,E
US-xMB,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate desert,34,BSk,BS,B
US-xML,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Dfb,Df,D
US-xNG,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate steppe,33,Dfb,Df,D
US-xNQ,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate desert,34,Dfb,Df,D
US-xRM,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Dfc,Df,D
US-xSB,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-xSC,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Cfa,Cf,C
US-xSJ,AmeriFlux;NEON,SAV,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical mountain system,25,Csa,Cs,C
US-xTE,AmeriFlux;NEON,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical mountain system,25,Csa,Cs,C
US-xTL,AmeriFlux;NEON;Phenocam,WET,Northern America,Americas,2019,2024,5,4,80,FALSE,Polar,50,ET,ET,E
AR-CCg,AmeriFlux,GRA,Latin America and the Caribbean,Americas,2018,2024,6,3,50,FALSE,Subtropical humid forest,21,Cfa,Cf,C
BR-ITA,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2020,2024,4,3,75,FALSE,Tropical moist forest,12,Cfa,Cf,C
BR-Sa3,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2000,2004,4,3,75,FALSE,Tropical rainforest,11,Am,Am,A
CA-CF3,AmeriFlux,WET,Northern America,Americas,2022,2025,3,3,100,FALSE,Boreal tundra woodland,42,Dfc,Df,D
CA-DSM,AmeriFlux,WET,Northern America,Americas,2021,2024,3,3,100,FALSE,Temperate oceanic forest,31,Csb,Cs,C
CA-TPA,AmeriFlux,CRO,Northern America,Americas,2020,2023,3,3,100,FALSE,Temperate continental forest,32,NA,NA,NA
PE-QFR,AmeriFlux,WET,Latin America and the Caribbean,Americas,2018,2022,4,3,75,FALSE,Tropical rainforest,11,Af,Af,A
US-CF1,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2021,4,3,75,FALSE,Temperate desert,34,Dsb,Ds,D
US-CF2,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2020,3,3,100,FALSE,Temperate desert,34,Dsb,Ds,D
US-CGG,AmeriFlux,GRA,Northern America,Americas,2019,2024,5,3,60,FALSE,Subtropical mountain system,25,Csa,Cs,C
US-Cop,AmeriFlux,GRA,Northern America,Americas,2001,2007,6,3,50,FALSE,Temperate desert,34,NA,NA,NA
US-CRT,AmeriFlux;Phenocam,CRO,Northern America,Americas,2011,2013,2,3,150,FALSE,Temperate continental forest,32,Dfa,Df,D
US-Dix,AmeriFlux,MF,Northern America,Americas,2005,2008,3,3,100,FALSE,Temperate continental forest,32,Cfa,Cf,C
US-DPW,AmeriFlux,WET,Northern America,Americas,2013,2016,3,3,100,FALSE,Subtropical humid forest,21,Cwa,Cw,C
US-DS3,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2025,4,3,75,FALSE,Subtropical dry forest,22,Csa,Cs,C
US-HBK,AmeriFlux,DBF,Northern America,Americas,2016,2024,8,3,37.5,FALSE,Temperate mountain system,35,Dfb,Df,D
US-HRA,AmeriFlux;Phenocam,CRO,Northern America,Americas,2015,2024,9,3,33.3,FALSE,Subtropical humid forest,21,Cfa,Cf,C
US-IAB,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33,Dfa,Df,D
US-IAM,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33,Dfa,Df,D
US-KPL,AmeriFlux,WET,Northern America,Americas,2021,2024,3,3,100,FALSE,Boreal mountain system,43,Dfc,Df,D
US-KS2,AmeriFlux,CSH,Northern America,Americas,2003,2006,3,3,100,FALSE,Subtropical humid forest,21,Cwa,Cw,C
US-Me3,AmeriFlux,ENF,Northern America,Americas,2004,2009,5,3,60,FALSE,Temperate mountain system,35,Csb,Cs,C
US-RC2,AmeriFlux;LTAR,CRO,Northern America,Americas,2012,2016,4,3,75,FALSE,Temperate desert,34,Dsb,Ds,D
