site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
DE-Gwg,47.570835,11.032604,546.5693359375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
DE-GsB,52.029648,11.10478,429.09515380859375,exact,5,394.0–634.7 mm yr-1,17,7,11,12
DE-Gri,50.950005,13.512533,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-Geb,51.09973,10.91463,450.3780517578125,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-Fen,47.832905,11.060701,546.5693359375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
DE-Brs,52.29663,10.44871,443.9259338378906,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-Amv,52.1757,6.95537,406.2774658203125,exact,5,394.0–634.7 mm yr-1,16,7,10,11
CZ-wet,49.02465,14.77035,502.30322265625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CZ-Lnz,48.68155,16.946331,461.2334899902344,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CZ-BK1,49.502075,18.536882,519.78582763671875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Dav,46.81533,9.85591,459.2020568847656,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CD-Ygb,0.814444,24.502472,1353.129150390625,exact,7,>968.6 mm yr-1,30,12,18,20
BE-Vie,50.304962,5.998099,488.7662048339844,exact,5,394.0–634.7 mm yr-1,18,8,11,13
BE-Maa,50.97987,5.631851,450.1946411132813,exact,5,394.0–634.7 mm yr-1,18,8,11,12
BE-Lon,50.55162,4.746234,470.2182312011719,exact,5,394.0–634.7 mm yr-1,18,8,11,12
BE-Dor,50.311874,4.968113,494.8986511230469,exact,5,394.0–634.7 mm yr-1,19,8,12,13
BE-Bra,51.30761,4.51984,431.9701843261719,exact,5,394.0–634.7 mm yr-1,17,7,11,12
VU-Coc,-15.444423,167.19131,1438.723388671875,exact,7,>968.6 mm yr-1,30,12,18,20
ML-Kem,15.2875,-1.543056,343.92816162109375,exact,4,263.9–394.0 mm yr-1,14,6,9,10
KE-Mkt,-3.425859,38.140663,708.1529541015625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
KE-Kpt,-1.6141866,37.13311,640.82513427734375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KE-Chk,-3.6663,38.350185,706.16925048828125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
KE-Aq2,-1.566199,37.100166,640.82513427734375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
KE-Aq1,-1.57781,37.067047,640.82513427734375,exact,6,634.7–968.6 mm yr-1,21,9,13,14
IT-SR2,43.73202,10.29091,552.29400634765625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
ID-JOP,-1.69306,103.39139,1383.6717529296875,exact,7,>968.6 mm yr-1,30,12,18,20
CR-AqC,9.938369,-83.7289,1499.8590087890625,exact,7,>968.6 mm yr-1,30,12,18,20
CN-SnB,31.6905,121.6563,728.5726318359375,exact,6,634.7–968.6 mm yr-1,22,9,14,15
CN-Sb2,42.39117,117.37017,381.1966247558594,exact,4,263.9–394.0 mm yr-1,16,7,10,11
CN-Sb1,42.40907,117.31461,381.1966247558594,exact,4,263.9–394.0 mm yr-1,16,7,10,11
BW-Nxr,-19.548056,23.179167,432.6473388671875,exact,5,394.0–634.7 mm yr-1,17,7,11,12
BW-Gum,-18.964722,22.37111,452.5456237792969,exact,5,394.0–634.7 mm yr-1,18,8,11,12
BJ-Nhu,9.74,1.6,785.41522216796875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
BJ-Db1,6.607338,2.543043,928.45550537109375,exact,6,634.7–968.6 mm yr-1,25,10,15,17
BJ-Bfg,9.791,1.718,785.41522216796875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
ZM-Mon,-15.4391,23.2525,695.17755126953125,exact,6,634.7–968.6 mm yr-1,22,9,13,15
UK-HpF,52.24809,-0.0498267,401.0645446777344,exact,5,394.0–634.7 mm yr-1,16,7,10,11
UK-HgF,52.552177,0.515057,399.6946105957031,exact,5,394.0–634.7 mm yr-1,16,7,10,11
UK-Gwr,54.85464,-5.988278,400.5992431640625,exact,5,394.0–634.7 mm yr-1,16,7,10,11
UK-Gnn,54.96185,-6.760763,405.3941955566406,exact,5,394.0–634.7 mm yr-1,16,7,10,11
UK-GaB,55.10994,-6.529928,321.5661315917969,exact,4,263.9–394.0 mm yr-1,13,6,9,9
UK-Cvn,52.43339,0.162177,393.1223449707031,exact,4,263.9–394.0 mm yr-1,16,7,10,11
UK-CCr,52.2542,-3.93357,444.6540222167969,exact,5,394.0–634.7 mm yr-1,17,8,11,12
UK-BnB,54.82326,-6.66984,405.3941955566406,exact,5,394.0–634.7 mm yr-1,16,7,10,11
UK-Ags,53.3097,-4.30044,461.0323486328125,exact,5,394.0–634.7 mm yr-1,18,8,11,12
SN-Nkr,14.49581,-16.45357,459.3300476074219,exact,5,394.0–634.7 mm yr-1,18,8,11,12
SN-Dhr,15.40256,-15.43214,386.5001831054687,exact,4,263.9–394.0 mm yr-1,16,7,10,11
SJ-Adv,78.186,15.923,81.58317565917969,exact,2,5.0–143.4 mm yr-1,4,3,3,3
SE-Trb,64.180916,19.837284,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
SE-St1,68.35415,19.050333,178.38104248046875,exact,3,143.4–263.9 mm yr-1,8,4,5,6
SE-Srj,64.17498,19.56381,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
SE-Ros,64.16522,19.79074,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
SE-Hmr,64.15955,19.551497,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
SE-HfM,64.15955,19.551497,282.06982421875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
SD-Dem,13.2829,30.4783,319.0411071777344,exact,4,263.9–394.0 mm yr-1,13,6,8,9
RU-Ha1,54.72517,90.00215,363.1251525878906,exact,4,263.9–394.0 mm yr-1,15,7,9,10
RU-Fyo,56.46153,32.922085,394.759765625,exact,5,394.0–634.7 mm yr-1,16,7,10,11
RU-Fy4,56.4727,33.0413,407.5298767089844,exact,5,394.0–634.7 mm yr-1,16,7,10,11
RU-Fy3,56.4435,33.0478,407.5298767089844,exact,5,394.0–634.7 mm yr-1,16,7,10,11
RU-Fy2,56.4476,32.90188,394.759765625,exact,5,394.0–634.7 mm yr-1,16,7,10,11
RU-Che,68.61304,161.34143,117.12652587890624,exact,2,5.0–143.4 mm yr-1,5,3,4,4
RU-Ch2,68.61689,161.35089,117.12652587890624,exact,2,5.0–143.4 mm yr-1,5,3,4,4
PA-SPs,9.31378,-79.63143,1358.2677001953125,exact,7,>968.6 mm yr-1,30,12,18,20
PA-SPn,9.31814,-79.6346,1358.2677001953125,exact,7,>968.6 mm yr-1,30,12,18,20
NO-Ikr,69.34,25.3,207.75599670410156,exact,3,143.4–263.9 mm yr-1,9,4,6,6
NO-Fns,60.59384,7.5271025,214.26564025878903,exact,3,143.4–263.9 mm yr-1,9,4,6,6
NO-And,69.1422,16.01975,315.945068359375,exact,4,263.9–394.0 mm yr-1,13,6,8,9
NL-Vkp,51.980934,5.618825,415.8201293945313,exact,5,394.0–634.7 mm yr-1,17,7,10,11
NL-Hrw,51.972466,5.641228,415.8201293945313,exact,5,394.0–634.7 mm yr-1,17,7,10,11
IT-SRo,43.72786,10.284445,552.29400634765625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
IT-PT1,45.20087,9.061039,583.0517578125,exact,5,394.0–634.7 mm yr-1,20,9,12,14
IT-NiG,45.51919,7.171434,454.75146484375,exact,5,394.0–634.7 mm yr-1,18,8,11,12
IT-MtM,46.687134,10.579597,410.4921875,exact,5,394.0–634.7 mm yr-1,16,7,10,11
IT-Lav,45.9562,11.28132,577.6485595703125,exact,5,394.0–634.7 mm yr-1,20,9,12,14
IT-CA3,42.38,12.0222,568.42633056640625,exact,5,394.0–634.7 mm yr-1,20,8,12,14
IT-CA2,42.37722,12.026039,568.42633056640625,exact,5,394.0–634.7 mm yr-1,20,8,12,14
IT-CA1,42.38041,12.026561,568.42633056640625,exact,5,394.0–634.7 mm yr-1,20,8,12,14
IT-Bsn,45.11924,7.160429,493.3429870605469,exact,5,394.0–634.7 mm yr-1,19,8,11,13
IT-BsB,45.11823,7.161995,493.3429870605469,exact,5,394.0–634.7 mm yr-1,19,8,11,13
IT-Arz,45.61902,10.00228,571.23089599609375,exact,5,394.0–634.7 mm yr-1,20,8,12,14
IL-Yat,31.345045,35.051987,203.10400390625,exact,3,143.4–263.9 mm yr-1,9,4,6,6
IL-RmH,32.5555,34.947285,440.3868103027344,exact,5,394.0–634.7 mm yr-1,17,8,11,12
IE-Gwr,52.6365,-7.011306,422.6601257324219,exact,5,394.0–634.7 mm yr-1,17,7,11,12
IE-CaN,52.85879,-6.918136,432.9938659667969,exact,5,394.0–634.7 mm yr-1,17,7,11,12
IE-CaC,52.85879,-6.918136,432.9938659667969,exact,5,394.0–634.7 mm yr-1,17,7,11,12
GH-Ank,5.268543,-2.694206,1067.3275146484375,exact,7,>968.6 mm yr-1,30,12,18,20
FR-Nzn,48.005814,-2.81721,519.51300048828125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
FR-Mau,43.385,1.29306,609.148193359375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
FR-LBr,44.71711,-0.7693,605.43359375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
FI-Sar,63.15143,27.199064,300.1099853515625,exact,4,263.9–394.0 mm yr-1,13,6,8,9
FI-Ruk,64.68398,25.106318,291.2874450683594,exact,4,263.9–394.0 mm yr-1,12,6,8,9
FI-Rk2,61.182884,25.262684,319.9693298339844,exact,4,263.9–394.0 mm yr-1,13,6,8,9
FI-Qvd,60.295242,22.391607,291.5733642578125,exact,4,263.9–394.0 mm yr-1,12,6,8,9
FI-Pap,63.13806,27.246117,300.1099853515625,exact,4,263.9–394.0 mm yr-1,13,6,8,9
FI-Nsv,62.8639,24.08382,307.2436828613281,exact,4,263.9–394.0 mm yr-1,13,6,8,9
FI-Jok,60.8986,23.51345,326.41558837890625,exact,4,263.9–394.0 mm yr-1,14,6,9,9
ES-Yst,38.338932,-2.3506052,448.9371337890625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
ES-VDA,42.15111,1.4473800000000001,604.847900390625,exact,5,394.0–634.7 mm yr-1,20,9,13,14
ES-TzM,39.265785,-1.9397246,384.4165954589844,exact,4,263.9–394.0 mm yr-1,16,7,10,11
ES-Srn,40.15047,-0.8380832,511.6796875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
ES-Pzb,38.362118,-4.767329,429.9270935058594,exact,5,394.0–634.7 mm yr-1,17,7,11,12
ES-Pdu,37.016975,-3.609228,394.2515869140625,exact,5,394.0–634.7 mm yr-1,16,7,10,11
ES-Mzn,40.089497,-0.827409,511.6796875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
ES-MtN,36.99234,-6.4826016,442.3694458007813,exact,5,394.0–634.7 mm yr-1,17,8,11,12
ES-MtB,37.020206,-6.5544033,389.829345703125,exact,4,263.9–394.0 mm yr-1,16,7,10,11
ES-Mcd,39.58819,-0.39969,406.8908081054687,exact,5,394.0–634.7 mm yr-1,16,7,10,11
ES-LM2,39.934593,-5.775881,360.2332458496094,exact,4,263.9–394.0 mm yr-1,15,7,9,10
ES-LM1,39.94269,-5.778683,360.2332458496094,exact,4,263.9–394.0 mm yr-1,15,7,9,10
ES-LJu,36.926594,-2.752115,313.0164794921875,exact,4,263.9–394.0 mm yr-1,13,6,8,9
ES-Hen,38.411087,-1.697534,353.8660583496094,exact,4,263.9–394.0 mm yr-1,15,6,9,10
ES-HeB,38.40475,-1.726215,353.8660583496094,exact,4,263.9–394.0 mm yr-1,15,6,9,10
ES-HdD,38.49679,-5.111296,449.2414855957031,exact,5,394.0–634.7 mm yr-1,18,8,11,12
ES-Gdn,37.91084,-3.228489,391.44879150390625,exact,4,263.9–394.0 mm yr-1,16,7,10,11
ES-FtD,36.99854,-6.434575,442.3694458007813,exact,5,394.0–634.7 mm yr-1,17,8,11,12
ES-Dnn,36.9968,-6.5118,520.90411376953125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
ES-Crg,39.11926,-0.95852,422.4361877441406,exact,5,394.0–634.7 mm yr-1,17,7,11,12
ES-Cnd,37.914997,-3.227659,391.44879150390625,exact,4,263.9–394.0 mm yr-1,16,7,10,11
ES-Amo,36.833405,-2.2522173,243.16114807128903,exact,3,143.4–263.9 mm yr-1,10,5,7,7
ES-Agu,36.939384,-2.034044,243.16114807128903,exact,3,143.4–263.9 mm yr-1,10,5,7,7
ES-Abr,38.70184,-6.785881,436.0550537109375,exact,5,394.0–634.7 mm yr-1,17,7,11,12
EE-Stg,58.023636,26.070753,352.829833984375,exact,4,263.9–394.0 mm yr-1,15,6,9,10
EE-Rng,57.913143,26.694048,376.5223083496094,exact,4,263.9–394.0 mm yr-1,15,7,10,11
EE-Pts,58.562298,24.369932,373.5088806152344,exact,4,263.9–394.0 mm yr-1,15,7,10,11
DK-Fou,56.4842,9.58722,379.8316955566406,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DK-Eng,55.69053,12.19175,389.3805541992187,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DE-Zrk,53.875942,12.88901,415.4722595214844,exact,5,394.0–634.7 mm yr-1,17,7,10,11
DE-Spw,51.89225,14.03369,437.7088317871094,exact,5,394.0–634.7 mm yr-1,17,7,11,12
DE-SfS,47.80629,11.32757,546.5693359375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
DE-Seh,50.870625,6.449653,445.409912109375,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-SbM,51.764927,10.51799,453.5633850097656,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-RuM,50.929787,6.2969923,445.409912109375,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-RuC,50.5031,6.336,445.409912109375,exact,5,394.0–634.7 mm yr-1,17,8,11,12
DE-Rns,51.494953,9.932118,458.75830078125,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-Obe,50.7864,13.72168,450.4152526855469,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-Lnf,51.328217,10.3678,465.752197265625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
DE-Lkb,49.099617,13.3046665,497.5468444824219,exact,5,394.0–634.7 mm yr-1,19,8,12,13
DE-Hte,54.213055,12.179944,380.35247802734375,exact,4,263.9–394.0 mm yr-1,16,7,10,11
DE-Hdn,53.86825,13.268543,418.2064208984375,exact,5,394.0–634.7 mm yr-1,17,7,10,11
DE-Etn,48.268486,7.878243,518.77294921875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
DE-Akm,53.86617,13.68342,421.3583984375,exact,5,394.0–634.7 mm yr-1,17,7,10,12
CZ-Stn,49.035976,17.9699,507.8115539550781,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CZ-RAJ,49.44372,16.696512,462.6687927246094,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CZ-LnG,48.704224,16.926247,461.2334899902344,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CZ-KrP,49.573257,15.078773,475.18902587890625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CZ-BK2,49.49443,18.54285,507.7304382324219,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Tnk,47.48058,8.911775,520.25347900390625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Rtb,47.3804,8.9934,520.25347900390625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Rh2,47.3,9.5,533.37982177734375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Rh1,47.3,9.5,533.37982177734375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Oe3,47.28542,7.732438,529.791015625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Oe2,47.286415,7.73375,529.791015625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Oe1,47.28583,7.731944,529.791015625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Lae,47.478333,8.364389,512.12445068359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Fru,47.115833,8.537778,520.25347900390625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Frk,46.577637,8.421592,466.3170776367187,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CH-For,46.527206,6.7595406,526.3851318359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Crs,47.0436,7.0475,527.75714111328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Cha,47.21022,8.410444,512.12445068359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CH-Aws,46.58311,9.790639,459.2020568847656,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CG-Tch,-4.2891665,11.656417,802.67919921875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
BE-Lcr,51.11218,3.85043,452.407470703125,exact,5,394.0–634.7 mm yr-1,18,8,11,12
AT-Zoe,47.842247,14.444137,553.633544921875,exact,5,394.0–634.7 mm yr-1,20,8,12,13
AT-PsM,47.58145,14.347197,553.633544921875,exact,5,394.0–634.7 mm yr-1,20,8,12,13
AT-Nsd,47.76914,16.758492,507.757568359375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AT-Neu,47.116318,11.320229,538.36212158203125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AT-Mmg,47.316563,10.970089,531.167236328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CN-Zha,38.97514,100.4464,190.1385955810547,exact,3,143.4–263.9 mm yr-1,8,4,5,6
CN-Yuc,36.8287,116.5701,507.76214599609375,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CN-You,38.01419,100.24206,282.92010498046875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
CN-Yan,37.82861,107.49278,277.99542236328125,exact,4,263.9–394.0 mm yr-1,12,5,7,8
CN-YaS,37.70877,107.22655,277.99542236328125,exact,4,263.9–394.0 mm yr-1,12,5,7,8
CN-Xi2,43.55444,116.6714,315.6322326660156,exact,4,263.9–394.0 mm yr-1,13,6,8,9
CN-Wnb,40.42876,106.74229,144.48484802246094,exact,3,143.4–263.9 mm yr-1,6,3,4,5
CN-Sdq,42.00119,101.13741,36.02893829345703,exact,2,5.0–143.4 mm yr-1,3,2,2,2
CN-Qng,33.46807,108.49102,628.91253662109375,exact,5,394.0–634.7 mm yr-1,21,9,13,14
CN-Nmn,42.94611,120.72694,367.4521484375,exact,4,263.9–394.0 mm yr-1,15,7,9,10
CN-Mxn,31.6948,103.8951,591.31414794921875,exact,5,394.0–634.7 mm yr-1,20,9,12,14
CN-Lch,37.88936,114.69289,454.5689697265625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CN-Jzh,41.14806,121.20167,457.8568115234375,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CN-Jng,37.83869,101.1145,329.3330993652344,exact,4,263.9–394.0 mm yr-1,14,6,9,10
CN-Huz,38.76519,100.3186,190.1385955810547,exact,3,143.4–263.9 mm yr-1,8,4,5,6
CN-HeM,41.99029,101.13349,34.183937072753906,exact,2,5.0–143.4 mm yr-1,3,2,2,2
CN-HeD,42.1135,100.9872,35.17998504638672,exact,2,5.0–143.4 mm yr-1,3,2,2,2
CN-HaW,37.607655,101.32899,329.3330993652344,exact,4,263.9–394.0 mm yr-1,14,6,9,10
CN-Ha2,37.6086,101.3269,329.3330993652344,exact,4,263.9–394.0 mm yr-1,14,6,9,10
CN-GuT,34.35481,100.4872,322.7206115722656,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CN-Erg,50.1869,119.3889,339.35260009765625,exact,4,263.9–394.0 mm yr-1,14,6,9,10
CN-Dzo,19.546,109.475,885.690673828125,exact,6,634.7–968.6 mm yr-1,25,10,15,17
CN-Du2,42.0467,116.2836,381.5594787597656,exact,4,263.9–394.0 mm yr-1,16,7,10,11
CN-Dsh,38.83992,98.9406,241.59161376953125,exact,3,143.4–263.9 mm yr-1,10,5,7,7
CN-Dmn,38.85551,100.37223,190.1385955810547,exact,3,143.4–263.9 mm yr-1,8,4,5,6
CN-Din,23.1733,112.5361,873.20257568359375,exact,6,634.7–968.6 mm yr-1,24,10,15,16
CN-Dda,41.64397,110.33147,249.10313415527344,exact,3,143.4–263.9 mm yr-1,11,5,7,7
CN-Dan,30.4978,91.0664,316.0395202636719,exact,4,263.9–394.0 mm yr-1,13,6,8,9
CN-DaW,30.4691,91.0624,316.0395202636719,exact,4,263.9–394.0 mm yr-1,13,6,8,9
CN-BeO,40.02621,116.39143,402.4365539550781,exact,5,394.0–634.7 mm yr-1,16,7,10,11
CN-Ash,24.53806,101.02917,708.8150634765625,exact,6,634.7–968.6 mm yr-1,22,9,13,15
CN-Aro,38.04734,100.46432,282.92010498046875,exact,4,263.9–394.0 mm yr-1,12,5,8,8
NZ-BFm,-43.593528,171.929611,612.01666259765625,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-Fog,-12.5452,131.3072,927.01641845703125,exact,6,634.7–968.6 mm yr-1,25,10,15,17
AU-Rgf,-32.506102,116.966827,445.2626037597656,exact,5,394.0–634.7 mm yr-1,17,8,11,12
AU-Dry,-15.2588,132.3706,696.79241943359375,exact,6,634.7–968.6 mm yr-1,22,9,13,15
NZ-BFu,-43.591833,171.926833,612.01666259765625,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-Wgt,-42.09139,147.07944,542.84356689453125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AU-APL,-36.862222,147.320833,795.3955078125,exact,6,634.7–968.6 mm yr-1,23,10,14,16
AU-Col,-33.42,116.237,533.3692626953125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AU-Ctr,-16.103219,145.446922,954.0440063476564,exact,6,634.7–968.6 mm yr-1,25,11,16,17
AU-Gin,-31.376351,115.71377,480.2405090332031,exact,5,394.0–634.7 mm yr-1,18,8,11,12
NZ-ADw,-43.64935,172.34952,517.76031494140625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
NZ-Kop,-37.387875,175.55389,821.7611083984375,exact,6,634.7–968.6 mm yr-1,24,10,14,16
AU-GWW,-30.1914,120.65417,289.0340270996094,exact,4,263.9–394.0 mm yr-1,12,6,8,8
NZ-Lau,-45.038904,169.681109,451.255859375,exact,5,394.0–634.7 mm yr-1,18,8,11,12
AU-Lit,-13.17904,130.79455,903.6741943359376,exact,6,634.7–968.6 mm yr-1,25,10,15,17
AU-Emr,-23.85872,148.4746,565.19134521484375,exact,5,394.0–634.7 mm yr-1,20,8,12,13
AU-How,-12.4952,131.15005,1013.4210205078124,exact,7,>968.6 mm yr-1,30,12,18,20
AU-Rob,-17.11746943,145.6301375,1115.906005859375,exact,7,>968.6 mm yr-1,30,12,18,20
AU-Sno,-36.375649,148.43585,783.8319091796875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
AU-DaS,-14.1592,131.3881,807.28875732421875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
AU-Whr,-36.6732,145.0294,531.809326171875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AU-Wom,-37.422506,144.094046,590.3258056640625,exact,5,394.0–634.7 mm yr-1,20,9,12,14
AU-Tum,-35.6566,148.1516,732.27984619140625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
AU-Cpr,-34.0027,140.5877,252.0442047119141,exact,3,143.4–263.9 mm yr-1,11,5,7,8
NZ-ADd,-43.64405,172.35465,517.76031494140625,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AU-Ya1,-33.613469,150.734864,760.1728515625,exact,6,634.7–968.6 mm yr-1,23,10,14,15
AU-MvA,-30.543,150.02,632.46630859375,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-Ync,-34.9878,146.2908,402.7666931152344,exact,5,394.0–634.7 mm yr-1,16,7,10,11
AU-MvB,-30.697,150.09,632.46630859375,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-Rig,-36.6499,145.5759,624.84490966796875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-Wrr,-43.09502,146.65452,736.9249267578125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
AU-Wac,-37.4259,145.1878,632.4759521484375,exact,5,394.0–634.7 mm yr-1,21,9,13,14
NZ-Oxf,-43.2609,172.21588,650.2705078125,exact,6,634.7–968.6 mm yr-1,21,9,13,14
AU-Cum,-33.615278000000004,150.723611,760.1728515625,exact,6,634.7–968.6 mm yr-1,23,10,14,15
AU-TTE,-22.287,133.64,285.9890441894531,exact,4,263.9–394.0 mm yr-1,12,5,8,8
AU-Otw,-38.525,142.81,672.779296875,exact,6,634.7–968.6 mm yr-1,21,9,13,15
AU-Wel,-32.5727,148.9843,615.246337890625,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-Cow,-16.238189,145.42715,954.0440063476564,exact,6,634.7–968.6 mm yr-1,25,11,16,17
NZ-Cla,-43.78628,171.59558,612.01666259765625,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-RDF,-14.563639,132.477567,762.9434814453125,exact,6,634.7–968.6 mm yr-1,23,10,14,15
AU-Stp,-17.1507,133.3502,511.8424987792969,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AU-Sam,-27.38806,152.87778,875.661376953125,exact,6,634.7–968.6 mm yr-1,24,10,15,17
AU-Lox,-34.47035,140.65512,252.0442047119141,exact,3,143.4–263.9 mm yr-1,11,5,7,8
AU-Ya2,-33.620812,150.763284,760.1728515625,exact,6,634.7–968.6 mm yr-1,23,10,14,15
AU-Sil,-42.090556,147.0875,542.84356689453125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
AU-Ade,-13.0769,131.1178,944.1776123046876,exact,6,634.7–968.6 mm yr-1,25,11,15,17
AU-Lon,-23.52327,144.31042,410.8050231933594,exact,5,394.0–634.7 mm yr-1,17,7,10,11
NZ-ScF,-37.46,175.22,804.8319091796875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
AU-Boy,-32.477093000000004,116.938559,438.5467834472656,exact,5,394.0–634.7 mm yr-1,17,7,11,12
AU-Fle,-19.887285,146.189138,623.71307373046875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
AU-ASM,-22.283,133.249,291.10125732421875,exact,4,263.9–394.0 mm yr-1,12,6,8,9
AU-DaP,-14.0633,131.3181,807.28875732421875,exact,6,634.7–968.6 mm yr-1,23,10,14,16
