site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
US-Me5,44.4372,-121.5668,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17,7,11,12
US-Me6,44.3232,-121.6044,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17,7,11,12
US-Me7,44.4534,-121.5619,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17,7,11,12
US-MEF,39.1006,-105.1024,371.29681396484375,exact,4,263.9–394.0 mm yr-1,15,7,10,11
US-MMS,39.3232,-86.4133,676.22943115234375,exact,6,634.7–968.6 mm yr-1,21,9,13,15
US-MN1,45.6168,-96.1269,491.2110900878906,exact,5,394.0–634.7 mm yr-1,19,8,11,13
US-MN2,45.627,-96.1271,491.2110900878906,exact,5,394.0–634.7 mm yr-1,19,8,11,13
US-MN3,45.6091,-96.1265,491.2110900878906,exact,5,394.0–634.7 mm yr-1,19,8,11,13
US-Mo1,39.2298,-92.1167,723.87725830078125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-Mo2,38.9488,-91.9945,724.483642578125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-Mo3,39.2322,-92.1493,723.87725830078125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-MOz,38.7441,-92.2,722.5723876953125,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-Mpj,34.4382,-106.2385,311.2225646972656,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-MtB,32.416,-110.7256,334.2968444824219,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-Myb,38.0499,-121.765,388.1703186035156,exact,4,263.9–394.0 mm yr-1,16,7,10,11
US-MZA,43.0441,-76.7897,543.4432373046875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-NC1,35.8118,-76.7119,841.90106201171875,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-NC2,35.803,-76.6685,841.90106201171875,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-NC3,35.799,-76.656,841.90106201171875,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-NC4,35.7817,-75.9135,737.7730712890625,exact,6,634.7–968.6 mm yr-1,22,9,14,15
US-NC5,36.1565,-78.7878,768.6210327148436,exact,6,634.7–968.6 mm yr-1,23,10,14,15
US-Ne1,41.1651,-96.4766,566.23126220703125,exact,5,394.0–634.7 mm yr-1,20,8,12,14
US-Ne2,41.1649,-96.4701,566.23126220703125,exact,5,394.0–634.7 mm yr-1,20,8,12,14
