site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
IT-Lav,45.9562,11.28132,147,6,94.0–171.0 Mg/ha,exact,25,10,15,17
IT-CA3,42.38,12.0222,2,1,0–5 Mg/ha,exact,1,1,1,1
IT-CA2,42.37722,12.026039,2,1,0–5 Mg/ha,exact,1,1,1,1
IT-CA1,42.38041,12.026561,7,2,5–13.0 Mg/ha,exact,3,2,2,3
IT-Bsn,45.11924,7.160429,92,5,51.0–94.0 Mg/ha,exact,21,9,13,14
IT-BsB,45.11823,7.161995,92,5,51.0–94.0 Mg/ha,exact,21,9,13,14
IT-Arz,45.61902,10.00228,26,3,13.0–27.0 Mg/ha,exact,11,5,7,8
IL-Yat,31.345045,35.051987,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
IL-RmH,32.5555,34.947285,12,2,5–13.0 Mg/ha,exact,6,3,4,4
IE-Gwr,52.6365,-7.011306,0,1,0–5 Mg/ha,exact,1,1,1,1
IE-CaN,52.85879,-6.918136,8,2,5–13.0 Mg/ha,exact,4,2,3,3
IE-CaC,52.85879,-6.918136,8,2,5–13.0 Mg/ha,exact,4,2,3,3
GH-Ank,5.268543,-2.694206,280,7,>171.0 Mg/ha,exact,29,12,17,19
FR-Nzn,48.005814,-2.81721,8,2,5–13.0 Mg/ha,exact,4,2,3,3
FR-Mau,43.385,1.29306,40,4,27.0–51.0 Mg/ha,exact,14,6,9,10
FR-LBr,44.71711,-0.7693,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
FI-Sar,63.15143,27.199064,94,6,94.0–171.0 Mg/ha,exact,21,9,13,14
FI-Ruk,64.68398,25.106318,39,4,27.0–51.0 Mg/ha,exact,14,6,9,10
FI-Rk2,61.182884,25.262684,131,6,94.0–171.0 Mg/ha,exact,24,10,14,16
FI-Qvd,60.295242,22.391607,48,4,27.0–51.0 Mg/ha,exact,16,7,10,11
FI-Pap,63.13806,27.246117,56,5,51.0–94.0 Mg/ha,exact,17,7,10,11
FI-Nsv,62.8639,24.08382,48,4,27.0–51.0 Mg/ha,exact,16,7,10,11
FI-Jok,60.8986,23.51345,33,4,27.0–51.0 Mg/ha,exact,13,6,8,9
ES-Yst,38.338932,-2.3506052,76,5,51.0–94.0 Mg/ha,exact,19,8,12,13
ES-VDA,42.15111,1.4473800000000001,71,5,51.0–94.0 Mg/ha,exact,19,8,12,13
ES-TzM,39.265785,-1.9397246,1,1,0–5 Mg/ha,exact,1,1,1,1
ES-Srn,40.15047,-0.8380832,11,2,5–13.0 Mg/ha,exact,5,3,4,4
ES-Pzb,38.362118,-4.767329,2,1,0–5 Mg/ha,exact,1,1,1,1
ES-Pdu,37.016975,-3.609228,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
ES-Mzn,40.089497,-0.827409,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
ES-MtN,36.99234,-6.4826016,6,2,5–13.0 Mg/ha,exact,2,2,2,2
ES-MtB,37.020206,-6.5544033,9,2,5–13.0 Mg/ha,exact,4,3,3,3
ES-Mcd,39.58819,-0.39969,2,1,0–5 Mg/ha,exact,1,1,1,1
ES-LM2,39.934593,-5.775881,8,2,5–13.0 Mg/ha,exact,4,2,3,3
ES-LM1,39.94269,-5.778683,9,2,5–13.0 Mg/ha,exact,4,3,3,3
ES-LJu,36.926594,-2.752115,42,4,27.0–51.0 Mg/ha,exact,15,6,9,10
ES-Hen,38.411087,-1.697534,10,2,5–13.0 Mg/ha,exact,5,3,4,4
ES-HeB,38.40475,-1.726215,8,2,5–13.0 Mg/ha,exact,4,2,3,3
ES-HdD,38.49679,-5.111296,0,1,0–5 Mg/ha,exact,1,1,1,1
ES-Gdn,37.91084,-3.228489,2,1,0–5 Mg/ha,exact,1,1,1,1
ES-FtD,36.99854,-6.434575,2,1,0–5 Mg/ha,exact,1,1,1,1
ES-Dnn,36.9968,-6.5118,9,2,5–13.0 Mg/ha,exact,4,3,3,3
ES-Crg,39.11926,-0.95852,10,2,5–13.0 Mg/ha,exact,5,3,4,4
ES-Cnd,37.914997,-3.227659,2,1,0–5 Mg/ha,exact,1,1,1,1
ES-Amo,36.833405,-2.2522173,0,1,0–5 Mg/ha,exact,1,1,1,1
ES-Agu,36.939384,-2.034044,0,1,0–5 Mg/ha,exact,1,1,1,1
ES-Abr,38.70184,-6.785881,0,1,0–5 Mg/ha,exact,1,1,1,1
EE-Stg,58.023636,26.070753,170,6,94.0–171.0 Mg/ha,exact,26,11,16,17
EE-Rng,57.913143,26.694048,62,5,51.0–94.0 Mg/ha,exact,18,8,11,12
EE-Pts,58.562298,24.369932,11,2,5–13.0 Mg/ha,exact,5,3,4,4
DK-Fou,56.4842,9.58722,8,2,5–13.0 Mg/ha,exact,4,2,3,3
DK-Eng,55.69053,12.19175,5,2,5–13.0 Mg/ha,exact,2,2,2,2
DE-Zrk,53.875942,12.88901,11,2,5–13.0 Mg/ha,exact,5,3,4,4
DE-Spw,51.89225,14.03369,157,6,94.0–171.0 Mg/ha,exact,25,10,15,17
DE-SfS,47.80629,11.32757,102,6,94.0–171.0 Mg/ha,exact,22,9,13,15
DE-Seh,50.870625,6.449653,4,1,0–5 Mg/ha,exact,1,1,1,1
DE-SbM,51.764927,10.51799,81,5,51.0–94.0 Mg/ha,exact,20,8,12,13
DE-RuM,50.929787,6.2969923,5,2,5–13.0 Mg/ha,exact,2,2,2,2
DE-RuC,50.5031,6.336,205,7,>171.0 Mg/ha,exact,27,11,16,18
DE-Rns,51.494953,9.932118,25,3,13.0–27.0 Mg/ha,exact,11,5,7,8
DE-Obe,50.7864,13.72168,219,7,>171.0 Mg/ha,exact,27,11,16,18
DE-Lnf,51.328217,10.3678,175,7,>171.0 Mg/ha,exact,26,11,16,17
DE-Lkb,49.099617,13.3046665,95,6,94.0–171.0 Mg/ha,exact,21,9,13,14
DE-Hte,54.213055,12.179944,26,3,13.0–27.0 Mg/ha,exact,11,5,7,8
DE-Hdn,53.86825,13.268543,0,1,0–5 Mg/ha,exact,1,1,1,1
DE-Etn,48.268486,7.878243,226,7,>171.0 Mg/ha,exact,27,11,17,18
DE-Akm,53.86617,13.68342,43,4,27.0–51.0 Mg/ha,exact,15,7,9,10
CZ-Stn,49.035976,17.9699,173,7,>171.0 Mg/ha,exact,26,11,16,17
CZ-RAJ,49.44372,16.696512,67,5,51.0–94.0 Mg/ha,exact,18,8,11,12
CZ-LnG,48.704224,16.926247,50,4,27.0–51.0 Mg/ha,exact,16,7,10,11
CZ-KrP,49.573257,15.078773,38,4,27.0–51.0 Mg/ha,exact,14,6,9,10
CZ-BK2,49.49443,18.54285,222,7,>171.0 Mg/ha,exact,27,11,17,18
CH-Tnk,47.48058,8.911775,52,5,51.0–94.0 Mg/ha,exact,16,7,10,11
CH-Rtb,47.3804,8.9934,66,5,51.0–94.0 Mg/ha,exact,18,8,11,12
CH-Rh2,47.3,9.5,55,5,51.0–94.0 Mg/ha,exact,17,7,10,11
CH-Rh1,47.3,9.5,55,5,51.0–94.0 Mg/ha,exact,17,7,10,11
CH-Oe3,47.28542,7.732438,48,4,27.0–51.0 Mg/ha,exact,16,7,10,11
CH-Oe2,47.286415,7.73375,48,4,27.0–51.0 Mg/ha,exact,16,7,10,11
CH-Oe1,47.28583,7.731944,48,4,27.0–51.0 Mg/ha,exact,16,7,10,11
CH-Lae,47.478333,8.364389,259,7,>171.0 Mg/ha,exact,28,12,17,19
CH-Fru,47.115833,8.537778,52,5,51.0–94.0 Mg/ha,exact,16,7,10,11
CH-Frk,46.577637,8.421592,0,1,0–5 Mg/ha,exact,1,1,1,1
CH-For,46.527206,6.7595406,40,4,27.0–51.0 Mg/ha,exact,14,6,9,10
CH-Crs,47.0436,7.0475,32,4,27.0–51.0 Mg/ha,exact,13,6,8,9
CH-Cha,47.21022,8.410444,39,4,27.0–51.0 Mg/ha,exact,14,6,9,10
CH-Aws,46.58311,9.790639,26,3,13.0–27.0 Mg/ha,exact,11,5,7,8
CG-Tch,-4.2891665,11.656417,1,1,0–5 Mg/ha,exact,1,1,1,1
BE-Lcr,51.11218,3.85043,10,2,5–13.0 Mg/ha,exact,5,3,4,4
AT-Zoe,47.842247,14.444137,297,7,>171.0 Mg/ha,exact,29,12,18,20
AT-PsM,47.58145,14.347197,87,5,51.0–94.0 Mg/ha,exact,20,9,13,14
AT-Nsd,47.76914,16.758492,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
AT-Neu,47.116318,11.320229,65,5,51.0–94.0 Mg/ha,exact,18,8,11,12
AT-Mmg,47.316563,10.970089,198,7,>171.0 Mg/ha,exact,27,11,16,18
CN-Zha,38.97514,100.4464,3,1,0–5 Mg/ha,exact,1,1,1,1
CN-Yuc,36.8287,116.5701,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-You,38.01419,100.24206,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Yan,37.82861,107.49278,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-YaS,37.70877,107.22655,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Xi2,43.55444,116.6714,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Wnb,40.42876,106.74229,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Sdq,42.00119,101.13741,6,2,5–13.0 Mg/ha,exact,2,2,2,2
CN-Qng,33.46807,108.49102,100,6,94.0–171.0 Mg/ha,exact,21,9,13,15
CN-Nmn,42.94611,120.72694,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Mxn,31.6948,103.8951,61,5,51.0–94.0 Mg/ha,exact,17,8,11,12
CN-Lch,37.88936,114.69289,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Jzh,41.14806,121.20167,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Jng,37.83869,101.1145,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Huz,38.76519,100.3186,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-HeM,41.99029,101.13349,4,1,0–5 Mg/ha,exact,1,1,1,1
CN-HeD,42.1135,100.9872,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-HaW,37.607655,101.32899,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Ha2,37.6086,101.3269,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-GuT,34.35481,100.4872,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Erg,50.1869,119.3889,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Dzo,19.546,109.475,52,5,51.0–94.0 Mg/ha,exact,16,7,10,11
CN-Du2,42.0467,116.2836,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Dsh,38.83992,98.9406,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Dmn,38.85551,100.37223,2,1,0–5 Mg/ha,exact,1,1,1,1
CN-Din,23.1733,112.5361,154,6,94.0–171.0 Mg/ha,exact,25,10,15,17
CN-Dda,41.64397,110.33147,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-Dan,30.4978,91.0664,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-DaW,30.4691,91.0624,0,1,0–5 Mg/ha,exact,1,1,1,1
CN-BeO,40.02621,116.39143,9,2,5–13.0 Mg/ha,exact,4,3,3,3
CN-Ash,24.53806,101.02917,84,5,51.0–94.0 Mg/ha,exact,20,9,12,14
CN-Aro,38.04734,100.46432,0,1,0–5 Mg/ha,exact,1,1,1,1
NZ-BFm,-43.593528,171.929611,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-Fog,-12.5452,131.3072,53,5,51.0–94.0 Mg/ha,exact,16,7,10,11
AU-Rgf,-32.506102,116.966827,1,1,0–5 Mg/ha,exact,1,1,1,1
AU-Dry,-15.2588,132.3706,6,2,5–13.0 Mg/ha,exact,2,2,2,2
NZ-BFu,-43.591833,171.926833,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-Wgt,-42.09139,147.07944,187,7,>171.0 Mg/ha,exact,26,11,16,18
AU-APL,-36.862222,147.320833,8,2,5–13.0 Mg/ha,exact,4,2,3,3
AU-Col,-33.42,116.237,103,6,94.0–171.0 Mg/ha,exact,22,9,13,15
AU-Ctr,-16.103219,145.446922,322,7,>171.0 Mg/ha,exact,30,12,18,20
AU-Gin,-31.376351,115.71377,128,6,94.0–171.0 Mg/ha,exact,23,10,14,16
NZ-ADw,-43.64935,172.34952,0,1,0–5 Mg/ha,exact,1,1,1,1
NZ-Kop,-37.387875,175.55389,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
AU-GWW,-30.1914,120.65417,7,2,5–13.0 Mg/ha,exact,3,2,2,3
NZ-Lau,-45.038904,169.681109,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-Lit,-13.17904,130.79455,16,3,13.0–27.0 Mg/ha,exact,8,4,5,6
AU-Emr,-23.85872,148.4746,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-How,-12.4952,131.15005,30,4,27.0–51.0 Mg/ha,exact,12,6,8,8
AU-Rob,-17.11746943,145.6301375,296,7,>171.0 Mg/ha,exact,29,12,18,20
AU-Sno,-36.375649,148.43585,69,5,51.0–94.0 Mg/ha,exact,18,8,11,13
AU-DaS,-14.1592,131.3881,8,2,5–13.0 Mg/ha,exact,4,2,3,3
AU-Whr,-36.6732,145.0294,74,5,51.0–94.0 Mg/ha,exact,19,8,12,13
AU-Wom,-37.422506,144.094046,214,7,>171.0 Mg/ha,exact,27,11,16,18
AU-Tum,-35.6566,148.1516,120,6,94.0–171.0 Mg/ha,exact,23,10,14,16
AU-Cpr,-34.0027,140.5877,0,1,0–5 Mg/ha,exact,1,1,1,1
NZ-ADd,-43.64405,172.35465,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-Ya1,-33.613469,150.734864,46,4,27.0–51.0 Mg/ha,exact,15,7,10,11
AU-MvA,-30.543,150.02,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
AU-Ync,-34.9878,146.2908,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-MvB,-30.697,150.09,9,2,5–13.0 Mg/ha,exact,4,3,3,3
AU-Rig,-36.6499,145.5759,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-Wrr,-43.09502,146.65452,465,7,>171.0 Mg/ha,exact,30,12,18,20
AU-Wac,-37.4259,145.1878,230,7,>171.0 Mg/ha,exact,27,11,17,18
NZ-Oxf,-43.2609,172.21588,3,1,0–5 Mg/ha,exact,1,1,1,1
AU-Cum,-33.615278000000004,150.723611,87,5,51.0–94.0 Mg/ha,exact,20,9,13,14
AU-TTE,-22.287,133.64,1,1,0–5 Mg/ha,exact,1,1,1,1
AU-Otw,-38.525,142.81,0,1,0–5 Mg/ha,exact,1,1,1,1
AU-Wel,-32.5727,148.9843,11,2,5–13.0 Mg/ha,exact,5,3,4,4
AU-Cow,-16.238189,145.42715,279,7,>171.0 Mg/ha,exact,29,12,17,19
NZ-Cla,-43.78628,171.59558,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
AU-RDF,-14.563639,132.477567,6,2,5–13.0 Mg/ha,exact,2,2,2,2
AU-Stp,-17.1507,133.3502,1,1,0–5 Mg/ha,exact,1,1,1,1
AU-Sam,-27.38806,152.87778,105,6,94.0–171.0 Mg/ha,exact,22,9,13,15
AU-Lox,-34.47035,140.65512,2,1,0–5 Mg/ha,exact,1,1,1,1
AU-Ya2,-33.620812,150.763284,31,4,27.0–51.0 Mg/ha,exact,12,6,8,9
AU-Sil,-42.090556,147.0875,150,6,94.0–171.0 Mg/ha,exact,25,10,15,17
AU-Ade,-13.0769,131.1178,8,2,5–13.0 Mg/ha,exact,4,2,3,3
AU-Lon,-23.52327,144.31042,0,1,0–5 Mg/ha,exact,1,1,1,1
NZ-ScF,-37.46,175.22,1,1,0–5 Mg/ha,exact,1,1,1,1
AU-Boy,-32.477093000000004,116.938559,82,5,51.0–94.0 Mg/ha,exact,20,8,12,13
AU-Fle,-19.887285,146.189138,7,2,5–13.0 Mg/ha,exact,3,2,2,3
AU-ASM,-22.283,133.249,16,3,13.0–27.0 Mg/ha,exact,8,4,5,6
AU-DaP,-14.0633,131.3181,6,2,5–13.0 Mg/ha,exact,2,2,2,2
