site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
US-Fuf,35.089,-111.762,22,3,13.0–27.0 Mg/ha,exact,10,5,6,7
US-Fwf,35.4454,-111.7718,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
US-GLE,41.3665,-106.2399,28,4,27.0–51.0 Mg/ha,exact,12,5,7,8
US-Ha1,42.5378,-72.1715,169,6,94.0–171.0 Mg/ha,exact,26,11,16,17
US-HB1,33.3455,-79.1957,59,5,51.0–94.0 Mg/ha,exact,17,7,11,12
US-HB2,33.3242,-79.244,104,6,94.0–171.0 Mg/ha,exact,22,9,13,15
US-HB3,33.3482,-79.2322,103,6,94.0–171.0 Mg/ha,exact,22,9,13,15
US-HB4,33.2015,-79.2975,43,4,27.0–51.0 Mg/ha,exact,15,7,9,10
US-HBK,43.9397,-71.7181,186,7,>171.0 Mg/ha,exact,26,11,16,18
US-Hn2,46.6889,-119.4641,1,1,0–5 Mg/ha,exact,1,1,1,1
US-Hn3,46.6878,-119.4614,1,1,0–5 Mg/ha,exact,1,1,1,1
US-Ho2,45.209,-68.747,134,6,94.0–171.0 Mg/ha,exact,24,10,15,16
US-Ho3,45.2072,-68.7265,112,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-HRA,34.5852,-91.7517,3,1,0–5 Mg/ha,exact,1,1,1,1
US-HRC,34.5888,-91.7517,3,1,0–5 Mg/ha,exact,1,1,1,1
US-Hsm,38.2368,-122.0212,4,1,0–5 Mg/ha,exact,1,1,1,1
US-HVs,69.1672,-148.8569,0,1,0–5 Mg/ha,exact,1,1,1,1
US-HWB,40.8608,-77.8488,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
US-IAB,42.0001,-93.7016,1,1,0–5 Mg/ha,exact,1,1,1,1
US-IAC,41.9984,-93.7016,1,1,0–5 Mg/ha,exact,1,1,1,1
US-IAM,41.9994,-93.7042,1,1,0–5 Mg/ha,exact,1,1,1,1
US-ICh,68.6068,-149.2958,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ICs,68.6058,-149.311,0,1,0–5 Mg/ha,exact,1,1,1,1
US-ICt,68.6063,-149.3041,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Jo1,32.582,-106.635,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Jo2,32.5849,-106.6032,0,1,0–5 Mg/ha,exact,1,1,1,1
US-KFS,39.0561,-95.1907,33,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-Kon,39.0824,-96.5603,2,1,0–5 Mg/ha,exact,1,1,1,1
US-KPL,60.5382,-150.5061,104,6,94.0–171.0 Mg/ha,exact,22,9,13,15
US-KS1,28.4583,-80.6709,20,3,13.0–27.0 Mg/ha,exact,9,4,6,7
US-KS2,28.6086,-80.6715,35,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-KS3,28.7084,-80.7427,2,1,0–5 Mg/ha,exact,1,1,1,1
US-LA2,29.8587,-90.2869,41,4,27.0–51.0 Mg/ha,exact,14,6,9,10
US-LA3,29.4936,-89.9153,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Lin,36.3566,-119.0922,1,1,0–5 Mg/ha,exact,1,1,1,1
US-Los,46.0827,-89.9786,80,5,51.0–94.0 Mg/ha,exact,20,8,12,13
US-LS1,31.5615,-110.1403,2,1,0–5 Mg/ha,exact,1,1,1,1
US-MBP,47.5051,-93.4893,88,5,51.0–94.0 Mg/ha,exact,20,9,13,14
US-Me1,44.5794,-121.5,62,5,51.0–94.0 Mg/ha,exact,18,8,11,12
US-Me3,44.3154,-121.6078,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
US-Me5,44.4372,-121.5668,80,5,51.0–94.0 Mg/ha,exact,20,8,12,13
US-Me6,44.3232,-121.6044,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
US-Me7,44.4534,-121.5619,36,4,27.0–51.0 Mg/ha,exact,13,6,8,9
US-MEF,39.1006,-105.1024,11,2,5–13.0 Mg/ha,exact,5,3,4,4
US-MMS,39.3232,-86.4133,198,7,>171.0 Mg/ha,exact,27,11,16,18
US-MN1,45.6168,-96.1269,0,1,0–5 Mg/ha,exact,1,1,1,1
US-MN2,45.627,-96.1271,0,1,0–5 Mg/ha,exact,1,1,1,1
US-MN3,45.6091,-96.1265,1,1,0–5 Mg/ha,exact,1,1,1,1
US-Mo1,39.2298,-92.1167,2,1,0–5 Mg/ha,exact,1,1,1,1
US-Mo2,38.9488,-91.9945,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-Mo3,39.2322,-92.1493,7,2,5–13.0 Mg/ha,exact,3,2,2,3
US-MOz,38.7441,-92.2,145,6,94.0–171.0 Mg/ha,exact,24,10,15,17
US-Mpj,34.4382,-106.2385,12,2,5–13.0 Mg/ha,exact,6,3,4,4
US-MtB,32.416,-110.7256,51,5,51.0–94.0 Mg/ha,exact,16,7,10,11
US-Myb,38.0499,-121.765,5,2,5–13.0 Mg/ha,exact,2,2,2,2
US-MZA,43.0441,-76.7897,68,5,51.0–94.0 Mg/ha,exact,18,8,11,12
US-NC1,35.8118,-76.7119,67,5,51.0–94.0 Mg/ha,exact,18,8,11,12
US-NC2,35.803,-76.6685,101,6,94.0–171.0 Mg/ha,exact,21,9,13,15
US-NC3,35.799,-76.656,89,5,51.0–94.0 Mg/ha,exact,20,9,13,14
US-NC4,35.7817,-75.9135,129,6,94.0–171.0 Mg/ha,exact,24,10,14,16
US-NC5,36.1565,-78.7878,110,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-Ne1,41.1651,-96.4766,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Ne2,41.1649,-96.4701,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Ne3,41.1797,-96.4397,0,1,0–5 Mg/ha,exact,1,1,1,1
US-NGB,71.28,-156.6092,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-NGC,64.8618,-163.7002,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-NR1,40.0329,-105.547,53,5,51.0–94.0 Mg/ha,exact,16,7,10,11
US-NR3,40.052,-105.5864,19,3,13.0–27.0 Mg/ha,exact,9,4,6,6
