site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
US-BZB,AmeriFlux,WET,Northern America,Americas,2011,2025,14,11,78.6,FALSE,Boreal tundra woodland,42,Dfd,Df,D,-2.685499906539917,294,0.5607,Dry sub-humid
US-Jo1,AmeriFlux;LTER,OSH,Northern America,Americas,2010,2022,12,11,91.7,FALSE,Subtropical desert,24,Bwk,Bw,B,15.01200008392334,283,0.1461,Arid
US-KFS,AmeriFlux;Phenocam,GRA,Northern America,Americas,2007,2019,12,11,91.7,FALSE,Temperate steppe,33,Cfa,Cf,C,12.352499961853027,996,0.7911,Humid
US-MtB,AmeriFlux,ENF,Northern America,Americas,2009,2024,15,11,73.3,FALSE,Subtropical desert,24,Dwb,Dw,D,11.631166458129885,717,0.474,Semi-arid
US-Ro4,AmeriFlux;Phenocam,GRA,Northern America,Americas,2014,2025,11,11,100,FALSE,Temperate steppe,33,Dfa,Df,D,6.932666778564453,766,0.8318,Humid
US-Tw4,AmeriFlux;Phenocam,WET,Northern America,Americas,2013,2024,11,11,100,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.347167015075684,370,0.2593,Semi-arid
CA-Ca2,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,2000,2010,10,10,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C,8.69083309173584,1587,2.2007,Humid
CA-Gro,AmeriFlux;Fluxnet-Canada;Phenocam,MF,Northern America,Americas,2003,2014,11,10,90.9,FALSE,Temperate continental forest,32,Dfb,Df,D,1.3513332605361938,740,1.128,Humid
US-ICt,AmeriFlux;Phenocam,OSH,Northern America,Americas,2007,2025,18,10,55.6,FALSE,Polar,50,ET,ET,E,-10.105667114257812,243,0.6386,Dry sub-humid
US-Oho,AmeriFlux;USCCC,DBF,Northern America,Americas,2004,2013,9,10,111.1,FALSE,Temperate continental forest,32,Dfa,Df,D,9.459833145141602,855,0.8818,Humid
US-Tw1,AmeriFlux;Phenocam,WET,Northern America,Americas,2011,2023,12,10,83.3,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.347167015075684,370,0.2597,Semi-arid
CA-Man,AmeriFlux;Fluxnet-Canada,ENF,Northern America,Americas,1994,2008,14,9,64.3,FALSE,Boreal coniferous forest,41,Dfc,Df,D,-3.0783333778381348,509,0.853,Humid
US-Ced,AmeriFlux,CSH,Northern America,Americas,2005,2014,9,9,100,FALSE,Temperate continental forest,32,Cfa,Cf,C,11.527166366577148,1147,1.1082,Humid
CA-DBB,AmeriFlux,WET,Northern America,Americas,2015,2024,9,8,88.9,FALSE,Temperate oceanic forest,31,Csb,Cs,C,10.346969604492188,1469,1.8238,Humid
US-Bi1,AmeriFlux;Phenocam,CRO,Northern America,Americas,2016,2024,8,8,100,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.486000061035156,386,0.2666,Semi-arid
US-EML,AmeriFlux;LTER,OSH,Northern America,Americas,2008,2023,15,8,53.3,FALSE,Boreal mountain system,43,ET,ET,E,-3.3531668186187744,424,0.8533,Humid
US-Mo1,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2015,2024,9,8,88.9,FALSE,Temperate steppe,33,Cfa,Cf,C,11.879833221435549,1014,0.8685,Humid
US-Ro5,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2024,7,8,114.3,FALSE,Temperate steppe,33,Dfa,Df,D,6.932666778564453,766,0.8294,Humid
US-Ro6,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2024,7,8,114.3,FALSE,Temperate steppe,33,Dfa,Df,D,6.932666778564453,766,0.8323,Humid
US-Rwf,AmeriFlux;LTAR,CSH,Northern America,Americas,2014,2023,9,8,88.9,FALSE,Temperate desert,34,Bsh,Bs,B,5.72866678237915,449,0.3699,Semi-arid
US-Rws,AmeriFlux;LTAR;Phenocam,OSH,Northern America,Americas,2014,2023,9,8,88.9,FALSE,Temperate desert,34,BSk,BS,B,8.45633316040039,309,0.2529,Semi-arid
GF-Guy,European Fluxes Database;ICOS,EBF,Latin America and the Caribbean,Americas,2017,2024,7,8,114.3,FALSE,Tropical rainforest,11,Af,Af,A,25.73900032043457,2796,2.0544,Humid
BR-Ma2,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,1999,2016,17,7,41.2,FALSE,Tropical rainforest,11,Af,Af,A,26.437166213989254,2352,1.9752,Humid
BR-Sa1,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,2002,2011,9,7,77.8,FALSE,Tropical rainforest,11,Am,Am,A,25.62150001525879,1868,1.6127,Humid
CA-Qfo,AmeriFlux;Fluxnet-Canada;Phenocam,ENF,Northern America,Americas,2003,2010,7,7,100,FALSE,Boreal coniferous forest,41,Dfc,Df,D,-0.298666775226593,983,1.6927,Humid
CL-SDP,AmeriFlux,WET,Latin America and the Caribbean,Americas,2014,2021,7,7,100,FALSE,Temperate oceanic forest,31,Cfb,Cf,C,10.689332962036133,2354,3.7791,Humid
US-Bi2,AmeriFlux;Phenocam,CRO,Northern America,Americas,2017,2025,8,7,87.5,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.485166549682615,379,0.2649,Semi-arid
US-Dk2,AmeriFlux;Phenocam,DBF,Northern America,Americas,2001,2008,7,7,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,14.780500411987305,1165,0.9923,Humid
US-MN1,AmeriFlux,CRO,Northern America,Americas,2017,2024,7,7,100,FALSE,Temperate steppe,33,Dwb,Dw,D,6.076666831970215,598,0.6215,Dry sub-humid
US-MN2,AmeriFlux,CRO,Northern America,Americas,2017,2024,7,7,100,FALSE,Temperate steppe,33,Dwb,Dw,D,6.066500186920166,597,0.621,Dry sub-humid
US-Mo3,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2016,2023,7,7,100,FALSE,Temperate steppe,33,Cfa,Cf,C,11.886333465576172,1017,0.868,Humid
US-NC1,AmeriFlux;USCCC,ENF,Northern America,Americas,2005,2012,7,7,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,15.920666694641112,1248,1.0539,Humid
US-Rls,AmeriFlux;LTAR;Phenocam,CSH,Northern America,Americas,2014,2023,9,7,77.8,FALSE,Temperate desert,34,Bsh,Bs,B,7.153166770935059,375,0.2951,Semi-arid
US-Rms,AmeriFlux;LTAR;Phenocam,CSH,Northern America,Americas,2014,2023,9,7,77.8,FALSE,Temperate desert,34,Bsh,Bs,B,5.204500198364258,448,0.4286,Semi-arid
US-SRS,AmeriFlux,WSA,Northern America,Americas,2011,2018,7,7,100,FALSE,Subtropical desert,24,BSk,BS,B,18.298166275024418,474,0.2248,Semi-arid
US-Twt,AmeriFlux;Phenocam,CRO,Northern America,Americas,2009,2017,8,7,87.5,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.347167015075684,370,0.2604,Semi-arid
CA-ARF,AmeriFlux,WET,Northern America,Americas,2011,2024,13,6,46.2,FALSE,Boreal tundra woodland,42,Dfb,Df,D,-1.956666588783264,625,1.1267,Humid
US-BZo,AmeriFlux,WET,Northern America,Americas,2018,2025,7,6,85.7,FALSE,Boreal tundra woodland,42,Dfd,Df,D,-2.685499906539917,294,0.5639,Dry sub-humid
US-Dk1,AmeriFlux,GRA,Northern America,Americas,2001,2008,7,6,85.7,FALSE,Subtropical humid forest,21,Cfa,Cf,C,14.780500411987305,1165,0.991,Humid
US-Dk3,AmeriFlux,ENF,Northern America,Americas,2001,2008,7,6,85.7,FALSE,Subtropical humid forest,21,Cfa,Cf,C,14.780500411987305,1165,0.9898,Humid
US-HB1,AmeriFlux;Phenocam,WET,Northern America,Americas,2018,2024,6,6,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,17.937334060668945,1372,0.9844,Humid
US-HB2,AmeriFlux;Phenocam,ENF,Northern America,Americas,2018,2024,6,6,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,17.975595474243164,1370,0.9695,Humid
US-HB3,AmeriFlux;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical humid forest,21,Cfa,Cf,C,18.011333465576172,1370,0.971,Humid
US-Mo2,AmeriFlux;LTAR;Phenocam,GRA,Northern America,Americas,2018,2024,6,6,100,FALSE,Temperate steppe,33,Cfa,Cf,C,12.022832870483398,1018,0.8714,Humid
US-NC3,AmeriFlux;USCCC,ENF,Northern America,Americas,2013,2021,8,6,75,FALSE,Subtropical humid forest,21,Cfa,Cf,C,15.9399995803833,1254,1.0499,Humid
US-ONA,AmeriFlux;LTAR,GRA,Northern America,Americas,2016,2022,6,6,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,22.416500091552734,1285,0.8437,Humid
US-Prr,AmeriFlux,ENF,Northern America,Americas,2010,2022,12,6,50,FALSE,Boreal mountain system,43,Dwc,Dw,D,-3.251333475112915,319,0.5956,Dry sub-humid
US-UiE,AmeriFlux,CRO,Northern America,Americas,2018,2024,6,6,100,FALSE,Temperate steppe,33,Dfa,Df,D,11.01550006866455,1015,0.969,Humid
US-xAE,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33,Cfa,Cf,C,15.57883358001709,700,0.4018,Semi-arid
US-xDC,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33,Dfb,Df,D,4.4170002937316895,438,0.4338,Semi-arid
US-xJR,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical desert,24,BSk,BS,B,15.180500030517578,273,0.1381,Arid
US-xKZ,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate steppe,33,Cfa,Cf,C,12.350500106811523,892,0.6605,Humid
US-xSP,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Subtropical mountain system,25,Csa,Cs,C,13.296833038330078,842,0.5069,Dry sub-humid
US-xUN,AmeriFlux;NEON;Phenocam,MF,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate continental forest,32,Dfb,Df,D,3.874333381652832,843,1.1218,Humid
US-xWR,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,6,120,FALSE,Temperate mountain system,35,Csb,Cs,C,9.051833152770996,1966,2.2241,Humid
AR-CCa,AmeriFlux,CRO,Latin America and the Caribbean,Americas,2012,2020,8,5,62.5,FALSE,Subtropical humid forest,21,Cfa,Cf,C,15.910833358764648,1018,0.7807,Humid
CA-ARB,AmeriFlux,WET,Northern America,Americas,2011,2024,13,5,38.5,FALSE,Boreal tundra woodland,42,Dfb,Df,D,-1.956666588783264,625,1.1386,Humid
CA-DB2,AmeriFlux,WET,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate oceanic forest,31,NA,NA,NA,10.209833145141602,1342,1.7744,Humid
CA-KLP,AmeriFlux,WET,Northern America,Americas,2011,2020,9,5,55.6,FALSE,Boreal tundra woodland,42,Dfb,Df,D,-0.9313332438468932,648,1.1069,Humid
US-CdM,AmeriFlux,WSA,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate desert,34,BSk,BS,B,10.793499946594238,297,0.2059,Semi-arid
US-Fmf,AmeriFlux,ENF,Northern America,Americas,2005,2010,5,5,100,FALSE,Subtropical mountain system,25,Csb,Cs,C,7.339333534240723,561,0.3899,Semi-arid
US-Fwf,AmeriFlux,GRA,Northern America,Americas,2005,2010,5,5,100,FALSE,Subtropical mountain system,25,Csb,Cs,C,6.188666820526123,526,0.3606,Semi-arid
US-StJ,AmeriFlux;Phenocam,WET,Northern America,Americas,2015,2020,5,5,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,12.9375,1133,0.9861,Humid
US-TKs,AmeriFlux,CSH,Northern America,Americas,2018,2025,7,5,71.4,FALSE,Polar,50,ET,ET,E,-9.70699977874756,236,0.6315,Dry sub-humid
US-UC1,AmeriFlux;LTAR,CVM,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Dfb,Df,D,9.146166801452637,1010,1.075,Humid
US-UC2,AmeriFlux;LTAR,CVM,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Dfb,Df,D,9.171500205993652,1009,1.0737,Humid
US-UiG,AmeriFlux,CRO,Northern America,Americas,2018,2023,5,5,100,FALSE,Temperate steppe,33,Dfa,Df,D,11.01550006866455,1015,0.969,Humid
US-xBN,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Boreal mountain system,43,Dwc,Dw,D,-3.0421664714813232,329,0.6123,Dry sub-humid
US-xBR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Dfb,Df,D,5.93316650390625,1233,1.53,Humid
US-xCL,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical steppe,23,Cfa,Cf,C,17.453500747680664,870,0.5385,Dry sub-humid
US-xDJ,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Boreal tundra woodland,42,Dfc,Df,D,-2.9761667251586914,290,0.5515,Dry sub-humid
US-xJE,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,19.14583396911621,1355,0.9684,Humid
US-xRN,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate mountain system,35,Cfa,Cf,C,13.898833274841309,1220,1.1561,Humid
US-xSE,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,13.169333457946776,1104,0.9422,Humid
US-xSL,AmeriFlux;NEON,CRO,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33,BSk,BS,B,9.370166778564451,429,0.2852,Semi-arid
US-xST,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate continental forest,32,Dfb,Df,D,4.688666820526123,803,1.0541,Humid
US-xTR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate continental forest,32,Dfb,Df,D,4.76200008392334,803,1.053,Humid
US-xUK,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33,Cfa,Cf,C,12.547499656677246,998,0.7873,Humid
US-xWD,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33,Dfb,Df,D,4.3398332595825195,423,0.4179,Semi-arid
GL-Dsk,European Fluxes Database;ICOS,OSH,Northern America,Americas,2020,2024,4,5,125,FALSE,Polar,50,ET,ET,E,-6.326333522796631,424,1.5062,Humid
CR-AqC,Unaffiliated,EBF,Latin America and the Caribbean,Americas,2009,2016,7,5,71.4,FALSE,Tropical rainforest,11,Af,Af,A,20.276500701904297,3307,2.4625,Humid
BR-Ji3,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,2004,2010,6,4,66.7,FALSE,Tropical rainforest,11,Am,Am,A,24.715333938598633,2083,1.8476,Humid
CL-SDF,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2014,2021,7,4,57.1,FALSE,Temperate oceanic forest,31,Cfb,Cf,C,10.725500106811523,2409,3.7939,Humid
CR-Fsc,AmeriFlux,CRO,Latin America and the Caribbean,Americas,2015,2018,3,4,133.3,FALSE,Tropical moist forest,12,Aw,Aw,A,27.564666748046875,1824,0.9541,Humid
MX-Tes,AmeriFlux;MexFlux,DBF,Latin America and the Caribbean,Americas,2004,2008,4,4,100,FALSE,Tropical dry forest,13,Bsh,Bs,B,22.75500106811523,676,0.3627,Semi-arid
US-DFC,AmeriFlux,CRO,Northern America,Americas,2018,2024,6,4,66.7,FALSE,Temperate continental forest,32,Dfb,Df,D,7.320833206176758,799,0.8886,Humid
US-Dmg,AmeriFlux,WET,Northern America,Americas,2021,2025,4,4,100,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.386333465576172,334,0.2252,Semi-arid
US-EDN,AmeriFlux,WET,Northern America,Americas,2018,2024,6,4,66.7,FALSE,Subtropical mountain system,25,Csa,Cs,C,14.83316707611084,398,0.3143,Semi-arid
