site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
US-Fuf,AmeriFlux,ENF,Northern America,Americas,2005,2010,5,4,80,FALSE,Subtropical mountain system,25,Csb,Cs,C,7.191666603088379,580,0.4035,Semi-arid
US-HB4,AmeriFlux;Phenocam,WET,Northern America,Americas,2020,2024,4,4,100,FALSE,Subtropical humid forest,21,Cfa,Cf,C,18.128334045410156,1350,0.9694,Humid
US-Hsm,AmeriFlux;Phenocam,WET,Northern America,Americas,2021,2025,4,4,100,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.496500015258787,546,0.3639,Semi-arid
US-IAC,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate steppe,33,Dfa,Df,D,8.972833633422852,851,0.8207,Humid
US-LS1,AmeriFlux,GRA,Northern America,Americas,2003,2007,4,4,100,FALSE,Subtropical desert,24,Bwh,Bw,B,17.4461669921875,359,0.1755,Arid
US-MN3,AmeriFlux,CRO,Northern America,Americas,2020,2024,4,4,100,FALSE,Temperate steppe,33,Dwb,Dw,D,6.076666831970215,598,0.6199,Dry sub-humid
US-RC1,AmeriFlux;LTAR,CRO,Northern America,Americas,2011,2016,5,4,80,FALSE,Temperate desert,34,Dsb,Ds,D,8.233333587646484,611,0.6149,Dry sub-humid
US-Sne,AmeriFlux;Phenocam,GRA,Northern America,Americas,2016,2020,4,4,100,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.565000534057615,340,0.2345,Semi-arid
US-Tw3,AmeriFlux;Phenocam,CRO,Northern America,Americas,2013,2018,5,4,80,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.347167015075684,370,0.2591,Semi-arid
US-UiF,AmeriFlux,CRO,Northern America,Americas,2018,2023,5,4,80,FALSE,Temperate steppe,33,Dfa,Df,D,11.01550006866455,1015,0.969,Humid
US-xBL,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Cfa,Cf,C,12.042333602905272,991,0.9364,Humid
US-xDL,AmeriFlux;NEON;Phenocam,MF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21,Cfa,Cf,C,17.715166091918945,1402,1.0721,Humid
US-xDS,AmeriFlux;NEON;Phenocam,CVM,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21,Cfa,Cf,C,22.336666107177734,1221,0.7898,Humid
US-xHE,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Boreal mountain system,43,ET,ET,E,-3.320000171661377,419,0.8396,Humid
US-xMB,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate desert,34,BSk,BS,B,10.375166893005373,306,0.2144,Semi-arid
US-xML,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Dfb,Df,D,8.999833106994629,1122,1.2264,Humid
US-xNG,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate steppe,33,Dfb,Df,D,5.717833518981934,428,0.3866,Semi-arid
US-xNQ,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate desert,34,Dfb,Df,D,9.414833068847656,297,0.198,Arid
US-xRM,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Dfc,Df,D,2.120833396911621,548,0.4365,Semi-arid
US-xSB,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21,Cfa,Cf,C,20.502832412719727,1290,0.9361,Humid
US-xSC,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35,Cfa,Cf,C,11.679166793823242,1027,1.0045,Humid
US-xSJ,AmeriFlux;NEON,SAV,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical mountain system,25,Csa,Cs,C,16.665000915527344,542,0.3218,Semi-arid
US-xTE,AmeriFlux;NEON,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical mountain system,25,Csa,Cs,C,6.171666622161865,831,0.6198,Dry sub-humid
US-xTL,AmeriFlux;NEON;Phenocam,WET,Northern America,Americas,2019,2024,5,4,80,FALSE,Polar,50,ET,ET,E,-10,239,0.6341,Dry sub-humid
AR-CCg,AmeriFlux,GRA,Latin America and the Caribbean,Americas,2018,2024,6,3,50,FALSE,Subtropical humid forest,21,Cfa,Cf,C,15.803500175476074,1004,0.7667,Humid
BR-ITA,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2020,2024,4,3,75,FALSE,Tropical moist forest,12,Cfa,Cf,C,19.11566734313965,1279,1.0764,Humid
