site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
US-AR2,36.6358,-99.5975,46.737571716308594,exact,5,41.8–54.3 gC m-2 yr-1,18
US-ARb,35.5497,-98.0402,43.3262825012207,exact,5,41.8–54.3 gC m-2 yr-1,17
US-ARc,35.5465,-98.04,43.3262825012207,exact,5,41.8–54.3 gC m-2 yr-1,17
US-ARM,36.6058,-97.4888,50.62029647827149,exact,5,41.8–54.3 gC m-2 yr-1,19
US-ASH,36.1697,-120.201,32.012489318847656,exact,4,31.7–41.8 gC m-2 yr-1,11
US-ASM,36.1777,-120.2026,32.012489318847656,exact,4,31.7–41.8 gC m-2 yr-1,11
US-Aud,31.5907,-110.5104,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1,8
US-Bar,44.0646,-71.2881,50.10931015014648,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Bi1,38.0992,-121.4993,30.1633243560791,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Bi2,38.1091,-121.5351,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-BRG,39.2167,-86.5406,51.758331298828125,exact,5,41.8–54.3 gC m-2 yr-1,20
US-BZB,64.6955,-148.3208,33.81850814819336,exact,4,31.7–41.8 gC m-2 yr-1,12
US-BZF,64.7013,-148.3121,33.81850814819336,exact,4,31.7–41.8 gC m-2 yr-1,12
US-BZo,64.6936,-148.33,33.81850814819336,exact,4,31.7–41.8 gC m-2 yr-1,12
US-CAK,64.8618,-163.7002,26.73303604125977,exact,3,20.5–31.7 gC m-2 yr-1,9
US-CdM,37.5241,-109.7471,36.292476654052734,exact,4,31.7–41.8 gC m-2 yr-1,13
US-Ced,39.8379,-74.3791,56.53850555419922,exact,6,54.3–70.2 gC m-2 yr-1,22
US-CF1,46.7815,-117.0821,34.60606002807617,exact,4,31.7–41.8 gC m-2 yr-1,13
US-CF2,46.784,-117.0908,34.60606002807617,exact,4,31.7–41.8 gC m-2 yr-1,13
US-CF3,46.7551,-117.1261,34.60606002807617,exact,4,31.7–41.8 gC m-2 yr-1,13
US-CF4,46.7518,-117.1285,34.60606002807617,exact,4,31.7–41.8 gC m-2 yr-1,13
US-CGG,37.938,-121.9761,39.14134216308594,exact,4,31.7–41.8 gC m-2 yr-1,15
US-ChR,35.9311,-84.3324,59.42998123168945,exact,6,54.3–70.2 gC m-2 yr-1,23
US-CLF,40.6366,-77.9424,62.82831954956055,exact,6,54.3–70.2 gC m-2 yr-1,24
US-Cms,71.3202,-156.6223,1.4065983295440674,exact,1,0–5 gC m-2 yr-1,1
US-CMW,31.6637,-110.1777,26.135007858276367,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Cop,38.09,-109.39,33.458717346191406,exact,4,31.7–41.8 gC m-2 yr-1,12
US-CRK,31.4629,-95.3415,85.23509216308594,exact,7,>70.2 gC m-2 yr-1,28
US-CRT,41.6285,-83.3471,38.56884002685547,exact,4,31.7–41.8 gC m-2 yr-1,14
US-CS1,44.1031,-89.5379,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-CS2,44.1467,-89.5002,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-CS3,44.1394,-89.5727,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-CS4,44.1597,-89.5475,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-CS5,44.1095,-89.5377,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-CS6,44.4297,-89.544,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-CS8,44.4338,-89.5364,47.8526611328125,exact,5,41.8–54.3 gC m-2 yr-1,18
US-Cst,33.0442,-91.9204,86.20417022705078,exact,7,>70.2 gC m-2 yr-1,28
US-Cwt,35.0592,-83.4275,67.5728759765625,exact,6,54.3–70.2 gC m-2 yr-1,25
US-DFC,43.3448,-89.7117,48.91641998291016,exact,5,41.8–54.3 gC m-2 yr-1,19
US-DFK,43.3453,-89.7154,48.91641998291016,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Dix,39.9712,-74.4346,56.53850555419922,exact,6,54.3–70.2 gC m-2 yr-1,22
US-Dk1,35.9712,-79.0934,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1,23
US-Dk2,35.9736,-79.1004,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1,23
US-Dk3,35.9782,-79.0942,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1,23
US-Dmg,38.0015,-121.6691,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-DPW,28.0521,-81.4361,59.167388916015625,exact,6,54.3–70.2 gC m-2 yr-1,22
US-DS1,38.1335,-121.539,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-DS2,38.1375,-121.514,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-DS3,38.1235,-121.549,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-EA4,29.6633,-98.3816,78.46392059326172,exact,7,>70.2 gC m-2 yr-1,27
US-EA5,29.3584,-99.9576,61.79172134399414,exact,6,54.3–70.2 gC m-2 yr-1,23
US-EA6,29.6561,-99.9588,54.08210754394531,exact,5,41.8–54.3 gC m-2 yr-1,21
US-EDN,37.6156,-122.114,38.41838073730469,exact,4,31.7–41.8 gC m-2 yr-1,14
US-EKH,36.8094,-121.7523,38.8272705078125,exact,4,31.7–41.8 gC m-2 yr-1,15
US-EKN,36.8357,-121.7328,38.8272705078125,exact,4,31.7–41.8 gC m-2 yr-1,15
US-EKP,36.8558,-121.7488,38.8272705078125,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Elm,25.5519,-80.7826,103.3156509399414,exact,7,>70.2 gC m-2 yr-1,30
US-EML,63.8784,-149.2536,30.57876205444336,exact,3,20.5–31.7 gC m-2 yr-1,11
US-Esm,25.4379,-80.5946,107.30545806884766,exact,7,>70.2 gC m-2 yr-1,30
US-EvM,25.3539,-80.381,103.13263702392578,exact,7,>70.2 gC m-2 yr-1,30
US-Fcr,65.3968,-148.9348,35.595184326171875,exact,4,31.7–41.8 gC m-2 yr-1,13
US-Fmf,35.1426,-111.7273,48.335914611816406,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Fo1,70.085,-148.5671,19.35006332397461,exact,2,5.0–20.5 gC m-2 yr-1,6
US-Fo2,70.0229,-148.6598,19.35006332397461,exact,2,5.0–20.5 gC m-2 yr-1,6
US-Fuf,35.089,-111.762,48.335914611816406,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Fwf,35.4454,-111.7718,48.335914611816406,exact,5,41.8–54.3 gC m-2 yr-1,19
US-GLE,41.3665,-106.2399,30.56537628173828,exact,3,20.5–31.7 gC m-2 yr-1,11
US-Ha1,42.5378,-72.1715,57.04385757446289,exact,6,54.3–70.2 gC m-2 yr-1,22
US-HB1,33.3455,-79.1957,53.956058502197266,exact,5,41.8–54.3 gC m-2 yr-1,21
US-HB2,33.3242,-79.244,53.956058502197266,exact,5,41.8–54.3 gC m-2 yr-1,21
US-HB3,33.3482,-79.2322,53.956058502197266,exact,5,41.8–54.3 gC m-2 yr-1,21
US-HB4,33.2015,-79.2975,53.956058502197266,exact,5,41.8–54.3 gC m-2 yr-1,21
US-HBK,43.9397,-71.7181,53.97808837890625,exact,5,41.8–54.3 gC m-2 yr-1,21
US-Hn2,46.6889,-119.4641,17.926149368286133,exact,2,5.0–20.5 gC m-2 yr-1,5
US-Hn3,46.6878,-119.4614,17.926149368286133,exact,2,5.0–20.5 gC m-2 yr-1,5
US-Ho2,45.209,-68.747,49.381099700927734,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Ho3,45.2072,-68.7265,49.381099700927734,exact,5,41.8–54.3 gC m-2 yr-1,19
US-HRA,34.5852,-91.7517,57.1118049621582,exact,6,54.3–70.2 gC m-2 yr-1,22
US-HRC,34.5888,-91.7517,57.1118049621582,exact,6,54.3–70.2 gC m-2 yr-1,22
US-Hsm,38.2368,-122.0212,43.81649017333984,exact,5,41.8–54.3 gC m-2 yr-1,17
US-HVs,69.1672,-148.8569,26.682308197021484,exact,3,20.5–31.7 gC m-2 yr-1,9
US-HWB,40.8608,-77.8488,62.82831954956055,exact,6,54.3–70.2 gC m-2 yr-1,24
