site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
KE-Kpt,-1.6141866,37.13311,65.75337982177734,exact,6,54.3–70.2 gC m-2 yr-1,24
KE-Chk,-3.6663,38.350185,91.28113555908205,exact,7,>70.2 gC m-2 yr-1,29
KE-Aq2,-1.566199,37.100166,65.75337982177734,exact,6,54.3–70.2 gC m-2 yr-1,24
KE-Aq1,-1.57781,37.067047,65.75337982177734,exact,6,54.3–70.2 gC m-2 yr-1,24
IT-SR2,43.73202,10.29091,41.5406379699707,exact,4,31.7–41.8 gC m-2 yr-1,16
ID-JOP,-1.69306,103.39139,97.96643829345705,exact,7,>70.2 gC m-2 yr-1,29
CR-AqC,9.938369,-83.7289,67.92513275146484,exact,6,54.3–70.2 gC m-2 yr-1,25
CN-SnB,31.6905,121.6563,44.99034881591797,exact,5,41.8–54.3 gC m-2 yr-1,17
CN-Sb2,42.39117,117.37017,39.05424499511719,exact,4,31.7–41.8 gC m-2 yr-1,15
CN-Sb1,42.40907,117.31461,39.05424499511719,exact,4,31.7–41.8 gC m-2 yr-1,15
BW-Nxr,-19.548056,23.179167,40.335453033447266,exact,4,31.7–41.8 gC m-2 yr-1,15
BW-Gum,-18.964722,22.37111,35.16694641113281,exact,4,31.7–41.8 gC m-2 yr-1,13
BJ-Nhu,9.74,1.6,40.78215026855469,exact,4,31.7–41.8 gC m-2 yr-1,15
BJ-Db1,6.607338,2.543043,75.01407623291016,exact,7,>70.2 gC m-2 yr-1,27
BJ-Bfg,9.791,1.718,40.78215026855469,exact,4,31.7–41.8 gC m-2 yr-1,15
ZM-Mon,-15.4391,23.2525,48.99747467041016,exact,5,41.8–54.3 gC m-2 yr-1,19
UK-HpF,52.24809,-0.0498267,47.244964599609375,exact,5,41.8–54.3 gC m-2 yr-1,18
UK-HgF,52.552177,0.515057,51.89935302734375,exact,5,41.8–54.3 gC m-2 yr-1,20
UK-Gwr,54.85464,-5.988278,29.219207763671875,exact,3,20.5–31.7 gC m-2 yr-1,10
UK-Gnn,54.96185,-6.760763,32.34343719482422,exact,4,31.7–41.8 gC m-2 yr-1,11
UK-GaB,55.10994,-6.529928,23.172704696655273,exact,3,20.5–31.7 gC m-2 yr-1,7
UK-Cvn,52.43339,0.162177,56.02509689331055,exact,6,54.3–70.2 gC m-2 yr-1,21
UK-CCr,52.2542,-3.93357,33.24832534790039,exact,4,31.7–41.8 gC m-2 yr-1,12
UK-BnB,54.82326,-6.66984,32.34343719482422,exact,4,31.7–41.8 gC m-2 yr-1,11
UK-Ags,53.3097,-4.30044,32.34726333618164,exact,4,31.7–41.8 gC m-2 yr-1,11
SN-Nkr,14.49581,-16.45357,34.93783950805664,exact,4,31.7–41.8 gC m-2 yr-1,13
SN-Dhr,15.40256,-15.43214,31.520397186279297,exact,3,20.5–31.7 gC m-2 yr-1,11
SJ-Adv,78.186,15.923,0.6152318716049194,exact,1,0–5 gC m-2 yr-1,1
SE-Trb,64.180916,19.837284,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
SE-St1,68.35415,19.050333,30.920011520385746,exact,3,20.5–31.7 gC m-2 yr-1,11
SE-Srj,64.17498,19.56381,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
SE-Ros,64.16522,19.79074,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
SE-Hmr,64.15955,19.551497,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
SE-HfM,64.15955,19.551497,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
SD-Dem,13.2829,30.4783,22.006938934326172,exact,3,20.5–31.7 gC m-2 yr-1,7
RU-Ha1,54.72517,90.00215,27.028852462768555,exact,3,20.5–31.7 gC m-2 yr-1,9
RU-Fyo,56.46153,32.922085,59.79362106323242,exact,6,54.3–70.2 gC m-2 yr-1,23
RU-Fy4,56.4727,33.0413,63.39430618286133,exact,6,54.3–70.2 gC m-2 yr-1,24
RU-Fy3,56.4435,33.0478,63.39430618286133,exact,6,54.3–70.2 gC m-2 yr-1,24
RU-Fy2,56.4476,32.90188,59.79362106323242,exact,6,54.3–70.2 gC m-2 yr-1,23
RU-Che,68.61304,161.34143,12.055904388427734,exact,2,5.0–20.5 gC m-2 yr-1,3
RU-Ch2,68.61689,161.35089,12.055904388427734,exact,2,5.0–20.5 gC m-2 yr-1,3
PA-SPs,9.31378,-79.63143,50.86760330200195,exact,5,41.8–54.3 gC m-2 yr-1,20
PA-SPn,9.31814,-79.6346,50.86760330200195,exact,5,41.8–54.3 gC m-2 yr-1,20
NO-Ikr,69.34,25.3,30.20183563232422,exact,3,20.5–31.7 gC m-2 yr-1,10
NO-Fns,60.59384,7.5271025,16.912399291992188,exact,2,5.0–20.5 gC m-2 yr-1,5
NO-And,69.1422,16.01975,24.466962814331055,exact,3,20.5–31.7 gC m-2 yr-1,8
NL-Vkp,51.980934,5.618825,49.616695404052734,exact,5,41.8–54.3 gC m-2 yr-1,19
NL-Hrw,51.972466,5.641228,49.616695404052734,exact,5,41.8–54.3 gC m-2 yr-1,19
IT-SRo,43.72786,10.284445,41.5406379699707,exact,4,31.7–41.8 gC m-2 yr-1,16
IT-PT1,45.20087,9.061039,63.19791793823242,exact,6,54.3–70.2 gC m-2 yr-1,24
IT-NiG,45.51919,7.171434,41.30828475952149,exact,4,31.7–41.8 gC m-2 yr-1,16
IT-MtM,46.687134,10.579597,28.973783493041992,exact,3,20.5–31.7 gC m-2 yr-1,10
IT-Lav,45.9562,11.28132,67.190673828125,exact,6,54.3–70.2 gC m-2 yr-1,25
IT-CA3,42.38,12.0222,46.11323547363281,exact,5,41.8–54.3 gC m-2 yr-1,18
IT-CA2,42.37722,12.026039,46.11323547363281,exact,5,41.8–54.3 gC m-2 yr-1,18
IT-CA1,42.38041,12.026561,46.11323547363281,exact,5,41.8–54.3 gC m-2 yr-1,18
IT-Bsn,45.11924,7.160429,56.88527297973633,exact,6,54.3–70.2 gC m-2 yr-1,22
IT-BsB,45.11823,7.161995,56.88527297973633,exact,6,54.3–70.2 gC m-2 yr-1,22
IT-Arz,45.61902,10.00228,62.665035247802734,exact,6,54.3–70.2 gC m-2 yr-1,24
IL-Yat,31.345045,35.051987,23.51824378967285,exact,3,20.5–31.7 gC m-2 yr-1,7
IL-RmH,32.5555,34.947285,27.04867172241211,exact,3,20.5–31.7 gC m-2 yr-1,9
IE-Gwr,52.6365,-7.011306,42.09170150756836,exact,5,41.8–54.3 gC m-2 yr-1,16
IE-CaN,52.85879,-6.918136,44.26632308959961,exact,5,41.8–54.3 gC m-2 yr-1,17
IE-CaC,52.85879,-6.918136,44.26632308959961,exact,5,41.8–54.3 gC m-2 yr-1,17
GH-Ank,5.268543,-2.694206,76.37628936767578,exact,7,>70.2 gC m-2 yr-1,27
FR-Nzn,48.005814,-2.81721,51.96451187133789,exact,5,41.8–54.3 gC m-2 yr-1,20
FR-Mau,43.385,1.29306,57.532012939453125,exact,6,54.3–70.2 gC m-2 yr-1,22
FR-LBr,44.71711,-0.7693,60.20866394042969,exact,6,54.3–70.2 gC m-2 yr-1,23
FI-Sar,63.15143,27.199064,36.18063735961914,exact,4,31.7–41.8 gC m-2 yr-1,13
FI-Ruk,64.68398,25.106318,40.14377212524414,exact,4,31.7–41.8 gC m-2 yr-1,15
FI-Rk2,61.182884,25.262684,45.22942733764648,exact,5,41.8–54.3 gC m-2 yr-1,17
FI-Qvd,60.295242,22.391607,36.190799713134766,exact,4,31.7–41.8 gC m-2 yr-1,13
FI-Pap,63.13806,27.246117,36.18063735961914,exact,4,31.7–41.8 gC m-2 yr-1,13
FI-Nsv,62.8639,24.08382,42.83170318603515,exact,5,41.8–54.3 gC m-2 yr-1,16
FI-Jok,60.8986,23.51345,50.84433364868164,exact,5,41.8–54.3 gC m-2 yr-1,20
ES-Yst,38.338932,-2.3506052,44.229942321777344,exact,5,41.8–54.3 gC m-2 yr-1,17
ES-VDA,42.15111,1.4473800000000001,62.10927200317383,exact,6,54.3–70.2 gC m-2 yr-1,23
ES-TzM,39.265785,-1.9397246,32.25899887084961,exact,4,31.7–41.8 gC m-2 yr-1,11
ES-Srn,40.15047,-0.8380832,46.694541931152344,exact,5,41.8–54.3 gC m-2 yr-1,18
ES-Pzb,38.362118,-4.767329,43.14710998535156,exact,5,41.8–54.3 gC m-2 yr-1,17
ES-Pdu,37.016975,-3.609228,28.84754180908203,exact,3,20.5–31.7 gC m-2 yr-1,10
ES-Mzn,40.089497,-0.827409,46.694541931152344,exact,5,41.8–54.3 gC m-2 yr-1,18
ES-MtN,36.99234,-6.4826016,36.071258544921875,exact,4,31.7–41.8 gC m-2 yr-1,13
ES-MtB,37.020206,-6.5544033,42.05439376831055,exact,5,41.8–54.3 gC m-2 yr-1,16
ES-Mcd,39.58819,-0.39969,49.14435195922851,exact,5,41.8–54.3 gC m-2 yr-1,19
ES-LM2,39.934593,-5.775881,40.43504333496094,exact,4,31.7–41.8 gC m-2 yr-1,15
ES-LM1,39.94269,-5.778683,40.43504333496094,exact,4,31.7–41.8 gC m-2 yr-1,15
ES-LJu,36.926594,-2.752115,23.964752197265625,exact,3,20.5–31.7 gC m-2 yr-1,8
ES-Hen,38.411087,-1.697534,36.011253356933594,exact,4,31.7–41.8 gC m-2 yr-1,13
ES-HeB,38.40475,-1.726215,36.011253356933594,exact,4,31.7–41.8 gC m-2 yr-1,13
ES-HdD,38.49679,-5.111296,43.257530212402344,exact,5,41.8–54.3 gC m-2 yr-1,17
ES-Gdn,37.91084,-3.228489,30.57186508178711,exact,3,20.5–31.7 gC m-2 yr-1,11
ES-FtD,36.99854,-6.434575,36.071258544921875,exact,4,31.7–41.8 gC m-2 yr-1,13
ES-Dnn,36.9968,-6.5118,29.139585494995117,exact,3,20.5–31.7 gC m-2 yr-1,10
ES-Crg,39.11926,-0.95852,43.72518539428711,exact,5,41.8–54.3 gC m-2 yr-1,17
ES-Cnd,37.914997,-3.227659,30.57186508178711,exact,3,20.5–31.7 gC m-2 yr-1,11
ES-Amo,36.833405,-2.2522173,19.923980712890625,exact,2,5.0–20.5 gC m-2 yr-1,6
ES-Agu,36.939384,-2.034044,19.923980712890625,exact,2,5.0–20.5 gC m-2 yr-1,6
ES-Abr,38.70184,-6.785881,41.142093658447266,exact,4,31.7–41.8 gC m-2 yr-1,16
EE-Stg,58.023636,26.070753,54.41523742675781,exact,6,54.3–70.2 gC m-2 yr-1,21
EE-Rng,57.913143,26.694048,52.97477722167969,exact,5,41.8–54.3 gC m-2 yr-1,20
EE-Pts,58.562298,24.369932,60.28432846069336,exact,6,54.3–70.2 gC m-2 yr-1,23
DK-Fou,56.4842,9.58722,52.633846282958984,exact,5,41.8–54.3 gC m-2 yr-1,20
DK-Eng,55.69053,12.19175,44.86714172363281,exact,5,41.8–54.3 gC m-2 yr-1,17
DE-Zrk,53.875942,12.88901,64.98432922363281,exact,6,54.3–70.2 gC m-2 yr-1,24
DE-Spw,51.89225,14.03369,54.11660385131836,exact,5,41.8–54.3 gC m-2 yr-1,21
DE-SfS,47.80629,11.32757,43.055877685546875,exact,5,41.8–54.3 gC m-2 yr-1,16
DE-Seh,50.870625,6.449653,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-SbM,51.764927,10.51799,58.397857666015625,exact,6,54.3–70.2 gC m-2 yr-1,22
DE-RuM,50.929787,6.2969923,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-RuC,50.5031,6.336,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-Rns,51.494953,9.932118,58.73293685913086,exact,6,54.3–70.2 gC m-2 yr-1,22
DE-Obe,50.7864,13.72168,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-Lnf,51.328217,10.3678,62.16096496582031,exact,6,54.3–70.2 gC m-2 yr-1,23
DE-Lkb,49.099617,13.3046665,52.669918060302734,exact,5,41.8–54.3 gC m-2 yr-1,20
DE-Hte,54.213055,12.179944,34.67137145996094,exact,4,31.7–41.8 gC m-2 yr-1,13
DE-Hdn,53.86825,13.268543,68.08853912353516,exact,6,54.3–70.2 gC m-2 yr-1,25
DE-Etn,48.268486,7.878243,61.33988952636719,exact,6,54.3–70.2 gC m-2 yr-1,23
DE-Akm,53.86617,13.68342,58.70156478881836,exact,6,54.3–70.2 gC m-2 yr-1,22
CZ-Stn,49.035976,17.9699,62.66642379760742,exact,6,54.3–70.2 gC m-2 yr-1,24
CZ-RAJ,49.44372,16.696512,56.972293853759766,exact,6,54.3–70.2 gC m-2 yr-1,22
CZ-LnG,48.704224,16.926247,53.69292068481445,exact,5,41.8–54.3 gC m-2 yr-1,21
CZ-KrP,49.573257,15.078773,58.66859436035156,exact,6,54.3–70.2 gC m-2 yr-1,22
CZ-BK2,49.49443,18.54285,65.25325775146484,exact,6,54.3–70.2 gC m-2 yr-1,24
CH-Tnk,47.48058,8.911775,42.29243087768555,exact,5,41.8–54.3 gC m-2 yr-1,16
CH-Rtb,47.3804,8.9934,42.29243087768555,exact,5,41.8–54.3 gC m-2 yr-1,16
CH-Rh2,47.3,9.5,44.44468307495117,exact,5,41.8–54.3 gC m-2 yr-1,17
CH-Rh1,47.3,9.5,44.44468307495117,exact,5,41.8–54.3 gC m-2 yr-1,17
CH-Oe3,47.28542,7.732438,41.9445686340332,exact,5,41.8–54.3 gC m-2 yr-1,16
CH-Oe2,47.286415,7.73375,41.9445686340332,exact,5,41.8–54.3 gC m-2 yr-1,16
CH-Oe1,47.28583,7.731944,41.9445686340332,exact,5,41.8–54.3 gC m-2 yr-1,16
CH-Lae,47.478333,8.364389,40.59477233886719,exact,4,31.7–41.8 gC m-2 yr-1,15
CH-Fru,47.115833,8.537778,42.29243087768555,exact,5,41.8–54.3 gC m-2 yr-1,16
CH-Frk,46.577637,8.421592,39.19955825805664,exact,4,31.7–41.8 gC m-2 yr-1,15
CH-For,46.527206,6.7595406,40.89427947998047,exact,4,31.7–41.8 gC m-2 yr-1,16
CH-Crs,47.0436,7.0475,49.48601913452149,exact,5,41.8–54.3 gC m-2 yr-1,19
CH-Cha,47.21022,8.410444,40.59477233886719,exact,4,31.7–41.8 gC m-2 yr-1,15
CH-Aws,46.58311,9.790639,44.95481491088867,exact,5,41.8–54.3 gC m-2 yr-1,17
CG-Tch,-4.2891665,11.656417,60.93836975097656,exact,6,54.3–70.2 gC m-2 yr-1,23
BE-Lcr,51.11218,3.85043,42.541473388671875,exact,5,41.8–54.3 gC m-2 yr-1,16
AT-Zoe,47.842247,14.444137,49.76620864868164,exact,5,41.8–54.3 gC m-2 yr-1,19
AT-PsM,47.58145,14.347197,49.76620864868164,exact,5,41.8–54.3 gC m-2 yr-1,19
AT-Nsd,47.76914,16.758492,65.431640625,exact,6,54.3–70.2 gC m-2 yr-1,24
AT-Neu,47.116318,11.320229,42.53130340576172,exact,5,41.8–54.3 gC m-2 yr-1,16
AT-Mmg,47.316563,10.970089,43.81122970581055,exact,5,41.8–54.3 gC m-2 yr-1,17
CN-Zha,38.97514,100.4464,12.299339294433594,exact,2,5.0–20.5 gC m-2 yr-1,4
CN-Yuc,36.8287,116.5701,43.17654800415039,exact,5,41.8–54.3 gC m-2 yr-1,17
CN-You,38.01419,100.24206,14.114885330200195,exact,2,5.0–20.5 gC m-2 yr-1,4
CN-Yan,37.82861,107.49278,33.543392181396484,exact,4,31.7–41.8 gC m-2 yr-1,12
CN-YaS,37.70877,107.22655,33.543392181396484,exact,4,31.7–41.8 gC m-2 yr-1,12
CN-Xi2,43.55444,116.6714,27.475004196166992,exact,3,20.5–31.7 gC m-2 yr-1,9
CN-Wnb,40.42876,106.74229,13.453845977783203,exact,2,5.0–20.5 gC m-2 yr-1,4
CN-Sdq,42.00119,101.13741,0.3016234338283539,exact,1,0–5 gC m-2 yr-1,1
CN-Qng,33.46807,108.49102,60.424171447753906,exact,6,54.3–70.2 gC m-2 yr-1,23
CN-Nmn,42.94611,120.72694,31.049715042114254,exact,3,20.5–31.7 gC m-2 yr-1,11
CN-Mxn,31.6948,103.8951,60.210227966308594,exact,6,54.3–70.2 gC m-2 yr-1,23
CN-Lch,37.88936,114.69289,38.44184494018555,exact,4,31.7–41.8 gC m-2 yr-1,14
CN-Jzh,41.14806,121.20167,41.14002990722656,exact,4,31.7–41.8 gC m-2 yr-1,16
CN-Jng,37.83869,101.1145,16.70560073852539,exact,2,5.0–20.5 gC m-2 yr-1,5
CN-Huz,38.76519,100.3186,12.299339294433594,exact,2,5.0–20.5 gC m-2 yr-1,4
CN-HeM,41.99029,101.13349,0.33216091990470886,exact,1,0–5 gC m-2 yr-1,1
CN-HeD,42.1135,100.9872,0.16872170567512512,exact,1,0–5 gC m-2 yr-1,1
CN-HaW,37.607655,101.32899,16.70560073852539,exact,2,5.0–20.5 gC m-2 yr-1,5
CN-Ha2,37.6086,101.3269,16.70560073852539,exact,2,5.0–20.5 gC m-2 yr-1,5
CN-GuT,34.35481,100.4872,17.795347213745117,exact,2,5.0–20.5 gC m-2 yr-1,5
CN-Erg,50.1869,119.3889,33.759883880615234,exact,4,31.7–41.8 gC m-2 yr-1,12
CN-Dzo,19.546,109.475,35.855133056640625,exact,4,31.7–41.8 gC m-2 yr-1,13
CN-Du2,42.0467,116.2836,29.532695770263672,exact,3,20.5–31.7 gC m-2 yr-1,10
CN-Dsh,38.83992,98.9406,7.749342441558838,exact,2,5.0–20.5 gC m-2 yr-1,2
CN-Dmn,38.85551,100.37223,12.299339294433594,exact,2,5.0–20.5 gC m-2 yr-1,4
CN-Din,23.1733,112.5361,49.32162857055664,exact,5,41.8–54.3 gC m-2 yr-1,19
CN-Dda,41.64397,110.33147,15.131333351135254,exact,2,5.0–20.5 gC m-2 yr-1,4
CN-Dan,30.4978,91.0664,25.141857147216797,exact,3,20.5–31.7 gC m-2 yr-1,8
CN-DaW,30.4691,91.0624,25.141857147216797,exact,3,20.5–31.7 gC m-2 yr-1,8
CN-BeO,40.02621,116.39143,42.87428283691406,exact,5,41.8–54.3 gC m-2 yr-1,16
CN-Ash,24.53806,101.02917,69.4875717163086,exact,6,54.3–70.2 gC m-2 yr-1,25
CN-Aro,38.04734,100.46432,14.114885330200195,exact,2,5.0–20.5 gC m-2 yr-1,4
NZ-BFm,-43.593528,171.929611,79.89745330810547,exact,7,>70.2 gC m-2 yr-1,28
AU-Fog,-12.5452,131.3072,86.48979949951172,exact,7,>70.2 gC m-2 yr-1,29
AU-Rgf,-32.506102,116.966827,40.14148712158203,exact,4,31.7–41.8 gC m-2 yr-1,15
AU-Dry,-15.2588,132.3706,69.32249450683594,exact,6,54.3–70.2 gC m-2 yr-1,25
NZ-BFu,-43.591833,171.926833,79.89745330810547,exact,7,>70.2 gC m-2 yr-1,28
AU-Wgt,-42.09139,147.07944,74.97530364990234,exact,7,>70.2 gC m-2 yr-1,27
AU-APL,-36.862222,147.320833,104.91413116455078,exact,7,>70.2 gC m-2 yr-1,30
AU-Col,-33.42,116.237,71.29863739013672,exact,7,>70.2 gC m-2 yr-1,26
AU-Ctr,-16.103219,145.446922,96.56652069091795,exact,7,>70.2 gC m-2 yr-1,29
AU-Gin,-31.376351,115.71377,49.5048942565918,exact,5,41.8–54.3 gC m-2 yr-1,19
NZ-ADw,-43.64935,172.34952,48.52565383911133,exact,5,41.8–54.3 gC m-2 yr-1,19
NZ-Kop,-37.387875,175.55389,57.336448669433594,exact,6,54.3–70.2 gC m-2 yr-1,22
AU-GWW,-30.1914,120.65417,26.322608947753903,exact,3,20.5–31.7 gC m-2 yr-1,9
NZ-Lau,-45.038904,169.681109,39.50421142578125,exact,4,31.7–41.8 gC m-2 yr-1,15
AU-Lit,-13.17904,130.79455,68.342254638671875,exact,6,54.3–70.2 gC m-2 yr-1,25
AU-Emr,-23.85872,148.4746,45.10855484008789,exact,5,41.8–54.3 gC m-2 yr-1,17
AU-How,-12.4952,131.15005,65.01715087890625,exact,6,54.3–70.2 gC m-2 yr-1,24
AU-Rob,-17.11746943,145.6301375,102.27227783203124,exact,7,>70.2 gC m-2 yr-1,30
AU-Sno,-36.375649,148.43585,105.63445281982422,exact,7,>70.2 gC m-2 yr-1,30
AU-DaS,-14.1592,131.3881,74.403167724609375,exact,7,>70.2 gC m-2 yr-1,27
AU-Whr,-36.6732,145.0294,71.84769439697266,exact,7,>70.2 gC m-2 yr-1,26
AU-Wom,-37.422506,144.094046,74.85282897949219,exact,7,>70.2 gC m-2 yr-1,27
AU-Tum,-35.6566,148.1516,94.27025604248048,exact,7,>70.2 gC m-2 yr-1,29
AU-Cpr,-34.0027,140.5877,19.83385848999023,exact,2,5.0–20.5 gC m-2 yr-1,6
NZ-ADd,-43.64405,172.35465,48.52565383911133,exact,5,41.8–54.3 gC m-2 yr-1,19
AU-Ya1,-33.613469,150.734864,104.5349578857422,exact,7,>70.2 gC m-2 yr-1,30
AU-MvA,-30.543,150.02,81.99638366699219,exact,7,>70.2 gC m-2 yr-1,28
AU-Ync,-34.9878,146.2908,47.44911575317383,exact,5,41.8–54.3 gC m-2 yr-1,18
AU-MvB,-30.697,150.09,81.99638366699219,exact,7,>70.2 gC m-2 yr-1,28
AU-Rig,-36.6499,145.5759,76.82098388671875,exact,7,>70.2 gC m-2 yr-1,27
AU-Wrr,-43.09502,146.65452,57.713680267333984,exact,6,54.3–70.2 gC m-2 yr-1,22
AU-Wac,-37.4259,145.1878,76.630462646484375,exact,7,>70.2 gC m-2 yr-1,27
NZ-Oxf,-43.2609,172.21588,49.94406509399414,exact,5,41.8–54.3 gC m-2 yr-1,19
AU-Cum,-33.615278000000004,150.723611,104.5349578857422,exact,7,>70.2 gC m-2 yr-1,30
AU-TTE,-22.287,133.64,25.08450698852539,exact,3,20.5–31.7 gC m-2 yr-1,8
AU-Otw,-38.525,142.81,57.1107063293457,exact,6,54.3–70.2 gC m-2 yr-1,22
AU-Wel,-32.5727,148.9843,70.20125579833984,exact,7,>70.2 gC m-2 yr-1,26
AU-Cow,-16.238189,145.42715,96.56652069091795,exact,7,>70.2 gC m-2 yr-1,29
NZ-Cla,-43.78628,171.59558,79.89745330810547,exact,7,>70.2 gC m-2 yr-1,28
AU-RDF,-14.563639,132.477567,72.3729019165039,exact,7,>70.2 gC m-2 yr-1,26
AU-Stp,-17.1507,133.3502,28.941402435302734,exact,3,20.5–31.7 gC m-2 yr-1,10
AU-Sam,-27.38806,152.87778,152.0650634765625,exact,7,>70.2 gC m-2 yr-1,30
AU-Lox,-34.47035,140.65512,19.83385848999023,exact,2,5.0–20.5 gC m-2 yr-1,6
AU-Ya2,-33.620812,150.763284,104.5349578857422,exact,7,>70.2 gC m-2 yr-1,30
AU-Sil,-42.090556,147.0875,74.97530364990234,exact,7,>70.2 gC m-2 yr-1,27
AU-Ade,-13.0769,131.1178,88.94895935058594,exact,7,>70.2 gC m-2 yr-1,29
AU-Lon,-23.52327,144.31042,26.72619247436523,exact,3,20.5–31.7 gC m-2 yr-1,9
NZ-ScF,-37.46,175.22,67.24654388427734,exact,6,54.3–70.2 gC m-2 yr-1,25
AU-Boy,-32.477093000000004,116.938559,39.72734451293945,exact,4,31.7–41.8 gC m-2 yr-1,15
AU-Fle,-19.887285,146.189138,90.16706085205078,exact,7,>70.2 gC m-2 yr-1,29
AU-ASM,-22.283,133.249,21.87087631225586,exact,3,20.5–31.7 gC m-2 yr-1,7
AU-DaP,-14.0633,131.3181,74.403167724609375,exact,7,>70.2 gC m-2 yr-1,27
