site_id,location_lat,location_long,ai_value,unep_class_5,unep_class_7,aridity_method
PT-Mi1,38.54069900512695,-8.000399589538574,0.4632,Semi-Arid,Semi-Arid,exact
PT-Mi2,38.47650146484375,-8.024550437927246,0.45170000000000005,Semi-Arid,Semi-Arid,exact
RU-Che,68.61470031738281,161.33900451660156,0.3793,Semi-Arid,Semi-Arid,exact
RU-Cok,70.61669921875,147.88299560546875,0.7129000000000001,Humid,Humid (low),exact
RU-Fyo,56.461669921875,32.92388916015625,1.1464,Humid,Humid (moderate),exact
RU-Ha1,54.72529983520508,90.002197265625,0.6782,Humid,Humid (low),exact
RU-Ha2,54.773101806640625,89.95670318603516,0.6738000000000001,Humid,Humid (low),exact
RU-Ha3,54.704551696777344,89.077850341796875,1.1175000000000002,Humid,Humid (moderate),exact
RU-Zot,60.80080032348633,89.350799560546875,1.0614000000000001,Humid,Humid (moderate),exact
SE-Abi,68.36238861083984,18.794750213623047,0.8903000000000001,Humid,Humid (low),exact
SE-Deg,64.18329620361328,19.549999237060547,1.3144,Humid,Humid (moderate),exact
SE-Faj,56.265499114990234,13.553500175476074,1.6004,Humid,Humid (moderate),exact
SE-Fla,64.11280059814453,19.456899642944336,1.3834,Humid,Humid (moderate),exact
SE-Nor,60.08649826049805,17.479503631591797,1.0546,Humid,Humid (moderate),exact
SE-Sk1,60.125,17.918100357055664,1.0867,Humid,Humid (moderate),exact
SE-Sk2,60.129669189453125,17.840059280395508,1.1169,Humid,Humid (moderate),exact
SE-St1,68.36669921875,19.049694061279297,0.9686,Humid,Humid (low),exact
SK-Tat,49.12080001831055,20.16349983215332,1.6271,Humid,Humid (moderate),exact
TW-Tar,24.031200408935547,120.68800354003906,1.4628,Humid,Humid (moderate),exact
UK-AMo,55.79169845581055,-3.2388899326324463,1.6358000000000001,Humid,Humid (moderate),exact
UK-EBu,55.86600112915039,-3.205780029296875,1.3010000000000002,Humid,Humid (moderate),exact
UK-ESa,55.90694046020508,-2.858609914779663,1.2572,Humid,Humid (moderate),exact
UK-Gri,56.60721969604492,-3.7980599403381343,2.4888,Humid,Hyper-Humid,exact
UK-Ham,51.153533935546875,-0.858299970626831,1.1601000000000001,Humid,Humid (moderate),exact
UK-Her,51.78379821777344,-0.4760800004005432,1.0178,Humid,Humid (moderate),exact
UK-PL3,51.45000076293945,-1.266669988632202,1.0512000000000001,Humid,Humid (moderate),exact
UK-Tad,51.20709991455078,-2.8286399841308594,1.2364000000000002,Humid,Humid (moderate),exact
US-ARb,35.54970169067383,-98.04019927978516,0.5024000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-ARc,35.54648971557617,-98.04000091552734,0.5024000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-ARM,36.60580062866211,-97.488800048828125,0.5599000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Atq,70.46959686279297,-157.40899658203125,0.5095000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Aud,31.590700149536133,-110.51000213623048,0.2354,Semi-Arid,Semi-Arid,exact
US-Bar,44.06460189819336,-71.28807830810547,1.53,Humid,Humid (moderate),exact
US-Bkg,44.34529876708984,-96.83619689941406,0.5779000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Blo,38.89519882202149,-120.63275146484376,1.1022,Humid,Humid (moderate),exact
US-Bn1,63.9197998046875,-145.3780059814453,0.5158,Dry Sub-Humid,Dry Sub-Humid,exact
US-Bn2,63.9197998046875,-145.3780059814453,0.5158,Dry Sub-Humid,Dry Sub-Humid,exact
US-Bn3,63.922698974609375,-145.74400329589844,0.5585,Dry Sub-Humid,Dry Sub-Humid,exact
US-Bo1,40.00619888305664,-88.29039764404297,0.9748,Humid,Humid (low),exact
US-Bo2,40.00899887084961,-88.29000091552734,0.9711000000000001,Humid,Humid (low),exact
US-Brw,71.32250213623047,-156.6259002685547,0.5747,Dry Sub-Humid,Dry Sub-Humid,exact
US-CaV,39.06330108642578,-79.4207992553711,1.3341,Humid,Humid (moderate),exact
US-Dk1,35.97119903564453,-79.09339904785156,0.991,Humid,Humid (low),exact
US-Dk2,35.97359848022461,-79.10040283203125,0.9923000000000001,Humid,Humid (low),exact
US-Dk3,35.97819900512695,-79.09420013427734,0.9898,Humid,Humid (low),exact
US-Fmf,35.142601013183594,-111.72730255126952,0.3899,Semi-Arid,Semi-Arid,exact
US-FPe,48.30770111083984,-105.10189819335938,0.2376,Semi-Arid,Semi-Arid,exact
US-FR2,29.949499130249023,-97.99620056152344,0.5491,Dry Sub-Humid,Dry Sub-Humid,exact
US-Fuf,35.0890007019043,-111.76200103759766,0.4035,Semi-Arid,Semi-Arid,exact
US-Fwf,35.44540023803711,-111.77179718017578,0.36060000000000003,Semi-Arid,Semi-Arid,exact
US-Goo,34.25469970703125,-89.87349700927734,1.1041,Humid,Humid (moderate),exact
US-Ha1,42.53779983520508,-72.17150115966797,1.3047,Humid,Humid (moderate),exact
US-Ha2,42.53929901123047,-72.17790222167969,1.3155000000000001,Humid,Humid (moderate),exact
US-Ho1,45.2041015625,-68.74019622802734,1.3368,Humid,Humid (moderate),exact
