site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
DK-Fou,56.48419952392578,9.587220191955566,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
DK-Lva,55.68330001831055,12.08329963684082,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
DK-Ris,55.53030014038086,12.097200393676758,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
DK-Sor,55.48690032958984,11.64579963684082,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
ES-ES1,39.34600067138672,-0.31880998611450195,6,BSh,"Arid, steppe, hot",B,Arid,exact
ES-ES2,39.2755012512207,-0.3152199983596802,6,BSh,"Arid, steppe, hot",B,Arid,exact
ES-LJu,36.928199768066406,-2.750469923019409,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
ES-LMa,39.94150161743164,-5.773359775543213,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
ES-VDA,42.152198791503906,1.4485000371932983,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FI-Hyy,61.8474006652832,24.2947998046875,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
FI-Kaa,69.14070129394531,27.295000076293945,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
FI-Sii,61.83300018310547,24.19300079345703,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
FI-Sod,67.36190032958984,26.637800216674805,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
FR-Aur,43.54940032958984,1.1077799797058103,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-Fon,48.47629928588867,2.7801499366760254,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-Gri,48.84400177001953,1.952430009841919,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-Hes,48.674198150634766,7.064620018005371,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-Lam,43.49330139160156,1.237220048904419,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-LBr,44.717098236083984,-0.7692999839782715,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
FR-Lq1,45.644100189208984,2.737030029296875,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-Lq2,45.639198303222656,2.737030029296875,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
FR-Pue,43.74140167236328,3.595829963684082,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
GF-Guy,5.277699947357178,-52.92879867553711,2,Am,"Tropical, monsoon",A,Tropical,exact
HU-Bug,46.69110107421875,19.601299285888672,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
HU-Mat,47.846900939941406,19.72599983215332,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
ID-Pag,2.3450000286102295,114.03600311279295,1,Af,"Tropical, rainforest",A,Tropical,exact
IE-Ca1,52.85879898071289,-6.918139934539795,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
IE-Dri,51.986698150634766,-8.751810073852539,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
IL-Yat,31.344999313354492,35.05149841308594,6,BSh,"Arid, steppe, hot",B,Arid,exact
IS-Gun,63.83330154418945,-20.216699600219727,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
IT-Amp,41.90409851074219,13.605199813842772,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-BCi,40.523799896240234,14.95740032196045,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Be2,46.00310134887695,13.025699615478516,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
IT-Bon,39.47779846191406,16.534700393676758,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Cas,45.06284713745117,8.668539047241211,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Col,41.84939956665039,13.58810043334961,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Cpz,41.7052001953125,12.376099586486816,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Lav,45.955299377441406,11.281200408935549,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
IT-Lec,43.30459976196289,11.270600318908691,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-LMa,45.581298828125,7.154630184173584,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
IT-Mal,46.11669921875,11.702799797058104,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
IT-MBo,46.01559829711914,11.04669952392578,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
IT-Noe,40.60599899291992,8.151000022888184,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
