site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
CA-SJ2,ENF,53.945,-104.649,4,4,4,4,4,-97.67465,152.4265,254.466,178.34230212244898,19.29515,VUT,VUT,VUT,NT,NT,1
CA-SMC,ENF,63.1534,-123.2522,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-TP1,ENF,42.6609,-80.5595,12,12,12,14,15,-115.52350000000001,1864.96,1962.15,429.4648022693878,29.2574,BOTH,BOTH,BOTH,NT,NT,0.9166666666666666
CA-TP2,ENF,42.7744,-80.4588,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-TP3,ENF,42.7068,-80.3483,16,16,16,16,16,539.8505,1719.75,1181.0700000000002,432.04286497959185,34.27315,VUT,VUT,VUT,NT,NT,1
CA-TP4,ENF,42.7102,-80.3574,20,20,20,20,20,108.0305,1599.81,1444.7849999999999,424.4349072489796,31.18245,VUT,VUT,VUT,NT,NT,1
CA-TPA,CRO,42.6947,-80.3487,3,3,3,3,3,29.0915,856.401,825.882,663.3240071510204,19.0794,VUT,VUT,VUT,NT,NT,1
CA-TPD,DBF,42.6353,-80.5577,11,11,11,12,12,192.565,1478.67,1274.61,391.47009590204084,26.6706,VUT,VUT,VUT,NT,NT,1
CA-TVC,OSH,68.7462,-133.5017,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-ACF,ENF,-40.1726,-73.4439,0,0,0,2,2,NA,NA,NA,611.3640967346939,34.83545,NA,NA,NA,NA,NA,NA
CL-SDF,EBF,-41.883,-73.676,2,2,2,3,4,182.1475,1919.385,1736.645,764.4628949877551,25.7129,VUT,VUT,VUT,NT,NT,1
CL-SDP,WET,-41.879,-73.666,3,3,3,5,7,-97.8241,795.365,889.498,628.1933139918367,37.1567,VUT,VUT,VUT,NT,NT,1
CR-Fsc,CRO,10.4189,-85.4732,3,3,3,4,4,1244.54,4038.69,2751.74,1218.7796292734693,25.715049999999998,BOTH,BOTH,BOTH,NT,NT,0.6666666666666666
MX-Aog,DBF,26.9968,-108.7892,1,1,1,1,1,-95.8542,1079.98,1149.11,623.7469125551021,44.057,VUT,VUT,VUT,NT,NT,1
MX-PMm,WET,20.8462,-86.8992,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
