site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
DE-Har,47.93439865112305,7.60099983215332,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
DE-Kli,50.89289855957031,13.522500038146973,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
DE-Meh,51.275299072265625,10.655500411987305,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
DE-Tha,50.963600158691406,13.566900253295898,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
DE-Wet,50.45349884033203,11.457500457763672,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
DK-Fou,56.48419952392578,9.587220191955566,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
DK-Lva,55.68330001831055,12.08329963684082,190,Urban areas,6,Settlement,exact,190,Urban areas,19,Urban areas,6,Settlement
DK-Ris,55.53030014038086,12.097200393676758,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
DK-Sor,55.48690032958984,11.64579963684082,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
ES-ES1,39.34600067138672,-0.31880998611450195,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
ES-ES2,39.2755012512207,-0.3152199983596802,210,Water bodies,9,Water,exact,210,Water bodies,21,Water bodies,9,Water
ES-LJu,36.928199768066406,-2.750469923019409,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
ES-LMa,39.94150161743164,-5.773359775543213,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
ES-VDA,42.152198791503906,1.4485000371932983,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FI-Hyy,61.8474006652832,24.2947998046875,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FI-Kaa,69.14070129394531,27.295000076293945,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",18,Flooded shrub/herb,5,Wetland
FI-Sii,61.83300018310547,24.19300079345703,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",18,Flooded shrub/herb,5,Wetland
FI-Sod,67.36190032958984,26.637800216674805,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FR-Aur,43.54940032958984,1.1077799797058103,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
FR-Fon,48.47629928588867,2.7801499366760254,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
FR-Gri,48.84400177001953,1.952430009841919,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
FR-Hes,48.674198150634766,7.064620018005371,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
FR-Lam,43.49330139160156,1.237220048904419,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
FR-LBr,44.717098236083984,-0.7692999839782715,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FR-Lq1,45.644100189208984,2.737030029296875,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",10,Other,exact,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",4,Mosaic nat-veg/cropland,10,Other
FR-Lq2,45.639198303222656,2.737030029296875,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",10,Other,exact,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",4,Mosaic nat-veg/cropland,10,Other
FR-Pue,43.74140167236328,3.595829963684082,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
GF-Guy,5.277699947357178,-52.92879867553711,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
HU-Bug,46.69110107421875,19.601299285888672,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
HU-Mat,47.846900939941406,19.72599983215332,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
ID-Pag,2.3450000286102295,114.03600311279295,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
IE-Ca1,52.85879898071289,-6.918139934539795,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
IE-Dri,51.986698150634766,-8.751810073852539,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
IL-Yat,31.344999313354492,35.05149841308594,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
IS-Gun,63.83330154418945,-20.216699600219727,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
IT-Amp,41.90409851074219,13.605199813842772,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
IT-BCi,40.523799896240234,14.95740032196045,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
IT-Be2,46.00310134887695,13.025699615478516,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
IT-Bon,39.47779846191406,16.534700393676758,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-Cas,45.06284713745117,8.668539047241211,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
IT-Col,41.84939956665039,13.58810043334961,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
IT-Cpz,41.7052001953125,12.376099586486816,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-Lav,45.955299377441406,11.281200408935549,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-Lec,43.30459976196289,11.270600318908691,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
IT-LMa,45.581298828125,7.154630184173584,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
IT-Mal,46.11669921875,11.702799797058104,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-MBo,46.01559829711914,11.04669952392578,10,"Cropland, rainfed",1,Cropland,exact,10,"Cropland, rainfed",1,Rainfed cropland,1,Cropland
IT-Noe,40.60599899291992,8.151000022888184,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-Non,44.68980026245117,11.088700294494627,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",10,Other,exact,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",4,Mosaic nat-veg/cropland,10,Other
IT-Pia,42.58390045166016,10.078399658203123,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
IT-PT1,45.20090103149414,9.061039924621582,10,"Cropland, rainfed",1,Cropland,exact,10,"Cropland, rainfed",1,Rainfed cropland,1,Cropland
IT-Ren,46.587799072265625,11.434700012207031,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-Ro1,42.40810012817383,11.93000030517578,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
IT-Ro2,42.39030075073242,11.920900344848633,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
IT-SRo,43.72785949707031,10.28444004058838,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IT-Vig,45.31666564941406,8.850000381469727,190,Urban areas,6,Settlement,exact,190,Urban areas,19,Urban areas,6,Settlement
JP-Mas,36.05397033691406,140.02691650390625,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
JP-Tak,36.14619827270508,137.42300415039062,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
JP-Tef,45.056339263916016,142.106201171875,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
JP-Tom,42.739498138427734,141.514892578125,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
KR-Hnm,34.54999923706055,126.56999969482422,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
KR-Kw1,37.74860000610352,127.16300201416016,61,"Tree cover, broadleaved, deciduous, closed (>40%)",2,Forest,exact,61,"Tree cover, broadleaved, deciduous, closed (>40%)",6,BL deciduous forest,2,Forest
NL-Ca1,51.97100067138672,4.927000045776367,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
