site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
US-xWD,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,5,100,FALSE,Temperate steppe,33
GL-Dsk,European Fluxes Database;ICOS,OSH,Northern America,Americas,2020,2024,4,5,125,FALSE,Polar,50
CR-AqC,Unaffiliated,EBF,Latin America and the Caribbean,Americas,2009,2016,7,5,71.4,FALSE,Tropical rainforest,11
BR-Ji3,AmeriFlux;LBA,EBF,Latin America and the Caribbean,Americas,2004,2010,6,4,66.7,FALSE,Tropical rainforest,11
CL-SDF,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2014,2021,7,4,57.1,FALSE,Temperate oceanic forest,31
CR-Fsc,AmeriFlux,CRO,Latin America and the Caribbean,Americas,2015,2018,3,4,133.3,FALSE,Tropical moist forest,12
MX-Tes,AmeriFlux;MexFlux,DBF,Latin America and the Caribbean,Americas,2004,2008,4,4,100,FALSE,Tropical dry forest,13
US-DFC,AmeriFlux,CRO,Northern America,Americas,2018,2024,6,4,66.7,FALSE,Temperate continental forest,32
US-Dmg,AmeriFlux,WET,Northern America,Americas,2021,2025,4,4,100,FALSE,Subtropical dry forest,22
US-EDN,AmeriFlux,WET,Northern America,Americas,2018,2024,6,4,66.7,FALSE,Subtropical mountain system,25
US-Fuf,AmeriFlux,ENF,Northern America,Americas,2005,2010,5,4,80,FALSE,Subtropical mountain system,25
US-HB4,AmeriFlux;Phenocam,WET,Northern America,Americas,2020,2024,4,4,100,FALSE,Subtropical humid forest,21
US-Hsm,AmeriFlux;Phenocam,WET,Northern America,Americas,2021,2025,4,4,100,FALSE,Subtropical dry forest,22
US-IAC,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate steppe,33
US-LS1,AmeriFlux,GRA,Northern America,Americas,2003,2007,4,4,100,FALSE,Subtropical desert,24
US-MN3,AmeriFlux,CRO,Northern America,Americas,2020,2024,4,4,100,FALSE,Temperate steppe,33
US-RC1,AmeriFlux;LTAR,CRO,Northern America,Americas,2011,2016,5,4,80,FALSE,Temperate desert,34
US-Sne,AmeriFlux;Phenocam,GRA,Northern America,Americas,2016,2020,4,4,100,FALSE,Subtropical dry forest,22
US-Tw3,AmeriFlux;Phenocam,CRO,Northern America,Americas,2013,2018,5,4,80,FALSE,Subtropical dry forest,22
