site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
US-EvM,AmeriFlux;LTER,WET,Northern America,Americas,2020,2023,3,2,66.7,FALSE,Tropical moist forest,12
US-HWB,AmeriFlux;LTAR,CVM,Northern America,Americas,2015,2018,3,2,66.7,FALSE,Temperate mountain system,35
US-LA3,AmeriFlux,WET,Northern America,Americas,2019,2023,4,2,50,FALSE,Subtropical humid forest,21
US-MEF,AmeriFlux,ENF,Northern America,Americas,2024,2025,1,2,200,FALSE,Temperate mountain system,35
US-RGA,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2024,3,2,66.7,FALSE,Subtropical humid forest,21
US-RGB,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2024,3,2,66.7,FALSE,Subtropical dry forest,22
US-RGW,AmeriFlux;Phenocam,CRO,Northern America,Americas,2022,2024,2,2,100,FALSE,Subtropical humid forest,21
US-SHC,AmeriFlux;Phenocam,ENF,Northern America,Americas,2017,2020,3,2,66.7,FALSE,Subtropical mountain system,25
US-SRC,AmeriFlux,OSH,Northern America,Americas,2008,2014,6,2,33.3,FALSE,Subtropical desert,24
US-Srr,AmeriFlux,WET,Northern America,Americas,2014,2017,3,2,66.7,FALSE,Subtropical mountain system,25
US-UTW,AmeriFlux;UFLUX,CRO,Northern America,Americas,2021,2024,3,2,66.7,FALSE,Temperate desert,34
US-xBA,AmeriFlux;NEON;Phenocam,WET,Northern America,Americas,2019,2024,5,2,40,FALSE,Polar,50
US-xNW,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,2,40,FALSE,Temperate mountain system,35
US-xPU,AmeriFlux;NEON,EBF,Northern America,Americas,2019,2024,5,2,40,FALSE,Tropical mountain system,16
US-YK2,AmeriFlux,WET,Northern America,Americas,2019,2025,6,2,33.3,FALSE,Polar,50
AR-TF1,AmeriFlux,WET,Latin America and the Caribbean,Americas,2016,2018,2,1,50,FALSE,NA,NA
AR-TF2,AmeriFlux,WET,Latin America and the Caribbean,Americas,2016,2018,2,1,50,FALSE,Temperate oceanic forest,31
CA-LU1,AmeriFlux,OSH,Northern America,Americas,2020,2023,3,1,33.3,FALSE,Boreal tundra woodland,42
CA-PB2,AmeriFlux,WET,Northern America,Americas,2017,2024,7,1,14.3,FALSE,Boreal tundra woodland,42
CA-SCB,AmeriFlux,WET,Northern America,Americas,2014,2019,5,1,20,FALSE,Boreal tundra woodland,42
US-A32,AmeriFlux,GRA,Northern America,Americas,2015,2017,2,1,50,FALSE,Temperate steppe,33
US-A37,AmeriFlux,CVM,Northern America,Americas,2024,2024,0,1,NA,FALSE,Temperate steppe,33
US-A39,AmeriFlux,CRO,Northern America,Americas,2024,2024,0,1,NA,FALSE,Subtropical steppe,23
US-ADR,AmeriFlux,BSV,Northern America,Americas,2011,2017,6,1,16.7,FALSE,Subtropical desert,24
US-CF3,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2021,4,1,25,FALSE,Temperate desert,34
US-CF4,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2021,4,1,25,FALSE,Temperate desert,34
US-Cms,AmeriFlux,WET,Northern America,Americas,1999,2005,6,1,16.7,FALSE,Polar,50
US-CS2,AmeriFlux,ENF,Northern America,Americas,2018,2022,4,1,25,FALSE,Temperate continental forest,32
US-DFK,AmeriFlux,CRO,Northern America,Americas,2018,2020,2,1,50,FALSE,Temperate continental forest,32
US-DS1,AmeriFlux,CRO,Northern America,Americas,2018,2019,1,1,100,FALSE,Subtropical dry forest,22
US-EA5,AmeriFlux,CSH,Northern America,Americas,2021,2022,1,1,100,FALSE,Subtropical steppe,23
US-EKN,AmeriFlux,WET,Northern America,Americas,2023,2024,1,1,100,FALSE,Subtropical mountain system,25
US-EKP,AmeriFlux,WET,Northern America,Americas,2022,2024,2,1,50,FALSE,Subtropical mountain system,25
US-Fcr,AmeriFlux,OSH,Northern America,Americas,2011,2014,3,1,33.3,FALSE,Boreal tundra woodland,42
US-HRC,AmeriFlux;Phenocam,CRO,Northern America,Americas,2015,2024,9,1,11.1,FALSE,Subtropical humid forest,21
US-Me7,AmeriFlux,ENF,Northern America,Americas,2022,2023,1,1,100,FALSE,Temperate mountain system,35
US-OPE,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2022,2022,0,1,NA,FALSE,Subtropical humid forest,21
US-PAS,AmeriFlux;LTAR,GRA,Northern America,Americas,2021,2022,1,1,100,FALSE,Subtropical humid forest,21
US-PLo,AmeriFlux,WET,Northern America,Americas,2022,2023,1,1,100,FALSE,Temperate continental forest,32
US-RGF,AmeriFlux;Phenocam,CRO,Northern America,Americas,2023,2024,1,1,100,FALSE,Subtropical dry forest,22
US-RRC,AmeriFlux,WET,Northern America,Americas,2022,2024,2,1,50,FALSE,Subtropical humid forest,21
US-SD1,AmeriFlux,CRO,Northern America,Americas,2023,2025,2,1,50,FALSE,Temperate continental forest,32
US-SD2,AmeriFlux,CRO,Northern America,Americas,2023,2025,2,1,50,FALSE,Temperate continental forest,32
US-Snf,AmeriFlux;Phenocam,GRA,Northern America,Americas,2018,2020,2,1,50,FALSE,Subtropical dry forest,22
US-Sta,AmeriFlux,OSH,Northern America,Americas,2005,2009,4,1,25,FALSE,Temperate desert,34
US-Tw5,AmeriFlux;Phenocam,WET,Northern America,Americas,2018,2019,1,1,100,FALSE,Subtropical dry forest,22
US-UTB,AmeriFlux;UFLUX,BSV,Northern America,Americas,2021,2023,2,1,50,FALSE,Temperate desert,34
US-VT1,AmeriFlux,CRO,Northern America,Americas,2023,2025,2,1,50,FALSE,Temperate steppe,33
US-VT2,AmeriFlux,CRO,Northern America,Americas,2023,2025,2,1,50,FALSE,Temperate steppe,33
US-WT1,AmeriFlux,CRO,Northern America,Americas,2023,2024,1,1,100,FALSE,Subtropical steppe,23
US-ZF2,AmeriFlux,CRO,Northern America,Americas,2024,2025,1,1,100,FALSE,Temperate steppe,33
JP-Yms,AsiaFlux;JapanFlux,DBF,Eastern Asia,Asia,2000,2023,23,22,95.7,TRUE,Subtropical humid forest,21
JP-Tak,AsiaFlux;JapanFlux,DBF,Eastern Asia,Asia,1998,2021,23,22,95.7,TRUE,Temperate mountain system,35
JP-Api,AsiaFlux;JapanFlux,DBF,Eastern Asia,Asia,2000,2022,22,22,100,TRUE,Temperate mountain system,35
IL-Yat,CarboEuroFlux;CarboEuropeIP;European Fluxes Database,ENF,Western Asia,Asia,2000,2024,24,22,91.7,TRUE,Tropical desert,15
JP-Tef,AsiaFlux;JapanFlux,DNF,Eastern Asia,Asia,2001,2023,22,20,90.9,TRUE,Temperate mountain system,35
JP-Fjy,AsiaFlux;JapanFlux,ENF,Eastern Asia,Asia,2001,2021,20,20,100,FALSE,Subtropical mountain system,25
JP-Fhk,AsiaFlux;JapanFlux,DNF,Eastern Asia,Asia,2006,2023,17,18,105.9,FALSE,Temperate mountain system,35
JP-Spp,AsiaFlux;JapanFlux,DBF,Eastern Asia,Asia,2000,2018,18,16,88.9,FALSE,Temperate continental forest,32
ID-PaD,AsiaFlux;JapanFlux,EBF,South-eastern Asia,Asia,2001,2017,16,12,75,FALSE,Tropical rainforest,11
CN-Aro,ChinaFLUX,GRA,Eastern Asia,Asia,2013,2024,11,11,100,FALSE,Temperate mountain system,35
CN-Ash,ChinaFLUX,EBF,Eastern Asia,Asia,2009,2019,10,11,110,FALSE,Subtropical mountain system,25
JP-Ta2,AsiaFlux;JapanFlux,ENF,Eastern Asia,Asia,2005,2015,10,10,100,FALSE,Subtropical humid forest,21
JP-NsM,AsiaFlux;JapanFlux,GRA,Eastern Asia,Asia,2004,2015,11,10,90.9,FALSE,Subtropical mountain system,25
JP-NsC,AsiaFlux;JapanFlux,GRA,Eastern Asia,Asia,2004,2015,11,10,90.9,FALSE,Subtropical mountain system,25
ID-PaB,AsiaFlux;JapanFlux,OSH,South-eastern Asia,Asia,2004,2016,12,10,83.3,FALSE,Tropical rainforest,11
JP-SMF,AsiaFlux;JapanFlux,MF,Eastern Asia,Asia,2002,2014,12,9,75,FALSE,Subtropical humid forest,21
CN-YaS,ChinaFLUX,OSH,Eastern Asia,Asia,2011,2020,9,9,100,FALSE,Temperate mountain system,35
CN-BeO,ChinaFLUX,MF,Eastern Asia,Asia,2012,2020,8,9,112.5,FALSE,Temperate continental forest,32
JP-Mse,AsiaFlux;JapanFlux,CRO,Eastern Asia,Asia,2002,2009,7,8,114.3,FALSE,Subtropical humid forest,21
CN-Lch,NA,CRO,Eastern Asia,Asia,2008,2020,12,8,66.7,FALSE,Temperate continental forest,32
CN-Dzo,ChinaFLUX,EBF,Eastern Asia,Asia,2010,2020,10,8,80,FALSE,Tropical moist forest,12
TH-Mae,AsiaFlux;JapanFlux,DBF,South-eastern Asia,Asia,2005,2016,11,7,63.6,FALSE,Tropical moist forest,12
JP-Kzw,AsiaFlux;JapanFlux,MF,Eastern Asia,Asia,2001,2008,7,7,100,FALSE,Temperate mountain system,35
CN-HaM,AsiaFlux;JapanFlux,GRA,Eastern Asia,Asia,2001,2014,13,7,53.8,FALSE,Temperate mountain system,35
KR-CmF,NA,CRO,Eastern Asia,Asia,2012,2019,7,6,85.7,FALSE,Temperate continental forest,32
KR-CRK,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2015,2021,6,6,100,FALSE,Temperate continental forest,32
JP-Ynf,AsiaFlux;JapanFlux,EBF,Eastern Asia,Asia,2013,2022,9,6,66.7,FALSE,Subtropical humid forest,21
JP-MMF,AsiaFlux;JapanFlux,MF,Eastern Asia,Asia,2004,2011,7,6,85.7,FALSE,Temperate mountain system,35
ID-Pag,AsiaFlux;JapanFlux,EBF,South-eastern Asia,Asia,2004,2018,14,6,42.9,FALSE,Tropical rainforest,11
CN-Du2,ChinaFLUX,GRA,Eastern Asia,Asia,2011,2019,8,6,75,FALSE,Temperate mountain system,35
KR-Kw1,NA,ENF,Eastern Asia,Asia,2016,2020,4,5,125,FALSE,Temperate continental forest,32
MY-LHP,AsiaFlux;JapanFlux,EBF,South-eastern Asia,Asia,2009,2019,10,5,50,FALSE,Tropical rainforest,11
MN-Kbu,AsiaFlux;JapanFlux,GRA,Eastern Asia,Asia,2003,2008,5,5,100,FALSE,Temperate steppe,33
JP-Tmd,AsiaFlux;JapanFlux,GRA,Eastern Asia,Asia,2005,2023,18,5,27.8,FALSE,Temperate continental forest,32
JP-MBF,AsiaFlux,DBF,Eastern Asia,Asia,2004,2011,7,5,71.4,FALSE,Temperate mountain system,35
CN-Yuc,ChinaFLUX,CRO,Eastern Asia,Asia,2011,2020,9,5,55.6,FALSE,Temperate continental forest,32
CN-Jzh,ChinaFLUX,CRO,Eastern Asia,Asia,2011,2016,5,5,100,FALSE,Temperate continental forest,32
CN-Ha2,ChinaFLUX,OSH,Eastern Asia,Asia,2011,2019,8,5,62.5,FALSE,Temperate mountain system,35
KR-SmM,NA,MF,Eastern Asia,Asia,2015,2021,6,4,66.7,FALSE,Temperate continental forest,32
KR-ScC,AsiaFlux;KoFlux,ENF,Eastern Asia,Asia,2015,2018,3,4,133.3,FALSE,Temperate continental forest,32
KR-PcD,AsiaFlux;KoFlux,DBF,Eastern Asia,Asia,2015,2018,3,4,133.3,FALSE,Temperate continental forest,32
KR-Kw2,AsiaFlux;KoFlux,DBF,Eastern Asia,Asia,2016,2020,4,4,100,FALSE,Temperate continental forest,32
KR-JjM,AsiaFlux;KoFlux,MF,Eastern Asia,Asia,2015,2018,3,4,133.3,FALSE,Subtropical humid forest,21
MN-Nkh,JapanFlux,GRA,Eastern Asia,Asia,2015,2020,5,4,80,FALSE,Boreal mountain system,43
MN-Hst,JapanFlux,GRA,Eastern Asia,Asia,2015,2020,5,4,80,FALSE,Temperate steppe,33
JP-Toc,JapanFlux,DBF,Eastern Asia,Asia,2011,2014,3,4,133.3,FALSE,Temperate continental forest,32
JP-Fmt,JapanFlux,MF,Eastern Asia,Asia,2014,2023,9,4,44.4,FALSE,Subtropical humid forest,21
CN-Lsh,AsiaFlux;JapanFlux,DNF,Eastern Asia,Asia,2002,2006,4,4,100,FALSE,Temperate continental forest,32
ID-JOP,AsiaFlux,EBF,South-eastern Asia,Asia,2014,2024,10,4,40,FALSE,Tropical rainforest,11
KR-Hnm,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2016,2019,3,3,100,FALSE,Subtropical humid forest,21
KR-HcM,AsiaFlux;KoFlux,MF,Eastern Asia,Asia,2015,2018,3,3,100,FALSE,Temperate continental forest,32
KR-GmS,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2017,2019,2,3,150,FALSE,Temperate continental forest,32
JP-Tmk,AsiaFlux;JapanFlux,DNF,Eastern Asia,Asia,2001,2003,2,3,150,FALSE,Temperate continental forest,32
JP-Srk,AsiaFlux;JapanFlux,DBF,Eastern Asia,Asia,2010,2016,6,3,50,FALSE,Temperate mountain system,35
JP-BBY,AsiaFlux;JapanFlux,WET,Eastern Asia,Asia,2014,2020,6,3,50,FALSE,Temperate continental forest,32
CN-GuT,ChinaFLUX,GRA,Eastern Asia,Asia,2015,2017,2,3,150,FALSE,Temperate mountain system,35
KR-WdE,AsiaFlux;KoFlux,EBF,Eastern Asia,Asia,2015,2018,3,2,66.7,FALSE,Subtropical humid forest,21
KR-UAO,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2017,2019,2,2,100,FALSE,Temperate continental forest,32
KR-Nj2,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2023,2024,1,2,200,FALSE,Temperate continental forest,32
KR-GmR,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2017,2019,2,2,100,FALSE,Temperate continental forest,32
KR-AdC,AsiaFlux;KoFlux,ENF,Eastern Asia,Asia,2015,2018,3,2,66.7,FALSE,Temperate continental forest,32
JP-Nuf,JapanFlux,DBF,Eastern Asia,Asia,2000,2001,1,2,200,FALSE,Subtropical humid forest,21
JP-Hc3,JapanFlux,CRO,Eastern Asia,Asia,2005,2008,3,2,66.7,FALSE,Subtropical humid forest,21
CN-Xi2,ChinaFLUX,GRA,Eastern Asia,Asia,2011,2020,9,2,22.2,FALSE,Temperate steppe,33
KR-TwC,NA,ENF,Eastern Asia,Asia,2024,2024,0,1,NA,FALSE,Temperate continental forest,32
KR-Nj1,NA,CRO,Eastern Asia,Asia,2023,2024,1,1,100,FALSE,Temperate continental forest,32
KR-HPK,AsiaFlux;KoFlux,CRO,Eastern Asia,Asia,2016,2018,2,1,50,FALSE,Subtropical humid forest,21
KR-GmP,NA,CRO,Eastern Asia,Asia,2011,2014,3,1,33.3,FALSE,Temperate continental forest,32
JP-Om2,AsiaFlux;JapanFlux,GRA,Eastern Asia,Asia,2022,2023,1,1,100,FALSE,Subtropical humid forest,21
CN-Yan,NA,OSH,Eastern Asia,Asia,2016,2018,2,1,50,FALSE,Temperate mountain system,35
CN-Wnb,ChinaFLUX,BSV,Eastern Asia,Asia,2021,2021,0,1,NA,FALSE,Temperate desert,34
CN-HaW,ChinaFLUX,WET,Eastern Asia,Asia,2011,2018,7,1,14.3,FALSE,Temperate mountain system,35
NL-Loo,European Fluxes Database;ICOS,ENF,Western Europe,Europe,1997,2024,27,28,103.7,TRUE,Temperate oceanic forest,31
DE-Tha,European Fluxes Database;ICOS,ENF,Western Europe,Europe,1996,2024,28,28,100,TRUE,Temperate oceanic forest,31
CH-Dav,European Fluxes Database;ICOS,ENF,Western Europe,Europe,1997,2024,27,28,103.7,FALSE,Temperate mountain system,35
DK-Sor,European Fluxes Database;ICOS,DBF,Northern Europe,Europe,1996,2024,28,26,92.9,TRUE,Temperate oceanic forest,31
BE-Vie,European Fluxes Database;ICOS,MF,Western Europe,Europe,1996,2024,28,26,92.9,TRUE,Temperate oceanic forest,31
FR-Pue,European Fluxes Database;ICOS,EBF,Western Europe,Europe,2000,2024,24,24,100,FALSE,Subtropical dry forest,22
FI-Hyy,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,1997,2024,27,24,88.9,TRUE,Boreal coniferous forest,41
RU-Fyo,European Fluxes Database;GHG-Europe;InGOS;TCOS-Siberia,ENF,Eastern Europe,Europe,1998,2024,26,24,92.3,FALSE,Temperate continental forest,32
IT-Ren,European Fluxes Database;ICOS,ENF,Southern Europe,Europe,1999,2024,25,23,92,FALSE,Temperate mountain system,35
DE-Hai,European Fluxes Database;ICOS,DBF,Western Europe,Europe,2000,2024,24,22,91.7,FALSE,Temperate oceanic forest,31
BE-Bra,European Fluxes Database;ICOS,ENF,Western Europe,Europe,1999,2024,25,22,88,FALSE,Temperate oceanic forest,31
UK-AMo,European Fluxes Database;ICOS,WET,Northern Europe,Europe,2003,2024,21,21,100,FALSE,Temperate oceanic forest,31
CH-Oe2,CarboEuropeIP;European Fluxes Database;GHG-Europe;Swiss FluxNet,CRO,Western Europe,Europe,2004,2024,20,21,105,FALSE,Temperate oceanic forest,31
CZ-BK1,European Fluxes Database;ICOS,ENF,Eastern Europe,Europe,2004,2024,20,20,100,FALSE,Temperate mountain system,35
CH-Lae,CarboEuropeIP;European Fluxes Database;GHG-Europe;Swiss FluxNet,MF,Western Europe,Europe,2004,2024,20,20,100,FALSE,Temperate oceanic forest,31
FR-Aur,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2005,2024,19,19,100,FALSE,Temperate oceanic forest,31
DE-Gri,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2004,2024,20,19,95,FALSE,Temperate oceanic forest,31
BE-Lon,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2004,2024,20,19,95,FALSE,Temperate oceanic forest,31
AT-Neu,CarboEuropeIP;European Fluxes Database;GHG-Europe,GRA,Western Europe,Europe,2002,2020,18,19,105.6,FALSE,Temperate mountain system,35
FR-Gri,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2004,2024,20,18,90,FALSE,Temperate oceanic forest,31
CZ-wet,European Fluxes Database;ICOS,WET,Eastern Europe,Europe,2006,2024,18,18,100,FALSE,Temperate continental forest,32
DE-Obe,CarboEuropeIP;European Fluxes Database,ENF,Western Europe,Europe,2008,2024,16,17,106.2,FALSE,Temperate mountain system,35
CH-Fru,CarboExtreme;European Fluxes Database;GHG-Europe;Swiss FluxNet,GRA,Western Europe,Europe,2005,2024,19,17,89.5,FALSE,Temperate oceanic forest,31
IT-MBo,European Fluxes Database;ICOS,GRA,Southern Europe,Europe,2003,2024,21,16,76.2,FALSE,Temperate oceanic forest,31
IT-BCi,European Fluxes Database;ICOS,CRO,Southern Europe,Europe,2004,2024,20,16,80,FALSE,Subtropical dry forest,22
IT-Tor,European Fluxes Database;ICOS,GRA,Southern Europe,Europe,2008,2024,16,15,93.8,FALSE,Temperate mountain system,35
FR-FBn,European Fluxes Database;ICOS,ENF,Western Europe,Europe,2008,2024,16,15,93.8,FALSE,Subtropical dry forest,22
CZ-Stn,European Fluxes Database,DBF,Eastern Europe,Europe,2010,2024,14,15,107.1,FALSE,Temperate continental forest,32
BE-Dor,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2011,2024,13,14,107.7,FALSE,Temperate oceanic forest,31
FI-Let,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,2009,2024,15,13,86.7,FALSE,Boreal coniferous forest,41
DE-RuR,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2011,2024,13,13,100,FALSE,Temperate mountain system,35
CZ-RAJ,European Fluxes Database,ENF,Eastern Europe,Europe,2012,2024,12,13,108.3,FALSE,Temperate continental forest,32
CH-Rtb,European Fluxes Database,GRA,Western Europe,Europe,2009,2022,13,13,100,FALSE,Temperate mountain system,35
IT-TrF,European Fluxes Database;ICOS,DNF,Southern Europe,Europe,2012,2024,12,12,100,FALSE,Temperate mountain system,35
ES-LJu,NA,OSH,Southern Europe,Europe,2004,2024,20,12,60,FALSE,Subtropical dry forest,22
DE-RuS,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2011,2024,13,11,84.6,FALSE,Temperate oceanic forest,31
IT-SR2,European Fluxes Database;ICOS,ENF,Southern Europe,Europe,2013,2024,11,11,100,FALSE,Subtropical dry forest,22
DE-RuC,European Fluxes Database,OSH,Western Europe,Europe,2013,2024,11,11,100,FALSE,Temperate mountain system,35
FR-Bil,European Fluxes Database;ICOS,ENF,Western Europe,Europe,2014,2024,10,10,100,FALSE,Temperate oceanic forest,31
DE-HoH,European Fluxes Database;ICOS,DBF,Western Europe,Europe,2015,2024,9,10,111.1,FALSE,Temperate oceanic forest,31
NL-Vkp,European Fluxes Database,GRA,Western Europe,Europe,2014,2024,10,10,100,FALSE,Temperate oceanic forest,31
ES-LM2,European Fluxes Database,SAV,Southern Europe,Europe,2014,2024,10,10,100,FALSE,Subtropical dry forest,22
CZ-KrP,European Fluxes Database,CRO,Eastern Europe,Europe,2014,2023,9,10,111.1,FALSE,Temperate mountain system,35
CH-Aws,CarboExtreme;European Fluxes Database;GHG-Europe;Swiss FluxNet,GRA,Western Europe,Europe,2006,2024,18,10,55.6,FALSE,Temperate mountain system,35
SE-Svb,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,2014,2024,10,9,90,FALSE,Boreal coniferous forest,41
FI-Var,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,2016,2024,8,9,112.5,FALSE,Boreal coniferous forest,41
DE-RuW,European Fluxes Database;ICOS,ENF,Western Europe,Europe,2011,2024,13,9,69.2,FALSE,Temperate mountain system,35
DE-GsB,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2015,2024,9,9,100,FALSE,Temperate oceanic forest,31
CZ-Lnz,European Fluxes Database;ICOS,DBF,Eastern Europe,Europe,2015,2024,9,9,100,FALSE,Temperate continental forest,32
ES-LM1,European Fluxes Database,SAV,Southern Europe,Europe,2014,2024,10,9,90,FALSE,Subtropical dry forest,22
CH-Oe3,European Fluxes Database,GRA,Western Europe,Europe,2002,2011,9,9,100,FALSE,Temperate oceanic forest,31
FR-EM2,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2017,2024,7,8,114.3,FALSE,Temperate oceanic forest,31
RU-Fy2,European Fluxes Database,ENF,Eastern Europe,Europe,2015,2024,9,8,88.9,FALSE,Temperate continental forest,32
FR-Nzn,European Fluxes Database,GRA,Western Europe,Europe,2016,2024,8,8,100,FALSE,Temperate oceanic forest,31
EE-Stg,European Fluxes Database,ENF,Northern Europe,Europe,2016,2024,8,8,100,FALSE,Temperate continental forest,32
IT-Lsn,European Fluxes Database;ICOS,OSH,Southern Europe,Europe,2016,2024,8,7,87.5,FALSE,Temperate oceanic forest,31
FR-Tou,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2018,2024,6,7,116.7,FALSE,Temperate oceanic forest,31
FI-Ken,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,2018,2024,6,7,116.7,FALSE,Boreal mountain system,43
DE-Kli,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2018,2024,6,7,116.7,FALSE,Temperate oceanic forest,31
BE-Maa,European Fluxes Database;ICOS,CSH,Western Europe,Europe,2016,2024,8,7,87.5,FALSE,Temperate oceanic forest,31
ES-Amo,NA,OSH,Southern Europe,Europe,2007,2019,12,7,58.3,FALSE,Subtropical dry forest,22
SE-Nor,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,2018,2024,6,6,100,FALSE,Temperate continental forest,32
SE-Htm,European Fluxes Database;ICOS,ENF,Northern Europe,Europe,2018,2024,6,6,100,FALSE,Temperate oceanic forest,31
FR-Mej,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2019,2024,5,6,120,FALSE,Temperate oceanic forest,31
FI-Sii,European Fluxes Database;ICOS,WET,Northern Europe,Europe,2018,2024,6,6,100,FALSE,Boreal coniferous forest,41
NL-Hrw,European Fluxes Database,GRA,Western Europe,Europe,2001,2010,9,6,66.7,FALSE,Temperate oceanic forest,31
ES-Mcd,European Fluxes Database,EBF,Southern Europe,Europe,2018,2024,6,6,100,FALSE,Subtropical dry forest,22
ES-Hen,European Fluxes Database,ENF,Southern Europe,Europe,2019,2024,5,6,120,FALSE,Subtropical dry forest,22
ES-HeB,European Fluxes Database,ENF,Southern Europe,Europe,2019,2024,5,6,120,FALSE,Subtropical dry forest,22
DE-RuM,European Fluxes Database,CRO,Western Europe,Europe,2011,2019,8,6,75,FALSE,Temperate oceanic forest,31
SE-Deg,European Fluxes Database;ICOS,WET,Northern Europe,Europe,2019,2024,5,5,100,FALSE,Boreal coniferous forest,41
IT-BFt,European Fluxes Database;ICOS,DBF,Southern Europe,Europe,2019,2024,5,5,100,FALSE,Temperate oceanic forest,31
FR-Fon,European Fluxes Database;ICOS,DBF,Western Europe,Europe,2019,2024,5,5,100,FALSE,Temperate oceanic forest,31
ES-LMa,European Fluxes Database;ICOS,SAV,Southern Europe,Europe,2020,2024,4,5,125,FALSE,Subtropical dry forest,22
DE-Har,European Fluxes Database;ICOS,ENF,Western Europe,Europe,2020,2024,4,5,125,FALSE,Temperate oceanic forest,31
IT-Arz,European Fluxes Database,OSH,Southern Europe,Europe,2016,2024,8,5,62.5,FALSE,Temperate oceanic forest,31
FI-Qvd,European Fluxes Database,CRO,Northern Europe,Europe,2018,2023,5,5,100,FALSE,Temperate continental forest,32
ES-Cnd,European Fluxes Database,WSA,Southern Europe,Europe,2014,2021,7,5,71.4,FALSE,Subtropical dry forest,22
ES-Abr,European Fluxes Database,SAV,Southern Europe,Europe,2015,2020,5,5,100,FALSE,Subtropical dry forest,22
CZ-LnG,European Fluxes Database,GRA,Eastern Europe,Europe,2019,2024,5,5,100,FALSE,Temperate continental forest,32
IT-Cp2,European Fluxes Database;ICOS,MF,Southern Europe,Europe,2012,2024,12,4,33.3,FALSE,Subtropical dry forest,22
FR-CLt,European Fluxes Database;ICOS,GRA,Western Europe,Europe,2019,2024,5,4,80,FALSE,Temperate mountain system,35
FR-Mau,European Fluxes Database;GHG-Europe,GRA,Western Europe,Europe,2005,2011,6,4,66.7,FALSE,Temperate oceanic forest,31
FI-Ruk,European Fluxes Database,CRO,Northern Europe,Europe,2020,2023,3,4,133.3,FALSE,Boreal coniferous forest,41
FI-Rk2,European Fluxes Database,ENF,Northern Europe,Europe,2020,2023,3,4,133.3,FALSE,Boreal coniferous forest,41
ES-Yst,NA,ENF,Southern Europe,Europe,2019,2024,5,4,80,FALSE,Subtropical dry forest,22
ES-Pzb,European Fluxes Database,GRA,Southern Europe,Europe,2020,2024,4,4,100,FALSE,Subtropical dry forest,22
ES-Gdn,European Fluxes Database;GHG-Europe,SAV,Southern Europe,Europe,2014,2021,7,4,57.1,FALSE,Subtropical dry forest,22
BE-Lcr,European Fluxes Database,DBF,Western Europe,Europe,2019,2022,3,4,133.3,FALSE,Temperate oceanic forest,31
AT-PsM,European Fluxes Database;LTER,WET,Western Europe,Europe,2015,2019,4,4,100,FALSE,Temperate mountain system,35
FR-Lam,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2021,2024,3,3,100,FALSE,Temperate oceanic forest,31
DK-Vng,European Fluxes Database;ICOS,CRO,Northern Europe,Europe,2020,2023,3,3,100,FALSE,Temperate oceanic forest,31
DE-Hzd,European Fluxes Database;ICOS,DBF,Western Europe,Europe,2022,2024,2,3,150,FALSE,Temperate oceanic forest,31
DE-Geb,European Fluxes Database;ICOS,CRO,Western Europe,Europe,2020,2024,4,3,75,FALSE,Temperate continental forest,32
UK-BnB,European Fluxes Database,GRA,Northern Europe,Europe,2021,2024,3,3,100,FALSE,Temperate oceanic forest,31
NO-Fns,European Fluxes Database,SNO,Northern Europe,Europe,2017,2024,7,3,42.9,FALSE,Boreal mountain system,43
IT-NiG,European Fluxes Database,GRA,Southern Europe,Europe,2020,2024,4,3,75,FALSE,Temperate mountain system,35
