site_id,year,n_months_present,has_data
AU-Cow,2011,12,TRUE
AU-Cow,2012,12,TRUE
AU-Cow,2013,12,TRUE
AU-Cow,2014,12,TRUE
AU-Cow,2015,12,TRUE
AU-Cow,2016,12,TRUE
AU-Cow,2017,12,TRUE
AU-Cow,2018,12,TRUE
AU-Cow,2019,12,TRUE
AU-Cow,2020,9,TRUE
AU-Cow,2021,12,TRUE
AU-Cow,2022,12,TRUE
AU-Cow,2023,7,TRUE
AU-Cow,2024,12,TRUE
AU-Cow,2025,11,TRUE
AU-Cpr,2010,5,TRUE
AU-Cpr,2011,12,TRUE
AU-Cpr,2012,12,TRUE
AU-Cpr,2013,12,TRUE
AU-Cpr,2014,10,TRUE
AU-Cpr,2015,12,TRUE
AU-Cpr,2016,12,TRUE
AU-Cpr,2017,12,TRUE
AU-Cpr,2018,12,TRUE
AU-Cpr,2019,12,TRUE
AU-Cpr,2020,12,TRUE
AU-Cpr,2021,12,TRUE
AU-Cpr,2022,12,TRUE
AU-Cpr,2023,12,TRUE
AU-Cpr,2024,12,TRUE
AU-Cpr,2025,12,TRUE
AU-Ctr,2010,12,TRUE
AU-Ctr,2011,12,TRUE
AU-Ctr,2012,12,TRUE
AU-Ctr,2013,12,TRUE
AU-Ctr,2014,10,TRUE
AU-Ctr,2015,12,TRUE
AU-Ctr,2016,12,TRUE
AU-Ctr,2017,12,TRUE
AU-Ctr,2018,9,TRUE
AU-Cum,2014,12,TRUE
AU-Cum,2015,12,TRUE
AU-Cum,2016,12,TRUE
AU-Cum,2017,12,TRUE
AU-Cum,2018,12,TRUE
AU-Cum,2019,12,TRUE
AU-Cum,2020,12,TRUE
AU-Cum,2021,12,TRUE
AU-Cum,2022,12,TRUE
AU-Cum,2023,12,TRUE
AU-Cum,2024,12,TRUE
AU-Cum,2025,12,TRUE
AU-DaP,2008,12,TRUE
AU-DaP,2009,12,TRUE
AU-DaP,2010,12,TRUE
AU-DaP,2011,12,TRUE
AU-DaP,2012,7,TRUE
AU-DaP,2013,8,TRUE
AU-DaS,2007,0,FALSE
AU-DaS,2008,12,TRUE
AU-DaS,2009,12,TRUE
AU-DaS,2010,12,TRUE
AU-DaS,2011,10,TRUE
AU-DaS,2012,12,TRUE
AU-DaS,2013,12,TRUE
AU-DaS,2014,12,TRUE
AU-DaS,2015,12,TRUE
AU-DaS,2016,12,TRUE
AU-DaS,2017,12,TRUE
AU-DaS,2018,12,TRUE
AU-DaS,2019,12,TRUE
AU-DaS,2020,12,TRUE
AU-DaS,2021,12,TRUE
AU-DaS,2022,11,TRUE
AU-DaS,2023,12,TRUE
AU-DaS,2024,12,TRUE
AU-DaS,2025,12,TRUE
AU-Dry,2009,1,TRUE
AU-Dry,2010,12,TRUE
AU-Dry,2011,11,TRUE
AU-Dry,2012,12,TRUE
AU-Dry,2013,3,TRUE
AU-Dry,2014,12,TRUE
AU-Dry,2015,10,TRUE
AU-Dry,2016,7,TRUE
AU-Dry,2017,9,TRUE
AU-Dry,2018,12,TRUE
AU-Dry,2019,12,TRUE
AU-Dry,2020,12,TRUE
AU-Dry,2021,11,TRUE
AU-Dry,2022,12,TRUE
AU-Dry,2023,12,TRUE
AU-Dry,2024,12,TRUE
AU-Dry,2025,3,TRUE
AU-Emr,2011,7,TRUE
AU-Emr,2012,12,TRUE
AU-Emr,2013,12,TRUE
AU-Fle,2022,9,TRUE
AU-Fle,2023,12,TRUE
AU-Fle,2024,12,TRUE
AU-Fle,2025,12,TRUE
AU-Fog,2006,11,TRUE
AU-Fog,2007,12,TRUE
AU-Fog,2008,10,TRUE
AU-GWW,2013,12,TRUE
AU-GWW,2014,12,TRUE
AU-GWW,2015,12,TRUE
AU-GWW,2016,12,TRUE
AU-GWW,2017,12,TRUE
AU-GWW,2018,12,TRUE
AU-GWW,2019,12,TRUE
AU-GWW,2020,12,TRUE
AU-GWW,2021,12,TRUE
AU-GWW,2022,7,TRUE
AU-GWW,2023,12,TRUE
AU-GWW,2024,12,TRUE
AU-GWW,2025,6,TRUE
AU-Gin,2011,3,TRUE
AU-Gin,2012,10,TRUE
AU-Gin,2013,12,TRUE
AU-Gin,2014,12,TRUE
AU-Gin,2015,12,TRUE
AU-Gin,2016,12,TRUE
AU-Gin,2017,12,TRUE
