site_id,location_lat,location_long,ai_value,unep_class,aridity_method
US-DFC,43.3448,-89.7117,0.8886000000000001,Humid,exact
US-DFK,43.3453,-89.7154,0.8886000000000001,Humid,exact
US-Dix,39.9712,-74.4346,1.106,Humid,exact
US-Dk1,35.9712,-79.0934,0.991,Humid,exact
US-Dk2,35.9736,-79.1004,0.9923000000000001,Humid,exact
US-Dk3,35.9782,-79.0942,0.9898,Humid,exact
US-Dmg,38.0015,-121.6691,0.2252,Semi-Arid,exact
US-DPW,28.0521,-81.4361,0.7954,Humid,exact
US-DS1,38.1335,-121.539,0.27,Semi-Arid,exact
US-DS2,38.1375,-121.514,0.27090000000000003,Semi-Arid,exact
US-DS3,38.1235,-121.549,0.2687,Semi-Arid,exact
US-EA4,29.6633,-98.3816,0.5377000000000001,Dry Sub-Humid,exact
US-EA5,29.3584,-99.9576,0.34640000000000004,Semi-Arid,exact
US-EA6,29.6561,-99.9588,0.38220000000000004,Semi-Arid,exact
US-EDN,37.6156,-122.114,0.3143,Semi-Arid,exact
US-EKH,36.8094,-121.7523,0.4682,Semi-Arid,exact
US-EKN,36.8357,-121.7328,0.45280000000000004,Semi-Arid,exact
US-EKP,36.8558,-121.7488,0.4645,Semi-Arid,exact
US-Elm,25.5519,-80.7826,0.8204,Humid,exact
US-EML,63.8784,-149.2536,0.8533000000000001,Humid,exact
US-Esm,25.4379,-80.5946,0.8616,Humid,exact
US-EvM,25.3539,-80.381,0.8182,Humid,exact
US-Fcr,65.3968,-148.9348,0.6081,Dry Sub-Humid,exact
US-Fmf,35.1426,-111.7273,0.3899,Semi-Arid,exact
US-Fo1,70.085,-148.5671,0.6791,Humid,exact
US-Fo2,70.0229,-148.6598,0.6513,Humid,exact
US-Fuf,35.089,-111.762,0.4035,Semi-Arid,exact
US-Fwf,35.4454,-111.7718,0.36060000000000003,Semi-Arid,exact
US-GLE,41.3665,-106.2399,0.5159,Dry Sub-Humid,exact
US-Ha1,42.5378,-72.1715,1.3047,Humid,exact
US-HB1,33.3455,-79.1957,0.9844,Humid,exact
US-HB2,33.3242,-79.244,0.9695,Humid,exact
US-HB3,33.3482,-79.2322,0.9710000000000001,Humid,exact
US-HB4,33.2015,-79.2975,0.9694,Humid,exact
US-HBK,43.9397,-71.7181,1.3628,Humid,exact
US-Hn2,46.6889,-119.4641,0.1218,Arid,exact
US-Hn3,46.6878,-119.4614,0.1218,Arid,exact
US-Ho2,45.209,-68.747,1.3324,Humid,exact
US-Ho3,45.2072,-68.7265,1.33,Humid,exact
US-HRA,34.5852,-91.7517,0.9822000000000001,Humid,exact
US-HRC,34.5888,-91.7517,0.9822000000000001,Humid,exact
US-Hsm,38.2368,-122.0212,0.3639,Semi-Arid,exact
US-HVs,69.1672,-148.8569,0.5953,Dry Sub-Humid,exact
US-HWB,40.8608,-77.8488,1.0654000000000001,Humid,exact
US-IAB,42.0001,-93.7016,0.8195,Humid,exact
US-IAC,41.9984,-93.7016,0.8207,Humid,exact
US-IAM,41.9994,-93.7042,0.8207,Humid,exact
US-ICh,68.6068,-149.2958,0.6408,Dry Sub-Humid,exact
US-ICs,68.6058,-149.311,0.6384000000000001,Dry Sub-Humid,exact
US-ICt,68.6063,-149.3041,0.6386000000000001,Dry Sub-Humid,exact
US-Jo1,32.582,-106.635,0.1461,Arid,exact
US-Jo2,32.5849,-106.6032,0.15280000000000002,Arid,exact
US-KFS,39.0561,-95.1907,0.7911,Humid,exact
US-Kon,39.0824,-96.5603,0.6636000000000001,Humid,exact
US-KPL,60.5382,-150.5061,1.7762,Humid,exact
US-KS1,28.4583,-80.6709,0.8075,Humid,exact
US-KS2,28.6086,-80.6715,0.8412000000000001,Humid,exact
US-KS3,28.7084,-80.7427,0.8584,Humid,nearest_land_0.7km
US-LA2,29.8587,-90.2869,1.2363,Humid,exact
US-LA3,29.4936,-89.9153,1.167,Humid,exact
US-Lin,36.3566,-119.0922,0.1855,Arid,exact
US-Los,46.0827,-89.9786,1.1031,Humid,exact
US-LS1,31.5615,-110.1403,0.17550000000000002,Arid,exact
US-MBP,47.5051,-93.4893,0.8926000000000001,Humid,exact
US-Me1,44.5794,-121.5,0.5471,Dry Sub-Humid,exact
US-Me3,44.3154,-121.6078,0.4798,Semi-Arid,exact
