site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method
US-Blo,38.8953,-120.6328,272,7,>171.0 Mg/ha,exact
US-Cop,38.09,-109.39,2,1,0–5 Mg/ha,exact
US-CRT,41.6285,-83.3471,2,1,0–5 Mg/ha,exact
US-GBT,41.3658,-106.2397,28,4,27.0–51.0 Mg/ha,exact
US-GLE,41.3665,-106.2399,28,4,27.0–51.0 Mg/ha,exact
US-Goo,34.2547,-89.8735,39,4,27.0–51.0 Mg/ha,exact
US-Ha1,42.5378,-72.1715,169,6,94.0–171.0 Mg/ha,exact
US-IB2,41.8406,-88.241,3,1,0–5 Mg/ha,exact
US-Ivo,68.4865,-155.7503,0,1,0–5 Mg/ha,exact
US-KS1,28.4583,-80.6709,20,3,13.0–27.0 Mg/ha,exact
US-KS2,28.6086,-80.6715,35,4,27.0–51.0 Mg/ha,exact
US-Lin,36.3566,-119.0922,1,1,0–5 Mg/ha,exact
US-Los,46.0827,-89.9792,80,5,51.0–94.0 Mg/ha,exact
US-LWW,34.9604,-97.9789,0,1,0–5 Mg/ha,exact
US-Me1,44.5794,-121.5,62,5,51.0–94.0 Mg/ha,exact
US-Me2,44.4526,-121.5589,44,4,27.0–51.0 Mg/ha,exact
US-Me3,44.3154,-121.6078,18,3,13.0–27.0 Mg/ha,exact
US-Me4,44.4992,-121.6224,75,5,51.0–94.0 Mg/ha,exact
US-Me5,44.4372,-121.5668,80,5,51.0–94.0 Mg/ha,exact
US-Me6,44.3233,-121.6078,19,3,13.0–27.0 Mg/ha,exact
US-MMS,39.3232,-86.4131,198,7,>171.0 Mg/ha,exact
US-Myb,38.0499,-121.765,5,2,5–13.0 Mg/ha,exact
US-Ne1,41.1651,-96.4766,0,1,0–5 Mg/ha,exact
US-Ne2,41.1649,-96.4701,0,1,0–5 Mg/ha,exact
US-Ne3,41.1797,-96.4397,0,1,0–5 Mg/ha,exact
US-NR1,40.0329,-105.5464,53,5,51.0–94.0 Mg/ha,exact
US-Oho,41.5545,-83.8438,108,6,94.0–171.0 Mg/ha,exact
US-ORv,40.0201,-83.0183,12,2,5–13.0 Mg/ha,exact
US-PFa,45.9459,-90.2723,117,6,94.0–171.0 Mg/ha,exact
US-Prr,65.1237,-147.4876,91,5,51.0–94.0 Mg/ha,exact
US-SRC,31.9083,-110.8395,0,1,0–5 Mg/ha,exact
US-SRG,31.7894,-110.8277,1,1,0–5 Mg/ha,exact
US-SRM,31.8214,-110.8661,0,1,0–5 Mg/ha,exact
US-Sta,41.3966,-106.8024,0,1,0–5 Mg/ha,exact
US-Syv,46.242,-89.3477,99,6,94.0–171.0 Mg/ha,exact
US-Ton,38.4309,-120.966,8,2,5–13.0 Mg/ha,exact
US-Tw1,38.1074,-121.6469,3,1,0–5 Mg/ha,exact
US-Tw2,38.0969,-121.6365,4,1,0–5 Mg/ha,exact
US-Tw3,38.1152,-121.6469,1,1,0–5 Mg/ha,exact
US-Tw4,38.1027,-121.6413,3,1,0–5 Mg/ha,exact
US-Twt,38.1087,-121.6531,3,1,0–5 Mg/ha,exact
US-UMB,45.5598,-84.7138,143,6,94.0–171.0 Mg/ha,exact
US-UMd,45.5625,-84.6975,73,5,51.0–94.0 Mg/ha,exact
US-Var,38.4133,-120.9508,6,2,5–13.0 Mg/ha,exact
