site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label
IT-MBo,46.01559829711914,11.04669952392578,65.46407318115234,exact,6,54.3–70.2 gC m-2 yr-1
IT-Noe,40.60599899291992,8.151000022888184,27.630332946777344,exact,3,20.5–31.7 gC m-2 yr-1
IT-Non,44.68980026245117,11.088700294494627,57.98370361328125,exact,6,54.3–70.2 gC m-2 yr-1
IT-Pia,42.58390045166016,10.078399658203123,44.99705123901367,exact,5,41.8–54.3 gC m-2 yr-1
IT-PT1,45.20090103149414,9.061039924621582,63.19791793823242,exact,6,54.3–70.2 gC m-2 yr-1
IT-Ren,46.587799072265625,11.434700012207031,63.27781677246094,exact,6,54.3–70.2 gC m-2 yr-1
IT-Ro1,42.40810012817383,11.93000030517578,41.641876220703125,exact,4,31.7–41.8 gC m-2 yr-1
IT-Ro2,42.39030075073242,11.920900344848633,41.641876220703125,exact,4,31.7–41.8 gC m-2 yr-1
IT-SRo,43.72785949707031,10.28444004058838,41.5406379699707,exact,4,31.7–41.8 gC m-2 yr-1
IT-Vig,45.31666564941406,8.850000381469727,58.10812759399414,exact,6,54.3–70.2 gC m-2 yr-1
JP-Mas,36.05397033691406,140.02691650390625,56.80345153808594,exact,6,54.3–70.2 gC m-2 yr-1
JP-Tak,36.14619827270508,137.42300415039062,69.935150146484375,exact,6,54.3–70.2 gC m-2 yr-1
JP-Tef,45.056339263916016,142.106201171875,40.27547073364258,exact,4,31.7–41.8 gC m-2 yr-1
JP-Tom,42.739498138427734,141.514892578125,47.24391555786133,exact,5,41.8–54.3 gC m-2 yr-1
KR-Hnm,34.54999923706055,126.56999969482422,67.89179992675781,exact,6,54.3–70.2 gC m-2 yr-1
KR-Kw1,37.74860000610352,127.16300201416016,55.52059555053711,exact,6,54.3–70.2 gC m-2 yr-1
NL-Ca1,51.97100067138672,4.927000045776367,52.73944091796875,exact,5,41.8–54.3 gC m-2 yr-1
NL-Haa,52.00310134887695,4.805500030517578,48.63768768310547,exact,5,41.8–54.3 gC m-2 yr-1
NL-Hor,52.028900146484375,5.067500114440918,37.65253829956055,exact,4,31.7–41.8 gC m-2 yr-1
NL-Lan,51.9536018371582,4.902900218963623,52.73944091796875,exact,5,41.8–54.3 gC m-2 yr-1
NL-Loo,52.16790008544922,5.743959903717041,49.95448684692383,exact,5,41.8–54.3 gC m-2 yr-1
NL-Lut,53.39889907836914,6.355999946594238,50.1568489074707,exact,5,41.8–54.3 gC m-2 yr-1
NL-Mol,51.650001525878906,4.638999938964844,52.73944091796875,exact,5,41.8–54.3 gC m-2 yr-1
PL-wet,52.76219940185547,16.30940055847168,72.403961181640625,exact,7,>70.2 gC m-2 yr-1
PT-Esp,38.639400482177734,-8.601799964904785,51.014076232910156,exact,5,41.8–54.3 gC m-2 yr-1
PT-Mi1,38.54069900512695,-8.000399589538574,55.1993522644043,exact,6,54.3–70.2 gC m-2 yr-1
PT-Mi2,38.47650146484375,-8.024550437927246,54.37229919433594,exact,6,54.3–70.2 gC m-2 yr-1
RU-Che,68.61470031738281,161.33900451660156,12.055904388427734,exact,2,5.0–20.5 gC m-2 yr-1
RU-Cok,70.61669921875,147.88299560546875,20.629709243774414,exact,3,20.5–31.7 gC m-2 yr-1
RU-Fyo,56.461669921875,32.92388916015625,59.79362106323242,exact,6,54.3–70.2 gC m-2 yr-1
RU-Ha1,54.72529983520508,90.002197265625,27.028852462768555,exact,3,20.5–31.7 gC m-2 yr-1
RU-Ha2,54.773101806640625,89.95670318603516,26.085224151611328,exact,3,20.5–31.7 gC m-2 yr-1
RU-Ha3,54.704551696777344,89.077850341796875,37.98533630371094,exact,4,31.7–41.8 gC m-2 yr-1
RU-Zot,60.80080032348633,89.350799560546875,38.25149154663086,exact,4,31.7–41.8 gC m-2 yr-1
SE-Abi,68.36238861083984,18.794750213623047,20.132131576538086,exact,2,5.0–20.5 gC m-2 yr-1
SE-Deg,64.18329620361328,19.549999237060547,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1
SE-Faj,56.265499114990234,13.553500175476074,58.98379898071289,exact,6,54.3–70.2 gC m-2 yr-1
SE-Fla,64.11280059814453,19.456899642944336,36.387088775634766,exact,4,31.7–41.8 gC m-2 yr-1
SE-Nor,60.08649826049805,17.479503631591797,50.034324645996094,exact,5,41.8–54.3 gC m-2 yr-1
SE-Sk1,60.125,17.918100357055664,56.2834358215332,exact,6,54.3–70.2 gC m-2 yr-1
SE-Sk2,60.129669189453125,17.840059280395508,56.2834358215332,exact,6,54.3–70.2 gC m-2 yr-1
SE-St1,68.36669921875,19.049694061279297,30.920011520385742,exact,3,20.5–31.7 gC m-2 yr-1
SK-Tat,49.12080001831055,20.16349983215332,58.000518798828125,exact,6,54.3–70.2 gC m-2 yr-1
TW-Tar,24.031200408935547,120.68800354003906,44.764957427978516,exact,5,41.8–54.3 gC m-2 yr-1
UK-AMo,55.79169845581055,-3.2388899326324463,27.879932403564453,exact,3,20.5–31.7 gC m-2 yr-1
UK-EBu,55.86600112915039,-3.205780029296875,27.879932403564453,exact,3,20.5–31.7 gC m-2 yr-1
UK-ESa,55.90694046020508,-2.858609914779663,36.71511459350586,exact,4,31.7–41.8 gC m-2 yr-1
UK-Gri,56.60721969604492,-3.7980599403381343,42.07191467285156,exact,5,41.8–54.3 gC m-2 yr-1
UK-Ham,51.153533935546875,-0.858299970626831,47.68642044067383,exact,5,41.8–54.3 gC m-2 yr-1
UK-Her,51.78379821777344,-0.4760800004005432,50.22246551513672,exact,5,41.8–54.3 gC m-2 yr-1
UK-PL3,51.45000076293945,-1.266669988632202,47.67581558227539,exact,5,41.8–54.3 gC m-2 yr-1
UK-Tad,51.20709991455078,-2.8286399841308594,41.543548583984375,exact,4,31.7–41.8 gC m-2 yr-1
US-ARb,35.54970169067383,-98.04019927978516,43.3262825012207,exact,5,41.8–54.3 gC m-2 yr-1
US-ARc,35.54648971557617,-98.04000091552734,43.3262825012207,exact,5,41.8–54.3 gC m-2 yr-1
US-ARM,36.60580062866211,-97.488800048828125,50.620296478271484,exact,5,41.8–54.3 gC m-2 yr-1
