site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
US-DS3,38.1235,-121.549,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-EA4,29.6633,-98.3816,85.88706970214844,exact,7,>70.9 gC m-2 yr-1,28
US-EA5,29.3584,-99.9576,73.096954345703125,exact,7,>70.9 gC m-2 yr-1,26
US-EA6,29.6561,-99.9588,67.3167953491211,exact,6,54.4–70.9 gC m-2 yr-1,25
US-EDN,37.6156,-122.114,42.380252838134766,exact,5,42.1–54.4 gC m-2 yr-1,16
US-EKH,36.8094,-121.7523,48.088775634765625,exact,5,42.1–54.4 gC m-2 yr-1,18
US-EKN,36.8357,-121.7328,48.088775634765625,exact,5,42.1–54.4 gC m-2 yr-1,18
US-EKP,36.8558,-121.7488,48.088775634765625,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Elm,25.5519,-80.7826,87.9400405883789,exact,7,>70.9 gC m-2 yr-1,28
US-EML,63.8784,-149.2536,31.578067779541016,exact,3,21.3–31.9 gC m-2 yr-1,11
US-Esm,25.4379,-80.5946,65.82170867919922,exact,6,54.4–70.9 gC m-2 yr-1,24
US-EvM,25.3539,-80.381,57.34371566772461,exact,6,54.4–70.9 gC m-2 yr-1,22
US-Fcr,65.3968,-148.9348,36.422367095947266,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Fmf,35.1426,-111.7273,62.31810760498047,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Fo1,70.085,-148.5671,19.478357315063477,exact,2,5.0–21.3 gC m-2 yr-1,6
US-Fo2,70.0229,-148.6598,19.478357315063477,exact,2,5.0–21.3 gC m-2 yr-1,6
US-Fuf,35.089,-111.762,62.31810760498047,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Fwf,35.4454,-111.7718,62.31810760498047,exact,6,54.4–70.9 gC m-2 yr-1,23
US-GLE,41.3665,-106.2399,21.373937606811523,exact,3,21.3–31.9 gC m-2 yr-1,6
US-Ha1,42.5378,-72.1715,48.78166198730469,exact,5,42.1–54.4 gC m-2 yr-1,19
US-HB1,33.3455,-79.1957,56.17129898071289,exact,6,54.4–70.9 gC m-2 yr-1,21
US-HB2,33.3242,-79.244,56.17129898071289,exact,6,54.4–70.9 gC m-2 yr-1,21
US-HB3,33.3482,-79.2322,56.17129898071289,exact,6,54.4–70.9 gC m-2 yr-1,21
US-HB4,33.2015,-79.2975,56.17129898071289,exact,6,54.4–70.9 gC m-2 yr-1,21
US-HBK,43.9397,-71.7181,53.44877243041992,exact,5,42.1–54.4 gC m-2 yr-1,20
US-Hn2,46.6889,-119.4641,20.421329498291016,exact,2,5.0–21.3 gC m-2 yr-1,6
US-Hn3,46.6878,-119.4614,20.421329498291016,exact,2,5.0–21.3 gC m-2 yr-1,6
US-Ho2,45.209,-68.747,51.57353210449219,exact,5,42.1–54.4 gC m-2 yr-1,20
US-Ho3,45.2072,-68.7265,51.57353210449219,exact,5,42.1–54.4 gC m-2 yr-1,20
US-HRA,34.5852,-91.7517,74.98115539550781,exact,7,>70.9 gC m-2 yr-1,26
US-HRC,34.5888,-91.7517,74.98115539550781,exact,7,>70.9 gC m-2 yr-1,26
US-Hsm,38.2368,-122.0212,48.097923278808594,exact,5,42.1–54.4 gC m-2 yr-1,18
US-HVs,69.1672,-148.8569,29.1363582611084,exact,3,21.3–31.9 gC m-2 yr-1,10
US-HWB,40.8608,-77.8488,60.47190856933594,exact,6,54.4–70.9 gC m-2 yr-1,23
US-IAB,42.0001,-93.7016,50.43274688720703,exact,5,42.1–54.4 gC m-2 yr-1,19
US-IAC,41.9984,-93.7016,54.425987243652344,exact,6,54.4–70.9 gC m-2 yr-1,21
US-IAM,41.9994,-93.7042,54.425987243652344,exact,6,54.4–70.9 gC m-2 yr-1,21
US-ICh,68.6068,-149.2958,24.626209259033203,exact,3,21.3–31.9 gC m-2 yr-1,8
US-ICs,68.6058,-149.311,24.626209259033203,exact,3,21.3–31.9 gC m-2 yr-1,8
US-ICt,68.6063,-149.3041,24.626209259033203,exact,3,21.3–31.9 gC m-2 yr-1,8
US-Jo1,32.582,-106.635,19.15228271484375,exact,2,5.0–21.3 gC m-2 yr-1,5
US-Jo2,32.5849,-106.6032,19.15228271484375,exact,2,5.0–21.3 gC m-2 yr-1,5
US-KFS,39.0561,-95.1907,51.02814102172851,exact,5,42.1–54.4 gC m-2 yr-1,20
US-Kon,39.0824,-96.5603,53.822113037109375,exact,5,42.1–54.4 gC m-2 yr-1,21
US-KPL,60.5382,-150.5061,42.00193405151367,exact,4,31.9–42.1 gC m-2 yr-1,16
US-KS1,28.4583,-80.6709,58.07012939453125,exact,6,54.4–70.9 gC m-2 yr-1,22
US-KS2,28.6086,-80.6715,55.89546203613281,exact,6,54.4–70.9 gC m-2 yr-1,21
US-KS3,28.7084,-80.7427,55.89546203613281,exact,6,54.4–70.9 gC m-2 yr-1,21
US-LA2,29.8587,-90.2869,64.19868469238281,exact,6,54.4–70.9 gC m-2 yr-1,24
US-LA3,29.4936,-89.9153,35.96445846557617,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Lin,36.3566,-119.0922,31.211713790893555,exact,3,21.3–31.9 gC m-2 yr-1,11
US-Los,46.0827,-89.9786,46.80606842041016,exact,5,42.1–54.4 gC m-2 yr-1,18
US-LS1,31.5615,-110.1403,32.373470306396484,exact,4,31.9–42.1 gC m-2 yr-1,11
US-MBP,47.5051,-93.4893,60.456729888916016,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Me1,44.5794,-121.5,47.92609405517578,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Me3,44.3154,-121.6078,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me5,44.4372,-121.5668,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me6,44.3232,-121.6044,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me7,44.4534,-121.5619,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-MEF,39.1006,-105.1024,66.75727844238281,exact,6,54.4–70.9 gC m-2 yr-1,25
