site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
ES-Ln2,36.9695,-3.4758,47.32780838012695,exact,5,42.1–54.4 gC m-2 yr-1,18
FI-Hyy,61.8474,24.2948,52.12794494628906,exact,5,42.1–54.4 gC m-2 yr-1,20
FI-Jok,60.8986,23.5134,58.0905876159668,exact,6,54.4–70.9 gC m-2 yr-1,22
FI-Let,60.6418,23.9595,58.0905876159668,exact,6,54.4–70.9 gC m-2 yr-1,22
FI-Lom,67.9972,24.2092,36.01344299316406,exact,4,31.9–42.1 gC m-2 yr-1,13
FI-Sod,67.3624,26.6386,37.17333984375,exact,4,31.9–42.1 gC m-2 yr-1,14
FR-Fon,48.4764,2.7801,59.57022476196289,exact,6,54.4–70.9 gC m-2 yr-1,23
FR-Gri,48.8442,1.9519,55.271724700927734,exact,6,54.4–70.9 gC m-2 yr-1,21
FR-LBr,44.7171,-0.7693,73.2486801147461,exact,7,>70.9 gC m-2 yr-1,26
FR-Pue,43.7413,3.5957,56.376224517822266,exact,6,54.4–70.9 gC m-2 yr-1,21
GF-Guy,5.2788,-52.9249,73.87804412841797,exact,7,>70.9 gC m-2 yr-1,26
GH-Ank,5.2685,-2.6942,61.98714828491211,exact,6,54.4–70.9 gC m-2 yr-1,23
GL-NuF,64.1308,-51.3861,21.138744354248047,exact,2,5.0–21.3 gC m-2 yr-1,6
GL-ZaF,74.4814,-20.5545,0.11772771179676056,exact,1,0–5 gC m-2 yr-1,1
GL-ZaH,74.4733,-20.5503,0.11772771179676056,exact,1,0–5 gC m-2 yr-1,1
IT-BCi,40.5237,14.9574,53.0421142578125,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-CA1,42.3804,12.0266,54.64630508422851,exact,6,54.4–70.9 gC m-2 yr-1,21
IT-CA2,42.3772,12.026,54.64630508422851,exact,6,54.4–70.9 gC m-2 yr-1,21
IT-CA3,42.38,12.0222,54.64630508422851,exact,6,54.4–70.9 gC m-2 yr-1,21
IT-Col,41.8494,13.5881,64.40128326416016,exact,6,54.4–70.9 gC m-2 yr-1,24
