site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30
UK-AMo,55.79169845581055,-3.2388899326324463,0,1,0–5 Mg/ha,exact,1
UK-EBu,55.86600112915039,-3.205780029296875,10,2,5–13.0 Mg/ha,exact,5
UK-ESa,55.90694046020508,-2.858609914779663,7,2,5–13.0 Mg/ha,exact,3
UK-Gri,56.60721969604492,-3.7980599403381343,114,6,94.0–171.0 Mg/ha,exact,22
UK-Ham,51.153533935546875,-0.858299970626831,50,4,27.0–51.0 Mg/ha,exact,16
UK-Her,51.78379821777344,-0.4760800004005432,18,3,13.0–27.0 Mg/ha,exact,9
UK-PL3,51.45000076293945,-1.266669988632202,51,5,51.0–94.0 Mg/ha,exact,16
UK-Tad,51.20709991455078,-2.8286399841308594,2,1,0–5 Mg/ha,exact,1
US-ARb,35.54970169067383,-98.04019927978516,0,1,0–5 Mg/ha,exact,1
US-ARc,35.54648971557617,-98.04000091552734,0,1,0–5 Mg/ha,exact,1
US-ARM,36.60580062866211,-97.488800048828125,0,1,0–5 Mg/ha,exact,1
US-Atq,70.46959686279297,-157.40899658203125,10,2,5–13.0 Mg/ha,exact,5
US-Aud,31.590700149536133,-110.51000213623048,0,1,0–5 Mg/ha,exact,1
US-Bar,44.06460189819336,-71.28807830810547,146,6,94.0–171.0 Mg/ha,exact,25
US-Bkg,44.34529876708984,-96.83619689941406,3,1,0–5 Mg/ha,exact,1
US-Blo,38.89519882202149,-120.63275146484376,272,7,>171.0 Mg/ha,exact,28
US-Bn1,63.9197998046875,-145.3780059814453,57,5,51.0–94.0 Mg/ha,exact,17
US-Bn2,63.9197998046875,-145.3780059814453,57,5,51.0–94.0 Mg/ha,exact,17
US-Bn3,63.922698974609375,-145.74400329589844,20,3,13.0–27.0 Mg/ha,exact,9
US-Bo1,40.00619888305664,-88.29039764404297,0,1,0–5 Mg/ha,exact,1
US-Bo2,40.00899887084961,-88.29000091552734,0,1,0–5 Mg/ha,exact,1
US-Brw,71.32250213623047,-156.6259002685547,2,1,0–5 Mg/ha,exact,1
US-CaV,39.06330108642578,-79.4207992553711,21,3,13.0–27.0 Mg/ha,exact,10
US-Dk1,35.97119903564453,-79.09339904785156,155,6,94.0–171.0 Mg/ha,exact,25
US-Dk2,35.97359848022461,-79.10040283203125,177,7,>171.0 Mg/ha,exact,26
US-Dk3,35.97819900512695,-79.09420013427734,155,6,94.0–171.0 Mg/ha,exact,25
US-Fmf,35.142601013183594,-111.72730255126952,20,3,13.0–27.0 Mg/ha,exact,9
US-FPe,48.30770111083984,-105.10189819335938,0,1,0–5 Mg/ha,exact,1
US-FR2,29.949499130249023,-97.99620056152344,32,4,27.0–51.0 Mg/ha,exact,13
US-Fuf,35.0890007019043,-111.76200103759766,22,3,13.0–27.0 Mg/ha,exact,10
US-Fwf,35.44540023803711,-111.77179718017578,14,3,13.0–27.0 Mg/ha,exact,7
US-Goo,34.25469970703125,-89.87349700927734,39,4,27.0–51.0 Mg/ha,exact,14
US-Ha1,42.53779983520508,-72.17150115966797,169,6,94.0–171.0 Mg/ha,exact,26
US-Ha2,42.53929901123047,-72.17790222167969,169,6,94.0–171.0 Mg/ha,exact,26
US-Ho1,45.2041015625,-68.74019622802734,134,6,94.0–171.0 Mg/ha,exact,24
US-Ho2,45.20909881591797,-68.74700164794922,134,6,94.0–171.0 Mg/ha,exact,24
US-IB1,41.85929870605469,-88.22270202636719,2,1,0–5 Mg/ha,exact,1
US-IB2,41.840599060058594,-88.240997314453125,3,1,0–5 Mg/ha,exact,1
US-Ivo,68.48650360107422,-155.75,0,1,0–5 Mg/ha,exact,1
US-KS1,28.45829963684082,-80.6708984375,20,3,13.0–27.0 Mg/ha,exact,9
US-KS2,28.60860061645508,-80.67150115966797,35,4,27.0–51.0 Mg/ha,exact,13
US-Los,46.08269882202149,-89.97920227050781,80,5,51.0–94.0 Mg/ha,exact,20
US-LPH,42.541900634765625,-72.18499755859375,151,6,94.0–171.0 Mg/ha,exact,25
US-Me1,44.57939910888672,-121.5,62,5,51.0–94.0 Mg/ha,exact,18
US-Me2,44.452301025390625,-121.55740356445312,44,4,27.0–51.0 Mg/ha,exact,15
US-Me3,44.315399169921875,-121.60780334472656,18,3,13.0–27.0 Mg/ha,exact,9
