site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
CZ-wet,49.025001525878906,14.772000312805176,47.036380767822266,exact,5,42.1–54.4 gC m-2 yr-1,18
DE-Bay,50.14189910888672,11.866900444030762,50.99890899658203,exact,5,42.1–54.4 gC m-2 yr-1,20
DE-Geb,51.100101470947266,10.914299964904783,69.19615173339844,exact,6,54.4–70.9 gC m-2 yr-1,25
DE-Gri,50.949501037597656,13.512499809265137,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-Hai,51.07929992675781,10.45199966430664,64.78155517578125,exact,6,54.4–70.9 gC m-2 yr-1,24
DE-Har,47.93439865112305,7.60099983215332,56.92365264892578,exact,6,54.4–70.9 gC m-2 yr-1,22
DE-Kli,50.89289855957031,13.522500038146973,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-Meh,51.275299072265625,10.655500411987305,69.19615173339844,exact,6,54.4–70.9 gC m-2 yr-1,25
DE-Tha,50.963600158691406,13.566900253295898,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1,21
DE-Wet,50.45349884033203,11.457500457763672,60.98773193359375,exact,6,54.4–70.9 gC m-2 yr-1,23
DK-Fou,56.48419952392578,9.587220191955566,62.70928192138672,exact,6,54.4–70.9 gC m-2 yr-1,24
DK-Lva,55.68330001831055,12.08329963684082,56.34376525878906,exact,6,54.4–70.9 gC m-2 yr-1,21
DK-Ris,55.53030014038086,12.097200393676758,56.34376525878906,exact,6,54.4–70.9 gC m-2 yr-1,21
DK-Sor,55.48690032958984,11.64579963684082,62.24641799926758,exact,6,54.4–70.9 gC m-2 yr-1,23
ES-ES1,39.34600067138672,-0.31880998611450195,43.50432968139648,exact,5,42.1–54.4 gC m-2 yr-1,17
ES-ES2,39.2755012512207,-0.3152199983596802,43.50432968139648,exact,5,42.1–54.4 gC m-2 yr-1,17
ES-LJu,36.928199768066406,-2.750469923019409,32.72272872924805,exact,4,31.9–42.1 gC m-2 yr-1,12
ES-LMa,39.94150161743164,-5.773359775543213,46.196258544921875,exact,5,42.1–54.4 gC m-2 yr-1,18
ES-VDA,42.152198791503906,1.4485000371932983,68.14273834228516,exact,6,54.4–70.9 gC m-2 yr-1,25
FI-Hyy,61.8474006652832,24.2947998046875,52.12794494628906,exact,5,42.1–54.4 gC m-2 yr-1,20
FI-Kaa,69.14070129394531,27.295000076293945,22.427637100219727,exact,3,21.3–31.9 gC m-2 yr-1,7
FI-Sii,61.83300018310547,24.19300079345703,52.12794494628906,exact,5,42.1–54.4 gC m-2 yr-1,20
FI-Sod,67.36190032958984,26.637800216674805,37.17333984375,exact,4,31.9–42.1 gC m-2 yr-1,14
FR-Aur,43.54940032958984,1.1077799797058103,50.953880310058594,exact,5,42.1–54.4 gC m-2 yr-1,20
FR-Fon,48.47629928588867,2.7801499366760254,59.57022476196289,exact,6,54.4–70.9 gC m-2 yr-1,23
FR-Gri,48.84400177001953,1.952430009841919,55.271724700927734,exact,6,54.4–70.9 gC m-2 yr-1,21
FR-Hes,48.674198150634766,7.064620018005371,55.150936126708984,exact,6,54.4–70.9 gC m-2 yr-1,21
FR-Lam,43.49330139160156,1.237220048904419,59.21127700805664,exact,6,54.4–70.9 gC m-2 yr-1,22
FR-LBr,44.717098236083984,-0.7692999839782715,73.2486801147461,exact,7,>70.9 gC m-2 yr-1,26
FR-Lq1,45.644100189208984,2.737030029296875,55.00970077514648,exact,6,54.4–70.9 gC m-2 yr-1,21
FR-Lq2,45.639198303222656,2.737030029296875,55.00970077514648,exact,6,54.4–70.9 gC m-2 yr-1,21
FR-Pue,43.74140167236328,3.595829963684082,56.376224517822266,exact,6,54.4–70.9 gC m-2 yr-1,21
GF-Guy,5.277699947357178,-52.92879867553711,73.87804412841797,exact,7,>70.9 gC m-2 yr-1,26
HU-Bug,46.69110107421875,19.601299285888672,51.84143829345703,exact,5,42.1–54.4 gC m-2 yr-1,20
HU-Mat,47.846900939941406,19.72599983215332,70.69889831542969,exact,6,54.4–70.9 gC m-2 yr-1,26
ID-Pag,2.3450000286102295,114.03600311279295,53.73568344116211,exact,5,42.1–54.4 gC m-2 yr-1,21
IE-Ca1,52.85879898071289,-6.918139934539795,39.52168273925781,exact,4,31.9–42.1 gC m-2 yr-1,15
IE-Dri,51.986698150634766,-8.751810073852539,46.35371398925781,exact,5,42.1–54.4 gC m-2 yr-1,18
IL-Yat,31.344999313354492,35.05149841308594,28.296772003173828,exact,3,21.3–31.9 gC m-2 yr-1,9
IS-Gun,63.83330154418945,-20.216699600219727,23.8815975189209,exact,3,21.3–31.9 gC m-2 yr-1,7
IT-Amp,41.90409851074219,13.605199813842772,64.40128326416016,exact,6,54.4–70.9 gC m-2 yr-1,24
IT-BCi,40.523799896240234,14.95740032196045,53.0421142578125,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-Be2,46.00310134887695,13.025699615478516,47.054161071777344,exact,5,42.1–54.4 gC m-2 yr-1,18
IT-Bon,39.47779846191406,16.534700393676758,51.59014129638672,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-Cas,45.06284713745117,8.668539047241211,72.82828521728516,exact,7,>70.9 gC m-2 yr-1,26
IT-Col,41.84939956665039,13.58810043334961,64.40128326416016,exact,6,54.4–70.9 gC m-2 yr-1,24
IT-Cpz,41.7052001953125,12.376099586486816,31.610042572021484,exact,3,21.3–31.9 gC m-2 yr-1,11
IT-Lav,45.955299377441406,11.281200408935549,59.2973518371582,exact,6,54.4–70.9 gC m-2 yr-1,22
IT-Lec,43.30459976196289,11.270600318908691,60.15496063232422,exact,6,54.4–70.9 gC m-2 yr-1,23
IT-LMa,45.581298828125,7.154630184173584,34.065650939941406,exact,4,31.9–42.1 gC m-2 yr-1,12
IT-Mal,46.11669921875,11.702799797058104,52.996036529541016,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-MBo,46.01559829711914,11.04669952392578,55.9025993347168,exact,6,54.4–70.9 gC m-2 yr-1,21
IT-Noe,40.60599899291992,8.151000022888184,27.429397583007812,exact,3,21.3–31.9 gC m-2 yr-1,9
IT-Non,44.68980026245117,11.088700294494627,60.97452926635742,exact,6,54.4–70.9 gC m-2 yr-1,23
IT-Pia,42.58390045166016,10.078399658203123,43.5571403503418,exact,5,42.1–54.4 gC m-2 yr-1,17
IT-PT1,45.20090103149414,9.061039924621582,79.16117095947266,exact,7,>70.9 gC m-2 yr-1,27
IT-Ren,46.587799072265625,11.434700012207031,44.0641975402832,exact,5,42.1–54.4 gC m-2 yr-1,17
IT-Ro1,42.40810012817383,11.93000030517578,43.29387664794922,exact,5,42.1–54.4 gC m-2 yr-1,16
IT-Ro2,42.39030075073242,11.920900344848633,43.29387664794922,exact,5,42.1–54.4 gC m-2 yr-1,16
IT-SRo,43.72785949707031,10.28444004058838,52.1485481262207,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-Vig,45.31666564941406,8.850000381469727,72.82828521728516,exact,7,>70.9 gC m-2 yr-1,26
JP-Mas,36.05397033691406,140.02691650390625,47.12636947631836,exact,5,42.1–54.4 gC m-2 yr-1,18
JP-Tak,36.14619827270508,137.42300415039062,43.283966064453125,exact,5,42.1–54.4 gC m-2 yr-1,16
JP-Tef,45.056339263916016,142.106201171875,31.485828399658203,exact,3,21.3–31.9 gC m-2 yr-1,11
JP-Tom,42.739498138427734,141.514892578125,38.52272415161133,exact,4,31.9–42.1 gC m-2 yr-1,14
KR-Hnm,34.54999923706055,126.56999969482422,61.555023193359375,exact,6,54.4–70.9 gC m-2 yr-1,23
KR-Kw1,37.74860000610352,127.16300201416016,52.42661666870117,exact,5,42.1–54.4 gC m-2 yr-1,20
NL-Ca1,51.97100067138672,4.927000045776367,68.24110412597656,exact,6,54.4–70.9 gC m-2 yr-1,25
NL-Haa,52.00310134887695,4.805500030517578,57.50712585449219,exact,6,54.4–70.9 gC m-2 yr-1,22
NL-Hor,52.028900146484375,5.067500114440918,46.04376602172851,exact,5,42.1–54.4 gC m-2 yr-1,18
NL-Lan,51.9536018371582,4.902900218963623,68.24110412597656,exact,6,54.4–70.9 gC m-2 yr-1,25
NL-Loo,52.16790008544922,5.743959903717041,56.976280212402344,exact,6,54.4–70.9 gC m-2 yr-1,22
NL-Lut,53.39889907836914,6.355999946594238,50.787017822265625,exact,5,42.1–54.4 gC m-2 yr-1,19
NL-Mol,51.650001525878906,4.638999938964844,68.24110412597656,exact,6,54.4–70.9 gC m-2 yr-1,25
PL-wet,52.76219940185547,16.30940055847168,68.62091064453125,exact,6,54.4–70.9 gC m-2 yr-1,25
PT-Esp,38.639400482177734,-8.601799964904785,57.26368713378906,exact,6,54.4–70.9 gC m-2 yr-1,22
PT-Mi1,38.54069900512695,-8.000399589538574,63.53907775878906,exact,6,54.4–70.9 gC m-2 yr-1,24
PT-Mi2,38.47650146484375,-8.024550437927246,66.815673828125,exact,6,54.4–70.9 gC m-2 yr-1,25
RU-Che,68.61470031738281,161.33900451660156,12.271635055541992,exact,2,5.0–21.3 gC m-2 yr-1,3
RU-Cok,70.61669921875,147.88299560546875,22.548158645629883,exact,3,21.3–31.9 gC m-2 yr-1,7
RU-Fyo,56.461669921875,32.92388916015625,54.028594970703125,exact,5,42.1–54.4 gC m-2 yr-1,21
RU-Ha1,54.72529983520508,90.002197265625,30.178674697875977,exact,3,21.3–31.9 gC m-2 yr-1,10
RU-Ha2,54.773101806640625,89.95670318603516,28.489830017089844,exact,3,21.3–31.9 gC m-2 yr-1,9
RU-Ha3,54.704551696777344,89.077850341796875,31.228822708129883,exact,3,21.3–31.9 gC m-2 yr-1,11
RU-Zot,60.80080032348633,89.350799560546875,35.240135192871094,exact,4,31.9–42.1 gC m-2 yr-1,13
SE-Abi,68.36238861083984,18.794750213623047,11.808582305908203,exact,2,5.0–21.3 gC m-2 yr-1,3
SE-Deg,64.18329620361328,19.549999237060547,44.53844451904297,exact,5,42.1–54.4 gC m-2 yr-1,17
SE-Faj,56.265499114990234,13.553500175476074,54.00758361816406,exact,5,42.1–54.4 gC m-2 yr-1,21
SE-Fla,64.11280059814453,19.456899642944336,39.69580078125,exact,4,31.9–42.1 gC m-2 yr-1,15
SE-Nor,60.08649826049805,17.479503631591797,47.059288024902344,exact,5,42.1–54.4 gC m-2 yr-1,18
SE-Sk1,60.125,17.918100357055664,62.2601318359375,exact,6,54.4–70.9 gC m-2 yr-1,23
SE-Sk2,60.129669189453125,17.840059280395508,62.2601318359375,exact,6,54.4–70.9 gC m-2 yr-1,23
SE-St1,68.36669921875,19.049694061279297,17.753250122070312,exact,2,5.0–21.3 gC m-2 yr-1,5
SK-Tat,49.12080001831055,20.16349983215332,56.84944915771485,exact,6,54.4–70.9 gC m-2 yr-1,22
TW-Tar,24.031200408935547,120.68800354003906,36.29695129394531,exact,4,31.9–42.1 gC m-2 yr-1,13
UK-AMo,55.79169845581055,-3.2388899326324463,25.151599884033203,exact,3,21.3–31.9 gC m-2 yr-1,8
UK-EBu,55.86600112915039,-3.205780029296875,25.151599884033203,exact,3,21.3–31.9 gC m-2 yr-1,8
UK-ESa,55.90694046020508,-2.858609914779663,30.88373756408691,exact,3,21.3–31.9 gC m-2 yr-1,11
UK-Gri,56.60721969604492,-3.7980599403381343,38.560543060302734,exact,4,31.9–42.1 gC m-2 yr-1,14
UK-Ham,51.153533935546875,-0.858299970626831,48.57134246826172,exact,5,42.1–54.4 gC m-2 yr-1,19
UK-Her,51.78379821777344,-0.4760800004005432,59.29001998901367,exact,6,54.4–70.9 gC m-2 yr-1,22
UK-PL3,51.45000076293945,-1.266669988632202,62.8681640625,exact,6,54.4–70.9 gC m-2 yr-1,24
UK-Tad,51.20709991455078,-2.8286399841308594,48.624114990234375,exact,5,42.1–54.4 gC m-2 yr-1,19
US-ARb,35.54970169067383,-98.04019927978516,54.286258697509766,exact,5,42.1–54.4 gC m-2 yr-1,21
US-ARc,35.54648971557617,-98.04000091552734,54.286258697509766,exact,5,42.1–54.4 gC m-2 yr-1,21
US-ARM,36.60580062866211,-97.488800048828125,57.99056243896485,exact,6,54.4–70.9 gC m-2 yr-1,22
US-Atq,70.46959686279297,-157.40899658203125,10.328237533569336,exact,2,5.0–21.3 gC m-2 yr-1,3
US-Aud,31.590700149536133,-110.51000213623048,29.85690116882324,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Bar,44.06460189819336,-71.28807830810547,42.572078704833984,exact,5,42.1–54.4 gC m-2 yr-1,16
US-Bkg,44.34529876708984,-96.83619689941406,47.84489440917969,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Blo,38.89519882202149,-120.63275146484376,44.971527099609375,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Bn1,63.9197998046875,-145.3780059814453,24.787803649902344,exact,3,21.3–31.9 gC m-2 yr-1,8
US-Bn2,63.9197998046875,-145.3780059814453,24.787803649902344,exact,3,21.3–31.9 gC m-2 yr-1,8
US-Bn3,63.922698974609375,-145.74400329589844,29.150310516357425,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Bo1,40.00619888305664,-88.29039764404297,57.67061996459961,exact,6,54.4–70.9 gC m-2 yr-1,22
US-Bo2,40.00899887084961,-88.29000091552734,57.67061996459961,exact,6,54.4–70.9 gC m-2 yr-1,22
US-Brw,71.32250213623047,-156.6259002685547,1.6785470247268677,exact,1,0–5 gC m-2 yr-1,1
US-CaV,39.06330108642578,-79.4207992553711,48.86581039428711,exact,5,42.1–54.4 gC m-2 yr-1,19
US-Dk1,35.97119903564453,-79.09339904785156,75.05833435058594,exact,7,>70.9 gC m-2 yr-1,26
US-Dk2,35.97359848022461,-79.10040283203125,75.05833435058594,exact,7,>70.9 gC m-2 yr-1,26
US-Dk3,35.97819900512695,-79.09420013427734,75.05833435058594,exact,7,>70.9 gC m-2 yr-1,26
US-Fmf,35.142601013183594,-111.72730255126952,62.31810760498047,exact,6,54.4–70.9 gC m-2 yr-1,23
US-FPe,48.30770111083984,-105.10189819335938,42.08673477172851,exact,4,31.9–42.1 gC m-2 yr-1,16
US-FR2,29.949499130249023,-97.99620056152344,94.21529388427734,exact,7,>70.9 gC m-2 yr-1,29
US-Fuf,35.0890007019043,-111.76200103759766,62.31810760498047,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Fwf,35.44540023803711,-111.77179718017578,62.31810760498047,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Goo,34.25469970703125,-89.87349700927734,69.94374084472656,exact,6,54.4–70.9 gC m-2 yr-1,25
US-Ha1,42.53779983520508,-72.17150115966797,48.78166198730469,exact,5,42.1–54.4 gC m-2 yr-1,19
US-Ha2,42.53929901123047,-72.17790222167969,48.78166198730469,exact,5,42.1–54.4 gC m-2 yr-1,19
US-Ho1,45.2041015625,-68.74019622802734,51.57353210449219,exact,5,42.1–54.4 gC m-2 yr-1,20
US-Ho2,45.20909881591797,-68.74700164794922,51.57353210449219,exact,5,42.1–54.4 gC m-2 yr-1,20
US-IB1,41.85929870605469,-88.22270202636719,44.49059295654297,exact,5,42.1–54.4 gC m-2 yr-1,17
US-IB2,41.840599060058594,-88.240997314453125,44.49059295654297,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ivo,68.48650360107422,-155.75,6.5149383544921875,exact,2,5.0–21.3 gC m-2 yr-1,2
US-KS1,28.45829963684082,-80.6708984375,58.07012939453125,exact,6,54.4–70.9 gC m-2 yr-1,22
US-KS2,28.60860061645508,-80.67150115966797,55.89546203613281,exact,6,54.4–70.9 gC m-2 yr-1,21
US-Los,46.08269882202149,-89.97920227050781,46.80606842041016,exact,5,42.1–54.4 gC m-2 yr-1,18
US-LPH,42.541900634765625,-72.18499755859375,48.78166198730469,exact,5,42.1–54.4 gC m-2 yr-1,19
US-Me1,44.57939910888672,-121.5,47.92609405517578,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Me2,44.452301025390625,-121.55740356445312,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me3,44.315399169921875,-121.60780334472656,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me4,44.49919891357422,-121.62239837646484,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-MMS,39.32310104370117,-86.41310119628906,59.03190994262695,exact,6,54.4–70.9 gC m-2 yr-1,22
US-MOz,38.74409866333008,-92.1999969482422,67.75593566894531,exact,6,54.4–70.9 gC m-2 yr-1,25
US-NC1,35.811500549316406,-76.71150207519531,70.90606689453125,exact,7,>70.9 gC m-2 yr-1,26
US-NC2,35.8031005859375,-76.66790008544922,70.90606689453125,exact,7,>70.9 gC m-2 yr-1,26
US-Ne1,41.16510009765625,-96.47660064697266,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ne2,41.16490173339844,-96.47010040283205,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ne3,41.1796989440918,-96.439697265625,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-NR1,40.032901763916016,-105.5459976196289,30.316959381103516,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Oho,41.554500579833984,-83.84380340576172,57.55900955200195,exact,6,54.4–70.9 gC m-2 yr-1,22
US-PFa,45.945899963378906,-90.27230072021484,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-SO2,33.3739013671875,-116.62288665771484,67.75348663330078,exact,6,54.4–70.9 gC m-2 yr-1,25
US-SO3,33.377201080322266,-116.62268829345705,67.75348663330078,exact,6,54.4–70.9 gC m-2 yr-1,25
US-SO4,33.3843994140625,-116.64025115966795,67.75348663330078,exact,6,54.4–70.9 gC m-2 yr-1,25
US-SP1,29.738100051879883,-82.21880340576172,75.44515228271484,exact,7,>70.9 gC m-2 yr-1,27
US-SP2,29.764799118041992,-82.24479675292969,75.44515228271484,exact,7,>70.9 gC m-2 yr-1,27
US-SP3,29.75480079650879,-82.163299560546875,75.44515228271484,exact,7,>70.9 gC m-2 yr-1,27
US-SP4,29.802799224853516,-82.2031021118164,75.44515228271484,exact,7,>70.9 gC m-2 yr-1,27
US-SRM,31.821399688720703,-110.86599731445312,29.85690116882324,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Syv,46.242000579833984,-89.34770202636719,54.891868591308594,exact,6,54.4–70.9 gC m-2 yr-1,21
US-Ton,38.43159866333008,-120.96600341796876,42.84930419921875,exact,5,42.1–54.4 gC m-2 yr-1,16
US-UMB,45.55979919433594,-84.71379852294922,18.45685386657715,exact,2,5.0–21.3 gC m-2 yr-1,5
US-Var,38.413299560546875,-120.9507293701172,42.84930419921875,exact,5,42.1–54.4 gC m-2 yr-1,16
US-WBW,35.95880126953125,-84.28739929199219,64.25120544433594,exact,6,54.4–70.9 gC m-2 yr-1,24
US-WCr,45.80590057373047,-90.07990264892578,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Wi0,46.61880111694336,-91.0813980102539,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi1,46.730499267578125,-91.23290252685548,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
