site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30
US-AR1,36.4267,-99.42,70.59748840332031,exact,7,>58.1 mm yr-1,28
US-AR2,36.6358,-99.5975,68.088043212890625,exact,7,>58.1 mm yr-1,27
US-ARb,35.5497,-98.0402,77.78800201416016,exact,7,>58.1 mm yr-1,28
US-ARc,35.5465,-98.04,77.78800201416016,exact,7,>58.1 mm yr-1,28
US-ARM,36.6058,-97.4888,66.58199310302734,exact,7,>58.1 mm yr-1,27
US-ASH,36.1697,-120.201,57.57917785644531,exact,6,41.8–58.1 mm yr-1,26
US-ASM,36.1777,-120.2026,57.57917785644531,exact,6,41.8–58.1 mm yr-1,26
US-Aud,31.5907,-110.5104,63.05389022827149,exact,7,>58.1 mm yr-1,27
US-Bar,44.0646,-71.2881,23.009788513183594,exact,3,17.5–24.2 mm yr-1,10
US-Bi1,38.0992,-121.4993,51.275638580322266,exact,6,41.8–58.1 mm yr-1,24
US-Bi2,38.1091,-121.5351,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-BRG,39.2167,-86.5406,27.072036743164062,exact,4,24.2–32.0 mm yr-1,13
US-BZB,64.6955,-148.3208,19.338621139526367,exact,3,17.5–24.2 mm yr-1,8
US-BZF,64.7013,-148.3121,19.338621139526367,exact,3,17.5–24.2 mm yr-1,8
US-BZo,64.6936,-148.33,19.338621139526367,exact,3,17.5–24.2 mm yr-1,8
US-CAK,64.8618,-163.7002,19.311626434326172,exact,3,17.5–24.2 mm yr-1,8
US-CdM,37.5241,-109.7471,46.12474060058594,exact,6,41.8–58.1 mm yr-1,22
US-Ced,39.8379,-74.3791,28.84717559814453,exact,4,24.2–32.0 mm yr-1,14
US-CF1,46.7815,-117.0821,27.211999893188477,exact,4,24.2–32.0 mm yr-1,13
US-CF2,46.784,-117.0908,27.211999893188477,exact,4,24.2–32.0 mm yr-1,13
US-CF3,46.7551,-117.1261,27.211999893188477,exact,4,24.2–32.0 mm yr-1,13
US-CF4,46.7518,-117.1285,27.211999893188477,exact,4,24.2–32.0 mm yr-1,13
US-CGG,37.938,-121.9761,47.27369689941406,exact,6,41.8–58.1 mm yr-1,23
US-ChR,35.9311,-84.3324,36.88323974609375,exact,5,32.0–41.8 mm yr-1,18
US-CLF,40.6366,-77.9424,22.07541275024414,exact,3,17.5–24.2 mm yr-1,10
US-Cms,71.3202,-156.6223,15.54870891571045,exact,2,5.0–17.5 mm yr-1,5
US-CMW,31.6637,-110.1777,55.17927169799805,exact,6,41.8–58.1 mm yr-1,25
US-Cop,38.09,-109.39,50.44860076904297,exact,6,41.8–58.1 mm yr-1,24
US-CRK,31.4629,-95.3415,62.4487419128418,exact,7,>58.1 mm yr-1,26
US-CRT,41.6285,-83.3471,26.52198600769043,exact,4,24.2–32.0 mm yr-1,13
US-CS1,44.1031,-89.5379,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-CS2,44.1467,-89.5002,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-CS3,44.1394,-89.5727,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-CS4,44.1597,-89.5475,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-CS5,44.1095,-89.5377,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-CS6,44.4297,-89.544,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-CS8,44.4338,-89.5364,27.69948387145996,exact,4,24.2–32.0 mm yr-1,14
US-Cst,33.0442,-91.9204,38.723819732666016,exact,5,32.0–41.8 mm yr-1,19
US-Cwt,35.0592,-83.4275,33.61102294921875,exact,5,32.0–41.8 mm yr-1,17
US-DFC,43.3448,-89.7117,30.979028701782227,exact,4,24.2–32.0 mm yr-1,15
US-DFK,43.3453,-89.7154,30.979028701782227,exact,4,24.2–32.0 mm yr-1,15
US-Dix,39.9712,-74.4346,28.84717559814453,exact,4,24.2–32.0 mm yr-1,14
US-Dk1,35.9712,-79.0934,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16
US-Dk2,35.9736,-79.1004,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16
US-Dk3,35.9782,-79.0942,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16
US-Dmg,38.0015,-121.6691,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-DPW,28.0521,-81.4361,52.99040603637695,exact,6,41.8–58.1 mm yr-1,25
US-DS1,38.1335,-121.539,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-DS2,38.1375,-121.514,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-DS3,38.1235,-121.549,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-EA4,29.6633,-98.3816,103.66510772705078,exact,7,>58.1 mm yr-1,30
US-EA5,29.3584,-99.9576,100.32780456542967,exact,7,>58.1 mm yr-1,30
US-EA6,29.6561,-99.9588,104.1185302734375,exact,7,>58.1 mm yr-1,30
US-EDN,37.6156,-122.114,46.06428909301758,exact,6,41.8–58.1 mm yr-1,22
US-EKH,36.8094,-121.7523,57.47993087768555,exact,6,41.8–58.1 mm yr-1,26
US-EKN,36.8357,-121.7328,57.47993087768555,exact,6,41.8–58.1 mm yr-1,26
US-EKP,36.8558,-121.7488,57.47993087768555,exact,6,41.8–58.1 mm yr-1,26
US-Elm,25.5519,-80.7826,48.20489501953125,exact,6,41.8–58.1 mm yr-1,23
US-EML,63.8784,-149.2536,16.74631118774414,exact,2,5.0–17.5 mm yr-1,6
US-Esm,25.4379,-80.5946,45.89044952392578,exact,6,41.8–58.1 mm yr-1,22
US-EvM,25.3539,-80.381,32.290523529052734,exact,5,32.0–41.8 mm yr-1,16
US-Fcr,65.3968,-148.9348,19.407087326049805,exact,3,17.5–24.2 mm yr-1,8
US-Fmf,35.1426,-111.7273,56.98844146728515,exact,6,41.8–58.1 mm yr-1,25
US-Fo1,70.085,-148.5671,19.3133487701416,exact,3,17.5–24.2 mm yr-1,8
US-Fo2,70.0229,-148.6598,19.3133487701416,exact,3,17.5–24.2 mm yr-1,8
US-Fuf,35.089,-111.762,56.98844146728515,exact,6,41.8–58.1 mm yr-1,25
US-Fwf,35.4454,-111.7718,56.98844146728515,exact,6,41.8–58.1 mm yr-1,25
US-GLE,41.3665,-106.2399,30.79462242126465,exact,4,24.2–32.0 mm yr-1,15
US-Ha1,42.5378,-72.1715,22.274150848388672,exact,3,17.5–24.2 mm yr-1,10
US-HB1,33.3455,-79.1957,32.80279541015625,exact,5,32.0–41.8 mm yr-1,16
US-HB2,33.3242,-79.244,32.80279541015625,exact,5,32.0–41.8 mm yr-1,16
US-HB3,33.3482,-79.2322,32.80279541015625,exact,5,32.0–41.8 mm yr-1,16
US-HB4,33.2015,-79.2975,32.80279541015625,exact,5,32.0–41.8 mm yr-1,16
US-HBK,43.9397,-71.7181,21.763484954833984,exact,3,17.5–24.2 mm yr-1,9
US-Hn2,46.6889,-119.4641,21.63837432861328,exact,3,17.5–24.2 mm yr-1,9
US-Hn3,46.6878,-119.4614,21.63837432861328,exact,3,17.5–24.2 mm yr-1,9
US-Ho2,45.209,-68.747,24.91582679748535,exact,4,24.2–32.0 mm yr-1,12
US-Ho3,45.2072,-68.7265,24.91582679748535,exact,4,24.2–32.0 mm yr-1,12
US-HRA,34.5852,-91.7517,39.596092224121094,exact,5,32.0–41.8 mm yr-1,20
US-HRC,34.5888,-91.7517,39.596092224121094,exact,5,32.0–41.8 mm yr-1,20
US-Hsm,38.2368,-122.0212,43.33338928222656,exact,6,41.8–58.1 mm yr-1,21
US-HVs,69.1672,-148.8569,23.259965896606445,exact,3,17.5–24.2 mm yr-1,11
US-HWB,40.8608,-77.8488,22.07541275024414,exact,3,17.5–24.2 mm yr-1,10
US-IAB,42.0001,-93.7016,38.83107376098633,exact,5,32.0–41.8 mm yr-1,19
US-IAC,41.9984,-93.7016,42.2341194152832,exact,6,41.8–58.1 mm yr-1,21
US-IAM,41.9994,-93.7042,42.2341194152832,exact,6,41.8–58.1 mm yr-1,21
US-ICh,68.6068,-149.2958,19.928945541381836,exact,3,17.5–24.2 mm yr-1,8
US-ICs,68.6058,-149.311,19.928945541381836,exact,3,17.5–24.2 mm yr-1,8
US-ICt,68.6063,-149.3041,19.928945541381836,exact,3,17.5–24.2 mm yr-1,8
US-Jo1,32.582,-106.635,48.208213806152344,exact,6,41.8–58.1 mm yr-1,23
US-Jo2,32.5849,-106.6032,48.208213806152344,exact,6,41.8–58.1 mm yr-1,23
US-KFS,39.0561,-95.1907,47.227264404296875,exact,6,41.8–58.1 mm yr-1,23
US-Kon,39.0824,-96.5603,45.86037063598633,exact,6,41.8–58.1 mm yr-1,22
US-KPL,60.5382,-150.5061,19.933059692382812,exact,3,17.5–24.2 mm yr-1,8
US-KS1,28.4583,-80.6709,50.13365936279297,exact,6,41.8–58.1 mm yr-1,24
US-KS2,28.6086,-80.6715,51.70170593261719,exact,6,41.8–58.1 mm yr-1,24
US-KS3,28.7084,-80.7427,51.70170593261719,exact,6,41.8–58.1 mm yr-1,24
US-LA2,29.8587,-90.2869,36.93165969848633,exact,5,32.0–41.8 mm yr-1,19
US-LA3,29.4936,-89.9153,68.03797912597656,exact,7,>58.1 mm yr-1,27
US-Lin,36.3566,-119.0922,51.3550910949707,exact,6,41.8–58.1 mm yr-1,24
US-Los,46.0827,-89.9786,29.834697723388672,exact,4,24.2–32.0 mm yr-1,15
US-LS1,31.5615,-110.1403,55.17927169799805,exact,6,41.8–58.1 mm yr-1,25
US-MBP,47.5051,-93.4893,30.128042221069336,exact,4,24.2–32.0 mm yr-1,15
US-Me1,44.5794,-121.5,29.28786277770996,exact,4,24.2–32.0 mm yr-1,14
US-Me3,44.3154,-121.6078,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14
US-Me5,44.4372,-121.5668,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14
US-Me6,44.3232,-121.6044,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14
US-Me7,44.4534,-121.5619,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14
US-MEF,39.1006,-105.1024,43.727203369140625,exact,6,41.8–58.1 mm yr-1,22
US-MMS,39.3232,-86.4133,28.476402282714844,exact,4,24.2–32.0 mm yr-1,14
US-MN1,45.6168,-96.1269,34.58104705810547,exact,5,32.0–41.8 mm yr-1,17
US-MN2,45.627,-96.1271,34.58104705810547,exact,5,32.0–41.8 mm yr-1,17
US-MN3,45.6091,-96.1265,34.58104705810547,exact,5,32.0–41.8 mm yr-1,17
US-Mo1,39.2298,-92.1167,36.3675651550293,exact,5,32.0–41.8 mm yr-1,18
US-Mo2,38.9488,-91.9945,32.684783935546875,exact,5,32.0–41.8 mm yr-1,16
US-Mo3,39.2322,-92.1493,36.3675651550293,exact,5,32.0–41.8 mm yr-1,18
US-MOz,38.7441,-92.2,34.96316909790039,exact,5,32.0–41.8 mm yr-1,18
US-Mpj,34.4382,-106.2385,53.84478759765625,exact,6,41.8–58.1 mm yr-1,25
US-MtB,32.416,-110.7256,57.492557525634766,exact,6,41.8–58.1 mm yr-1,26
US-Myb,38.0499,-121.765,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
