site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30
UK-ESa,55.90694046020508,-2.858609914779663,367.0451354980469,exact,4,263.9–394.0 mm yr-1,15
UK-Gri,56.60721969604492,-3.7980599403381343,346.9034729003906,exact,4,263.9–394.0 mm yr-1,14
UK-Ham,51.153533935546875,-0.858299970626831,415.257568359375,exact,5,394.0–634.7 mm yr-1,17
UK-Her,51.78379821777344,-0.4760800004005432,390.5802917480469,exact,4,263.9–394.0 mm yr-1,16
UK-PL3,51.45000076293945,-1.266669988632202,432.6862182617187,exact,5,394.0–634.7 mm yr-1,17
UK-Tad,51.20709991455078,-2.8286399841308594,435.4664611816406,exact,5,394.0–634.7 mm yr-1,17
US-ARb,35.54970169067383,-98.04019927978516,661.3397216796875,exact,6,634.7–968.6 mm yr-1,21
US-ARc,35.54648971557617,-98.04000091552734,661.3397216796875,exact,6,634.7–968.6 mm yr-1,21
US-ARM,36.60580062866211,-97.488800048828125,719.3955078125,exact,6,634.7–968.6 mm yr-1,22
US-Atq,70.46959686279297,-157.40899658203125,106.5504150390625,exact,2,5.0–143.4 mm yr-1,5
US-Aud,31.590700149536133,-110.51000213623048,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15
US-Bar,44.06460189819336,-71.28807830810547,480.1797790527344,exact,5,394.0–634.7 mm yr-1,18
US-Bkg,44.34529876708984,-96.83619689941406,509.380615234375,exact,5,394.0–634.7 mm yr-1,19
US-Blo,38.89519882202149,-120.63275146484376,448.172119140625,exact,5,394.0–634.7 mm yr-1,18
US-Bn1,63.9197998046875,-145.3780059814453,195.82090759277344,exact,3,143.4–263.9 mm yr-1,8
US-Bn2,63.9197998046875,-145.3780059814453,195.82090759277344,exact,3,143.4–263.9 mm yr-1,8
US-Bn3,63.922698974609375,-145.74400329589844,217.99693298339844,exact,3,143.4–263.9 mm yr-1,9
US-Bo1,40.00619888305664,-88.29039764404297,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22
US-Bo2,40.00899887084961,-88.29000091552734,690.77618408203125,exact,6,634.7–968.6 mm yr-1,22
US-Brw,71.32250213623047,-156.6259002685547,79.7755126953125,exact,2,5.0–143.4 mm yr-1,4
US-CaV,39.06330108642578,-79.4207992553711,628.58447265625,exact,5,394.0–634.7 mm yr-1,21
US-Dk1,35.97119903564453,-79.09339904785156,793.1142578125,exact,6,634.7–968.6 mm yr-1,23
US-Dk2,35.97359848022461,-79.10040283203125,793.1142578125,exact,6,634.7–968.6 mm yr-1,23
US-Dk3,35.97819900512695,-79.09420013427734,793.1142578125,exact,6,634.7–968.6 mm yr-1,23
US-Fmf,35.142601013183594,-111.72730255126952,381.8478698730469,exact,4,263.9–394.0 mm yr-1,16
US-FPe,48.30770111083984,-105.10189819335938,332.643310546875,exact,4,263.9–394.0 mm yr-1,14
US-FR2,29.949499130249023,-97.99620056152344,687.89410400390625,exact,6,634.7–968.6 mm yr-1,22
US-Fuf,35.0890007019043,-111.76200103759766,381.8478698730469,exact,4,263.9–394.0 mm yr-1,16
US-Fwf,35.44540023803711,-111.77179718017578,381.8478698730469,exact,4,263.9–394.0 mm yr-1,16
US-Goo,34.25469970703125,-89.87349700927734,826.7461547851564,exact,6,634.7–968.6 mm yr-1,24
US-Ha1,42.53779983520508,-72.17150115966797,548.44464111328125,exact,5,394.0–634.7 mm yr-1,20
