site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee,network
CA-TPD,DBF,42.6353,-80.5577,3,3,3,3,3,361.733,1488.01,1228.07,366.0101970612245,25.066,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CG-Tch,SAV,-4.2892,11.6564,0,0,0,1,2,NA,NA,NA,507.0907019755103,42.24425,NA,NA,NA,NA,NA,NA,fluxnet2015
CH-Cha,GRA,47.2102,8.4104,8,8,8,8,8,109.9675,2581.395,2467.8149999999996,701.2085839346939,10.51747,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CH-Dav,ENF,46.8153,9.8559,17,17,17,17,17,302.506,1229.84,839.423,519.1070632163264,14.2815,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CH-Fru,GRA,47.1158,8.5378,7,7,7,7,7,283.893,1995.7,1693.15,621.9809750204081,7.03954,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CH-Lae,MF,47.4783,8.3644,10,10,10,10,10,669.4455,1897.085,1076.2,768.1705909714285,32.8725,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CH-Oe1,GRA,47.2858,7.7319,6,6,6,7,7,252.365,1840.4250000000002,1658.87,621.7607158530612,1.65002,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CH-Oe2,CRO,47.2864,7.7337,11,11,11,11,11,170.499,1416.25,1340.96,692.668710955102,10.0284,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Cha,MF,42.4025,128.0958,3,3,3,3,3,264.892,1533.6,1256.76,460.93416979591836,21.4864,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Cng,GRA,44.5934,123.5092,2,2,2,2,2,213.2345,590.0885,376.34950000000003,418.5407204081632,30.6635,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Dan,GRA,30.4978,91.0664,2,2,2,2,2,98.89085,318.5575,220.5355,593.3054211428571,31.22705,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Din,EBF,23.1733,112.5361,2,2,2,2,2,476.423,1458.435,957.491,610.7503336163265,18.188699999999997,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Du2,GRA,42.0467,116.2836,2,2,2,2,2,58.159549999999996,297.971,240.15800000000002,346.6698964897959,35.9161,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Du3,GRA,42.0551,116.2809,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
CN-Ha2,WET,37.6086,101.3269,3,3,3,3,3,181.977,860.858,656.295,567.2420637061224,45.4832,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-HaM,GRA,37.37,101.18,3,3,3,3,3,127.672,519.556,512.548,362.4461203591837,28.9496,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Qia,ENF,26.7414,115.0581,3,3,3,3,3,580.321,1748.04,1167.71,669.5144490122449,18.9697,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CN-Sw2,GRA,41.7902,111.8971,1,1,1,1,1,-171.39,47.0101,217.612,266.0434486530612,33.7762,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CZ-BK1,ENF,49.5021,18.5369,7,7,7,10,11,863.232,1882.68,1015.88,305.3326606530612,29.6148,VUT,VUT,VUT,NT,NT,1,fluxnet2015
