site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30,trendy_et_iav_bin_12,trendy_et_iav_bin_18,trendy_et_iav_bin_20
CN-Ku2,40.38079833984375,108.54900360107422,39.100067138671875,exact,5,32.0–41.8 mm yr-1,20,8,12,13
CN-Xfs,44.1341667175293,116.32861328125,41.13218307495117,exact,5,32.0–41.8 mm yr-1,20,9,13,14
CN-Xi1,43.54583358764648,116.6777801513672,38.91947937011719,exact,5,32.0–41.8 mm yr-1,20,8,12,13
CN-Xi2,43.55440139770508,116.6709976196289,38.91947937011719,exact,5,32.0–41.8 mm yr-1,20,8,12,13
CZ-BK1,49.50260162353515,18.538400650024418,24.859750747680664,exact,4,24.2–32.0 mm yr-1,12,5,7,8
CZ-BK2,49.49530029296875,18.544700622558594,27.302631378173828,exact,4,24.2–32.0 mm yr-1,13,6,8,9
CZ-wet,49.025001525878906,14.772000312805176,23.369009017944336,exact,3,17.5–24.2 mm yr-1,11,5,7,7
DE-Bay,50.14189910888672,11.866900444030762,26.425701141357425,exact,4,24.2–32.0 mm yr-1,13,6,8,9
DE-Geb,51.100101470947266,10.914299964904783,30.021665573120117,exact,4,24.2–32.0 mm yr-1,15,7,9,10
DE-Gri,50.949501037597656,13.512499809265137,26.51685905456543,exact,4,24.2–32.0 mm yr-1,13,6,8,9
DE-Hai,51.07929992675781,10.45199966430664,26.617414474487305,exact,4,24.2–32.0 mm yr-1,13,6,8,9
DE-Har,47.93439865112305,7.60099983215332,21.130720138549805,exact,3,17.5–24.2 mm yr-1,9,4,6,6
DE-Kli,50.89289855957031,13.522500038146973,26.51685905456543,exact,4,24.2–32.0 mm yr-1,13,6,8,9
DE-Meh,51.275299072265625,10.655500411987305,30.021665573120117,exact,4,24.2–32.0 mm yr-1,15,7,9,10
DE-Tha,50.963600158691406,13.566900253295898,26.51685905456543,exact,4,24.2–32.0 mm yr-1,13,6,8,9
DE-Wet,50.45349884033203,11.457500457763672,27.571380615234375,exact,4,24.2–32.0 mm yr-1,14,6,9,9
DK-Fou,56.48419952392578,9.587220191955566,30.051708221435547,exact,4,24.2–32.0 mm yr-1,15,7,9,10
DK-Lva,55.68330001831055,12.08329963684082,27.557729721069336,exact,4,24.2–32.0 mm yr-1,14,6,9,9
DK-Ris,55.53030014038086,12.097200393676758,27.557729721069336,exact,4,24.2–32.0 mm yr-1,14,6,9,9
DK-Sor,55.48690032958984,11.64579963684082,28.594581604003903,exact,4,24.2–32.0 mm yr-1,14,6,9,10
ES-ES1,39.34600067138672,-0.31880998611450195,48.414649963378906,exact,6,41.8–58.1 mm yr-1,23,10,14,16
ES-ES2,39.2755012512207,-0.3152199983596802,48.414649963378906,exact,6,41.8–58.1 mm yr-1,23,10,14,16
ES-LJu,36.928199768066406,-2.750469923019409,45.1071662902832,exact,6,41.8–58.1 mm yr-1,22,9,14,15
ES-LMa,39.94150161743164,-5.773359775543213,49.10921096801758,exact,6,41.8–58.1 mm yr-1,23,10,14,16
ES-VDA,42.152198791503906,1.4485000371932983,44.68296432495117,exact,6,41.8–58.1 mm yr-1,22,9,13,15
FI-Hyy,61.8474006652832,24.2947998046875,20.633230209350582,exact,3,17.5–24.2 mm yr-1,9,4,6,6
FI-Kaa,69.14070129394531,27.295000076293945,16.374370574951172,exact,2,5.0–17.5 mm yr-1,6,3,4,4
FI-Sii,61.83300018310547,24.19300079345703,20.633230209350582,exact,3,17.5–24.2 mm yr-1,9,4,6,6
FI-Sod,67.36190032958984,26.637800216674805,18.725385665893555,exact,3,17.5–24.2 mm yr-1,7,4,5,5
FR-Aur,43.54940032958984,1.1077799797058103,42.06713104248047,exact,6,41.8–58.1 mm yr-1,21,9,13,14
FR-Fon,48.47629928588867,2.7801499366760254,37.76026153564453,exact,5,32.0–41.8 mm yr-1,19,8,12,13
FR-Gri,48.84400177001953,1.952430009841919,34.18002700805664,exact,5,32.0–41.8 mm yr-1,17,7,11,12
FR-Hes,48.674198150634766,7.064620018005371,28.27851676940918,exact,4,24.2–32.0 mm yr-1,14,6,9,10
FR-Lam,43.49330139160156,1.237220048904419,43.97606658935547,exact,6,41.8–58.1 mm yr-1,22,9,13,15
FR-LBr,44.717098236083984,-0.7692999839782715,39.20647811889648,exact,5,32.0–41.8 mm yr-1,20,8,12,13
FR-Lq1,45.644100189208984,2.737030029296875,33.25969314575195,exact,5,32.0–41.8 mm yr-1,17,7,10,11
FR-Lq2,45.639198303222656,2.737030029296875,33.25969314575195,exact,5,32.0–41.8 mm yr-1,17,7,10,11
FR-Pue,43.74140167236328,3.595829963684082,41.85893249511719,exact,6,41.8–58.1 mm yr-1,21,9,13,14
GF-Guy,5.277699947357178,-52.92879867553711,43.844051361083984,exact,6,41.8–58.1 mm yr-1,22,9,13,15
HU-Bug,46.69110107421875,19.601299285888672,54.10614013671875,exact,6,41.8–58.1 mm yr-1,25,10,15,17
HU-Mat,47.846900939941406,19.72599983215332,45.554718017578125,exact,6,41.8–58.1 mm yr-1,22,9,14,15
ID-Pag,2.3450000286102295,114.03600311279295,40.97603225708008,exact,5,32.0–41.8 mm yr-1,20,9,13,14
IE-Ca1,52.85879898071289,-6.918139934539795,20.2802791595459,exact,3,17.5–24.2 mm yr-1,8,4,5,6
IE-Dri,51.986698150634766,-8.751810073852539,19.99135971069336,exact,3,17.5–24.2 mm yr-1,8,4,5,6
IL-Yat,31.344999313354492,35.05149841308594,40.08417510986328,exact,5,32.0–41.8 mm yr-1,20,9,12,14
IS-Gun,63.83330154418945,-20.216699600219727,19.597761154174805,exact,3,17.5–24.2 mm yr-1,8,4,5,6
IT-Amp,41.90409851074219,13.605199813842772,58.14137268066406,exact,7,>58.1 mm yr-1,26,11,16,17
IT-BCi,40.523799896240234,14.95740032196045,42.436767578125,exact,6,41.8–58.1 mm yr-1,21,9,13,14
IT-Be2,46.00310134887695,13.025699615478516,24.75223159790039,exact,4,24.2–32.0 mm yr-1,11,5,7,8
IT-Bon,39.47779846191406,16.534700393676758,50.361812591552734,exact,6,41.8–58.1 mm yr-1,24,10,15,16
IT-Cas,45.06284713745117,8.668539047241211,32.261070251464844,exact,5,32.0–41.8 mm yr-1,16,7,10,11
IT-Col,41.84939956665039,13.58810043334961,58.14137268066406,exact,7,>58.1 mm yr-1,26,11,16,17
IT-Cpz,41.7052001953125,12.376099586486816,35.20032501220703,exact,5,32.0–41.8 mm yr-1,18,8,11,12
IT-Lav,45.955299377441406,11.281200408935549,28.112154006958008,exact,4,24.2–32.0 mm yr-1,14,6,9,10
IT-Lec,43.30459976196289,11.270600318908691,47.32105255126953,exact,6,41.8–58.1 mm yr-1,23,10,14,15
IT-LMa,45.581298828125,7.154630184173584,25.905820846557617,exact,4,24.2–32.0 mm yr-1,12,6,8,9
IT-Mal,46.11669921875,11.702799797058104,25.332021713256836,exact,4,24.2–32.0 mm yr-1,12,5,8,8
IT-MBo,46.01559829711914,11.04669952392578,26.360240936279297,exact,4,24.2–32.0 mm yr-1,13,6,8,9
IT-Noe,40.60599899291992,8.151000022888184,37.474735260009766,exact,5,32.0–41.8 mm yr-1,19,8,12,13
IT-Non,44.68980026245117,11.088700294494627,43.407440185546875,exact,6,41.8–58.1 mm yr-1,21,9,13,15
IT-Pia,42.58390045166016,10.078399658203123,43.48025894165039,exact,6,41.8–58.1 mm yr-1,21,9,13,15
IT-PT1,45.20090103149414,9.061039924621582,34.11042022705078,exact,5,32.0–41.8 mm yr-1,17,7,11,12
IT-Ren,46.587799072265625,11.434700012207031,25.187389373779297,exact,4,24.2–32.0 mm yr-1,12,5,8,8
IT-Ro1,42.40810012817383,11.93000030517578,40.746585845947266,exact,5,32.0–41.8 mm yr-1,20,9,13,14
IT-Ro2,42.39030075073242,11.920900344848633,40.746585845947266,exact,5,32.0–41.8 mm yr-1,20,9,13,14
IT-SRo,43.72785949707031,10.28444004058838,36.23772430419922,exact,5,32.0–41.8 mm yr-1,18,8,11,12
IT-Vig,45.31666564941406,8.850000381469727,32.261070251464844,exact,5,32.0–41.8 mm yr-1,16,7,10,11
JP-Mas,36.05397033691406,140.02691650390625,27.529781341552734,exact,4,24.2–32.0 mm yr-1,14,6,9,9
JP-Tak,36.14619827270508,137.42300415039062,31.066984176635746,exact,4,24.2–32.0 mm yr-1,15,7,10,11
JP-Tef,45.056339263916016,142.106201171875,21.881519317626953,exact,3,17.5–24.2 mm yr-1,9,5,6,7
JP-Tom,42.739498138427734,141.514892578125,19.844709396362305,exact,3,17.5–24.2 mm yr-1,8,4,5,6
KR-Hnm,34.54999923706055,126.56999969482422,36.99217224121094,exact,5,32.0–41.8 mm yr-1,19,8,11,13
KR-Kw1,37.74860000610352,127.16300201416016,34.1375617980957,exact,5,32.0–41.8 mm yr-1,17,7,11,12
NL-Ca1,51.97100067138672,4.927000045776367,29.335769653320312,exact,4,24.2–32.0 mm yr-1,15,6,9,10
NL-Haa,52.00310134887695,4.805500030517578,29.617921829223633,exact,4,24.2–32.0 mm yr-1,15,7,9,10
NL-Hor,52.028900146484375,5.067500114440918,26.45080184936523,exact,4,24.2–32.0 mm yr-1,13,6,8,9
NL-Lan,51.9536018371582,4.902900218963623,29.335769653320312,exact,4,24.2–32.0 mm yr-1,15,6,9,10
NL-Loo,52.16790008544922,5.743959903717041,31.945024490356445,exact,4,24.2–32.0 mm yr-1,16,7,10,11
NL-Lut,53.39889907836914,6.355999946594238,31.201263427734375,exact,4,24.2–32.0 mm yr-1,16,7,10,11
NL-Mol,51.650001525878906,4.638999938964844,29.335769653320312,exact,4,24.2–32.0 mm yr-1,15,6,9,10
PL-wet,52.76219940185547,16.30940055847168,35.322566986083984,exact,5,32.0–41.8 mm yr-1,18,8,11,12
PT-Esp,38.639400482177734,-8.601799964904785,49.59181213378906,exact,6,41.8–58.1 mm yr-1,24,10,14,16
PT-Mi1,38.54069900512695,-8.000399589538574,49.662933349609375,exact,6,41.8–58.1 mm yr-1,24,10,14,16
PT-Mi2,38.47650146484375,-8.024550437927246,51.54736328125,exact,6,41.8–58.1 mm yr-1,24,10,15,16
RU-Che,68.61470031738281,161.33900451660156,12.817268371582031,exact,2,5.0–17.5 mm yr-1,3,2,3,3
RU-Cok,70.61669921875,147.88299560546875,16.908483505249023,exact,2,5.0–17.5 mm yr-1,6,3,4,4
RU-Fyo,56.461669921875,32.92388916015625,24.354066848754883,exact,4,24.2–32.0 mm yr-1,11,5,7,8
RU-Ha1,54.72529983520508,90.002197265625,20.539892196655273,exact,3,17.5–24.2 mm yr-1,8,4,6,6
RU-Ha2,54.773101806640625,89.95670318603516,19.5297908782959,exact,3,17.5–24.2 mm yr-1,8,4,5,6
RU-Ha3,54.704551696777344,89.077850341796875,21.93461799621582,exact,3,17.5–24.2 mm yr-1,10,5,6,7
RU-Zot,60.80080032348633,89.350799560546875,18.55365943908691,exact,3,17.5–24.2 mm yr-1,7,4,5,5
SE-Abi,68.36238861083984,18.794750213623047,18.578798294067383,exact,3,17.5–24.2 mm yr-1,7,4,5,5
SE-Deg,64.18329620361328,19.549999237060547,20.732107162475582,exact,3,17.5–24.2 mm yr-1,9,4,6,6
SE-Faj,56.265499114990234,13.553500175476074,30.619842529296875,exact,4,24.2–32.0 mm yr-1,15,7,10,10
SE-Fla,64.11280059814453,19.456899642944336,18.75200843811035,exact,3,17.5–24.2 mm yr-1,7,4,5,5
SE-Nor,60.08649826049805,17.479503631591797,23.866788864135746,exact,3,17.5–24.2 mm yr-1,11,5,7,8
SE-Sk1,60.125,17.918100357055664,23.80374336242676,exact,3,17.5–24.2 mm yr-1,11,5,7,8
SE-Sk2,60.129669189453125,17.840059280395508,23.80374336242676,exact,3,17.5–24.2 mm yr-1,11,5,7,8
SE-St1,68.36669921875,19.049694061279297,17.139408111572266,exact,2,5.0–17.5 mm yr-1,6,3,4,4
SK-Tat,49.12080001831055,20.16349983215332,26.17778778076172,exact,4,24.2–32.0 mm yr-1,13,6,8,9
TW-Tar,24.031200408935547,120.68800354003906,31.90570640563965,exact,4,24.2–32.0 mm yr-1,16,7,10,11
UK-AMo,55.79169845581055,-3.2388899326324463,16.678176879882812,exact,2,5.0–17.5 mm yr-1,6,3,4,4
UK-EBu,55.86600112915039,-3.205780029296875,16.678176879882812,exact,2,5.0–17.5 mm yr-1,6,3,4,4
UK-ESa,55.90694046020508,-2.858609914779663,21.229951858520508,exact,3,17.5–24.2 mm yr-1,9,4,6,6
UK-Gri,56.60721969604492,-3.7980599403381343,17.6687068939209,exact,3,17.5–24.2 mm yr-1,6,3,4,5
UK-Ham,51.153533935546875,-0.858299970626831,28.284852981567383,exact,4,24.2–32.0 mm yr-1,14,6,9,10
UK-Her,51.78379821777344,-0.4760800004005432,27.858945846557617,exact,4,24.2–32.0 mm yr-1,14,6,9,10
UK-PL3,51.45000076293945,-1.266669988632202,28.40733528137207,exact,4,24.2–32.0 mm yr-1,14,6,9,10
UK-Tad,51.20709991455078,-2.8286399841308594,24.964609146118164,exact,4,24.2–32.0 mm yr-1,12,5,7,8
US-ARb,35.54970169067383,-98.04019927978516,77.78800201416016,exact,7,>58.1 mm yr-1,28,12,17,19
US-ARc,35.54648971557617,-98.04000091552734,77.78800201416016,exact,7,>58.1 mm yr-1,28,12,17,19
US-ARM,36.60580062866211,-97.488800048828125,66.58199310302734,exact,7,>58.1 mm yr-1,27,11,16,18
US-Atq,70.46959686279297,-157.40899658203125,16.660850524902344,exact,2,5.0–17.5 mm yr-1,6,3,4,4
US-Aud,31.590700149536133,-110.51000213623048,63.05389022827149,exact,7,>58.1 mm yr-1,27,11,16,18
US-Bar,44.06460189819336,-71.28807830810547,23.009788513183594,exact,3,17.5–24.2 mm yr-1,10,5,7,7
US-Bkg,44.34529876708984,-96.83619689941406,39.50836181640625,exact,5,32.0–41.8 mm yr-1,20,8,12,13
US-Blo,38.89519882202149,-120.63275146484376,44.38163757324219,exact,6,41.8–58.1 mm yr-1,22,9,13,15
US-Bn1,63.9197998046875,-145.3780059814453,17.089323043823242,exact,2,5.0–17.5 mm yr-1,6,3,4,4
US-Bn2,63.9197998046875,-145.3780059814453,17.089323043823242,exact,2,5.0–17.5 mm yr-1,6,3,4,4
US-Bn3,63.922698974609375,-145.74400329589844,16.835399627685547,exact,2,5.0–17.5 mm yr-1,6,3,4,4
US-Bo1,40.00619888305664,-88.29039764404297,34.049278259277344,exact,5,32.0–41.8 mm yr-1,17,7,11,12
US-Bo2,40.00899887084961,-88.29000091552734,34.049278259277344,exact,5,32.0–41.8 mm yr-1,17,7,11,12
US-Brw,71.32250213623047,-156.6259002685547,15.54870891571045,exact,2,5.0–17.5 mm yr-1,5,3,4,4
US-CaV,39.06330108642578,-79.4207992553711,25.886463165283203,exact,4,24.2–32.0 mm yr-1,12,6,8,9
US-Dk1,35.97119903564453,-79.09339904785156,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16,7,10,11
US-Dk2,35.97359848022461,-79.10040283203125,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16,7,10,11
US-Dk3,35.97819900512695,-79.09420013427734,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16,7,10,11
US-Fmf,35.142601013183594,-111.72730255126952,56.98844146728515,exact,6,41.8–58.1 mm yr-1,25,11,16,17
US-FPe,48.30770111083984,-105.10189819335938,37.33340835571289,exact,5,32.0–41.8 mm yr-1,19,8,12,13
US-FR2,29.949499130249023,-97.99620056152344,102.11603546142578,exact,7,>58.1 mm yr-1,30,12,18,20
US-Fuf,35.0890007019043,-111.76200103759766,56.98844146728515,exact,6,41.8–58.1 mm yr-1,25,11,16,17
US-Fwf,35.44540023803711,-111.77179718017578,56.98844146728515,exact,6,41.8–58.1 mm yr-1,25,11,16,17
US-Goo,34.25469970703125,-89.87349700927734,35.383243560791016,exact,5,32.0–41.8 mm yr-1,18,8,11,12
US-Ha1,42.53779983520508,-72.17150115966797,22.274150848388672,exact,3,17.5–24.2 mm yr-1,10,5,6,7
US-Ha2,42.53929901123047,-72.17790222167969,22.274150848388672,exact,3,17.5–24.2 mm yr-1,10,5,6,7
US-Ho1,45.2041015625,-68.74019622802734,24.91582679748535,exact,4,24.2–32.0 mm yr-1,12,5,7,8
US-Ho2,45.20909881591797,-68.74700164794922,24.91582679748535,exact,4,24.2–32.0 mm yr-1,12,5,7,8
US-IB1,41.85929870605469,-88.22270202636719,29.22671890258789,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-IB2,41.840599060058594,-88.240997314453125,29.22671890258789,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-Ivo,68.48650360107422,-155.75,11.74216365814209,exact,2,5.0–17.5 mm yr-1,3,2,2,2
US-KS1,28.45829963684082,-80.6708984375,50.13365936279297,exact,6,41.8–58.1 mm yr-1,24,10,15,16
US-KS2,28.60860061645508,-80.67150115966797,51.70170593261719,exact,6,41.8–58.1 mm yr-1,24,10,15,16
US-Los,46.08269882202149,-89.97920227050781,29.834697723388672,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-LPH,42.541900634765625,-72.18499755859375,22.274150848388672,exact,3,17.5–24.2 mm yr-1,10,5,6,7
US-Me1,44.57939910888672,-121.5,29.28786277770996,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-Me2,44.452301025390625,-121.55740356445312,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-Me3,44.315399169921875,-121.60780334472656,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-Me4,44.49919891357422,-121.62239837646484,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-MMS,39.32310104370117,-86.41310119628906,28.476402282714844,exact,4,24.2–32.0 mm yr-1,14,6,9,10
US-MOz,38.74409866333008,-92.1999969482422,34.96316909790039,exact,5,32.0–41.8 mm yr-1,18,8,11,12
US-NC1,35.811500549316406,-76.71150207519531,32.97030258178711,exact,5,32.0–41.8 mm yr-1,16,7,10,11
US-NC2,35.8031005859375,-76.66790008544922,32.97030258178711,exact,5,32.0–41.8 mm yr-1,16,7,10,11
US-Ne1,41.16510009765625,-96.47660064697266,49.51469039916992,exact,6,41.8–58.1 mm yr-1,24,10,14,16
US-Ne2,41.16490173339844,-96.47010040283205,49.51469039916992,exact,6,41.8–58.1 mm yr-1,24,10,14,16
US-Ne3,41.1796989440918,-96.439697265625,49.51469039916992,exact,6,41.8–58.1 mm yr-1,24,10,14,16
US-NR1,40.032901763916016,-105.5459976196289,29.9481258392334,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-Oho,41.554500579833984,-83.84380340576172,30.20911979675293,exact,4,24.2–32.0 mm yr-1,15,7,9,10
US-PFa,45.945899963378906,-90.27230072021484,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13,6,8,9
US-SO2,33.3739013671875,-116.62288665771484,73.4427719116211,exact,7,>58.1 mm yr-1,28,12,17,19
US-SO3,33.377201080322266,-116.62268829345705,73.4427719116211,exact,7,>58.1 mm yr-1,28,12,17,19
US-SO4,33.3843994140625,-116.64025115966795,73.4427719116211,exact,7,>58.1 mm yr-1,28,12,17,19
US-SP1,29.738100051879883,-82.21880340576172,46.517574310302734,exact,6,41.8–58.1 mm yr-1,23,9,14,15
US-SP2,29.764799118041992,-82.24479675292969,46.517574310302734,exact,6,41.8–58.1 mm yr-1,23,9,14,15
