site_id,dataset,path,file_name,exists,mtime,size_bytes,feeds
US-Sne,fluxmet_yy,data/extracted/AMF_US-Sne_FLUXNET_2016-2020_v1.3_r1/AMF_US-Sne_FLUXNET_FLUXMET_YY_2016-2020_v1.3_r1.csv,AMF_US-Sne_FLUXNET_FLUXMET_YY_2016-2020_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,18372,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Snf,era5_yy,data/extracted/AMF_US-Snf_FLUXNET_2018-2020_v1.3_r1/AMF_US-Snf_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Snf_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3742,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Snf,fluxmet_yy,data/extracted/AMF_US-Snf_FLUXNET_2018-2020_v1.3_r1/AMF_US-Snf_FLUXNET_FLUXMET_YY_2018-2020_v1.3_r1.csv,AMF_US-Snf_FLUXNET_FLUXMET_YY_2018-2020_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,12348,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Srr,era5_yy,data/extracted/AMF_US-Srr_FLUXNET_2014-2017_v1.3_r1/AMF_US-Srr_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Srr_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3794,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Srr,fluxmet_yy,data/extracted/AMF_US-Srr_FLUXNET_2014-2017_v1.3_r1/AMF_US-Srr_FLUXNET_FLUXMET_YY_2014-2017_v1.3_r1.csv,AMF_US-Srr_FLUXNET_FLUXMET_YY_2014-2017_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,15162,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-StJ,era5_yy,data/extracted/AMF_US-StJ_FLUXNET_2015-2020_v1.3_r1/AMF_US-StJ_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-StJ_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3740,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-StJ,fluxmet_yy,data/extracted/AMF_US-StJ_FLUXNET_2015-2020_v1.3_r1/AMF_US-StJ_FLUXNET_FLUXMET_YY_2015-2020_v1.3_r1.csv,AMF_US-StJ_FLUXNET_FLUXMET_YY_2015-2020_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,20240,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Sta,era5_yy,data/extracted/AMF_US-Sta_FLUXNET_2005-2009_v1.3_r1/AMF_US-Sta_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Sta_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3617,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Sta,fluxmet_yy,data/extracted/AMF_US-Sta_FLUXNET_2005-2009_v1.3_r1/AMF_US-Sta_FLUXNET_FLUXMET_YY_2005-2009_v1.3_r1.csv,AMF_US-Sta_FLUXNET_FLUXMET_YY_2005-2009_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,14664,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Syv,era5_yy,data/extracted/AMF_US-Syv_FLUXNET_2001-2025_v1.3_r1/AMF_US-Syv_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Syv_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3624,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Syv,fluxmet_yy,data/extracted/AMF_US-Syv_FLUXNET_2001-2025_v1.3_r1/AMF_US-Syv_FLUXNET_FLUXMET_YY_2001-2025_v1.3_r1.csv,AMF_US-Syv_FLUXNET_FLUXMET_YY_2001-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,52920,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-TKs,era5_yy,data/extracted/AMF_US-TKs_FLUXNET_2018-2025_v1.3_r1/AMF_US-TKs_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-TKs_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3693,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-TKs,fluxmet_yy,data/extracted/AMF_US-TKs_FLUXNET_2018-2025_v1.3_r1/AMF_US-TKs_FLUXNET_FLUXMET_YY_2018-2025_v1.3_r1.csv,AMF_US-TKs_FLUXNET_FLUXMET_YY_2018-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,25100,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-TLR,era5_yy,data/extracted/AMF_US-TLR_FLUXNET_2024-2024_v1.3_r1/AMF_US-TLR_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-TLR_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3669,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
