path,feeds,exists,mtime,size_bytes
data/extracted/ICOS_BE-Bra_FLUXNET_1999-2024_v1.3_r1/ICOS_BE-Bra_FLUXNET_BIF_1999-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:39,4398885
data/extracted/ICOS_BE-Dor_FLUXNET_2011-2024_v1.3_r1/ICOS_BE-Dor_FLUXNET_BIF_2011-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:39,887149
data/extracted/EUF_BE-Lcr_FLUXNET_2019-2022_v1.3_r1/EUF_BE-Lcr_FLUXNET_BIF_2019-2022_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,285474
data/extracted/ICOS_BE-Lon_FLUXNET_2004-2024_v1.3_r1/ICOS_BE-Lon_FLUXNET_BIF_2004-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,823641
data/extracted/ICOS_BE-Maa_FLUXNET_2016-2025_v1.3_r1/ICOS_BE-Maa_FLUXNET_BIF_2016-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-09-20T13:04:00,539665
data/extracted/ICOS_BE-Vie_FLUXNET_1996-2025_v1.3_r1/ICOS_BE-Vie_FLUXNET_BIF_1996-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-09-20T13:04:00,2484439
data/extracted/FLX_BJ-Bfg_FLUXNET_2008-2017_v1.3_r1/FLX_BJ-Bfg_FLUXNET_BIF_2008-2017_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,169139
data/extracted/FLX_BJ-Db1_FLUXNET_2022-2024_v1.3_r1/FLX_BJ-Db1_FLUXNET_BIF_2022-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,62716
data/extracted/FLX_BJ-Nhu_FLUXNET_2008-2017_v1.3_r1/FLX_BJ-Nhu_FLUXNET_BIF_2008-2017_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,170177
data/extracted/AMF_BR-CST_FLUXNET_2014-2015_v1.3_r1/AMF_BR-CST_FLUXNET_BIF_2014-2015_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,48243
data/extracted/AMF_BR-ITA_FLUXNET_2020-2024_v1.3_r1/AMF_BR-ITA_FLUXNET_BIF_2020-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,77844
data/extracted/AMF_BR-Ji3_FLUXNET_2004-2010_v1.3_r1/AMF_BR-Ji3_FLUXNET_BIF_2004-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,90285
data/extracted/AMF_BR-Ma2_FLUXNET_1999-2016_v1.3_r1/AMF_BR-Ma2_FLUXNET_BIF_1999-2016_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,311266
data/extracted/AMF_BR-Ma3_FLUXNET_2008-2018_v1.3_r1/AMF_BR-Ma3_FLUXNET_BIF_2008-2018_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,156007
data/extracted/AMF_BR-Npw_FLUXNET_2013-2017_v1.3_r1/AMF_BR-Npw_FLUXNET_BIF_2013-2017_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,94358
data/extracted/AMF_BR-SM1_FLUXNET_2015-2016_v1.3_r1/AMF_BR-SM1_FLUXNET_BIF_2015-2016_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,47845
data/extracted/AMF_BR-Sa1_FLUXNET_2002-2011_v1.3_r1/AMF_BR-Sa1_FLUXNET_BIF_2002-2011_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,189382
data/extracted/AMF_BR-Sa3_FLUXNET_2000-2004_v1.3_r1/AMF_BR-Sa3_FLUXNET_BIF_2000-2004_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,99929
data/extracted/AMF_BR-Xpw_FLUXNET_2017-2022_v1.3_r1/AMF_BR-Xpw_FLUXNET_BIF_2017-2022_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,110964
data/extracted/FLX_BW-Gum_FLUXNET_2018-2020_v1.3_r1/FLX_BW-Gum_FLUXNET_BIF_2018-2020_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,64470
data/extracted/FLX_BW-Nxr_FLUXNET_2019-2020_v1.3_r1/FLX_BW-Nxr_FLUXNET_BIF_2019-2020_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:45:19,49797
data/extracted/AMF_CA-ARB_FLUXNET_2011-2024_v1.3_r1/AMF_CA-ARB_FLUXNET_BIF_2011-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,229316
data/extracted/AMF_CA-ARF_FLUXNET_2011-2024_v1.3_r1/AMF_CA-ARF_FLUXNET_BIF_2011-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,230476
data/extracted/AMF_CA-BOU_FLUXNET_2018-2020_v1.3_r1/AMF_CA-BOU_FLUXNET_BIF_2018-2020_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,63053
data/extracted/AMF_CA-CF1_FLUXNET_2007-2008_v1.3_r1/AMF_CA-CF1_FLUXNET_BIF_2007-2008_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,48824
data/extracted/AMF_CA-CF2_FLUXNET_2008-2011_v1.3_r1/AMF_CA-CF2_FLUXNET_BIF_2008-2011_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,78563
data/extracted/AMF_CA-CF3_FLUXNET_2022-2025_v1.3_r1/AMF_CA-CF3_FLUXNET_BIF_2022-2025_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,77644
data/extracted/AMF_CA-Ca1_FLUXNET_1997-2010_v1.3_r1/AMF_CA-Ca1_FLUXNET_BIF_1997-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,227056
data/extracted/AMF_CA-Ca2_FLUXNET_2000-2010_v1.3_r1/AMF_CA-Ca2_FLUXNET_BIF_2000-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,183118
data/extracted/AMF_CA-Ca3_FLUXNET_2001-2024_v1.3_r1/AMF_CA-Ca3_FLUXNET_BIF_2001-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:37,383043
data/extracted/AMF_CA-Cbo_FLUXNET_1996-2024_v1.3_r1/AMF_CA-Cbo_FLUXNET_BIF_1996-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,468255
data/extracted/AMF_CA-DB2_FLUXNET_2019-2024_v1.3_r1/AMF_CA-DB2_FLUXNET_BIF_2019-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,109089
data/extracted/AMF_CA-DBB_FLUXNET_2015-2024_v1.3_r1/AMF_CA-DBB_FLUXNET_BIF_2015-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,171170
data/extracted/AMF_CA-DSM_FLUXNET_2021-2024_v1.3_r1/AMF_CA-DSM_FLUXNET_BIF_2021-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,78150
data/extracted/AMF_CA-EM1_FLUXNET_2021-2023_v1.3_r1/AMF_CA-EM1_FLUXNET_BIF_2021-2023_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,64247
data/extracted/AMF_CA-EM2_FLUXNET_2021-2023_v1.3_r1/AMF_CA-EM2_FLUXNET_BIF_2021-2023_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,64527
data/extracted/AMF_CA-Gro_FLUXNET_2003-2014_v1.3_r1/AMF_CA-Gro_FLUXNET_BIF_2003-2014_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,198702
data/extracted/AMF_CA-HPC_FLUXNET_2018-2018_v1.3_r1/AMF_CA-HPC_FLUXNET_BIF_2018-2018_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,34019
data/extracted/AMF_CA-KLP_FLUXNET_2011-2020_v1.3_r1/AMF_CA-KLP_FLUXNET_BIF_2011-2020_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,169061
data/extracted/AMF_CA-LP1_FLUXNET_2007-2024_v1.3_r1/AMF_CA-LP1_FLUXNET_BIF_2007-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,284604
data/extracted/AMF_CA-LU1_FLUXNET_2020-2023_v1.3_r1/AMF_CA-LU1_FLUXNET_BIF_2020-2023_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,79742
data/extracted/AMF_CA-LU2_FLUXNET_2020-2023_v1.3_r1/AMF_CA-LU2_FLUXNET_BIF_2020-2023_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,80081
data/extracted/AMF_CA-MA1_FLUXNET_2009-2011_v1.3_r1/AMF_CA-MA1_FLUXNET_BIF_2009-2011_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,64170
data/extracted/AMF_CA-MA2_FLUXNET_2009-2011_v1.3_r1/AMF_CA-MA2_FLUXNET_BIF_2009-2011_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,64530
data/extracted/AMF_CA-MA3_FLUXNET_2009-2011_v1.3_r1/AMF_CA-MA3_FLUXNET_BIF_2009-2011_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,63888
