site_id,data_hub,network,oneflux_code_version_manifest,release_version,product_id,location_lat,location_long,igbp,p_era_mean_mm,p_era_sd_mm,n_years_era_full_record,p_era_cv,p_measured_mean_mm,n_years_measured,n_years_fm_total,bio12_mm,badm_map_mm,elevation_m,oneflux_code_version,frac_measured,record_length_years,log_ratio_era_bio12,log_ratio_measured_bio12,log_ratio_era_measured,log_ratio_badm_bio12
AU-Sam,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/z48h-ng94,-27.38806,152.87778,GRA,1070.1960227272727,293.8134840274495,44,0.27454174542594473,1151.1802500000001,8,8,1233,NA,NA,1.3.4-rc,1,8,-0.06149974396497852,-0.02981974649205659,-0.03167999747292191,NA
AU-Sil,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/z5rr-ww68,-42.090556,147.0875,GRA,686.3824666666667,107.77307444044386,45,0.157016065640241,768.0982,5,6,827,NA,NA,1.3.4-rc,0.8333333333333334,6,-0.08093932842863913,-0.03208876218797614,-0.048850566240662995,NA
AU-Sno,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/a5wv-9416,-36.375649,148.43585,EBF,1375.0378,258.56910478400164,45,0.18804508849429566,1269.823,1,2,1664,NA,NA,1.3.4-rc,0.5,2,-0.08283868480240904,-0.11741013287315155,0.03457144807074255,NA
AU-Stp,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/exc5-x691,-17.1507,133.3502,GRA,645.4140444444445,237.95832029923716,45,0.3686909548181051,659.6110625,16,18,641,NA,NA,1.3.4-rc,0.8888888888888888,18,0.0029803820578389946,0.01242990117473422,-0.009449519116895238,NA
AU-TTE,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/6sr7-ap81,-22.287,133.64,SAV,336.0020666666667,152.42564456726257,45,0.45364496141173305,279.1445,8,14,249,NA,NA,1.3.4-rc,0.5714285714285714,14,0.13014260154163443,0.04962972824606968,0.08051287329556471,NA
AU-Tum,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/w7jx-at32,-35.6566,148.1516,EBF,1159.045911111111,236.26874381207804,45,0.20384761427231188,1119.26675,20,21,1449,NA,NA,1.3.4-rc,0.9523809523809523,21,-0.09696774627435474,-0.11213478308297795,0.015167036808623132,NA
AU-Wac,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/1ky7-6f15,-37.4259,145.1878,EBF,3031.7448222222224,545.5577177200197,45,0.17994842894466767,NA,NA,4,1276,NA,NA,1.3.4-rc,NA,4,0.3758419701459337,NA,NA,NA
AU-Wel,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/jztk-0d69,-32.5727,148.9843,GRA,783.7147555555556,222.42639308474367,45,0.2838103933963464,731.4925000000001,2,2,652,NA,NA,1.3.4-rc,1,2,0.07991042788432194,0.04996228192652185,0.029948145957800144,NA
AU-Wgt,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/71r0-0836,-42.09139,147.07944,GRA,584.4301777777778,91.7649017247803,45,0.1570160221255254,515.466,1,2,908,NA,NA,1.3.4-rc,0.5,2,-0.1913532153450926,-0.2458858239051484,0.054532608560055845,NA
AU-Whr,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/8smh-v474,-36.6732,145.0294,EBF,319.89635555555554,91.21590771953092,45,0.28514206597045677,257.534,8,15,581,NA,NA,1.3.4-rc,0.5333333333333333,15,-0.25916684001215573,-0.35334155906117154,0.09417471904901578,NA
AU-Wom,TERN,TERN,v1.3,r1,https://dx.doi.org/10.25901/gw8s-7a26,-37.422506,144.094046,EBF,869.9880888888889,165.95486341292022,45,0.1907553281848612,854.7608461538462,13,16,1070,NA,NA,1.3.4-rc,0.8125,16,-0.08987047100364895,-0.09753915737144189,0.007668686367792926,NA
AU-Wrr,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/t3x2-b871,-43.09502,146.65452,EBF,1177.8986136363637,110.45096432695476,44,0.0937695002339588,1236.551625,8,9,1555,NA,NA,1.3.4-rc,0.8888888888888888,9,-0.12062248273621902,-0.09951814085429543,-0.02110434188192358,NA
AU-Ya1,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/ramf-vb64,-33.613469,150.734864,GRA,799.3789333333333,192.3007947172393,45,0.24056275027834859,705.0999999999999,2,3,843,NA,NA,1.3.4-rc,0.6666666666666666,3,-0.02307487585657524,-0.07757685994769994,0.0545019840911247,NA
AU-Ya2,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/5wpr-vr80,-33.620812,150.763284,GRA,851.6159111111111,204.8671020281222,45,0.24056279286847776,738.2,2,3,847,NA,NA,1.3.4-rc,0.6666666666666666,3,0.002360356624403588,-0.0597093694710685,0.06206972609547214,NA
