site_id,n_years_used_5000,n_years_used_noscreen,log_ratio_era_bio12
ZA-BfS,30,30,-0.018818476009112222
ZA-Jks,30,30,0.32570264143823435
ZA-Spk,30,30,-0.23154274349339288
ZA-Uby,30,30,0.15228759056084254
BE-Vie,30,30,-0.071547855747281
CD-Ygb,30,30,0.14309236177884402
CZ-Lnz,30,30,-0.10522078288620888
DE-Gwg,30,30,-0.05364327076166425
DE-Hai,30,30,-0.07020676022357347
DE-RuW,30,30,-0.012627636380491887
DE-Tha,30,30,0.035419262086976155
FI-Hyy,30,30,0.0311061652178614
FI-Ken,30,30,0.07755828477534049
FR-CLt,30,30,0.04083501128381869
FR-EM2,30,30,-0.002691179852743981
FR-Gri,30,30,-0.029735481671059456
FR-Hes,30,30,0.0842604618608888
FR-Pue,30,30,0.13523341830353028
IT-BCi,30,30,-0.04339519805670555
JP-Om2,0,30,0.5905514188686114
NL-Loo,30,30,0.10290312860791946
DK-Fou,30,30,0.010271720941598738
ES-Pdu,30,30,0.7059257055278396
IT-Cpz,30,30,0.04291362850263826
IT-PT1,30,30,0.0037891286045869358
SJ-Adv,30,30,-0.3186578515391894
IT-MtP,30,30,0.02029237803992814
IT-Ro1,30,30,0.3505248094405935
JP-Nkm,0,30,0.6261669636226359
JP-Tgf,30,30,-0.080005290684259045
US-xTA,30,30,-0.07595855703129632
ES-LgS,30,30,-0.19809563323076482
FI-Si2,30,30,0.6039704806018092
IT-Ro2,30,30,0.31529521252674925
US-KLS,30,30,-0.32969209459952087
DK-Eng,30,30,0.6316936044856623
ES-Ln2,30,30,0.46891581583321
IT-MtM,30,30,0.0818818294702808
HK-MPM,30,30,-0.05390529291762419
US-xKA,30,30,-0.005694772816679926
US-LS2,30,30,-0.03140372413669862
US-ZF1,30,30,-0.47523104444773734
US-xHA,30,30,0.01369931598698306
BE-Maa,30,30,-0.01970939713957235
CH-Dav,30,30,-0.09343311547057054
CZ-BK1,30,30,0.07996742780012112
CZ-wet,30,30,-0.04068612222619462
DE-Amv,30,30,-0.0505916448423941
DE-Brs,30,30,0.034806704099475914
DE-Fen,30,30,-0.07425606433591925
DE-Gri,30,30,0.05983124494309039
DE-GsB,30,30,0.008073479248284946
DE-Har,30,30,-0.1064386340698945
DE-HoH,30,30,-0.06388997566030316
DE-Hte,30,30,0.017499049708921896
DE-Hzd,30,30,0.6336488378095354
DE-Kli,30,30,-0.025975095517535803
DE-Msr,30,30,0.006681238019534126
DE-RuR,30,30,-0.07118382439298178
DE-RuS,30,30,-0.07820626139074127
DK-RCW,30,30,-0.1234324002789241
ES-LMa,30,30,0.1765530294714028
FI-Let,30,30,-0.04984215035815977
FI-Var,30,30,-0.0453548825072853
FR-Aur,30,30,-0.08312824734896204
FR-Bil,30,30,0.006250696725332212
FR-LGt,30,30,-6.989788985774688e-4
FR-Mej,30,30,-0.012228583363844943
FR-Tou,30,30,-0.06315287747642602
GF-Guy,30,30,0.020643911617344274
GL-Dsk,30,30,0.7012061847876796
GL-NuF,30,30,0.07058795421618662
GL-ZaH,30,30,0.40000422050029255
IE-Cra,30,30,0.5283522182447027
IT-BFt,30,30,-0.06255550566950004
IT-Cp2,30,30,0.008759570535009076
IT-Lsn,30,30,0.01221691044390451
IT-MBo,30,30,0.44201790876910335
IT-Niv,0,30,0.608469866523876
IT-Noe,30,30,-0.13932885436382453
IT-Ren,30,30,0.10366397978687765
IT-SR2,30,30,0.0440913330330345
IT-Tor,30,30,-0.16602701955159976
IT-TrF,30,30,-0.06452258106096594
JP-Api,0,30,0.5537537509453924
NL-Vkp,30,30,0.015505313935095801
SE-Svb,30,30,-0.028371850899849744
ZM-Mon,30,30,-0.2505969250037131
