site_id,n_years_era5,map_era5_after,bio12_mm,badm_map_mm,map_era5_before,ratio_to_bio12_after,ratio_to_badm_after,factor_estimate_after,nearest_cluster_after
AU-Fog,30,5851.212966666667,1466,NA,5851.212966666667,3.991277603456117,NA,3.991277603456117,4
AU-GWW,30,340.5570666666667,264,NA,340.5570666666667,1.2899888888888889,NA,1.2899888888888889,elsewhere
AU-Gin,30,623.8964333333333,699,NA,623.8964333333333,0.892555698617072,NA,0.892555698617072,1
AU-How,30,1675.7837333333332,1647,NA,1675.7837333333332,1.0174764622546042,NA,1.0174764622546042,1
AU-Lit,30,1649.2909333333332,1585,NA,1649.2909333333332,1.0405621030494216,NA,1.0405621030494216,1
AU-Lon,30,277.08093333333335,419,NA,277.08093333333335,0.6612910103420844,NA,0.6612910103420844,elsewhere
AU-Lox,30,143.38846666666666,277,NA,143.38846666666666,0.5176478941034898,NA,0.5176478941034898,elsewhere
AU-MvA,30,560.3472,626,NA,560.3472,0.8951233226837061,NA,0.8951233226837061,1
AU-MvB,30,593.9288333333334,620,NA,593.9288333333334,0.9579497311827958,NA,0.9579497311827958,1
AU-Otw,30,719.6304666666666,876,NA,719.6304666666666,0.8214959665144597,NA,0.8214959665144597,elsewhere
AU-RDF,30,999.6309,955,NA,999.6309,1.0467339267015707,NA,1.0467339267015707,1
AU-Rgf,30,585.0512333333334,456,NA,585.0512333333334,1.283007090643275,NA,1.283007090643275,elsewhere
AU-Rig,30,465.1422333333333,618,NA,465.1422333333333,0.7526573354908306,NA,0.7526573354908306,elsewhere
AU-Rob,30,1752.6281999999999,2634,NA,1752.6282,0.6653865603644646,NA,0.6653865603644646,elsewhere
AU-Sam,30,1000.4260666666667,1233,NA,1000.4260666666668,0.8113755609624222,NA,0.8113755609624222,elsewhere
AU-Sil,30,683.9892,827,NA,683.9892,0.8270727932285369,NA,0.8270727932285369,elsewhere
AU-Sno,30,1341.243,1664,NA,1341.243,0.8060354567307692,NA,0.8060354567307692,elsewhere
AU-Stp,30,650.5608333333333,641,NA,650.5608333333333,1.0149154966198648,NA,1.0149154966198648,1
AU-TTE,30,323.7930333333333,249,NA,323.7930333333333,1.300373627844712,NA,1.300373627844712,elsewhere
AU-Tum,30,1129.0455333333334,1449,NA,1129.0455333333334,0.7791894639981597,NA,0.7791894639981597,elsewhere
AU-Wac,30,2962.6132,1276,NA,2962.6132,2.3217971786833855,NA,2.3217971786833855,elsewhere
AU-Wel,30,751.6952,652,NA,751.6952,1.1529067484662576,NA,1.1529067484662576,elsewhere
AU-Wgt,30,582.3777666666666,908,NA,582.3777666666666,0.6413852055800293,NA,0.6413852055800293,elsewhere
AU-Whr,30,307.9933666666667,581,NA,307.9933666666667,0.5301090648307516,NA,0.5301090648307516,elsewhere
AU-Wom,30,852.7281,1070,NA,852.7281,0.7969421495327104,NA,0.7969421495327104,elsewhere
AU-Wrr,30,1179.5359666666666,1555,NA,1179.5359666666666,0.758544030010718,NA,0.758544030010718,elsewhere
AU-Ya1,30,742.3492666666666,843,NA,742.3492666666666,0.8806041122973507,NA,0.8806041122973507,1
AU-Ya2,30,790.8596666666667,847,NA,790.8596666666667,0.9337186147186148,NA,0.9337186147186148,1
AU-Ync,30,503.6259,435,NA,503.6259,1.1577606896551724,NA,1.1577606896551724,elsewhere
BE-Bra,30,811.3813666666666,808,920.7,811.3813666666666,1.0041848597359735,0.8812657398356322,0.9427252997858029,1
BE-Dor,30,643.6931333333333,849,827.9,643.6931333333333,0.7581780133490381,0.7775010669565567,0.7678395401527974,elsewhere
BE-Lcr,30,696.4490666666667,782,861.3,696.4490666666667,0.8905998294970162,0.808602190487248,0.8496010099921321,elsewhere
BE-Lon,30,675.7650333333333,800,742.6,675.7650333333333,0.8447062916666667,0.9099986982673489,0.8773524949670077,1
BE-Maa,30,704.4602333333333,757,839.1,697.2788666666667,0.9305947600176134,0.8395426448973106,0.8850687024574619,1
BE-Vie,30,918.7797333333333,1103,915.6,918.7797333333332,0.8329825324871563,1.0034728411242173,0.9182276868056868,1
BJ-Bfg,30,1396.9521,1173,1200,1396.9521,1.1909225063938618,1.1641267499999999,1.177524628196931,elsewhere
BJ-Db1,30,1404.9051333333332,1194,1440,1404.9051333333332,1.176637465103294,0.9756285648148147,1.0761330149590544,1
BJ-Nhu,30,1349.8548666666666,1205,1190,1349.8548666666666,1.1202115076071921,1.1343318207282913,1.1272716641677416,1
BR-CST,30,661.4289333333334,745,642,661.4289333333334,0.887824071588367,1.0302631360332295,0.9590436038107982,1
BR-ITA,30,2457.0402,1279,1447,2457.0402,1.9210634870992962,1.698023635107118,1.8095435611032071,elsewhere
BR-Ji3,30,6879.8211,2083,NA,6879.8211,3.30284258281325,NA,3.30284258281325,elsewhere
BR-Ma2,30,2495.3513666666668,2352,2252,2495.3513666666668,1.0609487103174604,1.1080601095322677,1.0845044099248642,1
BR-Ma3,30,2134.5123,2395,2792,2134.5123,0.8912368684759916,0.7645101361031518,0.8278735022895717,elsewhere
BR-Npw,30,1433.2037,1320,1486,1433.2037,1.085760378787879,0.9644708613728129,1.025115620080346,1
BR-SM1,30,5637.838066666666,1473,1700,5637.838066666666,3.8274528626386055,3.3163753333333332,3.571914097985969,4
BR-Sa1,30,2009.1521666666667,1868,2074.79,2009.1521666666667,1.0755632583868666,0.968364107532168,1.0219636829595173,1
BR-Sa3,30,1457.5392666666667,1852,2043.77,1457.539266666667,0.7870082433405328,0.7131620811865653,0.750085162263549,elsewhere
BR-Xpw,30,1431.8699666666666,1341,1490,1431.8699666666666,1.0677628386776037,0.9609865548098434,1.0143746967437235,1
BW-Gum,30,2356.7997666666665,462,NA,2356.7997666666665,5.101298196248196,NA,5.101298196248196,elsewhere
