site_id,n_years,map_a,map_b,map_c,bio12_mm,n_years_pf,pf_obs_mm,ratio_a_bio12,ratio_b_bio12,ratio_c_bio12,ratio_a_pf,ratio_b_pf,ratio_c_pf,excluded,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name
CH-Fru,30,1503.4292,49.3372,1501.701025,1398,16,1400.340125,1.0754143061516452,0.035291273247496424,1.0741781294706725,1.0736171685432496,0.03523229758198924,1.0723830576517974,FALSE,ICOS,EUF,v1.3,EUF_CH-Fru_FLUXNET_2005-2024_v1.3_r1.zip
CH-Lae,30,883.6265666666667,28.969466666666666,881.7581416666667,1160,17,840.2898235294117,0.761747040229885,0.02497367816091954,0.7601363290229886,1.051573566552586,0.03447556528173601,1.04935001826284,FALSE,ICOS,EUF,v1.3,EUF_CH-Lae_FLUXNET_2004-2024_v1.3_r1.zip
CH-Oe1,30,1175.8516666666667,38.5548,1173.511725,1126,10,1146.1085,1.0442732386027236,0.0342404973357016,1.0421951376554175,1.025951440606772,0.03363974702220601,1.0239097999883955,FALSE,ICOS,EUF,v1.3,EUF_CH-Oe1_FLUXNET_2002-2011_v1.3_r1.zip
CH-Oe2,30,1148.4836666666667,37.65743333333333,1146.1981270833332,1126,17,1128.2949411764705,1.0199677323860272,0.033443546477205446,1.0179379458999407,1.0178931277216803,0.0333755226218315,1.0158674698019963,FALSE,ICOS,EUF,v1.3,EUF_CH-Oe2_FLUXNET_2004-2024_v1.3_r1.zip
CH-Oe3,30,1160.5129666666667,38.05186666666667,1158.2036916666666,1126,10,1131.1609,1.0306509473060983,0.03379384251036116,1.0286000814091179,1.0259486220454284,0.033639658749402196,1.0239071131849293,FALSE,ICOS,EUF,v1.3,EUF_CH-Oe3_FLUXNET_2002-2011_v1.3_r2.zip
CH-Rh1,30,1677.0118333333332,55.00966666666667,1674.3567291666666,1351,3,1442.6893333333333,1.241311497656057,0.04071773994571922,1.2393462095978287,1.1624206227813427,0.038129946202323996,1.1605802375332366,FALSE,ICOS,EUF,v1.3,EUF_CH-Rh1_FLUXNET_2018-2021_v1.3_r1.zip
CH-Rh2,30,1677.0118333333332,55.00966666666667,1674.3567291666666,1351,3,1442.6893333333333,1.241311497656057,0.04071773994571922,1.2393462095978287,1.1624206227813427,0.038129946202323996,1.1605802375332366,FALSE,ICOS,EUF,v1.3,EUF_CH-Rh2_FLUXNET_2018-2021_v1.3_r1.zip
CH-Rtb,30,1436.3975666666668,47.127233333333336,1434.4351645833333,1275,12,1402.2583333333334,1.1265863267973857,0.03696253594771242,1.1250471879084967,1.02434589442031,0.0336080964634429,1.0229464361060432,FALSE,ICOS,EUF,v1.3,EUF_CH-Rtb_FLUXNET_2009-2022_v1.3_r1.zip
CH-Tnk,30,1168.7216333333333,38.344966666666664,1167.1249229166667,1094,NA,NA,1.0683013101767216,0.03505024375380865,1.066841794256551,NA,NA,NA,FALSE,ICOS,EUF,v1.3,EUF_CH-Tnk_FLUXNET_2024-2024_v1.3_r1.zip
CL-ACF,30,3172.8040666666666,103.88393333333333,3161.967220833333,1914,3,2939.143666666667,1.6576823754789272,0.0542758272378962,1.6520204915534655,1.0794994823322122,0.03534496612448682,1.0758124064140677,FALSE,AmeriFlux,AMF,v1.3,AMF_CL-ACF_FLUXNET_2018-2020_v1.3_r1.zip
CL-SDF,30,1506.9242333333334,49.35516666666667,1502.2478854166666,2409,7,1452.8217142857143,0.6255393247543932,0.020487823439878237,0.6235981259512937,1.0372396134471453,0.03397193625436163,1.034020809742132,FALSE,AmeriFlux,AMF,v1.3,AMF_CL-SDF_FLUXNET_2014-2021_v1.3_r1.zip
CL-SDP,30,1421.9918333333333,46.573433333333334,1417.5788770833333,2354,7,1404.1888571428572,0.6040746955536674,0.019784806003964883,0.6022000327456811,1.0126784770438217,0.03316749958271113,1.00953576854877,FALSE,AmeriFlux,AMF,v1.3,AMF_CL-SDP_FLUXNET_2014-2021_v1.3_r1.zip
CN-Aro,30,2471.6720666666665,80.88116666666667,2461.820510416667,411,8,2525.904125,6.013800648824006,0.19679115977291162,5.989830925587997,0.9785296449708544,0.03202067959197251,0.9746294350806631,FALSE,ICOS,CNF,v1.3,CNF_CN-Aro_FLUXNET_2013-2024_v1.3_r2.zip
CN-Ash,30,1466.8425666666667,47.9574,1459.7033625,988,11,1315.6496363636363,1.4846584682861,0.04853987854251012,1.4774325531376518,1.1149188401867514,0.03645149793264938,1.1094924683250156,FALSE,ICOS,CNF,v1.3,CNF_CN-Ash_FLUXNET_2009-2019_v1.3_r2.zip
CN-BeO,30,532.4038666666667,17.370033333333332,528.7003895833334,546,9,499.1622222222222,0.9750986568986569,0.03181324786324786,0.968315731837607,1.066594872297138,0.03479837327433077,1.0591754865374428,FALSE,ICOS,CNF,v1.3,CNF_CN-BeO_FLUXNET_2012-2020_v1.3_r2.zip
CN-DaW,30,311.1937,10.180633333333333,309.87302708333334,419,9,308.13255555555554,0.7427057279236277,0.02429745425616547,0.7395537639220366,1.0099345050993567,0.03303978482565043,1.005648450630735,FALSE,ICOS,CNF,v1.3,CNF_CN-DaW_FLUXNET_2011-2019_v1.3_r1.zip
CN-Dan,30,372.06173333333334,12.171933333333333,370.48322083333335,419,10,398.4488,0.8879754972155927,0.029049960222752587,0.8842081642800319,0.9337755147796488,0.030548299639334673,0.9298138702722492,FALSE,ICOS,CNF,v1.3,CNF_CN-Dan_FLUXNET_2011-2020_v1.3_r1.zip
CN-Dda,30,1158.7745666666667,37.8738,1152.7837875,261,4,1010.1945,4.439749297573436,0.14511034482758622,4.416796120689655,1.1470806529501663,0.03749159196570562,1.1411503304561648,FALSE,ICOS,CNF,v1.3,CNF_CN-Dda_FLUXNET_2011-2014_v1.3_r1.zip
CN-Din,30,1502.0699,49.25703333333333,1499.2609520833332,1835,11,1603.9835454545455,0.8185667029972752,0.026843069936421434,0.8170359411898274,0.9364621627551268,0.03070918867772712,0.9347109303783192,FALSE,ICOS,CNF,v1.3,CNF_CN-Din_FLUXNET_2010-2020_v1.3_r2.zip
CN-Dmn,30,1534.9443999999999,50.2207,1528.59255625,222,9,1480.4795555555556,6.914163963963963,0.22621936936936937,6.88555205518018,1.036788650164106,0.03392191389036405,1.0324982540379557,FALSE,ICOS,CNF,v1.3,CNF_CN-Dmn_FLUXNET_2012-2024_v1.3_r1.zip
CN-Dsh,30,2499.1318333333334,81.7073,2486.96594375,345,8,2637.797625,7.24386038647343,0.23683275362318842,7.208596938405797,0.9474312243090799,0.03097557569451523,0.9428190852018072,FALSE,ICOS,CNF,v1.3,CNF_CN-Dsh_FLUXNET_2013-2024_v1.3_r1.zip
CN-Du2,30,476.4095,15.584566666666667,474.35524791666666,399,9,474.7766666666667,1.1940087719298245,0.039059064327485384,1.1888602704678362,1.0034391608686188,0.03282504756622412,0.9991123852969466,FALSE,ICOS,CNF,v1.3,CNF_CN-Du2_FLUXNET_2011-2019_v1.3_r1.zip
CN-Dzo,30,1668.2482666666667,54.5349,1659.90601875,1647,11,1913.6643636363635,1.0129011940902652,0.033111657559198544,1.0078360769581056,0.8717559350358833,0.028497630533481984,0.8673966293628578,FALSE,ICOS,CNF,v1.3,CNF_CN-Dzo_FLUXNET_2010-2020_v1.3_r1.zip
CN-Erg,30,357.0635666666667,11.664633333333333,355.0422770833333,360,4,303.39300000000003,0.9918432407407408,0.032401759259259255,0.9862285474537037,1.1769011370290898,0.038447272459593104,1.1702388554888652,FALSE,ICOS,CNF,v1.3,CNF_CN-Erg_FLUXNET_2016-2019_v1.3_r1.zip
CN-GuT,30,52.5306,1.7202333333333333,52.359602083333336,568,3,549.5566666666666,0.09248345070422535,0.003028579812206573,0.09218239803403756,0.09558723091946843,0.003130220116821438,0.09527607480575252,FALSE,ICOS,CNF,v1.3,CNF_CN-GuT_FLUXNET_2015-2017_v1.3_r1.zip
CN-Ha2,30,457.11086666666665,14.963466666666667,455.45051666666666,468,9,564.4713333333333,0.976732621082621,0.031973219373219376,0.9731848646723646,0.8098035093603809,0.026508815918611754,0.8068620845227452,FALSE,ICOS,CNF,v1.3,CNF_CN-Ha2_FLUXNET_2011-2019_v1.3_r2.zip
CN-HaM,30,3057.3432333333335,100.08176666666667,3046.2387729166667,468,14,3047.5010714285713,6.532784686609687,0.21384992877492878,6.509057207086895,1.0032295843952397,0.03284060097795192,0.9995857922664116,FALSE,ICOS,JPF,v1.3,JPF_CN-HaM_FLUXNET_2001-2014_v1.3_r1.zip
CN-HaW,30,470.30376666666666,15.395333333333333,468.59545833333334,468,8,474.208625,1.0049225783475784,0.03289601139601139,1.001272346866097,0.9917655265478705,0.03246531699699332,0.9881630860959844,FALSE,ICOS,CNF,v1.3,CNF_CN-HaW_FLUXNET_2011-2018_v1.3_r1.zip
CN-HeD,30,151.21866666666665,4.936566666666667,150.25674791666665,34,2,118.21549999999999,4.447607843137255,0.14519313725490196,4.419316115196078,1.2791779983730278,0.04175904738944273,1.271041004916163,FALSE,ICOS,CNF,v1.3,CNF_CN-HeD_FLUXNET_2019-2024_v1.3_r1.zip
CN-HeM,30,152.75446666666667,4.988933333333334,151.85065833333334,41,8,142.97175,3.725718699186992,0.12168130081300814,3.703674593495935,1.0684241234136582,0.03489453918926875,1.0621025365733676,FALSE,ICOS,CNF,v1.3,CNF_CN-HeM_FLUXNET_2013-2024_v1.3_r1.zip
CN-Huz,30,1534.9443999999999,50.2207,1528.59255625,260,6,1560.1191666666666,5.903632307692307,0.19315653846153846,5.879202139423077,0.983863561704421,0.03219029742920279,0.9797921780013599,FALSE,ICOS,CNF,v1.3,CNF_CN-Huz_FLUXNET_2015-2024_v1.3_r1.zip
CN-Jng,30,2983.7575666666667,97.62089999999999,2971.33614375,481,3,3073.695,6.2032381843381845,0.20295405405405403,6.17741402027027,0.9707396363876919,0.03176011282837106,0.9666984342135442,FALSE,ICOS,CNF,v1.3,CNF_CN-Jng_FLUXNET_2018-2024_v1.3_r1.zip
CN-Jzh,30,570.5362333333334,18.6116,566.490575,549,6,541.2473333333334,1.0392281117182758,0.03390091074681238,1.0318589708561021,1.0541137077195761,0.03438649736226568,1.0466390134639616,FALSE,ICOS,CNF,v1.3,CNF_CN-Jzh_FLUXNET_2011-2016_v1.3_r2.zip
CN-Lch,30,427.3243,13.934833333333334,424.14148958333334,475,13,413.6646923076923,0.8996301052631579,0.029336491228070177,0.892929451754386,1.0330209658844836,0.03368630098835779,1.0253267863331401,FALSE,ICOS,CNF,v1.3,CNF_CN-Lch_FLUXNET_2008-2020_v1.3_r1.zip
CN-Lsh,30,453.5005,14.8135,450.88590625,587,5,442.6522,0.7725732538330494,0.02523594548551959,0.7681190907155026,1.0245075027301345,0.03346532559874321,1.0186008479117465,FALSE,ICOS,JPF,v1.3,JPF_CN-Lsh_FLUXNET_2002-2006_v1.3_r1.zip
CN-Mxn,30,945.7413,30.950733333333332,942.0629458333333,798,5,834.291,1.1851394736842105,0.03878538011695906,1.1805300073099414,1.133586842001172,0.03709824669489822,1.1291778837759645,FALSE,ICOS,CNF,v1.3,CNF_CN-Mxn_FLUXNET_2015-2019_v1.3_r1.zip
CN-Nmn,30,326.66613333333333,10.660400000000001,324.475925,431,5,339.0538,0.7579260634184068,0.024734106728538284,0.752844373549884,0.963464008760065,0.0314416178199448,0.9570042423945698,FALSE,ICOS,CNF,v1.3,CNF_CN-Nmn_FLUXNET_2015-2019_v1.3_r1.zip
CN-Qng,30,4503.760066666667,147.51546666666667,4490.002016666666,875,NA,NA,5.147154361904762,0.16858910476190475,5.131430876190476,NA,NA,NA,FALSE,ICOS,CNF,v1.3,CNF_CN-Qng_FLUXNET_2022-2024_v1.3_r1.zip
CN-Sb1,30,2080.9931333333334,68.063533333333325,2071.6837958333335,446,1,2111.835,4.665903886397609,0.15260881913303437,4.645030932361735,0.9853957024735992,0.032229569702809796,0.9809875278292733,FALSE,ICOS,FLX,v1.3,FLX_CN-Sb1_FLUXNET_2020-2024_v1.3_r1.zip
CN-Sb2,30,2080.9931333333334,68.063533333333325,2071.6837958333335,460,1,2111.835,4.523898115942029,0.1479642028985507,4.503660425724638,0.9853957024735992,0.032229569702809796,0.9809875278292733,FALSE,ICOS,FLX,v1.3,FLX_CN-Sb2_FLUXNET_2020-2024_v1.3_r1.zip
CN-Sdq,30,152.75446666666667,4.988933333333334,151.85065833333334,41,8,142.97175,3.725718699186992,0.12168130081300814,3.703674593495935,1.0684241234136582,0.03489453918926875,1.0621025365733676,FALSE,ICOS,CNF,v1.3,CNF_CN-Sdq_FLUXNET_2013-2024_v1.3_r1.zip
CN-SnB,30,880.7532666666667,28.938533333333332,880.8166083333333,1021,NA,NA,0.86263787136794,0.02834332353901404,0.8626999102187398,NA,NA,NA,FALSE,ICOS,FLX,v1.3,FLX_CN-SnB_FLUXNET_2021-2021_v1.3_r1.zip
CN-Wnb,30,127.28223333333334,4.1597,126.61086875,127,NA,NA,1.0022223097112861,0.032753543307086616,0.9969359744094488,NA,NA,NA,FALSE,ICOS,CNF,v1.3,CNF_CN-Wnb_FLUXNET_2021-2021_v1.3_r2.zip
CN-Xi2,30,321.5742666666667,10.516066666666667,320.0827791666667,322,10,285.35360000000003,0.9986778467908903,0.03265859213250518,0.9940458980331264,1.1269325730135056,0.0368527562528269,1.1217057684454188,FALSE,ICOS,CNF,v1.3,CNF_CN-Xi2_FLUXNET_2011-2020_v1.3_r1.zip
CN-YaS,30,311.3360666666667,10.182466666666667,309.9288291666667,309,10,299.9664,1.0075600862998921,0.0329529665587918,1.0030059196332255,1.0379031340399014,0.03394535743558834,1.03321181694572,FALSE,ICOS,CNF,v1.3,CNF_CN-YaS_FLUXNET_2011-2020_v1.3_r1.zip
CN-Yan,30,343.61196666666666,11.237233333333332,342.0332895833333,321,3,326.32233333333335,1.0704422637590862,0.03500695742471443,1.0655242666147455,1.0529832977005353,0.034435992224457,1.04814551333191,FALSE,ICOS,CNF,v1.3,CNF_CN-Yan_FLUXNET_2016-2018_v1.3_r1.zip
CN-You,30,2649.448966666667,86.68886666666667,2638.592379166667,452,6,2721.2256666666667,5.861612758112095,0.19178952802359883,5.837593759218289,0.9736233929882332,0.03185655189444658,0.969633798287218,FALSE,ICOS,CNF,v1.3,CNF_CN-You_FLUXNET_2015-2024_v1.3_r1.zip
CN-Yuc,30,545.4328,17.796633333333332,541.6850270833334,607,10,473.12489999999997,0.8985713344316311,0.029319000549148818,0.8923970792147172,1.1528304682336525,0.03761508500891273,1.1449091499587813,FALSE,ICOS,CNF,v1.3,CNF_CN-Yuc_FLUXNET_2011-2020_v1.3_r2.zip
CN-Zha,30,631.1700666666667,20.624166666666667,627.7480729166666,188,9,597.2614444444445,3.3572875886524822,0.10970301418439717,3.3390854942375885,1.0567734993404154,0.03453122055425941,1.0510440256202707,FALSE,ICOS,CNF,v1.3,CNF_CN-Zha_FLUXNET_2012-2024_v1.3_r1.zip
