site_id,mat_era5,bio1_c,badm_mat_c,diff_bio1,diff_badm
IE-Gwr,11.100744444444445,10.350166320800781,9.9,0.7505781236436633,1.2007444444444442
IT-Arz,13.800997222222222,12.325333595275879,12.3,1.4756636269463428,1.500997222222221
JP-BBY,6.7230083333333335,7.184000015258789,7.2,-0.4609916819254556,-0.4769916666666667
JP-Fmt,14.409633333333334,14.649499893188477,14.7,-0.23986655985514282,-0.29036666666666555
JP-Hc2,13.929411111111111,15.008333206176758,16.2,-1.0789220950656464,-2.270588888888888
JP-Hc3,15.698969444444444,15.023263931274414,16.2,0.6757055131700298,-0.5010305555555554
JP-Kzw,6.950086111111111,7.257166862487793,7.9,-0.3070807513766818,-0.9499138888888892
JP-MBF,3.901186111111111,4.020999908447266,NA,-0.1198137973361546,NA
JP-Mse,13.797794444444445,14.178333282470703,13.7,-0.38053883802625776,0.09779444444444607
JP-Nkm,-0.4741833333333333,4.653833389282227,NA,-5.12801672261556,NA
JP-Om2,16.049341666666667,16.378332138061523,15.6,-0.3289904713948566,0.4493416666666672
JP-Sb1,6.554413888888889,6.082000255584717,6.1,0.4724136333041722,0.45441388888888934
JP-Sb2,5.334708333333333,6.082000255584717,6.1,-0.7472919222513834,-0.7652916666666663
JP-Shn,11.126677777777777,11.020999908447266,10.7,0.1056778693305116,0.42667777777777793
JP-Tak,6.605205555555556,7.130833148956299,6.7,-0.5256275934007428,-0.09479444444444418
JP-Tkb,12.891066666666667,13.037833213806152,12.9,-0.14676654713948523,-0.008933333333333238
JP-Tmd,6.450086111111111,6.387499809265137,8.1,0.06258630184597447,-1.6499138888888885
JP-Tmk,7.1682805555555555,6.387499809265137,6.2,0.7807807462904188,0.9682805555555554
JP-Toc,7.298130555555556,6.4670000076293945,7,0.8311305479261613,0.2981305555555558
JP-Yms,14.895058333333333,14.484833717346191,14.7,0.41022461598714166,0.19505833333333378
KH-Kmp,26.712680555555554,26.528499603271484,26.8,0.18418095228406983,-0.0873194444444465
KR-Hnm,13.9421,13.831666946411133,13.5,0.11043305358886712,0.44209999999999994
KR-Nj1,13.930647222222222,13.382499694824219,13.6,0.5481475273980028,0.33064722222222187
KR-Nj2,13.900027777777778,13.382499694824219,13.6,0.5175280829535591,0.3000277777777782
KR-TwB,11.800319444444444,10.447333335876465,11.4,1.352986108567979,0.40031944444444356
KR-TwC,11.18556388888889,10.447333335876465,11.4,0.7382305530124249,-0.2144361111111106
NO-And,4.186694444444444,3.7373106479644775,3.6,0.4493837964799665,0.586694444444444
PE-QFR,25.546119444444443,26.167667388916016,NA,-0.6215479444715726,NA
RU-Ege,-6.792805555555556,-9.112833023071289,-8.3,2.3200274675157333,1.507194444444445
RU-NeB,-10.550066666666666,-10.406333923339844,-8,-0.1437327433268223,-2.550066666666666
RU-NeC,-9.078041666666667,-10.41450023651123,-8,1.336458569844563,-1.0780416666666675
RU-NeF,-7.600122222222222,-10.406333923339844,-8,2.806211701117622,0.3998777777777782
RU-Sk2,-8.42811388888889,-10.136667251586914,NA,1.7085533626980247,NA
RU-SkP,-5.661133333333333,-10.2073335647583,NA,4.546200231424968,NA
SE-Trb,2.7544583333333335,1.9298332929611206,3,0.8246250403722128,-0.24554166666666655
US-A03,-9.606255555555556,-11.639130592346191,-11.2,2.032875036790635,1.593744444444443
US-A10,-9.903658333333333,-11.972222328186035,-11.2,2.0685639948527026,1.2963416666666667
US-BRG,11.874836111111112,11.516833305358887,11.8,0.3580028057522249,0.07483611111111088
US-CS2,7.142080555555555,6.723499774932861,7,0.418580780622694,0.14208055555555532
US-DFK,7.687002777777778,7.320833206176758,7.65,0.36616957160102004,0.037002777777777496
US-DS1,15.002097222222222,15.47599983215332,16,-0.47390260993109834,-0.997902777777778
US-DS2,15.0671,15.47599983215332,16,-0.4088998321533204,-0.9329000000000001
US-HBK,6.330955555555556,5.324666500091553,6,1.006289055464003,0.33095555555555567
US-HVs,-8.839355555555555,-10.059333801269531,-10.29,1.2199782457139765,1.4506444444444444
US-IAB,8.586252777777778,8.942333221435547,10.6,-0.3560804436577687,-2.0137472222222215
US-IAC,7.216341666666667,8.972833633422852,10.6,-1.756491966756185,-3.383658333333333
US-IAM,8.785916666666667,8.972833633422852,10.6,-0.18691696675618452,-1.8140833333333326
US-MBP,3.794513888888889,3.5939998626708984,3.4,0.20051402621799053,0.39451388888888905
US-Me7,7.20565,6.498833656311035,6.28,0.7068163436889652,0.9256500000000001
US-NGB,-10.81478888888889,-11.990333557128906,-11.27,1.1755446682400166,0.4552111111111099
US-NR3,-1.1204305555555556,-0.3843332827091217,-2.2,-0.7360972728464339,1.0795694444444446
US-Ne1,10.271655555555556,10.274833679199219,10.07,-0.003178123643662545,0.20165555555555592
US-Ne2,10.224427777777779,10.274833679199219,10.08,-0.05040590142144019,0.1444277777777785
US-Ne3,10.430422222222223,10.188833236694336,10.11,0.241588985527887,0.3204222222222235
US-PAS,21.365702777777777,22.416500091552734,22.3,-1.0507973137749573,-0.9342972222222237
US-PFL,5.455783333333334,4.437999725341797,4.33,1.0177836079915368,1.1257833333333336
US-PFb,5.958808333333333,4.381333351135254,4.33,1.577474982198079,1.6288083333333327
US-PFc,5.0382444444444445,4.381333351135254,4.33,0.6569110933091906,0.7082444444444445
US-PFd,4.147786111111111,4.381333351135254,4.33,-0.2335472400241425,-0.18221388888888868
US-PFf,4.581841666666667,4.437999725341797,4.33,0.14384194132486972,0.2518416666666665
US-PFg,5.503886111111111,4.336999893188477,4.33,1.1668862179226345,1.173886111111111
US-PFh,5.657277777777778,4.363999843597412,4.33,1.2932779341803657,1.3272777777777778
US-PFi,5.545772222222222,4.306333065032959,4.33,1.2394391571892633,1.2157722222222223
US-PFj,5.471522222222222,4.306333065032959,4.33,1.1651891571892632,1.141522222222222
US-PFk,5.489302777777778,4.511333465576172,4.33,0.9779693122016058,1.1593027777777776
US-PFm,5.6579500000000005,4.437999725341797,4.33,1.2199502746582036,1.3279500000000004
US-PFn,5.356736111111111,4.393666744232178,4.33,0.9630693668789334,1.026736111111111
US-PFp,5.006555555555556,4.393666744232178,4.33,0.6128888113233781,0.6765555555555558
