site_id,data_hub,product_source_network,oneflux_code_version,status,factor_estimate,factor_applied,map_era5_uncorrected,map_era5_corrected,bio12_mm,badm_map_mm,was_in_original_26
US-PFd,AmeriFlux,AMF,v1.3,systematic_cluster,3.829036062225883,4,3162.7420666666667,790.6855166666667,829,823,FALSE
US-PFi,AmeriFlux,AMF,v1.3,systematic_cluster,3.8175998237618898,4,3162.7420666666667,790.6855166666667,834,823,FALSE
US-PFj,AmeriFlux,AMF,v1.3,systematic_cluster,3.8175998237618898,4,3162.7420666666667,790.6855166666667,834,823,FALSE
CA-Cbo,AmeriFlux,AMF,v1.3,systematic_cluster,3.808156041919075,4,3332.7779666666665,833.1944916666666,874,876.34,FALSE
DE-Etn,ICOS,EUF,v1.3,systematic_cluster,3.804830843870505,4,4270.398866666666,1067.5997166666666,1062,1190,FALSE
PE-QFR,AmeriFlux,AMF,v1.3,systematic_cluster,3.804746777572397,4,10291.840033333334,2572.9600083333335,2705,NA,TRUE
US-Syv,AmeriFlux,AMF,v1.3,systematic_cluster,3.800691104156771,4,3158.2599666666665,789.5649916666666,836,826,FALSE
EE-Rng,ICOS,EUF,v1.3,systematic_cluster,3.7961758300778663,4,697.6556666666667,174.41391666666667,647,107.1,FALSE
JP-Tkb,ICOS,JPF,v1.3,systematic_cluster,3.79552634229063,4,5411.865833333333,1352.9664583333333,1353,1507,TRUE
JP-Fmt,ICOS,JPF,v1.3,systematic_cluster,3.766590564471967,4,5939.7142,1484.92855,1516,1643,TRUE
JP-Tmd,ICOS,JPF,v1.3,systematic_cluster,3.755467162424554,4,4656.8277,1164.206925,1206,1276,FALSE
US-DS2,AmeriFlux,AMF,v1.3,systematic_cluster,3.753508615992693,4,1542.8013666666666,385.70034166666665,392,432,FALSE
US-UiA,AmeriFlux,AMF,v1.3,systematic_cluster,3.7162463688816185,4,3837.7169,959.429225,1015,1051,FALSE
US-UiB,AmeriFlux,AMF,v1.3,systematic_cluster,3.7162463688816185,4,3837.7169,959.429225,1015,1051,FALSE
US-UiC,AmeriFlux,AMF,v1.3,systematic_cluster,3.7162463688816185,4,3837.7169,959.429225,1015,1051,FALSE
US-UiD,AmeriFlux,AMF,v1.3,systematic_cluster,3.7162463688816185,4,3837.7169,959.429225,1015,1051,FALSE
US-Rls,AmeriFlux,AMF,v1.3,systematic_cluster,3.7021538754754753,4,1305.950466666667,326.4876166666667,375,333,FALSE
US-NR3,AmeriFlux,AMF,v1.3,systematic_cluster,3.69437149337757,4,2853.9561,713.489025,686,884,FALSE
US-BRG,AmeriFlux,AMF,v1.3,systematic_cluster,3.672021882101843,4,4220.8321,1055.208025,1103,1200,FALSE
IE-Cra,ICOS,ICOS,v1.3,systematic_cluster,3.660627822445043,4,3474.463133333333,868.6157833333333,1026,883,FALSE
ES-MtB,ICOS,EUF,v1.3,systematic_cluster,3.652136242131486,4,1910.7018333333333,477.6754583333333,500,548.6,FALSE
ES-Dnn,ICOS,EUF,v1.3,systematic_cluster,3.633218402197493,4,1910.7018333333333,477.6754583333333,505,548.6,FALSE
US-UTW,AmeriFlux,AMF,v1.3,systematic_cluster,3.630884738658393,4,822.7638333333333,205.69095833333333,228,225.22,FALSE
US-WT1,AmeriFlux,AMF,v1.3,systematic_cluster,3.6258325887411864,4,1763.8166333333334,440.95415833333334,491,482,FALSE
ES-MtN,ICOS,EUF,v1.3,systematic_cluster,3.6257557434464105,4,1910.7018333333333,477.6754583333333,507,548.6,FALSE
ES-FtD,ICOS,EUF,v1.3,systematic_cluster,3.6110056742906513,4,1910.7018333333333,477.6754583333333,511,548.6,FALSE
IE-Gwr,ICOS,EUF,v1.3,systematic_cluster,3.5986574199050914,4,3274.024,818.506,969,857.4,FALSE
BR-SM1,AmeriFlux,AMF,v1.3,systematic_cluster,3.571914097985969,4,5637.838066666666,1409.4595166666666,1473,1700,TRUE
US-HBK,AmeriFlux,AMF,v1.3,systematic_cluster,3.545987543650793,4,4481.9504,1120.4876,1152,1400,FALSE
KR-Hnm,ICOS,KOF,v1.3,systematic_cluster,3.5047542687759536,4,4536.481366666667,1134.1203416666667,1307,1282,FALSE
US-PAS,AmeriFlux,AMF,v1.3,systematic_cluster,3.4808710152021014,4,4443.1348333333335,1110.7837083333334,1285,1268,FALSE
JP-BBY,ICOS,JPF,v1.3,systematic_cluster,3.449559948056309,4,4008.198666666666,1002.0496666666666,1154,1170,FALSE
KR-TwB,ICOS,KOF,v1.3,systematic_cluster,3.443407368390335,4,4529.786033333333,1132.4465083333332,1318,1313,FALSE
KR-TwC,ICOS,KOF,v1.3,systematic_cluster,3.443407368390335,4,4529.786033333333,1132.4465083333332,1318,1313,FALSE
KR-Nj1,ICOS,KOF,v1.3,systematic_cluster,3.442517583769316,4,4503.488766666666,1125.8721916666666,1306,1310.4,FALSE
KR-Nj2,ICOS,KOF,v1.3,systematic_cluster,3.442517583769316,4,4503.488766666666,1125.8721916666666,1306,1310.4,FALSE
AR-CCa,AmeriFlux,AMF,v1.3,systematic_cluster,3.4227684142046932,4,3554.8036,888.7009,1018,1060,FALSE
US-PLo,AmeriFlux,AMF,v1.3,systematic_cluster,3.4076644448870685,4,4001.626133333333,1000.4065333333333,1098,1262,FALSE
