site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id
AU-Rob,30,1752.6281999999999,8,1976.09675,7,5.566285714285715,2026.0405714285716,96,7,0.9270833333333334,2634,NA,FALSE,0.6653865603644646,0.8869141655134041,0.8650508902515277,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Rob_FLUXNET_2013-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/4911-j064
AU-Sam,30,1000.4260666666667,8,1151.173,5,3.4124,1229.9712,96,5,0.9479166666666666,1233,NA,FALSE,0.8113755609624222,0.8690492798794505,0.8133735705898372,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Sam_FLUXNET_2010-2017_v1.3_r1.zip,https://dx.doi.org/10.25901/z48h-ng94
AU-Sil,30,683.9892,2,702.1735,11,1.6986363636363637,618.1003636363636,24,11,0.5416666666666667,827,NA,FALSE,0.8270727932285369,0.9741028392555401,1.10659892832938,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Sil_FLUXNET_2019-2024_v1.3_r1.zip,https://dx.doi.org/10.25901/z5rr-ww68
AU-Sno,30,1341.243,NA,NA,NA,NA,NA,NA,NA,NA,1664,NA,FALSE,0.8060354567307692,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Sno_FLUXNET_2024-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/a5wv-9416
AU-Stp,30,650.5608333333333,13,645.8474615384615,13,1.0086923076923078,355.06984615384613,156,13,0.9166666666666666,641,NA,FALSE,1.0149154966198648,1.0072979644197164,1.8322052418144672,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Stp_FLUXNET_2008-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/exc5-x691
AU-TTE,30,323.7930333333333,9,288.115,16,0.848875,310.20525000000004,108,16,0.8518518518518519,249,NA,FALSE,1.300373627844712,1.1238326131348013,1.0438025576076913,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-TTE_FLUXNET_2012-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/6sr7-ap81
AU-Tum,30,1129.0455333333334,19,1059.402,12,3.681166666666667,1344.215,228,12,0.9473684210526316,1449,NA,FALSE,0.7791894639981597,1.0657385329962878,0.8399292771865613,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Tum_FLUXNET_2002-2022_v1.3_r1.zip,https://dx.doi.org/10.25901/w7jx-at32
AU-Wac,30,2962.6132,4,2465.6575000000003,48,6.75275,2465.6575,48,48,0,1276,NA,FALSE,2.3217971786833855,1.201550985893215,1.2015509858932152,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Wac_FLUXNET_2005-2008_v1.3_r1.zip,https://dx.doi.org/10.25901/1ky7-6f15
AU-Wel,30,751.6952,NA,NA,NA,NA,NA,NA,NA,NA,652,NA,FALSE,1.1529067484662576,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Wel_FLUXNET_2024-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/jztk-0d69
AU-Wgt,30,582.3777666666666,NA,NA,NA,NA,NA,NA,NA,NA,908,NA,FALSE,0.6413852055800293,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Wgt_FLUXNET_2024-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/71r0-0836
AU-Whr,30,307.9933666666667,10,301.31030000000004,51,0.9328235294117647,340.36470588235295,120,51,0.575,581,NA,FALSE,0.5301090648307516,1.0221800139811572,0.9048921975274504,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Whr_FLUXNET_2011-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/8smh-v474
AU-Wom,30,852.7281,11,892.1642727272728,4,2.443,872.085,132,4,0.9696969696969697,1070,NA,FALSE,0.7969421495327104,0.9557971845176902,0.9778038837957309,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Wom_FLUXNET_2010-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/gw8s-7a26
AU-Wrr,30,1179.5359666666666,8,1204.2095,13,2.7724615384615383,1006.8784615384616,96,13,0.8645833333333334,1555,NA,FALSE,0.758544030010718,0.9795105973393057,1.1714780002984597,NA,FALSE,FALSE,TERN,TERN,v1.3,TERN_AU-Wrr_FLUXNET_2013-2021_v1.3_r1.zip,https://dx.doi.org/10.25901/t3x2-b871
AU-Ya1,30,742.3492666666666,NA,NA,NA,NA,NA,NA,NA,NA,843,NA,FALSE,0.8806041122973507,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Ya1_FLUXNET_2023-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/ramf-vb64
AU-Ya2,30,790.8596666666667,NA,NA,NA,NA,NA,NA,NA,NA,847,NA,FALSE,0.9337186147186148,NA,NA,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Ya2_FLUXNET_2023-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/5wpr-vr80
