site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
AU-DaP,WS,1,0.08,0.34,0.59
AU-DaP,P,1,-9999,-9999,-9999
AU-DaP,SW_IN,1,13.8,49.13,0.9
AU-DaP,LW_IN,1,0,5.36,0.93
AU-DaP,LW_IN_JSB,1,0,9.2,0.9
AU-DaS,TA,1,0,0.93,0.95
AU-DaS,PA,1,0,0.09,0.92
AU-DaS,VPD,1,0,2.96,0.92
AU-DaS,WS,1,0.12,0.55,0.54
AU-DaS,P,1,-9999,-9999,-9999
AU-DaS,SW_IN,1,11.41,82.21,0.92
AU-DaS,LW_IN,1,-0,8.88,0.93
AU-DaS,LW_IN_JSB,1,-0.01,17.6,0.85
AU-Dry,TA,1,0,0.93,0.95
AU-Dry,PA,1,-0,0.14,0.78
AU-Dry,VPD,1,0,2.55,0.93
AU-Dry,WS,1,0.08,0.35,0.57
AU-Dry,P,1,-9999,-9999,-9999
AU-Dry,SW_IN,1,13.75,77.99,0.91
AU-Dry,LW_IN,1,0.01,8.09,0.94
AU-Dry,LW_IN_JSB,1,-0.01,14.35,0.9
AU-Emr,TA,1,-0,0.41,0.97
AU-Emr,PA,1,0,0.02,0.98
AU-Emr,VPD,1,-0,0.9,0.94
AU-Emr,WS,1,0.08,0.29,0.62
AU-Emr,P,1,-9999,-9999,-9999
AU-Emr,SW_IN,1,11.83,30.03,0.92
AU-Emr,LW_IN,1,0,3.56,0.94
AU-Emr,LW_IN_JSB,1,0.01,5.69,0.9
AU-Fle,TA,1,-0,0.58,0.93
AU-Fle,PA,1,0,0.1,0.67
AU-Fle,VPD,1,0,1.09,0.92
AU-Fle,WS,1,0.09,0.33,0.52
AU-Fle,P,1,-9999,-9999,-9999
AU-Fle,SW_IN,1,16.12,40.56,0.91
AU-Fle,LW_IN,1,-0.02,4.58,0.92
AU-Fle,LW_IN_JSB,1,-0,7.52,0.88
AU-Fog,TA,1,0,0.47,0.92
AU-Fog,PA,1,0,0.02,0.98
AU-Fog,VPD,1,0,1.2,0.87
AU-Fog,WS,1,0.12,0.29,0.57
AU-Fog,P,-9999,-9999,-9999,-9999
AU-Fog,SW_IN,1,14.67,36.91,0.89
AU-Fog,LW_IN,1,-0,2.85,0.94
AU-Fog,LW_IN_JSB,1,-0.02,6.73,0.85
AU-GWW,TA,1,-0,0.88,0.97
AU-GWW,PA,1,0,0.13,0.9
AU-GWW,VPD,1,-0,1.77,0.96
AU-GWW,WS,1,0.18,0.83,0.61
AU-GWW,P,1,-9999,-9999,-9999
AU-GWW,SW_IN,1,10.26,64.3,0.93
AU-GWW,LW_IN,1,0.01,8.46,0.92
AU-GWW,LW_IN_JSB,1,-0,12.83,0.87
AU-Gin,TA,1,0,1.35,0.92
AU-Gin,PA,1,0,0.17,0.84
AU-Gin,VPD,1,-0,2.27,0.9
AU-Gin,WS,1,0.09,0.67,0.67
AU-Gin,P,1,-9999,-9999,-9999
AU-Gin,SW_IN,1,9.91,66.49,0.93
AU-Gin,LW_IN,1,-0,10.64,0.84
AU-Gin,LW_IN_JSB,1,-0.01,13.9,0.81
AU-How,TA,1,0,1.4,0.86
AU-How,PA,1,-0,0.29,0.5
AU-How,VPD,1,0,3.08,0.88
AU-How,WS,1,0.12,0.5,0.6
AU-How,P,1,-9999,-9999,-9999
AU-How,SW_IN,1,14.56,108.97,0.88
AU-How,LW_IN,1,0.01,14.17,0.8
AU-How,LW_IN_JSB,1,-0,19.62,0.8
AU-Lit,TA,1,-0,0.7,0.88
AU-Lit,PA,1,-0,0.14,0.56
AU-Lit,VPD,1,0,2.11,0.87
AU-Lit,WS,1,0.26,0.42,0.62
AU-Lit,P,1,-9999,-9999,-9999
AU-Lit,SW_IN,1,7.94,59.3,0.91
AU-Lit,LW_IN,1,0,11.47,0.75
AU-Lit,LW_IN_JSB,1,-0.01,13.6,0.75
AU-Lon,TA,1,0,0.82,0.95
AU-Lon,PA,1,0,0.11,0.78
AU-Lon,VPD,1,0,1.53,0.95
AU-Lon,WS,1,0.06,0.39,0.7
AU-Lon,P,1,-9999,-9999,-9999
AU-Lon,SW_IN,1,15.27,49.57,0.92
AU-Lon,LW_IN,1,-0.03,7.34,0.89
AU-Lon,LW_IN_JSB,1,0.04,9,0.9
AU-Lox,TA,1,-0,0.25,0.96
AU-Lox,PA,1,0,0.01,0.99
AU-Lox,VPD,1,-0,0.46,0.95
AU-Lox,WS,1,0.07,0.1,0.78
AU-Lox,P,1,-9999,-9999,-9999
AU-Lox,SW_IN,1,12.01,16.94,0.92
AU-Lox,LW_IN,1,-0,2.56,0.86
AU-Lox,LW_IN_JSB,1,-0,3.29,0.82
AU-MvA,TA,1,0,0.46,0.94
AU-MvA,PA,1,-0,0.02,0.97
AU-MvA,VPD,1,-0,0.9,0.88
AU-MvA,WS,1,0.15,0.21,0.56
AU-MvA,P,1,-9999,-9999,-9999
AU-MvA,SW_IN,1,35.82,31.35,0.79
AU-MvA,LW_IN,1,0,3.07,0.91
AU-MvA,LW_IN_JSB,1,-0,5.93,0.81
AU-MvB,TA,1,0,0.46,0.93
AU-MvB,PA,1,-0,0.02,0.96
AU-MvB,VPD,1,0,0.81,0.84
AU-MvB,WS,1,0.05,0.16,0.62
AU-MvB,P,1,-9999,-9999,-9999
AU-MvB,SW_IN,1,35.23,28.37,0.79
AU-MvB,LW_IN,1,-0.01,2.75,0.92
AU-MvB,LW_IN_JSB,1,0,5.33,0.83
AU-Otw,TA,1,0,0.74,0.81
AU-Otw,PA,1,-0,0.07,0.95
AU-Otw,VPD,1,-0,1.01,0.63
AU-Otw,WS,1,0.08,0.46,0.75
AU-Otw,P,1,-9999,-9999,-9999
AU-Otw,SW_IN,1.01,57.5,57.25,0.63
AU-Otw,LW_IN,1,0,6.4,0.68
AU-Otw,LW_IN_JSB,1,-0,9.77,0.56
AU-RDF,TA,1,-0,0.3,0.95
AU-RDF,PA,1,0,0.02,0.97
AU-RDF,VPD,1,-0,0.86,0.93
AU-RDF,WS,1,0.12,0.2,0.61
AU-RDF,P,1,-9999,-9999,-9999
AU-RDF,SW_IN,1,10.44,24.98,0.92
AU-RDF,LW_IN,1,0.01,2.62,0.94
AU-RDF,LW_IN_JSB,1,0.01,5.11,0.87
AU-Rgf,TA,1,0,0.94,0.96
AU-Rgf,PA,1,0,2.29,0.17
AU-Rgf,VPD,1,0,1.61,0.94
AU-Rgf,WS,1,0.02,0.5,0.73
AU-Rgf,P,1,-9999,-9999,-9999
AU-Rgf,SW_IN,1,12.11,55.2,0.91
AU-Rgf,LW_IN,1,-0,8.34,0.84
AU-Rgf,LW_IN_JSB,1,-0.09,10.94,0.79
AU-Rig,TA,1,-0,1.12,0.91
AU-Rig,PA,1,-0,0.16,0.87
AU-Rig,VPD,1,-0,1.92,0.86
AU-Rig,WS,1,0.04,0.4,0.7
