site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
CH-Rh2,LW_IN,-9999,-9999,-9999,-9999
CH-Rh2,LW_IN_JSB,1,0,9.33,0.83
CH-Rtb,TA,1,-0,1.34,0.95
CH-Rtb,PA,-9999,-9999,-9999,-9999
CH-Rtb,VPD,1,0.01,1.19,0.84
CH-Rtb,WS,1,0.03,0.41,0.58
CH-Rtb,P,1,-9999,-9999,-9999
CH-Rtb,SW_IN,1,1.41,48.51,0.92
CH-Rtb,LW_IN,1,-0,11.24,0.87
CH-Rtb,LW_IN_JSB,1,0,16.52,0.84
CH-Tnk,TA,1,0,0.23,0.98
CH-Tnk,PA,1,-0,0.01,0.99
CH-Tnk,VPD,1,0,0.23,0.92
CH-Tnk,WS,1,0.08,0.14,0.65
CH-Tnk,P,1,-9999,-9999,-9999
CH-Tnk,SW_IN,1,3.76,14.25,0.89
CH-Tnk,LW_IN,1,-0,3.58,0.78
CH-Tnk,LW_IN_JSB,1,0,3.85,0.86
CL-ACF,TA,1,0,0.56,0.87
CL-ACF,PA,1,-0,0.05,0.92
CL-ACF,VPD,1,0,0.56,0.76
CL-ACF,WS,1,0.27,0.35,0.59
CL-ACF,P,1,-9999,-9999,-9999
CL-ACF,SW_IN,1,7.11,31.28,0.89
CL-ACF,LW_IN,-9999,-9999,-9999,-9999
CL-ACF,LW_IN_JSB,1,0,5.7,0.71
CL-SDF,TA,1,0,0.61,0.9
CL-SDF,PA,1,0,0.09,0.92
CL-SDF,VPD,1,0,0.49,0.81
CL-SDF,WS,1,0.17,0.39,0.73
CL-SDF,P,1,-9999,-9999,-9999
CL-SDF,SW_IN,1,5.32,42.29,0.9
CL-SDF,LW_IN,1,-0,13.44,0.74
CL-SDF,LW_IN_JSB,1,0.01,7.61,0.69
CL-SDP,TA,1,-0,1.35,0.74
CL-SDP,PA,1,0,0.2,0.74
CL-SDP,VPD,1,-0,0.91,0.61
CL-SDP,WS,1,0,0.44,0.58
CL-SDP,P,1,-9999,-9999,-9999
CL-SDP,SW_IN,1,4.78,37.19,0.9
CL-SDP,LW_IN,1,-0.03,12.81,0.64
CL-SDP,LW_IN_JSB,1,0.09,11.23,0.62
CN-Aro,TA,1,0,1.66,0.95
CN-Aro,PA,1,-0,0.1,0.91
CN-Aro,VPD,1,-0,1.04,0.85
CN-Aro,WS,1,0.34,0.75,0.32
CN-Aro,P,-9999,-9999,-9999,-9999
CN-Aro,SW_IN,1,9.83,68.42,0.87
CN-Aro,LW_IN,1,0.01,11.12,0.93
CN-Aro,LW_IN_JSB,1,0,13.61,0.92
CN-Ash,TA,1,0,0.88,0.91
CN-Ash,PA,1,0,0.04,0.9
CN-Ash,VPD,1,-0,0.88,0.83
CN-Ash,WS,1,0.39,0.58,0.48
CN-Ash,P,1,-9999,-9999,-9999
CN-Ash,SW_IN,1,2.53,69.28,0.83
CN-Ash,LW_IN,1,0,11.09,0.86
CN-Ash,LW_IN_JSB,1,-0,11.42,0.84
CN-BeO,TA,1,0,0.81,0.99
CN-BeO,PA,-9999,-9999,-9999,-9999
CN-BeO,VPD,1,0,1.49,0.92
CN-BeO,WS,1,-0.01,0.41,0.64
CN-BeO,P,1,-9999,-9999,-9999
CN-BeO,SW_IN,1,5.12,46.61,0.89
CN-BeO,LW_IN,1,-0,6.9,0.97
CN-BeO,LW_IN_JSB,1,-0,12.18,0.96
CN-DaW,TA,1,0,1.35,0.88
CN-DaW,PA,-9999,-9999,-9999,-9999
CN-DaW,VPD,1,0,0.89,0.65
CN-DaW,WS,1,0.12,0.52,0.33
CN-DaW,P,1,-9999,-9999,-9999
CN-DaW,SW_IN,1,12.11,53.25,0.86
CN-DaW,LW_IN,1,-0,10.18,0.88
CN-DaW,LW_IN_JSB,1,-0,9.41,0.9
CN-Dan,TA,1,0,1.36,0.9
CN-Dan,PA,1,-0,0.05,0.94
CN-Dan,VPD,1,0,0.89,0.72
CN-Dan,WS,1,0.23,0.66,0.3
CN-Dan,P,1,-9999,-9999,-9999
CN-Dan,SW_IN,1,12.23,58.38,0.86
CN-Dan,LW_IN,1,-0,11.18,0.88
CN-Dan,LW_IN_JSB,1,-0,10.27,0.9
CN-Dda,TA,1,0,0.6,0.99
CN-Dda,PA,-9999,-9999,-9999,-9999
CN-Dda,VPD,1,0,1.08,0.33
CN-Dda,WS,1,0.01,0.33,0.76
CN-Dda,P,-9999,-9999,-9999,-9999
CN-Dda,SW_IN,1,8.02,28.37,0.93
CN-Dda,LW_IN,1,-0,4.82,0.96
CN-Dda,LW_IN_JSB,1,-0,13.06,0.84
CN-Din,TA,1,0,0.68,0.97
CN-Din,PA,1,0,0.03,0.99
CN-Din,VPD,1,0,1.12,0.74
CN-Din,WS,1,0.16,0.23,0.43
CN-Din,P,1,-9999,-9999,-9999
CN-Din,SW_IN,1,5.77,46.82,0.85
CN-Din,LW_IN,1,-0,6.94,0.92
CN-Din,LW_IN_JSB,1,-0.09,11.27,0.88
CN-Dmn,TA,1,-0,1.42,0.98
CN-Dmn,PA,1,0,0.13,0.91
CN-Dmn,VPD,1,-0,1.42,0.93
CN-Dmn,WS,1,0.18,0.64,0.29
CN-Dmn,P,-9999,-9999,-9999,-9999
CN-Dmn,SW_IN,1,6.19,60.82,0.89
CN-Dmn,LW_IN,1,-0,11.82,0.93
CN-Dmn,LW_IN_JSB,1,-0,15.94,0.92
CN-Dsh,TA,1,-0.07,1.71,0.9
CN-Dsh,PA,1,-0,0.02,0.99
CN-Dsh,VPD,1,-0.03,0.68,0.78
CN-Dsh,WS,1,0.3,0.72,0.5
CN-Dsh,P,-9999,-9999,-9999,-9999
CN-Dsh,SW_IN,1,9.82,54.52,0.9
CN-Dsh,LW_IN,1,-0.1,11.31,0.89
CN-Dsh,LW_IN_JSB,1,-0.04,11.92,0.88
CN-Du2,TA,1,0,1.18,0.98
CN-Du2,PA,1,-0,0.03,0.99
CN-Du2,VPD,1,0,1.14,0.91
CN-Du2,WS,1,-0.01,0.32,0.76
CN-Du2,P,1,-9999,-9999,-9999
CN-Du2,SW_IN,1,9.83,48.24,0.9
CN-Du2,LW_IN,1,0,8.26,0.96
CN-Du2,LW_IN_JSB,1,-0,10.9,0.95
CN-Dzo,TA,1,-0,0.7,0.95
CN-Dzo,PA,1,0,0.04,0.99
CN-Dzo,VPD,1,0,2.17,0.72
CN-Dzo,WS,1,0.22,0.45,0.6
CN-Dzo,P,1,-9999,-9999,-9999
CN-Dzo,SW_IN,1,7.38,55.23,0.88
CN-Dzo,LW_IN,1,0,6.36,0.88
CN-Dzo,LW_IN_JSB,1,0.07,13.35,0.7
CN-Erg,TA,1,0,0.75,0.99
CN-Erg,PA,-9999,-9999,-9999,-9999
CN-Erg,VPD,1,-0,0.64,0.94
CN-Erg,WS,-9999,-9999,-9999,-9999
CN-Erg,P,1,-9999,-9999,-9999
CN-Erg,SW_IN,1,11.66,28.71,0.9
CN-Erg,LW_IN,1,0,5.48,0.96
CN-Erg,LW_IN_JSB,1,-0.01,7.79,0.96
CN-GuT,TA,1,0,1.17,0.88
CN-GuT,PA,1,0,0.02,0.98
CN-GuT,VPD,1,0,0.56,0.47
CN-GuT,WS,1,0.18,0.53,0.43
CN-GuT,P,1,-9999,-9999,-9999
CN-GuT,SW_IN,1,14.79,41.44,0.83
CN-GuT,LW_IN,1,0.03,6.96,0.89
CN-GuT,LW_IN_JSB,1,-0.02,9.87,0.81
CN-Ha2,TA,1,0,1.76,0.91
CN-Ha2,PA,1,0,0.03,0.99
CN-Ha2,VPD,1,0,0.88,0.74
CN-Ha2,WS,1,0.23,0.57,0.32
CN-Ha2,P,1,-9999,-9999,-9999
CN-Ha2,SW_IN,1,10.67,62.36,0.87
CN-Ha2,LW_IN,1,-0.01,12.39,0.89
CN-Ha2,LW_IN_JSB,1,-0.06,11.94,0.9
CN-HaM,TA,1,0,2.74,0.9
CN-HaM,PA,1,-0,0.16,0.6
CN-HaM,VPD,1,0,1.29,0.72
CN-HaM,WS,1,0.18,0.79,0.27
CN-HaM,P,-9999,-9999,-9999,-9999
CN-HaM,SW_IN,1,11.82,78.54,0.87
CN-HaM,LW_IN,1,-0,14.39,0.9
CN-HaM,LW_IN_JSB,1,-0,17.46,0.89
CN-HaW,TA,1,0,1.36,0.93
CN-HaW,PA,1,0,0.18,0.19
CN-HaW,VPD,1,-0,0.67,0.8
CN-HaW,WS,1,0.05,0.37,0.27
CN-HaW,P,1,-9999,-9999,-9999
CN-HaW,SW_IN,1,12.16,53.38,0.86
CN-HaW,LW_IN,1,-0.05,19.11,0.61
CN-HaW,LW_IN_JSB,1,0.01,10.69,0.89
CN-HeD,TA,1,-0,0.77,0.99
CN-HeD,PA,1,0,0.03,0.99
CN-HeD,VPD,1,-0,1.06,0.97
CN-HeD,WS,1,0.03,0.57,0.78
CN-HeD,P,-9999,-9999,-9999,-9999
CN-HeD,SW_IN,1,7.73,31.8,0.93
CN-HeD,LW_IN,1,-0,6.2,0.96
CN-HeD,LW_IN_JSB,1,-0,7.85,0.96
CN-HeM,TA,1,-0.07,0.82,0.99
CN-HeM,PA,1,-0,0.42,0.67
CN-HeM,VPD,1,-0.08,1.23,0.97
CN-HeM,WS,1,0.23,0.51,0.73
CN-HeM,P,-9999,-9999,-9999,-9999
CN-HeM,SW_IN,1,4.04,33.6,0.96
CN-HeM,LW_IN,1,-0.03,7.22,0.97
CN-HeM,LW_IN_JSB,1,-0.03,10.9,0.94
CN-Huz,TA,1,-0.07,1.25,0.96
CN-Huz,PA,1,-0,0.07,0.94
CN-Huz,VPD,1,-0.09,1.36,0.9
CN-Huz,WS,1,0.46,0.7,0.17
CN-Huz,P,-9999,-9999,-9999,-9999
CN-Huz,SW_IN,1,6.2,45.98,0.9
CN-Huz,LW_IN,1,-0.02,9.78,0.9
CN-Huz,LW_IN_JSB,1,-0.42,9.97,0.93
CN-Jng,TA,1,-0.05,0.86,0.94
CN-Jng,PA,1,-0,0.01,1
CN-Jng,VPD,1,-0.03,0.37,0.81
CN-Jng,WS,1,0.53,0.73,0.31
CN-Jng,P,-9999,-9999,-9999,-9999
CN-Jng,SW_IN,1,8.84,41.8,0.89
CN-Jng,LW_IN,1,0.01,7.83,0.91
CN-Jng,LW_IN_JSB,1,-0.07,7.93,0.9
CN-Jzh,TA,1,-0,0.71,0.99
CN-Jzh,PA,-9999,-9999,-9999,-9999
CN-Jzh,VPD,1,-0,0.87,0.9
CN-Jzh,WS,1,-0.09,0.18,0.76
CN-Jzh,P,1,-9999,-9999,-9999
CN-Jzh,SW_IN,1,4.98,33.54,0.91
CN-Jzh,LW_IN,1,-0,5.75,0.97
CN-Jzh,LW_IN_JSB,1,-0,9.17,0.96
CN-Lch,TA,1,0,2.34,0.94
CN-Lch,PA,1,-0,0.17,0.91
CN-Lch,VPD,1,0,2.6,0.84
CN-Lch,WS,1,0.02,0.18,0.61
CN-Lch,P,1,-9999,-9999,-9999
CN-Lch,SW_IN,1,6.47,58.84,0.87
CN-Lch,LW_IN,1,0.12,42.69,0.65
CN-Lch,LW_IN_JSB,1,-0.03,20.55,0.92
CN-Lsh,TA,1,-0,0.83,0.98
CN-Lsh,PA,1,-0,0.2,0.77
CN-Lsh,VPD,1,-0,0.72,0.89
CN-Lsh,WS,1,0.09,0.24,0.51
CN-Lsh,P,1,-9999,-9999,-9999
CN-Lsh,SW_IN,1,5.26,33.27,0.89
CN-Lsh,LW_IN,1,0.01,7.21,0.95
CN-Lsh,LW_IN_JSB,1,0.01,9.54,0.95
CN-Mxn,TA,1,0,0.45,0.97
CN-Mxn,PA,1,-0,0.04,0.91
CN-Mxn,VPD,1,-0,0.46,0.82
CN-Mxn,WS,1,0.12,0.15,0.37
CN-Mxn,P,1,-9999,-9999,-9999
CN-Mxn,SW_IN,1,3.45,26.47,0.84
CN-Mxn,LW_IN,1,-0.02,5.01,0.91
CN-Mxn,LW_IN_JSB,1,-0.02,7.82,0.84
CN-Nmn,TA,1,0,0.82,0.98
CN-Nmn,PA,-9999,-9999,-9999,-9999
CN-Nmn,VPD,1,-0,1.06,0.92
CN-Nmn,WS,1,-0.08,0.39,0.7
CN-Nmn,P,1,-9999,-9999,-9999
CN-Nmn,SW_IN,1,5.56,31.9,0.93
CN-Nmn,LW_IN,1,-0,8.47,0.97
CN-Nmn,LW_IN_JSB,1,-0.07,9.66,0.96
CN-Qng,TA,1,-0,0.38,0.96
CN-Qng,PA,1,0,0.02,0.95
CN-Qng,VPD,1,-0,0.4,0.77
CN-Qng,WS,1,0.12,0.13,0.49
CN-Qng,P,-9999,-9999,-9999,-9999
CN-Qng,SW_IN,1,-3.34,22.76,0.8
CN-Qng,LW_IN,-9999,-9999,-9999,-9999
CN-Qng,LW_IN_JSB,1,-0.35,5.03,0.9
CN-Sb1,TA,1,0,0.71,0.99
CN-Sb1,PA,1,0,0.02,0.99
CN-Sb1,VPD,1,0,0.55,0.92
CN-Sb1,WS,1,0.04,0.29,0.78
CN-Sb1,P,-9999,-9999,-9999,-9999
CN-Sb1,SW_IN,1,8.19,33.4,0.92
CN-Sb1,LW_IN,1,0.02,6.13,0.95
CN-Sb1,LW_IN_JSB,1,-0.08,7.71,0.95
CN-Sb2,TA,1,0,0.71,0.98
CN-Sb2,PA,1,-0,0.02,0.99
CN-Sb2,VPD,1,0,0.56,0.9
CN-Sb2,WS,1,0.09,0.39,0.71
CN-Sb2,P,-9999,-9999,-9999,-9999
CN-Sb2,SW_IN,1,8.41,35.33,0.9
CN-Sb2,LW_IN,1,0.01,5.75,0.96
CN-Sb2,LW_IN_JSB,1,-0.08,7.56,0.95
CN-Sdq,TA,1,0,0.94,0.99
CN-Sdq,PA,1,-0,0.04,0.99
CN-Sdq,VPD,1,0,1.45,0.97
CN-Sdq,WS,1,0.33,0.73,0.75
CN-Sdq,P,-9999,-9999,-9999,-9999
CN-Sdq,SW_IN,1,10.87,52.74,0.92
CN-Sdq,LW_IN,1,0,8.08,0.97
CN-Sdq,LW_IN_JSB,1,0,10.72,0.96
CN-SnB,TA,1,-0,0.27,0.97
CN-SnB,PA,1,0,0,1
CN-SnB,VPD,1,-0,0.71,0.29
CN-SnB,WS,1,0.03,0.09,0.8
CN-SnB,P,1,-9999,-9999,-9999
CN-SnB,SW_IN,1,8.46,14.77,0.91
CN-SnB,LW_IN,-9999,-9999,-9999,-9999
CN-SnB,LW_IN_JSB,1,0.2,7.28,0.81
CN-Wnb,TA,1,0,0.35,0.98
CN-Wnb,PA,-9999,-9999,-9999,-9999
CN-Wnb,VPD,1,-0,0.71,0.93
CN-Wnb,WS,1,0.04,0.17,0.78
CN-Wnb,P,1,-9999,-9999,-9999
CN-Wnb,SW_IN,1,9.94,17.77,0.91
CN-Wnb,LW_IN,1,0,2.67,0.96
CN-Wnb,LW_IN_JSB,1,-0,2.01,0.96
CN-Xi2,TA,1,-0,1.16,0.98
CN-Xi2,PA,1,-0,0.03,0.99
CN-Xi2,VPD,1,0,1.17,0.91
CN-Xi2,WS,1,0.11,0.42,0.76
CN-Xi2,P,1,-9999,-9999,-9999
CN-Xi2,SW_IN,1,9.7,46.5,0.91
CN-Xi2,LW_IN,1,0,9.36,0.94
CN-Xi2,LW_IN_JSB,1,-0,11.31,0.95
CN-YaS,TA,1,0,1.02,0.97
CN-YaS,PA,1,-0,0.05,0.98
CN-YaS,VPD,1,0,1.21,0.91
CN-YaS,WS,1,0.11,0.59,0.65
CN-YaS,P,1,-9999,-9999,-9999
CN-YaS,SW_IN,1,6.5,48.83,0.92
CN-YaS,LW_IN,1,0,7.55,0.96
CN-YaS,LW_IN_JSB,1,0,11.05,0.93
CN-Yan,TA,1,0,0.58,0.98
CN-Yan,PA,-9999,-9999,-9999,-9999
CN-Yan,VPD,1,0,0.76,0.92
CN-Yan,WS,1,0.12,0.26,0.66
CN-Yan,P,1,-9999,-9999,-9999
CN-Yan,SW_IN,1,7.69,26.34,0.91
CN-Yan,LW_IN,1,0.15,4.83,0.95
CN-Yan,LW_IN_JSB,1,0.01,6.39,0.95
CN-You,TA,1,-0.05,1.59,0.89
CN-You,PA,1,-0,0.04,0.98
CN-You,VPD,1,-0.02,0.69,0.62
CN-You,WS,1,0.39,0.76,0.43
CN-You,P,-9999,-9999,-9999,-9999
CN-You,SW_IN,1,9.98,54.23,0.88
CN-You,LW_IN,1,-0.02,10.55,0.9
CN-You,LW_IN_JSB,1,-0.2,12.42,0.86
CN-Yuc,TA,1,0,0.96,0.98
CN-Yuc,PA,1,-0,0.02,1
CN-Yuc,VPD,1,-0,1.54,0.88
CN-Yuc,WS,1,-0.05,0.26,0.74
CN-Yuc,P,1,-9999,-9999,-9999
CN-Yuc,SW_IN,1,4.78,43.03,0.91
CN-Yuc,LW_IN,1,0.46,42.8,0.63
CN-Yuc,LW_IN_JSB,1,-0.01,14,0.94
CN-Zha,TA,1,0,1.07,0.98
CN-Zha,PA,1,0,0.04,0.99
CN-Zha,VPD,1,-0,1.44,0.94
CN-Zha,WS,1,0.16,0.67,0.51
CN-Zha,P,-9999,-9999,-9999,-9999
CN-Zha,SW_IN,1,4.28,54.77,0.92
CN-Zha,LW_IN,1,-0,9.71,0.95
CN-Zha,LW_IN_JSB,1,-0.01,12.55,0.95
CR-AqC,TA,1,0,0.58,0.82
CR-AqC,PA,1,0,0.06,0.66
CR-AqC,VPD,1,0,0.95,0.71
CR-AqC,WS,1,0.06,0.27,0.59
CR-AqC,P,1,-9999,-9999,-9999
CR-AqC,SW_IN,1,10.47,73.23,0.83
CR-AqC,LW_IN,-9999,-9999,-9999,-9999
CR-AqC,LW_IN_JSB,1,0,12.36,0.48
CR-Fsc,TA,1,-0,0.52,0.87
CR-Fsc,PA,1,-0,0.02,0.88
CR-Fsc,VPD,1,-0,1.17,0.89
CR-Fsc,WS,1,0.04,0.35,0.83
CR-Fsc,P,1,-9999,-9999,-9999
CR-Fsc,SW_IN,1,9.75,39.77,0.91
CR-Fsc,LW_IN,1,0.01,4.34,0.65
CR-Fsc,LW_IN_JSB,1,0.01,8.01,0.51
CZ-BK1,TA,1,-0,1.63,0.95
CZ-BK1,PA,1,0,0.15,0.93
CZ-BK1,VPD,1,-0,1.43,0.83
CZ-BK1,WS,1,0.15,1.93,0.29
CZ-BK1,P,1,-9999,-9999,-9999
CZ-BK1,SW_IN,1,3.08,68.36,0.87
CZ-BK1,LW_IN,1,0,14.2,0.84
CZ-BK1,LW_IN_JSB,1,0.01,20.39,0.82
CZ-BK2,TA,1,-0,0.86,0.96
CZ-BK2,PA,1,0,0.05,0.96
CZ-BK2,VPD,1,-0,0.72,0.84
CZ-BK2,WS,1,0.08,0.23,0.33
CZ-BK2,P,1,-9999,-9999,-9999
CZ-BK2,SW_IN,1,2.9,37.55,0.86
CZ-BK2,LW_IN,1,-0,8.22,0.78
CZ-BK2,LW_IN_JSB,1,0,11.39,0.82
CZ-KrP,TA,1,0,0.64,0.99
CZ-KrP,PA,1,0,0.03,1
CZ-KrP,VPD,1,0,0.81,0.94
CZ-KrP,WS,1,-0.05,0.49,0.81
CZ-KrP,P,1,-9999,-9999,-9999
CZ-KrP,SW_IN,1,6.36,45.71,0.89
CZ-KrP,LW_IN,1,-0,9.66,0.88
CZ-KrP,LW_IN_JSB,1,0.01,13.81,0.84
CZ-LnG,TA,1,0,0.81,0.97
CZ-LnG,PA,-9999,-9999,-9999,-9999
CZ-LnG,VPD,1,0,0.99,0.88
CZ-LnG,WS,1,-0.07,0.31,0.76
CZ-LnG,P,1,-9999,-9999,-9999
CZ-LnG,SW_IN,1,5.84,33.84,0.91
CZ-LnG,LW_IN,1,0,6.77,0.9
CZ-LnG,LW_IN_JSB,1,0,9.92,0.88
CZ-Lnz,TA,1,-0,0.55,0.99
CZ-Lnz,PA,1,-0,0.13,0.95
CZ-Lnz,VPD,1,0,0.8,0.96
CZ-Lnz,WS,1,0.11,0.41,0.74
CZ-Lnz,P,1,-9999,-9999,-9999
CZ-Lnz,SW_IN,1,4.61,46.85,0.91
CZ-Lnz,LW_IN,1,0,9.27,0.9
CZ-Lnz,LW_IN_JSB,1,0,13.47,0.86
CZ-RAJ,TA,1,0,1.22,0.97
CZ-RAJ,PA,1,-0,0.18,0.91
CZ-RAJ,VPD,1,0,1.17,0.89
CZ-RAJ,WS,1,0.3,0.77,0.51
CZ-RAJ,P,1,-9999,-9999,-9999
CZ-RAJ,SW_IN,1,4.83,53.46,0.89
CZ-RAJ,LW_IN,1,-0,11.61,0.87
CZ-RAJ,LW_IN_JSB,1,-0,17.09,0.83
CZ-Stn,TA,1,0,1.38,0.96
CZ-Stn,PA,1,0,0.13,0.94
CZ-Stn,VPD,1,0,1.25,0.88
CZ-Stn,WS,1,0.2,0.95,0.46
CZ-Stn,P,1,-9999,-9999,-9999
CZ-Stn,SW_IN,1,4,58.34,0.89
CZ-Stn,LW_IN,1,0,12.11,0.88
CZ-Stn,LW_IN_JSB,1,-0,18.21,0.83
CZ-wet,TA,1,0,1.65,0.96
CZ-wet,PA,1,0,0.09,0.98
CZ-wet,VPD,1,-0,1.59,0.87
CZ-wet,WS,1,-0.01,0.46,0.69
CZ-wet,P,1,-9999,-9999,-9999
CZ-wet,SW_IN,1,4.45,65.91,0.89
CZ-wet,LW_IN,1,0,14.28,0.85
CZ-wet,LW_IN_JSB,1,0,19.02,0.86
DE-Akm,TA,1,0,0.69,0.98
DE-Akm,PA,1,0,0.03,1
DE-Akm,VPD,1,-0,0.9,0.92
DE-Akm,WS,1,-0.01,0.35,0.8
DE-Akm,P,-9999,-9999,-9999,-9999
DE-Akm,SW_IN,1,3.83,45.37,0.91
DE-Akm,LW_IN,1,-0,10.96,0.86
DE-Akm,LW_IN_JSB,1,-0.01,14.38,0.84
DE-Amv,TA,1,-0,0.43,0.97
DE-Amv,PA,-9999,-9999,-9999,-9999
DE-Amv,VPD,1,-0,0.48,0.91
DE-Amv,WS,1,-0.06,0.16,0.85
DE-Amv,P,1,-9999,-9999,-9999
DE-Amv,SW_IN,1,3.91,20.67,0.91
DE-Amv,LW_IN,1,-0.01,5.28,0.87
DE-Amv,LW_IN_JSB,1,-0.01,7.4,0.81
DE-Brs,TA,1,0,0.33,0.98
DE-Brs,PA,1,0,0.02,1
DE-Brs,VPD,1,0,0.43,0.94
DE-Brs,WS,1,-0.01,0.21,0.85
DE-Brs,P,1,-9999,-9999,-9999
DE-Brs,SW_IN,1,5.75,21.69,0.9
DE-Brs,LW_IN,1,0,4.81,0.88
DE-Brs,LW_IN_JSB,1,-0,7.41,0.82
DE-Etn,TA,1,-0,0.26,0.95
DE-Etn,PA,-9999,-9999,-9999,-9999
DE-Etn,VPD,1,0,0.32,0.79
DE-Etn,WS,-9999,-9999,-9999,-9999
DE-Etn,P,-9999,-9999,-9999,-9999
DE-Etn,SW_IN,1,3.38,13.7,0.88
DE-Etn,LW_IN,1,-0,2.5,0.84
DE-Etn,LW_IN_JSB,1,-0,3.42,0.83
DE-Fen,TA,1,0,0.49,0.96
DE-Fen,PA,1,-0,0.02,0.99
DE-Fen,VPD,1,0,0.49,0.88
DE-Fen,WS,1,0.04,0.19,0.58
DE-Fen,P,1,-9999,-9999,-9999
DE-Fen,SW_IN,1,3.31,22.37,0.89
DE-Fen,LW_IN,-9999,-9999,-9999,-9999
DE-Fen,LW_IN_JSB,1,0,6.06,0.87
DE-Geb,TA,1,-0,0.53,0.97
DE-Geb,PA,1,0,0.02,1
DE-Geb,VPD,1,-0,0.72,0.89
DE-Geb,WS,1,-0.1,0.63,0.61
DE-Geb,P,1,-9999,-9999,-9999
DE-Geb,SW_IN,1,8.9,27.29,0.9
DE-Geb,LW_IN,1,0,8.18,0.81
DE-Geb,LW_IN_JSB,1,0,11.07,0.79
DE-Gri,TA,1,0,1.75,0.95
DE-Gri,PA,1,0,0.01,1
DE-Gri,VPD,1,-0,1.81,0.87
DE-Gri,WS,1,-0.04,0.62,0.78
DE-Gri,P,1,-9999,-9999,-9999
DE-Gri,SW_IN,1,4.57,65.93,0.89
DE-Gri,LW_IN,1,0,14,0.88
DE-Gri,LW_IN_JSB,1,0,20.36,0.85
DE-GsB,TA,1,-0,1.03,0.97
DE-GsB,PA,1,-0,0.04,1
DE-GsB,VPD,1,-0,1.05,0.91
DE-GsB,WS,1,-0.08,0.5,0.82
DE-GsB,P,1,-9999,-9999,-9999
DE-GsB,SW_IN,1,5.5,45.43,0.9
DE-GsB,LW_IN,1,0,10.02,0.88
DE-GsB,LW_IN_JSB,1,0,13.89,0.85
DE-Gwg,TA,1,-0,0.54,0.96
DE-Gwg,PA,1,0,0.04,0.98
DE-Gwg,VPD,1,0,0.5,0.86
DE-Gwg,WS,1,0.11,0.22,0.28
DE-Gwg,P,1,-9999,-9999,-9999
DE-Gwg,SW_IN,1,1.3,23.47,0.87
DE-Gwg,LW_IN,-9999,-9999,-9999,-9999
DE-Gwg,LW_IN_JSB,1,0,6.67,0.85
DE-Hai,TA,1,0,1.34,0.97
DE-Hai,PA,1,0,0.11,0.98
DE-Hai,VPD,1,0,1.44,0.9
DE-Hai,WS,1,0.25,0.72,0.74
DE-Hai,P,1,-9999,-9999,-9999
DE-Hai,SW_IN,1,3.12,65.87,0.9
DE-Hai,LW_IN,1,-0,16.99,0.84
DE-Hai,LW_IN_JSB,1,-0.01,22.11,0.8
DE-Har,TA,1,-0,0.53,0.98
DE-Har,PA,1,-0,0.03,1
DE-Har,VPD,1,-0,0.76,0.94
DE-Har,WS,1,0.15,0.3,0.77
DE-Har,P,1,-9999,-9999,-9999
DE-Har,SW_IN,1,3.66,37.06,0.9
DE-Har,LW_IN,1,-0.02,7.21,0.87
DE-Har,LW_IN_JSB,1,-0,10.03,0.85
DE-Hdn,TA,1,-0,0.31,0.99
DE-Hdn,PA,1,-0,0.02,1
DE-Hdn,VPD,1,-0,0.42,0.93
DE-Hdn,WS,1,-0.03,0.3,0.87
DE-Hdn,P,-9999,-9999,-9999,-9999
DE-Hdn,SW_IN,1,5.92,23.91,0.9
DE-Hdn,LW_IN,1,-0,5.11,0.88
DE-Hdn,LW_IN_JSB,1,-0.01,7.67,0.84
DE-HoH,TA,1,0,0.89,0.97
DE-HoH,PA,1,-0,0.18,0.93
DE-HoH,VPD,1,-0,0.96,0.92
DE-HoH,WS,1,0.24,0.59,0.64
DE-HoH,P,1,-9999,-9999,-9999
DE-HoH,SW_IN,1,3.72,42.8,0.91
DE-HoH,LW_IN,1,0,9.62,0.88
DE-HoH,LW_IN_JSB,1,-0,15.03,0.8
DE-Hte,TA,1,0.01,0.61,0.98
DE-Hte,PA,1,-0,0.03,1
DE-Hte,VPD,1,0,0.85,0.85
DE-Hte,WS,1,-0.01,0.36,0.83
DE-Hte,P,1,-9999,-9999,-9999
DE-Hte,SW_IN,1,2.77,40.05,0.91
DE-Hte,LW_IN,-9999,-9999,-9999,-9999
DE-Hte,LW_IN_JSB,1,-0.02,14.76,0.8
DE-Hzd,TA,1,-0,1.04,0.97
DE-Hzd,PA,-9999,-9999,-9999,-9999
DE-Hzd,VPD,1,-0,1.2,0.91
DE-Hzd,WS,1,0.09,0.33,0.59
DE-Hzd,P,-9999,-9999,-9999,-9999
DE-Hzd,SW_IN,1,4.21,51.11,0.9
DE-Hzd,LW_IN,1,0.01,11,0.86
DE-Hzd,LW_IN_JSB,1,-0.03,16.4,0.83
DE-Kli,TA,1,-0,1.23,0.98
DE-Kli,PA,-9999,-9999,-9999,-9999
DE-Kli,VPD,1,-0,1.38,0.9
DE-Kli,WS,1,-0.03,0.74,0.84
DE-Kli,P,1,-9999,-9999,-9999
DE-Kli,SW_IN,1,5.18,65.35,0.9
DE-Kli,LW_IN,1,-0.01,16.8,0.85
DE-Kli,LW_IN_JSB,1,0,19.78,0.84
