variant,aggregation_level,class,p_global,q_network,sampling_ratio
b_beck_consistent,class30,Dwb,0.01164994979474445,0.012804097311139564,1.0990688832767137
b_beck_consistent,class30,Dwc,0.01875287052838056,0.010243277848911651,0.5462245277814665
b_beck_consistent,class30,Dwd,0.00168163454220475,0,NA
b_beck_consistent,class30,EF,0.09560035422272174,0,NA
b_beck_consistent,class30,ET,0.04641339240919413,0.028169014084507043,0.6069156470218924
c_beck_same_sample,class30,Af,0.04612657874954013,0.014084507042253521,0.30534471500108684
c_beck_same_sample,class30,Am,0.03298668926209418,0.015364916773367477,0.4657914182076976
c_beck_same_sample,class30,Aw,0.1210030649189778,0.028169014084507043,0.23279587259519977
c_beck_same_sample,class30,BSh,0.05830562412859746,0.029449423815621,0.5050871893707556
c_beck_same_sample,class30,BSk,0.05041070364543615,0.05121638924455826,1.0159824311278989
c_beck_same_sample,class30,BWh,0.14620642100547618,0.014084507042253521,0.0963330265893451
c_beck_same_sample,class30,BWk,0.03543556644745455,0.016645326504481434,0.46973501973402554
c_beck_same_sample,class30,Cfa,0.04267870468352799,0.13316261203585147,3.1201184062000387
c_beck_same_sample,class30,Cfb,0.02082970317935899,0.11907810499359796,5.716745167621848
c_beck_same_sample,class30,Cfc,8.31000243781228e-4,0,NA
c_beck_same_sample,class30,Csa,0.01139220980109563,0.07298335467349552,6.406426492117135
c_beck_same_sample,class30,Csb,0.00697676430898404,0.026888604353393086,3.8540221745442076
c_beck_same_sample,class30,Csc,3.939661789224786e-5,0,NA
c_beck_same_sample,class30,Cwa,0.02769780737678938,0.006402048655569782,0.23113918616296922
c_beck_same_sample,class30,Cwb,0.01079224698270485,0.006402048655569782,0.5932081304133797
c_beck_same_sample,class30,Cwc,5.115355534192965e-5,0,NA
c_beck_same_sample,class30,Dfa,0.01604046493340636,0.07170294494238157,4.470128842278807
c_beck_same_sample,class30,Dfb,0.06931665758174518,0.1677336747759283,2.4198176979050072
c_beck_same_sample,class30,Dfc,0.1013831329648984,0.088348271446863,0.8714296832536392
c_beck_same_sample,class30,Dfd,8.265580301786514e-4,0.005121638924455826,6.196345250373819
c_beck_same_sample,class30,Dsa,0.00258688069060192,0.002560819462227913,0.9899256164118094
c_beck_same_sample,class30,Dsb,0.00566128988734217,0.02560819462227913,4.523385152831578
c_beck_same_sample,class30,Dsc,0.01097071191273845,0.006402048655569782,0.5835581780373027
c_beck_same_sample,class30,Dsd,8.653320248108975e-5,0,NA
c_beck_same_sample,class30,Dwa,0.00726593439230926,0.014084507042253521,1.938430252984597
c_beck_same_sample,class30,Dwb,0.01164994979474445,0.012804097311139564,1.0990688832767137
c_beck_same_sample,class30,Dwc,0.01875287052838056,0.010243277848911651,0.5462245277814665
c_beck_same_sample,class30,Dwd,0.00168163454220475,0,NA
c_beck_same_sample,class30,EF,0.09560035422272174,0,NA
c_beck_same_sample,class30,ET,0.04641339240919413,0.028169014084507043,0.6069156470218924
