rank_by_abs_delta,target_class,delta_frac,direction,site_id,era5_twoletter,era5_class,beck_twoletter,beck_class
3,BS,-0.02176696542893726,moved_in_under_beck,US-WT1,Cf,Cfa,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-Whs,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-xMB,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-xNQ,BW,BWk,BS,BSk
3,BS,-0.02176696542893726,moved_in_under_beck,US-xSR,BW,BWh,BS,BSh
3,BS,-0.02176696542893726,moved_out_under_beck,AR-Bal,BS,BSk,Cf,Cfb
3,BS,-0.02176696542893726,moved_out_under_beck,AT-Nsd,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,AU-Boy,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,AU-GWW,BS,BSh,BW,BWh
3,BS,-0.02176696542893726,moved_out_under_beck,AU-MvA,BS,BSh,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,AU-MvB,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,AU-Rgf,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,AU-Rig,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,AU-Whr,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,BR-CST,BS,BSh,Aw,Aw
3,BS,-0.02176696542893726,moved_out_under_beck,CA-EM2,BS,BSk,Df,Dfb
3,BS,-0.02176696542893726,moved_out_under_beck,CA-TVC,BS,BSk,Df,Dfc
3,BS,-0.02176696542893726,moved_out_under_beck,CN-DaW,BS,BSk,Dw,Dwc
3,BS,-0.02176696542893726,moved_out_under_beck,ES-Amo,BS,BSk,BW,BWh
3,BS,-0.02176696542893726,moved_out_under_beck,ES-Crg,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,ES-HdD,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,ES-Pzb,BS,BSh,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,ES-Yst,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,FR-Fon,BS,BSk,Cf,Cfb
3,BS,-0.02176696542893726,moved_out_under_beck,IL-Yat,BS,BSh,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,KE-Chk,BS,BSh,Aw,Aw
3,BS,-0.02176696542893726,moved_out_under_beck,PR-xGU,BS,BSh,Aw,Aw
3,BS,-0.02176696542893726,moved_out_under_beck,SE-St1,BS,BSk,Df,Dfc
3,BS,-0.02176696542893726,moved_out_under_beck,US-A74,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-AR2,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-BZB,BS,BSk,Df,Dfb
3,BS,-0.02176696542893726,moved_out_under_beck,US-BZF,BS,BSk,Df,Dfb
3,BS,-0.02176696542893726,moved_out_under_beck,US-BZo,BS,BSk,Df,Dfb
3,BS,-0.02176696542893726,moved_out_under_beck,US-EA5,BS,BSh,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-Fo1,BS,BSk,ET,ET
3,BS,-0.02176696542893726,moved_out_under_beck,US-Fo2,BS,BSk,ET,ET
3,BS,-0.02176696542893726,moved_out_under_beck,US-HB1,BS,BSh,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-HRA,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-HRC,BS,BSk,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-LA3,BS,BSh,Cf,Cfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-Lin,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,US-Me1,BS,BSk,Cs,Csb
3,BS,-0.02176696542893726,moved_out_under_beck,US-Myb,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,US-RC2,BS,BSk,Ds,Dsb
3,BS,-0.02176696542893726,moved_out_under_beck,US-SD2,BS,BSk,Df,Dfa
