site_id,data_hub,product_source_network,era5_annual_precip_mm,worldclim_bio12_mm,badm_map_mm,measured_annual_precip_mm,n_complete_measured_years,ratio_era5_to_bio12,ratio_era5_to_badm,ratio_era5_to_measured,flag_basis
JP-Sb2,ICOS,JPF,4275.823066666667,1125,1073,NA,0,3.800731614814815,3.9849236408822617,NA,empirical factor near 4x
JP-Shn,ICOS,JPF,6020.625366666666,1340,1606,NA,0,4.493004004975124,3.748832731423827,NA,empirical factor near 4x
JP-Tak,ICOS,JPF,8803.888466666667,1804,2275,NA,0,4.880204249815225,3.8698410842490847,NA,empirical factor near 4x
JP-Tkb,ICOS,JPF,5411.865833333333,1353,1507,NA,0,3.99990083764474,3.5911518469365182,NA,empirical factor near 4x
JP-Tmd,ICOS,JPF,4656.8277,1206,1276,NA,0,3.861382835820895,3.649551489028213,NA,empirical factor near 4x
JP-Tmk,ICOS,JPF,4656.8277,1206,1043,NA,0,3.861382835820895,4.464839597315436,NA,empirical factor near 4x
JP-Toc,ICOS,JPF,4656.831833333334,1189,1130,NA,0,3.9165953181945614,4.1210901179941,NA,empirical factor near 4x
JP-Yms,ICOS,JPF,4913.387,1502,1095,NA,0,3.2712296937416774,4.4871114155251135,NA,empirical factor near 4x
KH-Kmp,ICOS,JPF,6637.125233333333,1714,1500,NA,0,3.872301769739401,4.4247501555555555,NA,empirical factor near 4x
KR-Hnm,ICOS,KOF,4536.481366666667,1307,1282,NA,0,3.4709115276715123,3.5385970098803954,NA,empirical factor near 4x
KR-Nj1,ICOS,KOF,4503.488766666666,1306,1310.4,NA,0,3.4483068657478304,3.4367283017908012,NA,empirical factor near 4x
KR-Nj2,ICOS,KOF,4503.488766666666,1306,1310.4,NA,0,3.4483068657478304,3.4367283017908012,NA,empirical factor near 4x
KR-TwB,ICOS,KOF,4529.786033333333,1318,1313,NA,0,3.4368634547293877,3.449951282051282,NA,empirical factor near 4x
KR-TwC,ICOS,KOF,4529.786033333333,1318,1313,NA,0,3.4368634547293877,3.449951282051282,NA,empirical factor near 4x
NO-And,ICOS,EUF,9318.330766666666,1202,1060,8964.265500000001,2,7.752355047143649,8.790878081761006,1.039497409650201,empirical factor near 8x
PE-QFR,AmeriFlux,AMF,10291.840033333334,2705,NA,NA,0,3.804746777572397,NA,NA,empirical factor near 4x
RU-Ege,ICOS,JPF,1349.8303666666666,324,312,NA,0,4.166143106995884,4.32637938034188,NA,empirical factor near 4x
RU-NeB,ICOS,JPF,1069.2168666666666,253,235,NA,0,4.226153623188406,4.5498590070921985,NA,empirical factor near 4x
RU-NeC,ICOS,JPF,1069.2168666666666,256,235,NA,0,4.176628385416667,4.5498590070921985,NA,empirical factor near 4x
RU-NeF,ICOS,JPF,1069.2168666666666,253,235,NA,0,4.226153623188406,4.5498590070921985,NA,empirical factor near 4x
RU-Sk2,ICOS,JPF,1018.6925,246,NA,NA,0,4.141026422764227,NA,NA,empirical factor near 4x
RU-SkP,ICOS,JPF,1069.2126666666666,252,NA,NA,0,4.242907407407407,NA,NA,empirical factor near 4x
SE-Trb,ICOS,EUF,2565.8849,630,635,NA,0,4.072833174603175,4.040763622047244,NA,empirical factor near 4x
US-A03,AmeriFlux,AMF,904.299,146,115.1,NA,0,6.1938287671232874,7.856637706342311,NA,empirical factor near 8x
US-A10,AmeriFlux,AMF,914.8648666666668,107,115.1,NA,0,8.550138940809969,7.948434984071822,NA,empirical factor near 8x
US-BRG,AmeriFlux,AMF,4220.8321,1103,1200,NA,0,3.826683680870353,3.517360083333333,NA,empirical factor near 4x
