date,dd_value,hh_summed_day,n_hh,ratio_dd_to_hh
1981-05-05,3.246,0.152,48,21.355263157894736
1981-05-08,14.844,0.696,48,21.32758620689655
1981-05-09,0.69,0.030000000000000006,48,22.999999999999993
1981-05-10,6.131,0.286,48,21.43706293706294
1981-05-11,356.986,16.808000000000007,48,21.23905283198476
1981-05-12,11.337,0.5339999999999999,48,21.230337078651687
1981-05-13,123.809,5.828,48,21.243822923816058
1981-05-14,100.42,4.729999999999999,48,21.230443974630028
1981-05-15,32.296,1.5199999999999991,48,21.247368421052645
1981-05-16,14.617,0.6860000000000002,48,21.30758017492711
1981-05-17,63.658,2.997999999999999,48,21.233488992661783
1981-05-18,7.695,0.3640000000000001,48,21.140109890109883
1981-05-19,2.523,0.12,48,21.025000000000002
1981-05-20,2.128,0.09999999999999999,48,21.28
1981-05-21,3.869,0.182,48,21.25824175824176
1981-05-22,344.026,16.192,48,21.246665019762847
1981-05-23,166.264,7.827999999999998,48,21.239652529381715
1981-05-24,44.516,2.0959999999999988,48,21.238549618320622
1981-05-25,57.649,2.712000000000001,48,21.257005899705007
1981-05-26,709.64,33.40200000000001,48,21.245434405125437
1981-05-27,800.817,37.698000000000015,48,21.24295718605761
1981-05-28,24.844,1.1699999999999997,48,21.23418803418804
1981-05-29,8.419,0.396,48,21.26010101010101
