site_id,date,dd_value,hh_summed_day,ratio_dd_to_hh
FI-Hyy,2003-10-21,0.198,0.194,1.0206185567010309
FI-Hyy,2003-10-22,0.209,0.21000000000000008,0.9952380952380948
FI-Hyy,2003-10-23,0.119,0.12000000000000001,0.9916666666666666
FI-Hyy,2003-10-24,4.261,4.241999999999999,1.0044790193305047
FI-Hyy,2003-10-25,1.065,1.0599999999999998,1.0047169811320755
FI-Hyy,2003-10-26,0.199,0.19800000000000006,1.0050505050505047
FI-Hyy,2003-10-27,0.677,0.6740000000000002,1.0044510385756675
FI-Hyy,2003-10-28,0.064,0.06400000000000002,0.9999999999999998
FI-Hyy,2003-10-29,0.983,0.9760000000000002,1.0071721311475408
FI-Hyy,2003-10-30,1.531,1.5299999999999978,1.0006535947712432
FI-Hyy,2003-10-31,1.651,1.6440000000000001,1.004257907542579
FI-Hyy,2003-11-01,0.737,0.7320000000000002,1.0068306010928958
FI-Hyy,2003-11-02,1.936,1.9259999999999997,1.0051921079958464
FI-Hyy,2003-11-03,0.436,0.43200000000000016,1.0092592592592589
FI-Hyy,2003-11-04,0.777,0.7800000000000002,0.9961538461538458
FI-Hyy,2003-11-05,0.053,0.05400000000000001,0.9814814814814812
FI-Hyy,2003-11-06,0.372,0.37400000000000017,0.9946524064171118
FI-Hyy,2003-11-09,0.025,0.02800000000000001,0.8928571428571426
FI-Hyy,2003-11-10,0.618,0.6160000000000003,1.0032467532467526
FI-Hyy,2003-11-11,0.713,0.7080000000000004,1.0070621468926548
FI-Hyy,2003-11-12,0.529,0.5240000000000002,1.009541984732824
FI-Hyy,2003-11-13,0.131,0.12800000000000003,1.0234374999999998
FI-Hyy,2003-11-14,2.531,2.524000000000001,1.0027733755942945
FI-Hyy,2003-11-15,0.12,0.12000000000000005,0.9999999999999996
FI-Hyy,2003-11-16,2.893,2.8800000000000003,1.0045138888888887
FI-Hyy,2003-11-17,9.661,9.626000000000003,1.0036359858715973
FI-Hyy,2003-11-18,0.75,0.7420000000000002,1.0107816711590294
FI-Hyy,2003-11-19,0.778,0.7720000000000001,1.0077720207253884
FI-Hyy,2003-11-20,0.903,0.8980000000000004,1.005567928730512
FI-Hyy,2003-11-21,0.219,0.22000000000000003,0.9954545454545454
FI-Hyy,2003-11-22,0.087,0.08600000000000003,1.0116279069767438
FI-Hyy,2003-11-23,1.005,0.994,1.0110663983903418
FI-Hyy,2003-11-24,7.641,7.610000000000001,1.0040735873850195
FI-Hyy,2003-11-25,0.203,0.19800000000000012,1.0252525252525246
FI-Hyy,2003-11-26,3.826,3.8119999999999985,1.0036726128016793
FI-Hyy,2003-11-27,8.089,8.058,1.0038471084636387
FI-Hyy,2003-11-28,2.591,2.5799999999999983,1.0042635658914736
FI-Hyy,2003-11-29,1.553,1.5439999999999992,1.005829015544042
FI-Hyy,2003-11-30,0.153,0.14800000000000008,1.0337837837837833
FI-Hyy,2003-12-01,0.458,0.4600000000000002,0.9956521739130431
FI-Hyy,2003-12-02,2.892,2.8780000000000006,1.0048644892286307
FI-Hyy,2003-12-03,0.266,0.258,1.0310077519379846
FI-Hyy,2003-12-04,1.323,1.3160000000000003,1.00531914893617
FI-Hyy,2003-12-07,0.401,0.4,1.0025
FI-Hyy,2003-12-10,1.339,1.333999999999999,1.0037481259370322
FI-Hyy,2003-12-11,2.403,2.392,1.004598662207358
FI-Hyy,2003-12-12,0.261,0.258,1.0116279069767442
FI-Hyy,2003-12-13,0.202,0.2,1.01
FI-Hyy,2003-12-14,2.682,2.6659999999999995,1.006001500375094
FI-Hyy,2003-12-15,3.87,3.8579999999999988,1.0031104199066878
FI-Hyy,2003-12-16,0.065,0.06400000000000003,1.0156249999999996
FI-Hyy,2003-12-17,5.712,5.6899999999999995,1.0038664323374342
FI-Hyy,2003-12-18,0.655,0.6520000000000001,1.004601226993865
FI-Hyy,2003-12-19,0.365,0.3640000000000001,1.0027472527472525
FI-Hyy,2003-12-20,0.541,0.538,1.0055762081784387
FI-Hyy,2003-12-21,4.033,4.014,1.004733432984554
FI-Hyy,2003-12-22,4.578,4.5600000000000005,1.0039473684210525
FI-Hyy,2003-12-23,0.065,0.06400000000000003,1.0156249999999996
FI-Hyy,2003-12-24,3.379,3.3640000000000003,1.0044589774078476
FI-Hyy,2003-12-25,0.378,0.37400000000000005,1.0106951871657752
FI-Hyy,2003-12-26,0.987,0.9800000000000002,1.007142857142857
FI-Hyy,2003-12-27,6.443,6.414,1.0045213595260367
FI-Hyy,2003-12-28,5.716,5.694000000000003,1.0038637161924828
FI-Hyy,2003-12-29,16.395,16.334000000000007,1.0037345414472874
FI-Hyy,2003-12-31,0.129,0.13200000000000006,0.9772727272727268
FI-Hyy,2004-01-01,0.016,0.014000000000000005,1.1428571428571423
FI-Hyy,2004-01-02,0.025,0.022000000000000013,1.1363636363636358
FI-Hyy,2004-01-03,0.196,0.18600000000000003,1.053763440860215
FI-Hyy,2004-01-04,1.294,1.286,1.0062208398133747
FI-Hyy,2004-01-05,0.707,0.7020000000000002,1.0071225071225067
FI-Hyy,2004-01-06,0.789,0.7860000000000005,1.0038167938931293
FI-Hyy,2004-01-07,0.312,0.30800000000000016,1.0129870129870124
FI-Hyy,2004-01-08,4.419,4.403999999999999,1.0034059945504088
FI-Hyy,2004-01-09,0.115,0.10800000000000004,1.0648148148148144
FI-Hyy,2004-01-10,0.13,0.1300000000000001,0.9999999999999993
FI-Hyy,2004-01-11,0.235,0.23600000000000015,0.9957627118644061
FI-Hyy,2004-01-12,0.547,0.5500000000000003,0.9945454545454542
FI-Hyy,2004-01-13,1.509,1.5020000000000002,1.0046604527296936
FI-Hyy,2004-01-14,0.439,0.43200000000000016,1.0162037037037033
FI-Hyy,2004-01-15,0.976,0.9740000000000006,1.0020533880903484
FI-Hyy,2004-01-16,0.516,0.5160000000000002,0.9999999999999996
FI-Hyy,2004-01-17,0.097,0.09200000000000004,1.054347826086956
FI-Hyy,2004-01-18,1.572,1.564,1.0051150895140666
FI-Hyy,2004-01-19,0.121,0.12200000000000008,0.9918032786885239
FI-Hyy,2004-01-20,0.262,0.2620000000000002,0.9999999999999993
FI-Hyy,2004-01-21,0.445,0.4460000000000002,0.997757847533632
FI-Hyy,2004-01-22,0.05,0.04400000000000002,1.136363636363636
FI-Hyy,2004-01-23,0.17,0.17200000000000013,0.9883720930232551
FI-Hyy,2004-01-24,0.137,0.13200000000000006,1.0378787878787874
FI-Hyy,2004-01-25,0.099,0.092,1.0760869565217392
FI-Hyy,2004-01-26,0.824,0.8220000000000002,1.0024330900243306
FI-Hyy,2004-01-27,0.843,0.8460000000000004,0.9964539007092194
FI-Hyy,2004-01-28,1.04,1.0400000000000003,0.9999999999999998
FI-Hyy,2004-01-29,1.335,1.3300000000000003,1.0037593984962403
FI-Hyy,2004-01-30,0.507,0.5000000000000002,1.0139999999999996
FI-Hyy,2004-01-31,7.619,7.590000000000001,1.003820816864295
FI-Hyy,2004-02-01,9.483,9.448000000000004,1.003704487722269
FI-Hyy,2004-02-03,2,1.9939999999999998,1.003009027081244
FI-Hyy,2004-02-04,5.972,5.952,1.0033602150537635
FI-Hyy,2004-02-05,0.704,0.7020000000000003,1.0028490028490025
FI-Hyy,2004-02-06,0.561,0.5520000000000002,1.0163043478260867
