site_id,flux,location_lat,location_long,tower_value,model_value,n_tower_years,tower_carbon_src,tower_partition,n_models
CN-Aro,NEE,38.04734,100.46432,-352.7599061825281,-20.051429265724536,12,VUT,NA,17
CN-Ash,NEE,24.53806,101.02917,-1461.0853211149963,-82.63192704402218,11,VUT,NA,17
CN-BeO,NEE,40.02621,116.39143,-48.069669188962266,-36.32304983721917,9,VUT,NA,17
CN-DaW,NEE,30.4691,91.0624,-148.649496530688,-18.939452069737484,5,CUT,NA,17
CN-Dan,NEE,30.4978,91.0664,-213.03239105779195,-18.944772198221173,6,CUT,NA,17
CN-Dda,NEE,41.64397,110.33147,-110.29059591551999,-7.225450090210359,3,VUT,NA,17
CN-Din,NEE,23.1733,112.5361,-701.0916723072,-76.89543188694415,8,CUT,NA,17
CN-Dmn,NEE,38.85551,100.37223,-703.7716394224201,-8.232254643716146,13,VUT,NA,17
CN-Dsh,NEE,38.83992,98.9406,-306.3070890057207,-10.174459274549804,12,VUT,NA,17
CN-Du2,NEE,42.0467,116.2836,-104.03697452179887,-23.334038989982446,8,VUT,NA,17
CN-Dzo,NEE,19.546,109.475,-1006.6979438138056,-75.05331274588889,9,VUT,NA,17
CN-Erg,NEE,50.1869,119.3889,-28.829835999359986,-16.376684945694933,3,VUT,NA,17
CN-Ha2,NEE,37.6086,101.3269,-268.174704121056,-23.118534596532754,9,VUT,NA,17
CN-HaM,NEE,37.607433,101.332,-215.8747560119314,-23.12595233801096,14,VUT,NA,17
CN-HaW,NEE,37.607655,101.32899,-308.89373510304,-23.113816922833507,6,VUT,NA,17
CN-HeD,NEE,42.1135,100.9872,15.649255956960001,0,6,VUT,NA,17
CN-HeM,NEE,41.99029,101.13349,-400.85591680629807,2.5701798680096516e-5,12,VUT,NA,17
CN-Huz,NEE,38.76519,100.3186,-228.29881559904,-6.562610069754555,10,VUT,NA,17
CN-Jng,NEE,37.83869,101.1145,-169.51814193887998,-27.199253412547108,7,VUT,NA,17
