site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
BE-Bra,-151.95352303091784,-169.56809887651565,-129.1687554903669,20.19967169307438,51.30761,4.51984
BE-Dor,-77.14650561768474,-97.12173804814839,-57.49299951900131,19.81436926457354,50.311874,4.968113
BE-Lcr,-342.5592650976,-371.83840530624,-311.88474970848006,29.97682779887998,51.11218,3.85043
BE-Lon,-361.1485691927115,-378.2352821416285,-346.5592529998816,15.83801457087344,50.55162,4.746234
BE-Maa,6.4916828536320175,0.8637968148479978,11.248970075135986,5.192586630143994,50.97987,5.631851
BE-Vie,-488.02508675397326,-514.1277785188588,-466.6941004640219,23.716839027418445,50.304962,5.998099
BJ-Bfg,-788.7604218669258,-842.301369773897,-711.9407446461258,65.1803125638856,9.791,1.718
BJ-Db1,-1173.132596448,-1203.5620246463998,-1157.0343092928001,23.26385767679983,6.607338,2.543043
BJ-Nhu,-164.02349056780804,-224.16563136054856,-142.13258032023768,41.01652552015544,9.74,1.6
BR-ITA,-141.0121835712,-193.2251462784,-113.89833615743999,39.66340506048,-23.0604,-48.6467
BR-Ji3,-1478.4545528639999,-1553.916606624,-1406.2164413184,73.85008265279998,-10.1866,-61.8725
BR-Ma2,-473.63639727961515,-674.3535744248661,-328.2454066385857,173.05408389314022,-2.6091,-60.2093
BR-Ma3,-920.9942506458514,-1086.097261870903,-760.7117630447999,162.6927494130515,-2.3907,-59.8835
BR-Npw,-417.31852484160004,-490.98526109568,-350.05843358784006,70.46341375391998,-16.498,-56.412
BR-Sa1,353.1411497046857,282.27112970934854,420.9072975063772,69.31808389851432,-2.8567,-54.9589
BR-Sa3,-133.2686860416,-199.1265640992,-85.57119443519998,56.77768483200001,-3.018,-54.9714
BR-Xpw,268.32666550809597,235.37277770342402,313.76417966208004,39.19570097932801,-16.373,-56.461
CA-ARB,-53.777919771857455,-56.983912720704,-51.608520714868355,2.6876960029178214,52.695,-83.9452
CA-ARF,-17.462803234286774,-20.307390668241222,-15.54841739761477,2.379486635313226,52.7008,-83.955
CA-CF3,-51.42701604643201,-54.11798831347198,-49.37729812704,2.3703450932159917,58.6658,-93.8304
CA-Ca1,-345.69275413513844,-374.32252760477536,-315.7798278616616,29.27134987155688,49.8673,-125.3336
CA-Ca2,579.8129367995346,557.613884020189,600.9404822417455,21.66329911077827,49.8705,-125.2909
CA-Cbo,-320.1404825361658,-346.29499287753765,-276.32448808616374,34.985252395686956,44.3184,-79.9341
CA-DB2,4.879304307072001,-30.995579411711994,31.814818149888,31.4051987808,49.119,-122.9951
CA-DBB,-23.25071071740342,-56.06502931254856,1.4261664647314323,28.745597888639995,49.1293,-122.9849
CA-DSM,-71.44669342079996,-94.5550172736,-57.09889843200002,18.72805942079999,49.0887,-122.8954
CA-EM1,8.09967807360001,-13.390113024,21.2797725696,17.3349427968,50.3623,-100.2024
CA-EM2,-180.26253964224,-193.70307667392,-166.12304888447994,13.790013894720033,50.3706,-100.5339
CA-Gro,-121.99151359400723,-139.34509287159267,-110.54764242995432,14.398725220819173,48.2167,-82.1556
CA-Man,-20.73741946368498,-28.303886415235322,-15.564840383276877,6.369523015979222,55.8796,-98.4808
CA-Mer,-86.50937814338317,-99.17205734583209,-79.24228618240046,9.964885581715812,45.4094,-75.5186
CA-Qfo,4.4611868818285725,-15.640675060114287,9.94650586971429,12.793590464914288,49.6925,-74.3421
CA-RBM,71.897994144,60.4631335104,81.43223656320002,10.484551526400011,49.1313,-123.1964
CA-SJ2,128.838406830336,122.134184983872,139.54991300582398,8.707864010975989,53.945,-104.649
CA-TP1,167.60264163915645,121.3508981855646,184.28800422791747,31.468553021176433,42.6609,-80.5595
CA-TP2,-858.3705212716801,-887.9772147839999,-806.2500557779199,40.86357950304,42.7744,-80.4588
CA-TP3,-557.0552981135846,-569.8829067701025,-539.733953335925,15.074476717088771,42.7068,-80.3483
CA-TP4,-133.2442739187999,-172.91243782888998,-113.72772459815802,29.59235661536598,42.7102,-80.3574
CA-TPA,-266.13943507584,-288.946392912,-242.58225529152,23.18206881024001,42.6947,-80.3487
CA-TPD,-180.37052927643924,-205.99413341498177,-152.84385587931575,26.57513876783301,42.6353,-80.5577
CD-Ygb,257.22775474272004,115.79096503987199,301.2602133945601,92.73462417734405,0.814444,24.502472
CG-Tch,-187.16456113343997,-198.32924019743996,-183.92175650304,7.203741847199979,-4.2891665,11.656417
CH-Aws,-274.6759073712975,-302.0460069070237,-209.27464982717723,46.385678539923234,46.58311,9.790639
CH-Cha,52.38358795705772,-78.0948570086504,121.5836748759285,99.83926594228944,47.21022,8.410444
CH-Crs,-86.11644055680003,-153.90811575936,-20.535990186239964,66.68606278656002,47.0436,7.0475
CH-Dav,-260.46620829922807,-394.6653704882157,-193.2400811807915,100.71264465371209,46.81533,9.85591
CH-Fru,-315.01147961302456,-484.43409943783973,-199.03228938969806,142.70090502407083,47.115833,8.537778
CH-Lae,-217.84929259573536,-330.1672297757557,-118.87854609646672,105.64434183964448,47.478333,8.364389
CH-Oe1,-334.29920381406714,-352.21786346707205,-317.239602705792,17.489130380640034,47.28583,7.731944
CH-Oe2,-21.931805787238005,-47.979354733402516,8.620075628009875,28.299715180706194,47.286415,7.73375
CH-Oe3,-281.6069044565211,-313.6116877540663,-257.38193598977824,28.11487588214402,47.28542,7.732438
CH-Rh1,214.83474301151998,100.57384363985281,301.94434492415996,100.68525064215358,47.3,9.5
CH-Rh2,-414.95347154880005,-586.6935601536001,-364.69381716288,110.99987149536003,47.3,9.5
CH-Rtb,-505.4831988581907,-544.7241053231008,-443.71033666009316,50.50688433150384,47.3804,8.9934
CH-Tnk,-277.21603661990395,-286.19757962496,-268.320874088448,8.938352768255982,47.48058,8.911775
CL-SDF,-163.33841977344,-188.4350836459008,-117.52915308145919,35.4529652822208,-41.883,-73.676
CL-SDP,42.63114596140801,31.87113265209601,49.06431734457598,8.596592346239987,-41.879,-73.666
CN-Aro,-352.7599061825281,-378.78377333540067,-329.9158562738269,24.433958530786896,38.04734,100.46432
CN-Ash,-1461.0853211149963,-1520.8955746957963,-1398.6860102427925,61.104782226501925,24.53806,101.02917
CN-BeO,-48.069669188962266,-99.27060671725712,-17.05878061282283,41.10591305221715,40.02621,116.39143
CN-Dda,-110.29059591551999,-112.80308223744,-107.88786634751997,2.45760794496001,41.64397,110.33147
CN-Dmn,-703.7716394224201,-728.0613488299085,-669.7035785811953,29.17888512435661,38.85551,100.37223
CN-Dsh,-306.3070890057207,-319.0171967498618,-298.8974135374969,10.059891606182447,38.83992,98.9406
CN-Du2,-104.03697452179887,-115.73109591002743,-83.34730753699887,16.191894186514283,42.0467,116.2836
CN-Dzo,-1006.6979438138056,-1070.7096115481143,-949.2267006906172,60.74145542874851,19.546,109.475
CN-Erg,-28.829835999359986,-59.04191423231999,-11.86017014592001,23.59087204319999,50.1869,119.3889
CN-Ha2,-268.174704121056,-283.88682899308793,-253.10762971977599,15.389599636655973,37.6086,101.3269
CN-HaM,-215.8747560119314,-230.0779316987383,-211.80505947839998,9.136436110169157,37.607433,101.332
CN-HaW,-308.89373510304,-320.64279232608,-277.77033419904,21.43622906351999,37.607655,101.32899
CN-HeD,15.649255956960001,13.099425391583999,18.3771118728576,2.6388432406368008,42.1135,100.9872
CN-HeM,-400.85591680629807,-425.90613131329746,-376.29176279348945,24.807184259904005,41.99029,101.13349
CN-Huz,-228.29881559904,-233.41229365289138,-223.80768444713146,4.802304602879957,38.76519,100.3186
CN-Jng,-169.51814193887998,-180.12201296058512,-159.87494841268114,10.123532273951994,37.83869,101.1145
CN-Jzh,-526.4746137912961,-581.0824075003202,-473.879240657856,53.60158342123211,41.14806,121.20167
CN-Lch,-623.2123644110088,-754.4611966864209,-561.3820387241143,96.53957898115328,37.88936,114.69289
CN-Lsh,187.423857072,145.55048699519995,236.26320071040004,45.35635685760005,45.27984,127.57821
CN-Nmn,-437.16264582700796,-453.03460898399993,-420.002939340864,16.515834821567978,42.94611,120.72694
CN-Sb1,-1883.3090471423998,-1909.1346964416002,-1860.9338913983997,24.100402521600245,42.40907,117.31461
CN-Sb2,-1270.8376968407042,-1300.090288752,-1236.69563828544,31.697325233280026,42.39117,117.37017
CN-Sdq,-262.8219294542263,-278.2037683936841,-256.03738541403425,11.083191489824912,42.00119,101.13741
CN-Xi2,-142.68383414043427,-183.95156946832458,-116.35725218906879,33.797158639627895,43.55444,116.6714
CN-YaS,7.720823202237259,1.55356881903361,12.208986934148568,5.327709057557479,37.70877,107.22655
CN-Yan,-253.00675987200003,-259.24930668288,-240.56466030720003,9.34232318783998,37.82861,107.49278
CN-You,-143.53315797657598,-154.7596461327552,-137.5341507821952,8.61274767527999,38.01419,100.24206
CN-Yuc,-573.3888402116571,-615.887561989111,-519.1383315779384,48.37461520558628,36.8287,116.5701
CN-Zha,-650.1715627900008,-695.9454095312137,-598.2834931189286,48.830958206142554,38.97514,100.4464
CR-AqC,-837.4366514748342,-904.2272720286171,-797.3325451999543,53.44736341433139,9.938369,-83.7289
CR-Fsc,-1157.9251548959996,-1406.9013122592,-1066.9653803807998,169.9679659392001,10.4189,-85.4732
CZ-BK1,-737.8259119795106,-773.4559213590954,-713.5936476695764,29.93113684475952,49.502075,18.536882
CZ-BK2,36.745094114742884,22.976430387017157,45.55447822902858,11.289023921005713,49.49443,18.54285
CZ-KrP,-97.25159903915517,-108.78769508198398,-86.12560085483517,11.331047113574407,49.573257,15.078773
CZ-LnG,37.65858794496002,10.17124492608,55.33123288319999,22.579993978559994,48.704224,16.926247
CZ-Lnz,-516.7678369909875,-534.21453051264,-500.78709883196507,16.713715840337443,48.68155,16.946331
CZ-RAJ,-247.1776412154495,-276.41211937501083,-220.22474075401848,28.093689310496174,49.44372,16.696512
CZ-Stn,-257.85570066193577,-330.3715246761917,-228.85197926432284,50.75977270593444,49.035976,17.9699
CZ-wet,74.11022475124548,52.02431197295495,88.7082025165238,18.341945271784425,49.02465,14.77035
DE-Akm,17.106617131012968,-8.342306013880545,33.51829113242926,20.930298573154904,53.86617,13.68342
DE-Amv,39.774140812799985,36.24910392959997,47.558459750399976,5.654677910400004,52.1757,6.95537
