site_id,n_own_years,tower_nee,tower_half_width,model_median,model_min,model_max,n_models,diff_tower_minus_model
CR-AqC,8,-837.4366514748342,53.44736341433139,-163.8637883953272,-385.2794438810026,-46.16110835788134,17,-673.572863079507
CR-Fsc,4,-1157.9251548959996,169.9679659392001,-148.66244290573678,-525.7337724750939,-6.1428343725439145,17,-1009.2627119902629
CZ-BK1,17,-737.8259119795106,29.93113684475952,-90.81043539666614,-167.56241499412863,60.32455729069188,17,-647.0154765828445
CZ-BK2,7,36.745094114742884,11.289023921005713,-94.68623471349562,-160.52218444525593,38.87193768415748,17,131.43132882823852
CZ-KrP,7,-97.25159903915517,11.331047113574407,-39.28161978055484,-219.9811363342621,36.95030254170068,17,-57.969979258600326
CZ-LnG,2,37.65858794496002,22.579993978559994,-97.29836063278543,-249.90624576285327,74.53811680224285,17,134.95694857774544
CZ-Lnz,6,-516.7678369909875,16.713715840337443,-83.86050821193086,-274.2987413211357,49.010037046640406,17,-432.90732877905657
CZ-RAJ,9,-247.1776412154495,28.093689310496174,-54.273899537766496,-220.25669949274015,115.97892846891119,17,-192.903741677683
CZ-Stn,11,-257.85570066193577,50.75977270593444,-92.81936853204542,-202.53232129341723,113.01774348883914,17,-165.03633212989035
CZ-wet,15,74.11022475124548,18.341945271784425,-65.94355033930321,-201.1585654027859,-10.679538117984466,17,140.0537750905487
DE-Akm,11,17.106617131012968,20.930298573154904,-94.80640600001864,-283.1122629136844,33.33034020066123,17,111.91302313103161
DE-Geb,1,-182.87156954880004,22.006661290560018,-80.55616617378016,-295.3314879780276,93.67246269222346,17,-102.31540337501988
DE-Gri,17,-96.31955739812501,13.98692730107652,-82.95546767651362,-256.9122827114444,14.75226420162375,17,-13.364089721611393
DE-GsB,6,186.54013235231997,20.962154098629824,-66.35396711445453,-285.37773600029544,43.89941562719106,17,252.8940994667745
DE-Hai,21,-522.1038668808477,27.587952697783436,-91.43674257978445,-289.89852849064806,14.684621383235255,17,-430.66712430106327
DE-Har,1,-206.39288083968,26.833825342080004,-92.71414079531635,-255.35907887764955,99.6105105893827,17,-113.67874004436365
DE-Hdn,1,-336.25548969984,14.727921534719968,-87.77765089781036,-295.28776976338867,127.86402177808372,17,-248.47783880202962
DE-HoH,6,-260.84982303359993,22.300767477294514,-69.51714395279255,-289.2489801730679,55.91412551876487,17,-191.3326790808074
DE-Hte,10,-233.3689920662606,13.495439994796797,-44.11696813771175,-276.18875075524244,25.97560712623266,17,-189.25202392854885
DE-Hzd,11,147.77908581017093,38.74803889937588,-66.50731615409019,-257.1064204282966,29.14786016732936,17,214.28640196426113
DE-Kli,17,-99.80310153077562,17.454392063758064,-75.83425340547717,-254.7511011083746,14.785082769298207,17,-23.96884812529845
DE-Msr,1,-353.03324900544,43.517692528703975,-81.92828153927405,-384.5889905183933,20.005222013904103,17,-271.10496746616593
DE-Obe,13,-249.75186531578916,27.382883414161157,-57.99236312084187,-252.80530476791034,35.66327193894147,17,-191.7595021949473
DE-RuC,8,156.1120265138269,11.542855224383999,-51.07669065682373,-198.00328836369042,4.141805753022487,17,207.18871717065062
DE-RuM,9,-521.6778157248,13.650070325677717,-48.58148907087912,-240.62838261801224,9.157735357401508,17,-473.09632665392087
DE-RuR,10,-171.84289240257547,13.671668632290917,-74.03251711566014,-206.1129878770984,5.687129283438598,17,-97.81037528691533
DE-RuS,10,-484.7332090044314,11.941157922495137,-43.50547959807251,-238.05240125417632,8.648734816920944,17,-441.2277294063589
DE-RuW,9,-452.6991776087887,51.29246408217844,-83.68636609267845,-209.1420555782294,4.28421169094164,17,-369.0128115161103
DE-Seh,4,-510.3467603712,21.95475617087999,-70.80181995141831,-288.8678457347018,38.263672830744426,17,-439.5449404197817
DE-SfS,11,-465.16272190073016,27.424406632738936,-73.51428886403022,-221.56101427282005,41.117236435286955,17,-391.64843303669994
DE-Spw,6,-391.9559693299199,17.715951028799992,-83.46966844092705,-258.98915979657176,17.72852994804768,17,-308.4863008889929
DE-Tha,25,-493.1207784918951,12.271156630092719,-87.58465518690095,-260.7044219491583,0.4895162651622934,17,-405.5361233049942
DE-Zrk,8,15.90035989165714,65.42541307891747,-64.06413194160146,-312.03797039628665,39.67982375361117,17,79.96449183325859
DK-Eng,4,-72.44556914304002,8.015452649280007,-70.24100266809464,-228.60866903634087,39.32773361312449,17,-2.2045664749453806
DK-Sor,25,-249.44013099810178,12.941602895754386,-61.15281607575228,-258.8904586733209,16.882470875480923,17,-188.2873149223495
DK-Vng,1,-136.88106979968,6.196100192640017,-128.32819492383754,-330.3957399642888,69.90969735908013,17,-8.552874875842463
EE-Stg,5,-186.83662429553138,16.46330973099427,-49.44164098757427,-164.57475365644123,-16.70665969668429,17,-137.39498330795712
ES-Abr,6,-0.31365872179200394,10.363555469952015,-38.44295738802901,-177.0522148994677,6.523279737425845,17,38.129298666237005
ES-Amo,13,76.81388920279853,4.63363527551563,-28.815478767288216,-114.87252445536897,2.1820268119382167,17,105.62936797008675
ES-HeB,2,-184.45581194111998,36.50563124616963,-64.86542118281884,-184.31475956003433,10.372360746150349,17,-119.59039075830114
ES-Hen,2,-175.7816017138944,51.122225881152005,-65.28296278518745,-186.60058120408723,10.393684574672404,17,-110.49863892870694
ES-LJu,17,-7.129325895686069,30.19590628061696,-39.00418513085649,-103.86562760847863,4.246522169966862,17,31.874859235170423
ES-LM1,7,-11.023680896221098,9.630832482274924,-45.75866096880352,-180.63421834940388,13.003104407523034,17,34.73498007258242
ES-LM2,7,31.04990868978431,9.212932386672868,-44.85202046014915,-180.48144298987393,13.227470474762418,17,75.90192914993347
ES-LMa,1,50.868493596288,12.442898686176008,-86.30983621581778,-185.92105166945336,31.634393635470083,17,137.17832981210577
ES-LgS,3,-102.536035538112,6.869677210559999,-60.718248054854925,-161.59328993979898,1.4112473630708642,17,-41.81778748325708
ES-Mcd,3,-154.45740446290287,20.48401900215771,-71.36376455171813,-186.38672124744443,-8.237462359873208,17,-83.09363991118474
ES-Pdu,4,-130.761917568,21.319673601599995,-20.653681562404472,-98.29785972262842,27.711705560833344,17,-110.10823600559553
ES-Pzb,1,45.92325182976002,11.381152708799998,-19.90165337351326,-205.64463013459897,33.717552200809706,17,65.82490520327327
ES-Yst,2,-339.31041958656,15.76082655359997,-74.00259146867111,-241.54124285075494,-2.4724866454724523,17,-265.3078281178889
FI-Hyy,24,-228.60092958375273,9.209306248551982,-39.558358285212556,-79.42636845699903,11.307074351387687,17,-189.04257129854017
FI-Jok,4,124.36938745919998,5.453189624160025,-70.93300778792371,-150.89723609542605,-3.550279242256056,17,195.30239524712368
FI-Ken,3,53.39903132752457,12.948152340507434,-45.95040921863682,-172.2277354479874,47.777393965793365,17,99.34944054616139
