value,area_km2
-139.89999999999998,3003.355055536621
-139.79999999999995,6147.65787544178
-139.69999999999993,6041.523087363281
-139.29999999999995,2612.4756009845582
-139.19999999999993,11992.016550988174
-139.0999999999999,8512.190449806389
-138.89999999999998,2985.0106924381867
-138.69999999999993,5636.578836566605
-138.5999999999999,11382.111674905012
-138.5,5788.04477385054
-138.39999999999998,9142.324326524096
-138.29999999999995,6034.1518076029515
-138.19999999999993,9110.196110275001
-138.0999999999999,12272.08256165708
-138,6098.508825838314
-137.89999999999998,9098.708911918378
-137.79999999999995,3075.8812570091877
-137.69999999999993,6084.152527716407
-137.5999999999999,6118.718226079101
-137.5,8962.131889645843
-137.39999999999998,9049.072826451813
-137.29999999999995,12085.50848255425
-137.19999999999993,3014.4663297179563
-137.0999999999999,12256.409130014177
-137,6095.729780557045
-136.89999999999998,6115.531099659302
-136.79999999999995,15284.466825391995
-136.69999999999993,5057.885900005767
-136.5999999999999,6130.337742374355
-136.5,3053.325268505295
-136.39999999999998,6063.44260862304
-136.29999999999995,9214.652530412404
-136.19999999999993,5547.18718070192
-136.0999999999999,8817.17831651825
-136,8690.480757607276
-135.89999999999998,9015.194751895166
-135.79999999999995,3075.8812570091877
-135.69999999999993,6078.064321518196
-135.5999999999999,6100.5176697778625
-135.5,6058.8396301590765
-135.39999999999998,11969.886926952491
-135.19999999999993,3038.3118386238557
-135.0999999999999,5727.496902304222
-135,15171.432944360557
-134.89999999999998,9135.238670594716
-134.79999999999995,5980.202673016189
-134.69999999999993,3072.460921920738
-134.5999999999999,6032.804323931579
-134.5,2755.4025000325623
-134.39999999999998,8879.434978192825
-134.29999999999995,2978.4500115692904
-134.19999999999993,6090.505735153176
-134.0999999999999,18240.484391450784
-134,8724.592877144829
-133.89999999999998,12042.055126985082
-133.79999999999995,23121.957418324295
-133.69999999999993,9178.266917998233
-133.5999999999999,12006.753369484157
-133.5,8666.510706817144
-133.39999999999998,6073.01074639029
-133.29999999999995,12138.092311694467
-133.19999999999993,12136.9595114373
-133.0999999999999,5959.52799766912
-133,6083.507902031929
-132.89999999999998,8454.718480517047
-132.79999999999995,6137.174902470841
-132.69999999999993,9077.15709224392
-132.5999999999999,18203.81596539156
-132.5,11461.96828278168
-132.39999999999998,12255.68894781579
-132.29999999999995,15259.32903476391
-132.19999999999993,3053.325268505295
-132.0999999999999,2843.551254179092
-132,2554.4525724395144
-131.89999999999998,23351.53737476928
-131.79999999999995,6135.3538966081715
-131.69999999999993,8814.481719094667
-131.5999999999999,14532.535388357204
-131.5,8291.143064745382
-131.39999999999998,20902.234288367305
-131.29999999999995,20350.66716014254
-131.19999999999993,3062.205831154007
-131.0999999999999,6017.821385254578
-131,6047.33458782808
-130.89999999999998,9054.142784839256
-130.79999999999995,8860.01284323832
-130.69999999999993,12122.48848865989
-130.5999999999999,9186.644614689416
-130.5,12130.958488398071
-130.39999999999998,14933.10741109784
-130.29999999999995,8622.743936640893
-130.19999999999993,26186.994312348143
-130.0999999999999,12156.190166383889
-130,16331.21495925094
-129.89999999999998,18307.047247891867
-129.79999999999995,12167.334554442165
-129.69999999999993,3056.5123949250947
-129.5999999999999,14928.103949483855
-129.5,20834.281190179412
-129.39999999999998,9013.718919527406
-129.29999999999995,5588.445912667596
-129.19999999999993,15284.943126280183
-129.0999999999999,14161.959004345907
-129,12179.00967283548
-128.89999999999998,12252.92587422097
-128.79999999999995,2942.320173995636
-128.69999999999993,17414.346377005182
-128.5999999999999,8660.531827437393
-128.5,17566.628477640636
-128.39999999999998,11079.175693837813
-128.29999999999995,20782.054962271213
-128.19999999999993,8868.141699953856
-128.0999999999999,12158.739345586378
-127.89999999999998,5824.9774213314595
-127.79999999999995,11525.983089174155
-127.69999999999993,5622.171505189285
-127.59999999999991,6039.14621783538
-127.5,21173.41062658991
-127.39999999999998,12219.276268805086
-127.29999999999995,2731.2637856573488
-127.19999999999993,8742.816933630542
-127.09999999999991,11698.778072947298
-127,5149.168304509491
-126.89999999999998,8954.043383902637
-126.79999999999995,3066.990435748524
-126.69999999999993,11778.704444720888
-126.59999999999991,11207.681607183313
-126.5,14969.982558824653
-126.39999999999998,15187.862264728345
-126.29999999999995,14605.272626737587
-126.19999999999993,8726.561337764877
-126.09999999999991,15278.328481793616
-126,24164.30153886238
-125.89999999999998,8415.688575613083
-125.79999999999995,14285.46724937276
-125.69999999999993,8738.457940810322
-125.59999999999991,17686.109813439452
-125.5,16497.79733855555
-125.39999999999998,8283.73954246045
-125.29999999999995,12170.83324075489
-125.19999999999993,20647.5737125784
-125.09999999999991,17031.733518970475
-125,11712.36000505717
-124.89999999999998,15037.947867103205
-124.79999999999995,14245.55111199267
-124.69999999999993,8641.379824078209
-124.59999999999991,17533.26232304087
-124.5,17359.231629119295
-124.39999999999998,17247.444903267813
-124.29999999999995,11783.06575883563
-124.19999999999993,11966.77564067826
-124.09999999999991,8731.344835117055
-124,14575.96585531927
-123.89999999999998,23617.183264814903
-123.79999999999995,14315.35749817549
-123.69999999999993,9081.626090603328
-123.59999999999991,29211.37629511727
-123.5,9131.103728048784
-123.39999999999998,11570.472603231185
-123.29999999999995,9054.782316792596
-123.19999999999993,5583.844413394898
-123.09999999999991,26885.04389236901
-123,9149.054639749878
-122.89999999999998,16629.87354224384
-122.79999999999995,23063.80789002416
-122.69999999999993,23063.2756446492
-122.59999999999991,12014.620649086097
-122.5,12042.025127481298
-122.39999999999998,23920.856591333984
-122.29999999999995,11635.651203722526
-122.19999999999993,17715.064305066007
-122.09999999999991,22982.91041084365
-122,13975.716359255242
-121.89999999999998,9159.29552961151
-121.79999999999995,22471.344293349186
-121.69999999999993,15079.18075492866
-121.59999999999991,23220.986038597748
-121.5,17553.159837738396
-121.39999999999998,17889.180197519563
-121.29999999999995,24220.5489364394
-121.19999999999993,11833.915155646107
-121.09999999999991,14574.860381358114
-121,20105.55314919596
-120.89999999999998,20598.116514714493
-120.79999999999995,14182.362511138519
-120.69999999999993,30669.62514228965
-120.59999999999991,11468.079766262617
-120.5,11747.065353350106
-120.39999999999998,17838.87549023627
-120.29999999999995,17814.717329548053
-120.19999999999993,23274.435000863483
-120.09999999999991,14860.315192412398
-120,17226.738416817243
-119.89999999999998,18341.213275786566
-119.79999999999995,8866.704511807846
-119.69999999999993,17582.23372350841
-119.59999999999991,6120.315704253819
-119.5,13865.618306518942
-119.39999999999998,5493.310656449219
-119.29999999999995,20804.716367871282
-119.19999999999993,22346.436465955412
-119.09999999999991,14278.717852688782
-119,17781.403255663452
-118.89999999999998,23197.102155067914
-118.79999999999995,8357.406074555427
-118.69999999999993,26736.972906570554
-118.59999999999991,12281.87584621203
-118.5,36149.07378150983
-118.39999999999998,14188.434046412278
-118.29999999999995,17568.46129154083
-118.19999999999993,14201.160890359653
-118.09999999999991,32537.112632888144
-118,11896.214972350495
-117.89999999999998,17276.166365823272
-117.79999999999995,50272.23073004344
-117.69999999999993,18078.332953405145
-117.59999999999991,9178.879235744364
-117.5,25667.466990517732
-117.39999999999998,22872.575798484133
-117.29999999999995,8763.55550779662
-117.19999999999993,28983.668014239884
-117.09999999999991,34881.54458514582
-117,14200.313309259309
-116.89999999999998,19940.59382975771
-116.79999999999995,17346.97070690158
-116.69999999999993,31787.213496261415
-116.59999999999991,25767.116421476738
-116.5,28620.55937242056
-116.39999999999998,17112.926614676377
-116.29999999999995,10884.023282826052
-116.19999999999993,31127.06073685292
-116.09999999999991,11503.866455617754
-116,19346.673206124604
-115.89999999999998,23676.16383943047
-115.79999999999995,22330.468405599324
-115.69999999999993,23280.21549084409
-115.59999999999991,22949.317431801748
-115.5,20713.765903887223
-115.39999999999998,17719.620314759868
-115.29999999999995,26743.13926076807
-115.19999999999993,33803.82641393138
-115.09999999999991,23517.64173971123
-115,20144.99246055048
-114.89999999999998,53622.60621519868
-114.79999999999995,6128.973316845833
-114.69999999999993,31101.3182504071
-114.59999999999991,36708.45795492354
-114.5,26873.35837108863
-114.39999999999998,20108.38483092039
-114.29999999999995,14830.214801869854
-114.19999999999993,20523.431809558584
-114.09999999999991,12386.008327145402
-114,23782.66175256521
-113.89999999999998,23573.866839065526
-113.79999999999995,25828.404484282284
-113.69999999999993,20074.47724233173
-113.59999999999991,23992.658792777896
-113.5,23696.267402962367
-113.39999999999998,21211.69828619939
-113.29999999999995,23477.158411279685
-113.19999999999993,32794.5324304192
