site_id,product_id_june,product_name_june,first_year_june,last_year_june,data_hub,product_source_network,product_id_live,product_name_live,first_year_live,last_year_live,n_extracted_dirs,pid_changed,name_changed,year_extended,any_change,on_disk
FR-Aur,R0Wn1kGceDx6Zq8pJq_typhu,ICOS_FR-Aur_FLUXNET_2005-2024_v1.3_r1.zip,2005,2024,ICOS,ICOS,e9BJpil-VqESMF4Y5NacyLVf,ICOS_FR-Aur_FLUXNET_2005-2025_v1.3_r1.zip,2005,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FI-Var,Ve8588DeHh2Y-t-dtZGWggl6,ICOS_FI-Var_FLUXNET_2016-2024_v1.3_r1.zip,2016,2024,ICOS,ICOS,yu-qbz8ScXeQLBioQVflVJIq,ICOS_FI-Var_FLUXNET_2016-2025_v1.3_r1.zip,2016,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FI-Let,DklI-LaynvPoGMvnIbInqLrw,ICOS_FI-Let_FLUXNET_2009-2024_v1.3_r1.zip,2009,2024,ICOS,ICOS,lJA2M5NajEvo4LNStPxtuMhX,ICOS_FI-Let_FLUXNET_2010-2025_v1.3_r1.zip,2010,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FI-Ken,BhlqiN95ECtoSXoxmf0Q4V35,ICOS_FI-Ken_FLUXNET_2018-2024_v1.3_r1.zip,2018,2024,ICOS,ICOS,Ri-8dhfYd2gnZiThyc9UXyZe,ICOS_FI-Ken_FLUXNET_2018-2025_v1.3_r1.zip,2018,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FI-Hyy,pIDsMGxYyXTg31dHecNO55Nq,ICOS_FI-Hyy_FLUXNET_1997-2024_v1.3_r1.zip,1997,2024,ICOS,ICOS,oIJ9cFYf8Q0e9nfMRRS-90vM,ICOS_FI-Hyy_FLUXNET_1997-2025_v1.3_r1.zip,1997,2025,2,TRUE,TRUE,TRUE,TRUE,TRUE
ES-LMa,MSnF-sfvP507KrXcu5yl6LAx,ICOS_ES-LMa_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,WHuC_WF5n_uhQMHgTWaBSmrr,ICOS_ES-LMa_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DK-RCW,m0GlLgv0gcrx3ujxm3uDVWpq,ICOS_DK-RCW_FLUXNET_2023-2024_v1.3_r1.zip,2023,2024,ICOS,ICOS,n7btzoKSWqU_0YyN9omZcsdh,ICOS_DK-RCW_FLUXNET_2023-2025_v1.3_r1.zip,2023,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Tha,ffjFRTBfditjn_0A4exzi5K8,ICOS_DE-Tha_FLUXNET_1996-2024_v1.3_r1.zip,1996,2024,ICOS,ICOS,3LQRnWuwu9ngPJQCQu2r2DTy,ICOS_DE-Tha_FLUXNET_1996-2025_v1.3_r1.zip,1996,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-RuW,BytRjI_RJ0pRtLQCYfnb2Sd1,ICOS_DE-RuW_FLUXNET_2011-2024_v1.3_r1.zip,2011,2024,ICOS,ICOS,mlrCmtpUu7ZzEbkvYEK1DpMg,ICOS_DE-Kli_FLUXNET_2004-2025_v1.3_r1.zip,2004,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-RuS,9m1zuO-nvw0zGnEdt0qo3Xzw,ICOS_DE-RuS_FLUXNET_2011-2024_v1.3_r1.zip,2011,2024,ICOS,ICOS,FBKUgeqFtfcDerDqdwv8lVSX,ICOS_DE-RuS_FLUXNET_2011-2025_v1.3_r1.zip,2011,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-RuR,MoiyY0KjXITz5V_oFs-x9bUj,ICOS_DE-RuR_FLUXNET_2011-2024_v1.3_r1.zip,2011,2024,ICOS,ICOS,Vs7FI6NOiRl_VH7Wkclfl_3t,ICOS_DE-RuR_FLUXNET_2011-2025_v1.3_r1.zip,2011,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Msr,FYr5igpqgstIKkMu0YL-eKyI,ICOS_DE-Msr_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,PSOHmMVaU1pPQSoGDVJRPW6y,ICOS_DE-Msr_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Hzd,uq6kULT1EqxHKftJz-CqeaJa,ICOS_DE-Hzd_FLUXNET_2022-2024_v1.3_r1.zip,2022,2024,ICOS,ICOS,0bxipd79PBLdqj1HiB_ghXvT,ICOS_DE-Hzd_FLUXNET_2010-2025_v1.3_r1.zip,2010,2025,2,TRUE,TRUE,TRUE,TRUE,TRUE
DE-HoH,-aRYvkkX6D6wd2ijWclesXaK,ICOS_DE-HoH_FLUXNET_2015-2024_v1.3_r1.zip,2015,2024,ICOS,ICOS,tfW10G3Do0hp0cimfI4XrgSd,ICOS_DE-HoH_FLUXNET_2015-2025_v1.3_r1.zip,2015,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Har,RMAJ-gFOgcGACadN_gZG_GqU,ICOS_DE-Har_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,AG7-cp4Sxh0AESZmLri2F-At,ICOS_DE-Har_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Hai,M1ET1IeG31p-6n4BFjDb3ZO7,ICOS_DE-Hai_FLUXNET_2000-2024_v1.3_r2.zip,2000,2024,ICOS,ICOS,VsQ1NTQTcEO5zRyfZjrBtkQa,ICOS_DE-Hai_FLUXNET_2000-2025_v1.3_r1.zip,2000,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Gwg,GPtUsX3eLBhx-c2kGtz1zjZ-,ICOS_DE-Gwg_FLUXNET_2023-2024_v1.3_r1.zip,2023,2024,ICOS,ICOS,S17epXE0dyBL-CiW8bGF9CNu,ICOS_DE-Gwg_FLUXNET_2023-2025_v1.3_r1.zip,2023,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-GsB,OhUhfq6ZoSPv26JDuxzBszGu,ICOS_DE-GsB_FLUXNET_2015-2024_v1.3_r1.zip,2015,2024,ICOS,ICOS,NY1UuClNrkeU0UUXUUoECmLZ,ICOS_DE-GsB_FLUXNET_2015-2025_v1.3_r1.zip,2015,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
DE-Gri,H0WNTp4g4beCHZLD5k_u1SJ5,ICOS_DE-Gri_FLUXNET_2004-2024_v1.3_r1.zip,2004,2024,ICOS,ICOS,X0926p0IGvNrpp1IJMw0tdUd,ICOS_DE-Gri_FLUXNET_2004-2025_v1.3_r1.zip,2004,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
