site_id,data_hub,product_source_network,location_lat,location_long,factor_estimate,nearest_cluster
ES-Mzn,ICOS,EUF,40.089497,-0.827409,4.589437245725236,4
ES-Srn,ICOS,EUF,40.15047,-0.8380832,4.497836815605102,4
IT-Arz,ICOS,EUF,45.61902,10.00228,4.282384130223807,4
DE-Etn,ICOS,EUF,48.268486,7.878243,3.804830843870505,4
DE-Spw,ICOS,EUF,51.89225,14.03369,4.346908144507746,4
IE-Gwr,ICOS,EUF,52.6365,-7.011306,3.5986574199050914,4
DE-Akm,ICOS,EUF,53.86617,13.68342,4.272718161160029,4
DE-Hdn,ICOS,EUF,53.86825,13.268543,4.4089057841383426,4
DE-Zrk,ICOS,EUF,53.875942,12.88901,4.508064647425549,4
DK-Eng,ICOS,EUF,55.69053,12.19175,4.280490704070407,4
EE-Rng,ICOS,EUF,57.913143,26.694048,3.7961758300778663,4
EE-Stg,ICOS,EUF,58.023636,26.070753,4.123976817475037,4
FI-Jok,ICOS,EUF,60.8986,23.51345,4.088424468628494,4
FI-Si2,ICOS,EUF,61.837303,24.169725,3.884195151515152,4
FI-Nsv,ICOS,EUF,62.8639,24.08382,4.148689224277409,4
SE-Trb,ICOS,EUF,64.180916,19.837284,4.05679839832521,4
FI-Ruk,ICOS,EUF,64.68398,25.106318,4.084215769023997,4
NO-And,ICOS,EUF,69.1422,16.01975,8.271616564452327,8
CN-Sb2,ICOS,FLX,42.39117,117.37017,4.563932612543287,4
DE-Hzd,ICOS,ICOS,50.96381,13.48978,4.0369691857847725,4
IE-Cra,ICOS,ICOS,53.32308,-7.64177,3.660627822445043,4
KH-Kmp,ICOS,JPF,12.744579,105.47857,4.148525962647478,4
JP-Hc2,ICOS,JPF,34.537518,133.92755,3.898899553069933,4
JP-Hc3,ICOS,JPF,34.539673,133.91173,3.903512040448589,4
JP-Om2,ICOS,JPF,34.542454,135.50822,4.156506542343864,4
JP-Yms,ICOS,JPF,34.79028,135.84094,3.879170554633395,4
JP-Fmt,ICOS,JPF,35.638744,139.37975,3.766590564471967,4
JP-Nkm,ICOS,JPF,35.808064,137.83388,4.200679719801811,4
JP-Shn,ICOS,JPF,35.865753,137.93256,4.120918368199476,4
JP-Mse,ICOS,JPF,36.05393,140.02693,4.146183743719715,4
JP-Tak,ICOS,JPF,36.146168,137.42311,4.375022667032155,4
JP-Tkb,ICOS,JPF,36.173378,140.17664,3.79552634229063,4
JP-Kzw,ICOS,JPF,36.406788,138.57257,4.087522722499529,4
JP-Toc,ICOS,JPF,42.70973,141.5659,4.018842718094331,4
JP-Tmd,ICOS,JPF,42.735912,141.52315,3.755467162424554,4
JP-Tmk,ICOS,JPF,42.739307,141.51483,4.163111216568165,4
JP-BBY,ICOS,JPF,43.322998,141.81065,3.449559948056309,4
JP-MBF,ICOS,JPF,44.38406,142.31862,4.408126859738784,4
JP-Sb2,ICOS,JPF,45.10339,141.6808,3.892827627848538,4
JP-Sb1,ICOS,JPF,45.104702,141.68797,3.892827627848538,4
RU-Ege,ICOS,JPF,60.015514,133.824,4.246261243668882,4
RU-Sk2,ICOS,JPF,62.241356,129.65047,4.141026422764227,4
RU-SkP,ICOS,JPF,62.25471,129.61855,4.242907407407407,4
RU-NeC,ICOS,JPF,62.314842,129.50008,4.3632436962544325,4
RU-NeF,ICOS,JPF,62.315617,129.49997,4.388006315140302,4
RU-NeB,ICOS,JPF,62.325935,129.48734,4.388006315140302,4
KR-Hnm,ICOS,KOF,34.5538,126.56992,3.5047542687759536,4
KR-Nj2,ICOS,KOF,35.0269,126.8219,3.442517583769316,4
KR-Nj1,ICOS,KOF,35.02753,126.82093,3.442517583769316,4
KR-TwB,ICOS,KOF,37.30406,127.31395,3.443407368390335,4
KR-TwC,ICOS,KOF,37.30493,127.31743,3.443407368390335,4
AU-Fog,TERN,TERN,-12.5452,131.3072,3.991277603456117,4
