site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,factor_estimate,n_refs,nearest_cluster,group,was_in_original_26,kg_class_current,currently_classified,temporal_resolution,location_lat,location_long,n_months_qc_ge_0.9,has_measured_precip,factor_applied,map_era5_corrected,n_genuine_months,map_gauge,has_gauge,ratio_corrected_to_gauge
CN-HeM,30,152.75446666666667,8,142.973375,96,0.39047916666666665,142.97337499999998,96,96,0,41,37,FALSE,3.725718699186992,1.068411979969464,1.0684119799694642,4.128499099099099,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-HeM_FLUXNET_2013-2024_v1.3_r1.zip,jF6IagFB3JTernoRBEid7jI1,3.927108899143046,2,4,clustered_4x_8x,FALSE,BWk,TRUE,HH,41.99029,101.13349,0,FALSE,4,38.18861666666667,NA,NA,FALSE,NA
CN-Huz,30,1534.9444,6,1560.133833333333,72,4.2579722222222225,1560.1338333333335,72,72,0,260,130,FALSE,5.903632307692307,0.983854312498618,0.9838543124986175,11.807264615384614,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-Huz_FLUXNET_2015-2024_v1.3_r1.zip,1T6b8TLnKLGWf4tOzEuap3QT,8.855448461538462,2,8,clustered_4x_8x,FALSE,Dwb,TRUE,HH,38.76519,100.3186,0,FALSE,8,191.86805,NA,NA,FALSE,NA
CN-Jng,30,2983.7575666666667,3,3073.6596666666665,36,8.384277777777777,3073.659666666667,36,36,0,481,400,FALSE,6.2032381843381845,0.9707507955500172,0.9707507955500168,7.459393916666667,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-Jng_FLUXNET_2018-2024_v1.3_r1.zip,-j9SFp6fnVpcNTpZmfQG_mJm,6.831316050502426,2,8,clustered_4x_8x,FALSE,ET,TRUE,HH,37.83869,101.1145,0,FALSE,8,372.96969583333333,NA,NA,FALSE,NA
CN-Sb2,30,2080.9931333333334,1,2111.822,12,5.746,2111.822,12,12,0,460,452,FALSE,4.523898115942029,0.9854017683939904,0.9854017683939904,4.603967109144543,FALSE,FALSE,ICOS,FLX,v1.3,FLX_CN-Sb2_FLUXNET_2020-2024_v1.3_r1.zip,wsgSpuYtd8ayCmJtInYU4yhz,4.563932612543287,2,4,clustered_4x_8x,FALSE,Dwc,TRUE,HH,42.39117,117.37017,0,FALSE,4,520.2482833333333,NA,NA,FALSE,NA
CN-Sdq,30,152.75446666666667,8,142.973375,96,0.39047916666666665,142.97337499999998,96,96,0,41,37,FALSE,3.725718699186992,1.068411979969464,1.0684119799694642,4.128499099099099,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-Sdq_FLUXNET_2013-2024_v1.3_r1.zip,3lCvpR-G0sl29NE-OD2rgvf7,3.927108899143046,2,4,clustered_4x_8x,FALSE,BWk,TRUE,HH,42.00119,101.13741,0,FALSE,4,38.18861666666667,NA,NA,FALSE,NA
CN-Zha,30,631.1700666666667,9,597.2601111111111,108,1.626990740740741,597.2601111111111,108,108,0,188,130,FALSE,3.3572875886524822,1.0567758584990237,1.0567758584990237,4.855154358974359,FALSE,FALSE,ICOS,CNF,v1.3,CNF_CN-Zha_FLUXNET_2012-2024_v1.3_r1.zip,tFBkzpRGg9Iwux3atrGwD_ur,4.1062209738134205,2,4,clustered_4x_8x,FALSE,Dwb,TRUE,HH,38.97514,100.4464,0,FALSE,4,157.79251666666667,NA,NA,FALSE,NA
DE-Akm,30,2403.4020666666665,12,2435.146333333333,144,6.648916666666667,2435.146333333333,144,144,0,563,562,FALSE,4.26892018946122,0.9869641235797056,0.9869641235797056,4.276516132858838,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Akm_FLUXNET_2009-2024_v1.3_r2.zip,P8ryFkG8dw0RkoDJmqv06lnk,4.272718161160029,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,53.86617,13.68342,0,FALSE,4,600.8505166666666,NA,NA,FALSE,NA
DE-Etn,30,4270.398866666666,NA,NA,NA,NA,NA,NA,NA,NA,1062,1190,FALSE,4.021091211550534,NA,NA,3.588570476190476,TRUE,FALSE,ICOS,EUF,v1.3,EUF_DE-Etn_FLUXNET_2024-2024_v1.3_r1.zip,timq13anOgu_cC9YrhwCaa1K,3.804830843870505,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,48.268486,7.878243,NA,FALSE,4,1067.5997166666666,NA,NA,FALSE,NA
DE-Hdn,30,2464.5783333333334,1,2259.168,12,6.172166666666667,2259.168,12,12,0,559,NA,FALSE,4.4089057841383426,1.0909230005618586,1.0909230005618586,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_DE-Hdn_FLUXNET_2020-2023_v1.3_r1.zip,6L5koGxrPosquldCoKHd45Q8,4.4089057841383426,1,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,53.86825,13.268543,0,FALSE,4,616.1445833333333,NA,NA,FALSE,NA
DE-Hzd,30,3285.0614666666665,NA,NA,NA,NA,NA,NA,NA,NA,759,877,FALSE,4.328144224857268,NA,NA,3.7457941467122766,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_DE-Hzd_FLUXNET_2010-2025_v1.3_r1.zip,0bxipd79PBLdqj1HiB_ghXvT,4.0369691857847725,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,50.96381,13.48978,NA,FALSE,4,821.2653666666666,NA,NA,FALSE,NA
