site_id,location_lat,location_long,diff,axis,biomass_percentile
US-Mo1,39.2298,-92.1167,319.5484659118652,nee,8.64
US-Mo2,38.9488,-91.9945,-43.40784253540039,nee,3.2399999999999998
US-Mo3,39.2322,-92.1493,192.25396591186524,nee,23.24
US-MOz,38.7441,-92.2,295.0251516723633,nee,100
US-Mpj,34.4382,-106.2385,73.57253759765625,nee,91.2
US-MtB,32.416,-110.7256,495.70874826049806,nee,98.44000000000001
US-Myb,38.0499,-121.765,407.90820068359375,nee,90.72
US-NC1,35.8118,-76.7119,166.63708612060546,nee,60.96
US-NC2,35.803,-76.6685,608.8440861206054,nee,82.32000000000001
US-NC3,35.799,-76.656,29.230436120605475,nee,77.72
US-NC4,35.7817,-75.9135,3.213799273681637,nee,97.52
US-Ne1,41.1651,-96.4766,288.32951132202146,nee,21.279999999999998
US-Ne2,41.1649,-96.4701,396.67051132202147,nee,21.279999999999998
US-Ne3,41.1797,-96.4397,27.204211322021486,nee,21.279999999999998
US-NR1,40.0329,-105.547,141.15195272827148,nee,67.64
US-Oho,41.5545,-83.8438,784.6389163513184,nee,99.88
US-ONA,27.3836,-81.9509,249.0895003967285,nee,37.24
US-OPE,39.0293,-76.8457,-26.60700780029297,nee,76.8
US-OWC,41.3793,-82.5124,48.535084436035156,nee,96.88
US-PAS,27.3944,-81.951,279.4545003967285,nee,41.959999999999994
US-PLo,42.7496,-70.9157,201.35422817993165,nee,71.72
US-Prr,65.1237,-147.4876,-9.89444118652344,nee,87.12
US-RC1,46.7837,-117.0777,241.18593997192386,nee,79.96
US-RC2,46.7776,-117.0807,125.36393997192383,nee,79.96
US-RC3,46.991,-118.598,139.2171843170166,nee,77.8
US-RC4,46.758,-116.949,217.57364993286131,nee,17.4
US-RGA,34.4159,-91.6733,172.90882610839844,nee,29.4
US-RGB,39.5782,-121.8579,47.01840595703126,nee,9.32
US-RGF,37.6995,-121.1369,154.2059862976074,nee,71.92
US-RGo,39.6805,-122.0026,163.43705917358398,nee,79.52
US-RGW,33.6216,-91.4306,232.3831937255859,nee,33.48
US-Rls,43.1439,-116.7356,3.4887229705810547,nee,81.56
US-Rms,43.0645,-116.7486,-10.571377029418944,nee,93.52000000000001
US-Ro1,44.7143,-93.0898,19.80549862670898,nee,11.959999999999999
US-Ro2,44.7288,-93.0888,128.679998626709,nee,11.959999999999999
US-Ro3,44.7217,-93.0893,352.937998626709,nee,11.959999999999999
US-Ro4,44.6781,-93.0723,237.32099862670896,nee,55.16
US-Ro5,44.691,-93.0576,130.60974862670898,nee,30.680000000000003
US-Ro6,44.6946,-93.0578,162.03999862670898,nee,30.680000000000003
US-Rpf,65.1198,-147.429,-2.417141186523441,nee,67.24
US-RRC,37.3344,-77.2065,300.0852653198242,nee,67.08
US-Rwe,43.0653,-116.7591,60.31062297058105,nee,88.16000000000001
US-Rwf,43.1207,-116.7231,12.16662297058106,nee,86.16
