axis,site_id,location_lat,location_long,n_measured_years,stat_measured_years,stat_full_34yr,paired_diff
nee,US-EDN,37.6156,-122.114,2,NA,38.41838073730469,NA
nee,US-EKH,36.8094,-121.7523,1,NA,38.8272705078125,NA
nee,US-Elm,25.5519,-80.7826,11,96.3039978200739,103.3156509399414,-7.011653119867503
nee,US-EML,63.8784,-149.2536,5,20.99094228744507,30.57876205444336,-9.58781976699829
nee,US-Esm,25.4379,-80.5946,12,86.05427877108255,107.30545806884766,-21.251179297765106
nee,US-EvM,25.3539,-80.381,2,NA,103.13263702392578,NA
nee,US-Fcr,65.3968,-148.9348,1,NA,35.595184326171875,NA
nee,US-Fmf,35.1426,-111.7273,5,43.66124496459961,48.335914611816406,-4.6746696472167955
nee,US-Fuf,35.089,-111.762,4,35.835222244262695,48.335914611816406,-12.500692367553711
nee,US-Fwf,35.4454,-111.7718,5,43.66124496459961,48.335914611816406,-4.6746696472167955
nee,US-GLE,41.3665,-106.2399,13,29.440045301730816,30.56537628173828,-1.1253309800074653
nee,US-Ha1,42.5378,-72.1715,25,57.76122859835625,57.04385757446289,0.7173710238933566
nee,US-HB1,33.3455,-79.1957,5,59.602776527404785,53.956058502197266,5.6467180252075195
nee,US-HB2,33.3242,-79.244,5,57.01474590301514,53.956058502197266,3.058687400817874
nee,US-HB3,33.3482,-79.2322,5,57.01474590301514,53.956058502197266,3.058687400817874
nee,US-HB4,33.2015,-79.2975,3,65.29411888122559,53.956058502197266,11.33806037902832
nee,US-HBK,43.9397,-71.7181,2,NA,53.97808837890625,NA
nee,US-Ho2,45.209,-68.747,21,56.54901450020927,49.381099700927734,7.167914799281533
nee,US-Hsm,38.2368,-122.0212,2,NA,43.81649017333984,NA
nee,US-HWB,40.8608,-77.8488,2,NA,62.82831954956055,NA
nee,US-IAB,42.0001,-93.7016,2,NA,41.4586296081543,NA
nee,US-IAC,41.9984,-93.7016,3,31.85083818435669,42.34272766113281,-10.491889476776123
nee,US-IAM,41.9994,-93.7042,3,30.35752582550049,42.34272766113281,-11.985201835632324
nee,US-ICh,68.6068,-149.2958,5,22.16894950866699,27.298269271850582,-5.129319763183592
nee,US-ICs,68.6058,-149.311,6,24.869445323944092,27.298269271850582,-2.4288239479064906
nee,US-ICt,68.6063,-149.3041,6,31.67449865738551,27.298269271850582,4.376229385534927
nee,US-Jo1,32.582,-106.635,9,16.93916184703509,16.812679290771484,0.12648255626360694
nee,US-Jo2,32.5849,-106.6032,5,16.62774640917778,16.812679290771484,-0.1849328815937028
nee,US-KFS,39.0561,-95.1907,7,58.40592384338379,55.88271713256836,2.5232067108154297
nee,US-KLS,38.7745,-97.5684,2,NA,62.112152099609375,NA
nee,US-Kon,39.0824,-96.5603,10,53.44592643976212,52.32865905761719,1.1172673821449308
nee,US-KPL,60.5382,-150.5061,2,NA,33.23625183105469,NA
nee,US-KS2,28.6086,-80.6715,3,56.82188097635905,67.67423248291016,-10.85235150655111
nee,US-LA2,29.8587,-90.2869,1,NA,63.95899200439453,NA
nee,US-LA3,29.4936,-89.9153,1,NA,48.15446472167969,NA
nee,US-Los,46.0827,-89.9786,15,58.375758981704706,53.117305755615234,5.258453226089472
nee,US-LS1,31.5615,-110.1403,4,18.669676899909973,26.135007858276367,-7.465330958366394
nee,US-LS2,31.5659,-110.1344,4,18.669676899909973,26.135007858276367,-7.465330958366394
nee,US-MBP,47.5051,-93.4893,14,58.99081626561071,58.99855422973633,-0.007737964125617225
nee,US-Me3,44.3154,-121.6078,3,37.55222860972087,40.241119384765625,-2.6888907750447544
nee,US-Me5,44.4372,-121.5668,2,NA,40.241119384765625,NA
nee,US-Me6,44.3232,-121.6044,9,33.70927204026116,40.241119384765625,-6.531847344504463
nee,US-Me7,44.4534,-121.5619,1,NA,40.241119384765625,NA
nee,US-MMS,39.3232,-86.4133,24,53.963435570398964,60.12395095825195,-6.160515387852989
nee,US-MN1,45.6168,-96.1269,6,42.71223775545756,42.490013122558594,0.2222246328989641
nee,US-MN2,45.627,-96.1271,6,42.71223775545756,42.490013122558594,0.2222246328989641
nee,US-MN3,45.6091,-96.1265,3,46.21962261199951,42.490013122558594,3.729609489440918
nee,US-Mo1,39.2298,-92.1167,7,44.32430831928339,51.681034088134766,-7.356725768851376
nee,US-Mo2,38.9488,-91.9945,5,63.738257980346674,63.39969253540039,0.3385654449462834
nee,US-Mo3,39.2322,-92.1493,7,46.69491993742329,51.681034088134766,-4.986114150711472
nee,US-MOz,38.7441,-92.2,15,61.97475701967875,65.41484832763672,-3.440091307957971
nee,US-Mpj,34.4382,-106.2385,15,32.34584746360779,27.18646240234375,5.1593850612640395
nee,US-MtB,32.416,-110.7256,4,18.263457775115967,24.007251739501953,-5.743793964385986
nee,US-Myb,38.0499,-121.765,12,32.2138120730718,28.40679931640625,3.80701275666555
nee,US-NC1,35.8118,-76.7119,7,67.255007147789,56.50391387939453,10.75109326839447
nee,US-NC2,35.803,-76.6685,12,63.67224171757698,56.50391387939453,7.168327838182449
nee,US-NC3,35.799,-76.656,4,54.11850780248642,56.50391387939453,-2.3854060769081116
nee,US-NC4,35.7817,-75.9135,5,35.133046817779544,37.83340072631836,-2.7003539085388155
nee,US-Ne1,41.1651,-96.4766,22,44.6252237720923,41.15948867797851,3.465735094113789
nee,US-Ne2,41.1649,-96.4701,20,45.41869347691536,41.15948867797851,4.2592047989368496
nee,US-Ne3,41.1797,-96.4397,21,44.82383528777531,41.15948867797851,3.6643466097968016
nee,US-NR1,40.0329,-105.547,16,35.822735011577606,33.657047271728516,2.1656877398490906
nee,US-Oho,41.5545,-83.8438,8,51.07738673686981,58.87558364868164,-7.798196911811829
nee,US-ONA,27.3836,-81.9509,6,46.80851264297962,54.40349960327149,-7.59498696029187
nee,US-OPE,39.0293,-76.8457,1,NA,57.39830780029297,NA
nee,US-OWC,41.3793,-82.5124,1,NA,50.49251556396485,NA
nee,US-PAS,27.3944,-81.951,1,NA,54.40349960327149,NA
nee,US-PLo,42.7496,-70.9157,1,NA,52.21377182006836,NA
nee,US-Prr,65.1237,-147.4876,5,33.695991134643556,31.61534118652344,2.080649948120115
nee,US-RC1,46.7837,-117.0777,4,26.73763933777809,34.60606002807617,-7.8684206902980804
nee,US-RC2,46.7776,-117.0807,3,25.916940450668335,34.60606002807617,-8.689119577407837
nee,US-RC3,46.991,-118.598,4,17.323778182268143,24.3714656829834,-7.047687500715256
nee,US-RC4,46.758,-116.949,3,32.786303202311196,38.57835006713867,-5.792046864827476
nee,US-RGA,34.4159,-91.6733,1,NA,62.92298889160156,NA
nee,US-RGB,39.5782,-121.8579,2,NA,36.21014404296875,NA
nee,US-RGo,39.6805,-122.0026,2,NA,40.197940826416016,NA
nee,US-RGW,33.6216,-91.4306,1,NA,65.06080627441406,NA
nee,US-Rls,43.1439,-116.7356,7,21.198865141187397,27.956377029418945,-6.757511888231548
nee,US-Rms,43.0645,-116.7486,7,21.198865141187397,27.956377029418945,-6.757511888231548
nee,US-Ro1,44.7143,-93.0898,13,46.82124414595847,39.060001373291016,7.761242772667451
nee,US-Ro2,44.7288,-93.0888,3,42.624872287114464,39.060001373291016,3.564870913823448
nee,US-Ro3,44.7217,-93.0893,3,48.22305488586426,39.060001373291016,9.163053512573242
nee,US-Ro4,44.6781,-93.0723,9,40.20332543055217,39.060001373291016,1.1433240572611538
nee,US-Ro5,44.691,-93.0576,7,44.03924948828561,39.060001373291016,4.979248114994597
